step,action,psnr_value,mse_value,ssim_value,rank,action
1,8320,6.428224578743552,0.2277249914035201,0.19113567471504211,1,[8 3 2 0]
2,1490,6.243787135772264,0.23757411554455757,0.01808270253241062,2,[1 4 9 0]
3,1169,6.099938145153212,0.2455770759144798,-0.010887419804930687,3,[1 1 6 9]
4,190,6.187536237156418,0.24067247960017993,-0.01138907391577959,4,[0 1 9 0]
5,79,6.129172757957893,0.24392733933360433,-0.015028153546154499,5,[0 0 7 9]
6,795,5.523895887502377,0.2803860245464602,-0.013818876817822456,6,[0 7 9 5]
7,3293,5.4722111638381925,0.2841534458847309,-0.003814115421846509,7,[3 2 9 3]
8,3094,5.823473158598108,0.26169889342505487,0.016732510179281235,8,[3 0 9 4]
9,1880,6.544795841052272,0.22166454476557193,0.0634942501783371,9,[1 8 8 0]
10,897,6.753417771637733,0.21152635781720164,0.1127932220697403,10,[0 8 9 7]
11,832,6.965581525879423,0.2015548883077281,0.13748730719089508,11,[0 8 3 2]
12,2950,7.056964618932011,0.19751077290522517,0.15171512961387634,12,[2 9 5 0]
13,2897,7.449832566773037,0.18004551082198306,0.253559947013855,13,[2 8 9 7]
14,5983,7.414829263867464,0.1814454187877709,0.2600632607936859,14,[5 9 8 3]
15,898,7.728647869838772,0.16883472643765343,0.2552570104598999,15,[0 8 9 8]
16,8139,7.840206169186045,0.16451675192646179,0.2615363895893097,16,[8 1 3 9]
17,797,7.784997018288059,0.16665957471788714,0.26014551520347595,17,[0 7 9 7]
18,3098,7.805655856416941,0.16590290732710855,0.2589755952358246,18,[3 0 9 8]
19,2686,8.394899818684138,0.14567551917753466,0.33989769220352173,19,[2 6 8 6]
20,8507,8.394236270600855,0.14851657251980213,0.36599022150039673,20,[8 5 0 7]
21,599,8.475824015418862,0.1450316127088445,0.3733738660812378,21,[0 5 9 9]
22,3952,9.35511990868443,0.11826261089913032,0.4240166246891022,22,[3 9 5 2]
23,3893,9.782072200548898,0.1081703201855271,0.5144251585006714,23,[3 8 9 3]
24,2079,9.794172571359459,0.10779902232330642,0.5174620151519775,24,[2 0 7 9]
25,1039,9.771017360428582,0.10790640273720782,0.5185261368751526,25,[1 0 3 9]
26,1383,9.838958496346466,0.10677277785493061,0.5265756845474243,26,[1 3 8 3]
27,894,10.458879862506034,0.09394081430766164,0.5541096925735474,27,[0 8 9 4]
28,6079,10.740677260299329,0.08844330570485909,0.5603556036949158,28,[6 0 7 9]
29,791,10.733537251442787,0.08870634346862062,0.559801459312439,29,[0 7 9 1]
30,3770,11.06030195036066,0.08192003151927679,0.574832558631897,30,[3 7 7 0]
31,2860,11.058942205057305,0.08203051240660898,0.5742830038070679,31,[2 8 6 0]
32,6812,11.018737402215153,0.08282096892533446,0.5859093070030212,32,[6 8 1 2]
33,972,11.13245119607907,0.08081111048643834,0.5859971642494202,33,[0 9 7 2]
34,582,11.10827986259194,0.08166433425001288,0.5887834429740906,34,[0 5 8 2]
35,4018,11.172318956328118,0.08019587717893045,0.6043472290039062,35,[4 0 1 8]
36,2850,11.163539010460203,0.08023859814973548,0.6035808324813843,36,[2 8 5 0]
37,6908,11.168059274880262,0.0801801810123834,0.6037948131561279,37,[6 9 0 8]
38,691,11.349147100038952,0.07752458373499393,0.5926163792610168,38,[0 6 9 1]
39,593,11.356678581479688,0.07739063219782111,0.5930169224739075,39,[0 5 9 3]
40,2169,11.485998258800352,0.07578887707123841,0.6009445786476135,40,[2 1 6 9]
41,766,11.482031789720422,0.07585391667078739,0.60076504945755,41,[0 7 6 6]
42,369,11.47924849059601,0.07570539565147101,0.5997563600540161,42,[0 3 6 9]
43,1569,11.52370246216488,0.07647929992323042,0.6107863187789917,43,[1 5 6 9]
44,6706,11.614862280876073,0.07499009152065923,0.6168842911720276,44,[6 7 0 6]
45,129,12.102869644921878,0.06672380057639202,0.6421976685523987,45,[0 1 2 9]
46,55,12.238289620886043,0.06502938432422525,0.6431125402450562,46,[0 0 5 5]
47,129,12.260231219925313,0.0645962003054774,0.6462177634239197,47,[0 1 2 9]
48,7018,12.259816090588703,0.06459774274432675,0.6462215185165405,47,[7 0 1 8]
49,1770,12.278622066552657,0.06422663704861406,0.6424703598022461,48,[1 7 7 0]
50,997,12.289655561723638,0.06414660932045763,0.6459720134735107,49,[0 9 9 7]
51,28,12.420408163825652,0.06260456628466272,0.6445361971855164,50,[0 0 2 8]
52,191,12.44273298943428,0.062349295086251005,0.6462622284889221,51,[0 1 9 1]
53,8706,12.732638626826539,0.058784994360830754,0.6692341566085815,52,[8 7 0 6]
54,3971,12.73359442898583,0.05877042134452495,0.6693646311759949,53,[3 9 7 1]
55,1389,12.756515324519743,0.05850056579507509,0.671869158744812,54,[1 3 8 9]
56,1498,12.831399306546391,0.05770310739044362,0.68254154920578,55,[1 4 9 8]
57,770,12.870547650342116,0.056807862359447084,0.6913098096847534,56,[0 7 7 0]
58,780,13.005669704219978,0.05506785937314021,0.6963678002357483,57,[0 7 8 0]
59,264,13.253101933711633,0.052285327384161064,0.6803785562515259,58,[0 2 6 4]
60,4078,13.363516295443718,0.05069970382497559,0.6759577989578247,59,[4 0 7 8]
61,3640,13.44737428042028,0.05110887253370493,0.6455737948417664,60,[3 6 4 0]
62,5771,13.472981530917282,0.0510767647150351,0.6445980072021484,61,[5 7 7 1]
63,2831,13.46008154205225,0.05120586562989047,0.645122766494751,62,[2 8 3 1]
64,594,13.441808561315597,0.051305444625177186,0.645137369632721,63,[0 5 9 4]
65,494,13.476266041678898,0.050745246256494736,0.6379541158676147,64,[0 4 9 4]
66,9415,13.435196263441522,0.05078578874679806,0.6354683637619019,65,[9 4 1 5]
67,360,13.411585476673338,0.051026471137884076,0.6373928785324097,66,[0 3 6 0]
68,751,13.739810517438203,0.04791600785885748,0.6475476622581482,67,[0 7 5 1]
69,7813,13.904081722682829,0.04575677272920757,0.6512980461120605,68,[7 8 1 3]
70,3890,13.925604942524664,0.04550201388525082,0.6505252122879028,69,[3 8 9 0]
71,7941,13.901663403216961,0.045587004139333656,0.6481339335441589,70,[7 9 4 1]
72,81,13.951585055848517,0.04501249492671093,0.6517419815063477,71,[0 0 8 1]
73,1059,14.219000113037898,0.04297652149849455,0.654366672039032,72,[1 0 5 9]
74,769,14.699789548773046,0.03956471839866935,0.6778702735900879,73,[0 7 6 9]
75,1059,15.047354108748054,0.03601790249430678,0.6926405429840088,74,[1 0 5 9]
76,4129,15.059218297310794,0.0359706149052613,0.6937897801399231,74,[4 1 2 9]
77,7830,15.149661731450843,0.035393757704711995,0.69821697473526,75,[7 8 3 0]
78,378,15.117735822291408,0.03559658968357098,0.6986735463142395,76,[0 3 7 8]
79,4931,15.117803070065499,0.03557717981247606,0.6981302499771118,77,[4 9 3 1]
80,187,15.191613015652187,0.035253402568162076,0.7015892863273621,78,[0 1 8 7]
81,580,15.966532113270775,0.030261873814843056,0.7144151926040649,79,[0 5 8 0]
82,897,16.46769743414037,0.027662455535810294,0.7293471693992615,80,[0 8 9 7]
83,2483,16.469615479587155,0.02765968127467204,0.7291407585144043,80,[2 4 8 3]
84,1794,16.463732782737065,0.027777009399084136,0.7261480689048767,81,[1 7 9 4]
85,460,16.469778449484565,0.027657330781630095,0.728357195854187,82,[0 4 6 0]
86,7310,16.640430612217465,0.02652084941522844,0.7336052656173706,83,[7 3 1 0]
87,8508,16.635717511326185,0.02663372046913764,0.7311192750930786,84,[8 5 0 8]
88,794,16.6027311083441,0.026300501498917585,0.7411649227142334,85,[0 7 9 4]
89,7015,16.596504031528912,0.02627755297122121,0.7400614023208618,86,[7 0 1 5]
90,388,16.722687405224242,0.02533748963640747,0.7392381429672241,87,[0 3 8 8]
91,1499,16.723639203108785,0.025328676154305327,0.7391554713249207,88,[1 4 9 9]
92,482,16.757570141043217,0.02529676409024887,0.7427800893783569,89,[0 4 8 2]
93,399,16.775604978577345,0.025254505177063038,0.7437215447425842,90,[0 3 9 9]
94,1160,16.806569542684695,0.025147557165155376,0.7460404634475708,91,[1 1 6 0]
95,2830,16.872826671470637,0.025128430668337386,0.7435362339019775,92,[2 8 3 0]
96,2860,16.98765185272229,0.024690314306997294,0.7510780692100525,93,[2 8 6 0]
97,5800,17.000956691030268,0.02464396645051352,0.7516193985939026,93,[5 8 0 0]
98,1998,17.162909883827602,0.023455947869524606,0.7499673962593079,94,[1 9 9 8]
99,2082,17.348881715780678,0.022561209137131756,0.7475360631942749,95,[2 0 8 2]
100,4983,17.474929316910085,0.02217107930116981,0.7501999735832214,96,[4 9 8 3]
101,9819,17.461861174802493,0.022191501106024133,0.7432168126106262,97,[9 8 1 9]
102,3091,17.763200414591147,0.02071728806487499,0.7476770281791687,98,[3 0 9 1]
103,2750,18.105735657019373,0.01913987748125578,0.7574270963668823,98,[2 7 5 0]
104,940,18.267134225251592,0.018569519526635075,0.7635295987129211,98,[0 9 4 0]
105,1099,18.296305759451293,0.018572458278549676,0.7659632563591003,98,[1 0 9 9]
106,388,18.358665853116044,0.018248334614597753,0.7674732804298401,98,[0 3 8 8]
107,8806,18.369326595192433,0.018204016041991053,0.7673872709274292,98,[8 8 0 6]
