step,action,psnr_value,mse_value,ssim_value,rank,action
1,197,5.380917538514619,0.2898308085423582,0.11344734579324722,1,[0 1 9 7]
2,5916,5.119448495051967,0.3079947024548892,0.09770405292510986,2,[5 9 1 6]
3,1069,5.111791279326315,0.30833347053674515,0.1092560738325119,3,[1 0 6 9]
4,1882,4.993895868485568,0.31739773538836746,0.13176466524600983,4,[1 8 8 2]
5,577,4.588639718546336,0.3611324352381962,0.09630939364433289,5,[0 5 7 7]
6,771,4.237792571053562,0.4439603996151709,0.05793709680438042,6,[0 7 7 1]
7,9248,4.258819830947934,0.4374623173743021,0.06119828298687935,7,[9 2 4 8]
8,940,5.745286412598473,0.27955581772446747,0.19308434426784515,8,[0 9 4 0]
9,870,5.708365090919805,0.2803789888013853,0.18897590041160583,9,[0 8 7 0]
10,6807,5.750517711394318,0.27635497406443393,0.21153266727924347,10,[6 8 0 7]
11,572,5.806266276184088,0.26825461231913666,0.2078859508037567,11,[0 5 7 2]
12,181,5.94084492579674,0.2596901339024771,0.2105996161699295,12,[0 1 8 1]
13,190,5.912094228398843,0.26231003682951726,0.2231108695268631,13,[0 1 9 0]
14,2079,6.37096740013125,0.2400259988452308,0.20767013728618622,14,[2 0 7 9]
15,5917,6.284237211297662,0.24531428306887393,0.17803333699703217,15,[5 9 1 7]
16,2058,6.396153157831305,0.23870360339418767,0.16949915885925293,16,[2 0 5 8]
17,3069,6.422080523499907,0.23450842291761945,0.12795095145702362,17,[3 0 6 9]
18,7850,7.090165358758878,0.21301133999819513,0.3886393904685974,18,[7 8 5 0]
19,5861,7.145180837982744,0.21477699182483775,0.386435866355896,19,[5 8 6 1]
20,892,7.162354315642814,0.21159586888854393,0.3846288323402405,20,[0 8 9 2]
21,740,7.166534976773635,0.21139238217940146,0.3850172162055969,21,[0 7 4 0]
22,187,7.202587907191749,0.20903944702091393,0.3912874460220337,22,[0 1 8 7]
23,977,7.409924076805659,0.19260488876549062,0.394869327545166,23,[0 9 7 7]
24,3753,7.53393819942186,0.1875147884571561,0.3787839710712433,24,[3 7 5 3]
25,1580,7.5206607882057375,0.18636697522961185,0.36181730031967163,25,[1 5 8 0]
26,2741,7.451187076556886,0.18804815454599408,0.35606080293655396,26,[2 7 4 1]
27,779,7.460232126972423,0.18763051940342962,0.35633835196495056,27,[0 7 7 9]
28,1195,8.082968820863409,0.15950961145357723,0.3861820697784424,28,[1 1 9 5]
29,49,8.321009050740285,0.14948986390622848,0.3985729217529297,29,[0 0 4 9]
30,830,8.2568001165906,0.15093477695118054,0.3915925920009613,30,[0 8 3 0]
31,810,8.26766546495895,0.15076961368671618,0.3919394016265869,31,[0 8 1 0]
32,390,8.311264100282354,0.14894356739312017,0.3970591425895691,32,[0 3 9 0]
33,371,8.385171425541323,0.14634021348930218,0.3996730148792267,33,[0 3 7 1]
34,974,8.475874876341683,0.14407275256417962,0.3995036780834198,34,[0 9 7 4]
35,4851,8.531507979713474,0.14183376859269856,0.4082767367362976,35,[4 8 5 1]
36,409,8.887543535828211,0.13271380299000157,0.49955567717552185,36,[0 4 0 9]
37,980,9.36191238808812,0.12195224902970495,0.4894283711910248,37,[0 9 8 0]
38,8709,9.365816803729576,0.12156295100878196,0.488238662481308,38,[8 7 0 9]
39,6927,9.438232939804683,0.11941164433406812,0.48886775970458984,39,[6 9 2 7]
40,6807,9.44468447849886,0.11923146391585761,0.48914289474487305,40,[6 8 0 7]
41,7008,9.457097101087218,0.11896037383954536,0.4893968105316162,40,[7 0 0 8]
42,896,9.45287985015757,0.11887588701170443,0.4923238754272461,41,[0 8 9 6]
43,8921,9.610304022539882,0.11650172945461236,0.504277765750885,42,[8 9 2 1]
44,70,9.80559538825233,0.11208549254980085,0.5056833624839783,43,[0 0 7 0]
45,885,10.369516279015194,0.09883345817157534,0.5148897767066956,44,[0 8 8 5]
46,2084,10.374729589216107,0.09876470219918701,0.5156311988830566,45,[2 0 8 4]
47,4084,10.374573360148032,0.09901086893907632,0.5133756995201111,46,[4 0 8 4]
48,892,10.347179765195413,0.09955054608148202,0.510005533695221,47,[0 8 9 2]
49,8209,10.349660469994411,0.0994836707488139,0.5099434852600098,47,[8 2 0 9]
50,1660,10.367479497460552,0.09869234994584986,0.5091235041618347,48,[1 6 6 0]
51,8506,10.411009162463776,0.09794678261951223,0.5142775177955627,49,[8 5 0 6]
52,2779,10.697419179106987,0.09355919054265442,0.519213080406189,50,[2 7 7 9]
53,81,10.866808648086066,0.08925172240939219,0.5253027081489563,51,[0 0 8 1]
54,782,10.896984673516235,0.08864122300778263,0.5268250107765198,52,[0 7 8 2]
55,3188,11.173173770890141,0.08430936704155556,0.548465371131897,53,[3 1 8 8]
56,856,11.171071479336248,0.0839988742270566,0.5451022386550903,54,[0 8 5 6]
57,2088,11.347331263739393,0.0807067672245489,0.5443273186683655,55,[2 0 8 8]
58,3088,11.337020317559631,0.08169613899626939,0.5417269468307495,56,[3 0 8 8]
59,4830,11.40048583939211,0.080636070448204,0.5523625016212463,57,[4 8 3 0]
60,2029,11.41869328263895,0.08027416013379768,0.5534816980361938,58,[2 0 2 9]
61,792,11.419210660757038,0.08028077639777226,0.5536863803863525,59,[0 7 9 2]
62,293,11.43819441957142,0.08062341270017896,0.5554878115653992,60,[0 2 9 3]
63,811,11.435763195706814,0.08042899983329335,0.5556505918502808,61,[0 8 1 1]
64,8902,11.436245665667368,0.08042921264035613,0.5556234121322632,62,[8 9 0 2]
65,298,11.392410450746958,0.08124144857765941,0.5562233328819275,63,[0 2 9 8]
66,265,11.284253893493306,0.08284518105840107,0.5615226626396179,64,[0 2 6 5]
67,280,11.379820678446775,0.08110045526893372,0.563225507736206,65,[0 2 8 0]
68,8304,11.455592876459264,0.07934015038423241,0.5695896744728088,66,[8 3 0 4]
69,2950,11.456897314889511,0.0793353193447183,0.5695080757141113,67,[2 9 5 0]
70,840,11.4151116012453,0.07989765744838223,0.5702133178710938,68,[0 8 4 0]
71,1049,11.56957320515787,0.07607481615638675,0.5790486335754395,69,[1 0 4 9]
72,591,11.739574801678181,0.07330919399420964,0.5843828916549683,70,[0 5 9 1]
73,8308,11.815051291503472,0.07250108049325718,0.5852944850921631,71,[8 3 0 8]
74,2139,12.077851217610442,0.06866209197947683,0.586238443851471,72,[2 1 3 9]
75,784,12.113154083913948,0.06821754017699277,0.5869847536087036,73,[0 7 8 4]
76,1119,12.263811853502682,0.06658648317623374,0.5863159894943237,74,[1 1 1 9]
77,1898,12.3709152756497,0.06503563018664864,0.5867017507553101,75,[1 8 9 8]
78,6100,12.185759074983778,0.06646829669392446,0.5921692252159119,76,[6 1 0 0]
79,759,12.196701422599205,0.06636696470785865,0.5896845459938049,77,[0 7 5 9]
80,8807,12.44795015681923,0.06201550634241812,0.5943819880485535,78,[8 8 0 7]
81,9839,12.495440386176249,0.06148225604883919,0.5945494174957275,79,[9 8 3 9]
