step,action,psnr_value,mse_value,ssim_value,rank,action
1,984,6.537435414456677,0.2220096044443926,-0.0060019283555448055,1,[0 9 8 4]
2,1980,6.596612104118296,0.219007335746428,-0.0055454447865486145,2,[1 9 8 0]
3,2785,6.063794776203936,0.2475775790947955,-0.017147917300462723,3,[2 7 8 5]
4,8018,6.134585695878637,0.24357503334991634,-0.023519014939665794,4,[8 0 1 8]
5,3079,6.412744870391486,0.228470048061572,-0.016434988006949425,5,[3 0 7 9]
6,961,6.526319961567899,0.22257551277056337,0.03491640463471413,6,[0 9 6 1]
7,683,6.503835807071779,0.2237316414900124,0.03594818711280823,7,[0 6 8 3]
8,8903,6.616899586489917,0.21798597384709864,-0.03291888162493706,8,[8 9 0 3]
9,581,6.279337264822246,0.23560406386852265,-0.04486694559454918,9,[0 5 8 1]
10,9319,5.962865555339038,0.25354817441242633,-0.07209578156471252,10,[9 3 1 9]
11,1795,5.946222884174512,0.26608586720802124,0.015551622025668621,11,[1 7 9 5]
12,7018,6.653795978708006,0.22431912523283246,0.13772478699684143,12,[7 0 1 8]
13,5972,6.559705501506926,0.2308967036204558,0.1369442492723465,13,[5 9 7 2]
14,676,6.470465150715452,0.23579041172692086,0.14163514971733093,14,[0 6 7 6]
15,2068,6.311562392128741,0.2538293743831389,0.13108482956886292,15,[2 0 6 8]
16,4087,6.954616212042762,0.22769104311373667,0.16497455537319183,16,[4 0 8 7]
17,3962,7.216519057049449,0.21046940540560172,0.15617819130420685,17,[3 9 6 2]
18,6018,8.088131152299116,0.16346925595053108,0.35346031188964844,18,[6 0 1 8]
19,5139,8.334576146039637,0.15266005673327981,0.3860991895198822,19,[5 1 3 9]
20,1318,8.70218665634216,0.14455019388813525,0.45104703307151794,20,[1 3 1 8]
21,7318,8.704748132537395,0.14461013163163444,0.4514731764793396,21,[7 3 1 8]
22,9316,8.781296860627796,0.1401175950936522,0.4532647132873535,22,[9 3 1 6]
23,4014,8.833874914410265,0.13954489423354516,0.4530943036079407,23,[4 0 1 4]
24,493,8.830634092257986,0.13956799783341922,0.4524218440055847,24,[0 4 9 3]
25,5038,8.846637749941703,0.1348477616068743,0.455648273229599,25,[5 0 3 8]
26,39,8.863861616195504,0.13338611989605853,0.4481268525123596,26,[0 0 3 9]
27,5820,8.8967488657551,0.1343846168050186,0.46157312393188477,27,[5 8 2 0]
28,498,9.12177074048033,0.12604954629707207,0.500165581703186,28,[0 4 9 8]
29,1029,9.197196246359846,0.12496623423214259,0.5030688047409058,29,[1 0 2 9]
30,565,9.25639427130649,0.12225891696085682,0.5023382902145386,30,[0 5 6 5]
31,394,10.892869557334759,0.08602050459204691,0.5809721946716309,31,[0 3 9 4]
32,3177,10.90463156304672,0.08607365550138639,0.5827285647392273,32,[3 1 7 7]
33,8122,10.87907107302781,0.08651880435745397,0.5846908092498779,33,[8 1 2 2]
34,8203,10.925068544944105,0.08598331518213798,0.586565375328064,34,[8 2 0 3]
35,893,11.112563026703592,0.08275938621722162,0.591244637966156,35,[0 8 9 3]
36,8706,11.27188084120895,0.07864087458008726,0.5878536701202393,36,[8 7 0 6]
37,4908,11.543438441064813,0.07388995511183807,0.597676157951355,37,[4 9 0 8]
38,3069,11.70359401658432,0.07261725040465762,0.5915423631668091,38,[3 0 6 9]
39,766,11.864710042290579,0.07101569898382877,0.6104949116706848,39,[0 7 6 6]
40,847,11.875109857969779,0.07073576624161433,0.6111139059066772,40,[0 8 4 7]
41,893,11.95462133178504,0.06847155954572372,0.6106672286987305,41,[0 8 9 3]
42,865,11.953618297123054,0.06849545998316899,0.610628604888916,41,[0 8 6 5]
43,6018,12.16549206640687,0.06460651797897754,0.6151992082595825,42,[6 0 1 8]
44,7921,12.1661374353849,0.06462879663245076,0.6152763962745667,42,[7 9 2 1]
45,670,12.11953906737861,0.06513877783123917,0.6183501482009888,43,[0 6 7 0]
46,940,12.141324740381672,0.06497405264148255,0.6183730363845825,44,[0 9 4 0]
47,2741,12.323862228887565,0.06355843321731754,0.6261534690856934,45,[2 7 4 1]
48,3008,12.338328990268245,0.06327557990905916,0.6265633702278137,46,[3 0 0 8]
49,650,12.249993747273752,0.06381796252941285,0.62445467710495,47,[0 6 5 0]
50,784,12.241262473604127,0.06380579769333508,0.6223098039627075,48,[0 7 8 4]
51,760,12.23280463367049,0.06391972431337307,0.6219725608825684,49,[0 7 6 0]
52,751,12.2324725337321,0.06392195221928887,0.6219565868377686,50,[0 7 5 1]
53,2178,12.494416773813644,0.059311636415436624,0.6276555061340332,51,[2 1 7 8]
54,1167,12.555287184752926,0.05866148654005883,0.6271125078201294,52,[1 1 6 7]
55,309,12.697984405612367,0.05678564436313991,0.6388990879058838,53,[0 3 0 9]
56,2038,12.717887478100138,0.05656763542689987,0.6363349556922913,54,[2 0 3 8]
57,3008,12.794071181642355,0.055285287241213156,0.6401834487915039,55,[3 0 0 8]
58,3008,12.795277965436352,0.05527145823555656,0.6402438879013062,55,[3 0 0 8]
59,739,12.794064930166613,0.05528494534890342,0.6401858329772949,55,[0 7 3 9]
60,4908,12.972505439182475,0.0538028088850524,0.654407799243927,56,[4 9 0 8]
61,2167,12.976028312861438,0.05380442109071524,0.6546592712402344,56,[2 1 6 7]
62,428,13.091604477035563,0.052615298133139594,0.6509978175163269,57,[0 4 2 8]
63,955,13.032111097534072,0.05302349409666931,0.6427149772644043,58,[0 9 5 5]
64,954,13.164460225355194,0.05119833179155649,0.6431980729103088,59,[0 9 5 4]
65,1109,13.164330012190153,0.05119981410675791,0.6431499719619751,60,[1 1 0 9]
66,2830,13.639571085118703,0.04577747275689035,0.6526614427566528,61,[2 8 3 0]
67,2930,14.076383552845147,0.041768194661244706,0.6684876680374146,62,[2 9 3 0]
68,2730,14.1051887072137,0.04152894877684275,0.668953001499176,63,[2 7 3 0]
69,6102,14.130739478446861,0.041212727034762225,0.6685488224029541,64,[6 1 0 2]
70,2109,14.85099114123084,0.035590197393837605,0.6813204288482666,65,[2 1 0 9]
71,8002,14.751450159914041,0.03652541909734694,0.6759430170059204,66,[8 0 0 2]
72,2119,14.781648661015137,0.036272376987294595,0.6757042407989502,67,[2 1 1 9]
73,998,14.873639860213226,0.03440346741336498,0.6808685660362244,68,[0 9 9 8]
74,2128,14.950511709822045,0.03418927473273925,0.6871310472488403,69,[2 1 2 8]
75,2129,15.025863590819153,0.033485046130411006,0.6852256059646606,70,[2 1 2 9]
76,2028,15.090587588942817,0.0330048547389697,0.6859387755393982,71,[2 0 2 8]
77,2127,14.987680624212985,0.0337277849245379,0.6821818947792053,72,[2 1 2 7]
78,1922,14.988836562742296,0.03372670067808315,0.681885302066803,72,[1 9 2 2]
79,496,14.991312906393308,0.03366637802878643,0.6821727752685547,73,[0 4 9 6]
80,785,15.123277083080534,0.03256507298025099,0.6909797191619873,74,[0 7 8 5]
81,5008,15.125254219571806,0.03254535304660749,0.6910147070884705,75,[5 0 0 8]
82,487,15.128898810199203,0.03251312397020939,0.6908081769943237,76,[0 4 8 7]
83,366,15.129855469073243,0.03250284126912252,0.6907008290290833,77,[0 3 6 6]
84,29,15.209774157909898,0.031829197320234925,0.6997302770614624,78,[0 0 2 9]
85,850,15.188073286712081,0.0318109439247155,0.6989111304283142,79,[0 8 5 0]
86,3901,15.215336509835405,0.03160996224978135,0.6990998983383179,79,[3 9 0 1]
87,694,15.535030144454495,0.02953391168046906,0.7008687853813171,80,[0 6 9 4]
88,1045,15.5532331442197,0.02937926803777373,0.7035301923751831,81,[1 0 4 5]
89,2961,15.633206313837178,0.028807174846257482,0.701677680015564,82,[2 9 6 1]
90,2045,15.658210895421876,0.028683178754454274,0.7003709077835083,83,[2 0 4 5]
91,5018,15.663578487073922,0.028622135640989654,0.7008528113365173,84,[5 0 1 8]
92,1961,15.667058373706213,0.028468691193148744,0.6986055374145508,85,[1 9 6 1]
93,2198,15.671025257550008,0.02847097395183539,0.6993309259414673,86,[2 1 9 8]
94,1491,15.672613907772243,0.028567183023742473,0.6993995904922485,87,[1 4 9 1]
95,6203,16.56186551080611,0.02390177224112449,0.7001990675926208,88,[6 2 0 3]
96,9114,16.56132490685011,0.023925513259982836,0.7000771164894104,89,[9 1 1 4]
97,8120,16.709832841839386,0.023250009799989188,0.702368974685669,90,[8 1 2 0]
98,1997,16.79710738239532,0.02270999965667869,0.7075785398483276,91,[1 9 9 7]
99,2640,17.52476974756052,0.019521016259094495,0.7158464193344116,92,[2 6 4 0]
100,1024,17.67764692610873,0.018973302511821544,0.7181056141853333,93,[1 0 2 4]
101,4038,17.701832994732268,0.018697712426612157,0.7184664011001587,94,[4 0 3 8]
102,9819,17.704987614169905,0.018657709407580256,0.7200255990028381,95,[9 8 1 9]
103,4016,17.698564357339126,0.01865310733975022,0.7206326723098755,95,[4 0 1 6]
104,998,17.69880231648722,0.018644065891628543,0.7207766771316528,95,[0 9 9 8]
105,1998,17.737760345203718,0.01846400723273291,0.7223531007766724,95,[1 9 9 8]
106,574,17.74676985796556,0.018517176342234053,0.7233396172523499,95,[0 5 7 4]
107,1239,17.959119275109607,0.01780760953775257,0.7269041538238525,95,[1 2 3 9]
108,983,17.992891585762738,0.01758794672710792,0.7270580530166626,95,[0 9 8 3]
109,913,18.497536823996764,0.015407191954943755,0.7491846680641174,95,[0 9 1 3]
110,3810,18.49819737962635,0.0153725308991217,0.7490328550338745,95,[3 8 1 0]
111,1094,18.507932841538373,0.01522442235644121,0.7499678134918213,95,[1 0 9 4]
112,1950,18.496623063606343,0.015241506107190368,0.7427002191543579,95,[1 9 5 0]
113,679,18.5663261621059,0.015033080487063444,0.7437205910682678,95,[0 6 7 9]
114,1750,18.53279143053095,0.015265790937073689,0.7495815753936768,96,[1 7 5 0]
115,920,18.541443015531584,0.015241825686698575,0.7508484125137329,96,[0 9 2 0]
116,5008,18.54283853481851,0.015234735621293112,0.7510358095169067,96,[5 0 0 8]
117,7109,18.559296380626744,0.015186373258750337,0.7527801394462585,96,[7 1 0 9]
118,7109,18.57005606356209,0.01508305736601315,0.7467535734176636,96,[7 1 0 9]
119,3036,18.57061641971344,0.015078954765844088,0.7463785409927368,96,[3 0 3 6]
120,5008,18.571483311017627,0.015079000780111897,0.7463809251785278,96,[5 0 0 8]
121,5008,18.577777449615272,0.015055655446332174,0.7469232082366943,96,[5 0 0 8]
122,5008,18.577821867225005,0.015055137321834344,0.7469340562820435,96,[5 0 0 8]
123,5008,18.583874265159906,0.015032423998194454,0.7474799752235413,96,[5 0 0 8]
124,5008,18.58540346431926,0.015027283078737845,0.7476003766059875,96,[5 0 0 8]
125,1047,18.585459352696766,0.015027202066281725,0.7476131916046143,96,[1 0 4 7]
126,2059,18.579648193125543,0.01506561900684236,0.746378481388092,96,[2 0 5 9]
127,1830,18.68453994072896,0.014713936859211572,0.7458987832069397,96,[1 8 3 0]
128,135,18.722750052813005,0.014560654537344248,0.7509214282035828,96,[0 1 3 5]
129,895,18.788063467067794,0.014358997138509721,0.7486783266067505,96,[0 8 9 5]
130,3127,18.874743861285058,0.014002134389739922,0.7584627866744995,96,[3 1 2 7]
131,1770,19.16200007093074,0.013143079120468429,0.7740553617477417,96,[1 7 7 0]
132,730,19.322558385138446,0.01250101140835568,0.7946094274520874,96,[0 7 3 0]
133,1671,19.321413817894108,0.012505230782437593,0.7947225570678711,96,[1 6 7 1]
134,9916,19.320849939422043,0.01249041420356093,0.7959274053573608,96,[9 9 1 6]
