step,action,psnr_value,mse_value,ssim_value,rank,action
1,0,3.165517468283551,0.4828463241819202,0.008167630061507225,1,[0 0 0 0]
2,0,3.2521205704411678,0.4733134605290627,0.01237418595701456,2,[0 0 0 0]
3,0,3.252122836014983,0.4733132132253934,0.012384588830173016,2,[0 0 0 0]
4,0,3.2521225837434247,0.4733132405583103,0.012383164837956429,2,[0 0 0 0]
5,0,3.252125031664969,0.47331297398242556,0.012403255328536034,2,[0 0 0 0]
6,0,3.252124967667915,0.4733129810991625,0.012402145192027092,2,[0 0 0 0]
7,0,3.252125159979349,0.47331296061183936,0.012406067922711372,2,[0 0 0 0]
8,0,3.252124943618143,0.473312983722584,0.012419961392879486,2,[0 0 0 0]
9,0,3.252125126587508,0.47331296379741844,0.012416410259902477,2,[0 0 0 0]
10,0,3.2521252346265177,0.4733129518898883,0.012412316165864468,2,[0 0 0 0]
11,0,3.2521252150114743,0.47331295401801327,0.012413112446665764,2,[0 0 0 0]
12,0,3.252125107522459,0.4733129664718399,0.012416924349963665,2,[0 0 0 0]
13,0,3.252125110950981,0.47331296594995137,0.012416867539286613,2,[0 0 0 0]
14,0,3.252125191754633,0.4733129565509506,0.012414300814270973,2,[0 0 0 0]
15,0,3.2521252323717786,0.4733129528719655,0.012410773895680904,2,[0 0 0 0]
16,0,3.2521250970654645,0.4733129668623394,0.012404551729559898,2,[0 0 0 0]
17,0,3.2521252136879597,0.4733129543107742,0.012408503331243992,2,[0 0 0 0]
18,0,3.252125062342928,0.4733129713923734,0.012403729371726513,2,[0 0 0 0]
19,0,3.2521250553257146,0.47331297155820834,0.0124036381021142,2,[0 0 0 0]
20,0,3.2521248348366703,0.47331299543470434,0.01239986065775156,2,[0 0 0 0]
21,0,3.252124781575778,0.4733130018193708,0.012399371713399887,2,[0 0 0 0]
22,0,3.2521246829261994,0.4733130119609234,0.0123982485383749,2,[0 0 0 0]
23,0,3.2521249902352363,0.473312978499913,0.012402381747961044,2,[0 0 0 0]
24,0,3.2521246382306317,0.4733130174279643,0.012397698126733303,2,[0 0 0 0]
25,0,3.2521244369699587,0.47331303934400354,0.012395655736327171,2,[0 0 0 0]
26,0,3.252124633950706,0.4733130172992162,0.012397652491927147,2,[0 0 0 0]
27,0,3.2521247392914763,0.4733130064222598,0.012398854829370975,2,[0 0 0 0]
28,0,3.252125063240419,0.4733129705467479,0.012403820641338825,2,[0 0 0 0]
29,0,3.252125017018402,0.47331297572772996,0.012402959167957306,2,[0 0 0 0]
30,0,3.2521250919544102,0.4733129674416625,0.012403888627886772,2,[0 0 0 0]
31,0,3.2521250261104044,0.4733129745934559,0.012403013184666634,2,[0 0 0 0]
32,0,3.2521250524110448,0.4733129717300756,0.012403513304889202,2,[0 0 0 0]
33,0,3.2521251650697263,0.47331296005751144,0.012406223453581333,2,[0 0 0 0]
34,0,3.2521251150621837,0.4733129656540143,0.01240481436252594,2,[0 0 0 0]
35,0,3.25212484941177,0.4733129939783714,0.012400347739458084,2,[0 0 0 0]
