step,action,psnr_value,mse_value,ssim_value,rank,action
1,31733,3.1916728850950973,158149.5533047525,-0.0004736408591270447,1,[ 7 11 15  5]
2,53006,3.2064327927252743,20880.212955114548,0.013105280697345734,2,[12 15  0 14]
3,24466,3.2118914609248717,5790.487583349433,-0.005981607362627983,3,[ 5 15  9  2]
4,19176,3.2247386843989427,8667.628469554447,-0.0011321064084768295,4,[ 4 10 14  8]
5,24466,3.245495086108968,1363.5442796614088,-0.018422050401568413,5,[ 5 15  9  2]
6,52017,3.470462799645353,1405.3590748651031,0.012208917178213596,5,[12 11  3  1]
7,15808,3.4672635693090417,36.35403408905711,-0.010794301517307758,6,[ 3 13 12  0]
8,16344,3.436804897576638,74.34877435529778,0.01358889415860176,7,[ 3 15 13  8]
9,15567,3.2864667793880087,65.11586631334923,0.012748070061206818,8,[ 3 12 12 15]
10,3832,3.563763829619952,10.857651669002337,0.007803026586771011,9,[ 0 14 15  8]
11,8879,3.335439374570679,22.84781953481911,-0.000821026973426342,10,[ 2  2 10 15]
12,24531,3.3928019573625203,17.818868676854464,-0.0030958708375692368,11,[ 5 15 13  3]
13,53565,3.3745891548985507,12.509787976100732,-0.003646876197308302,12,[13  1  3 13]
14,14558,3.61477764434676,15.097505519645754,0.01014711707830429,13,[ 3  8 13 14]
15,8049,3.493129164812176,8.213184448045467,-0.009594705887138844,14,[ 1 15  7  1]
16,15952,3.9406270627445283,7.4015553382420975,0.03118886426091194,15,[ 3 14  5  0]
17,24562,3.5744353307348185,4.852806786894348,0.017467789351940155,16,[ 5 15 15  2]
18,4032,3.493566928077461,3.270308907191128,0.004904486704617739,17,[ 0 15 12  0]
19,21989,3.5623336474521947,2.4347031426019967,-0.00543205626308918,18,[ 5  5 14  5]
20,18676,3.446216397136557,6.040465469288591,-0.003179698484018445,19,[ 4  8 15  4]
21,2011,3.6641884912660245,2.465485882155633,0.012104485183954239,20,[ 0  7 13 11]
22,21295,3.5052713597767116,2.4579333727419908,0.00026858318597078323,21,[ 5  3  2 15]
23,14328,3.7293342481361935,2.6126864575062427,0.012511336244642735,22,[ 3  7 15  8]
24,55325,3.47120707808348,2.8444819924040416,-0.01898263394832611,23,[13  8  1 13]
25,20401,3.886302305185234,2.304853843688006,0.01152285560965538,24,[ 4 15 11  1]
26,3216,3.6047983982186316,3.1735261099901493,-0.0058866385370492935,25,[ 0 12  9  0]
27,45359,3.4885395858934025,3.2705243287980466,-0.010055653750896454,26,[11  1  2 15]
28,7296,3.5590990076774878,4.009962244838107,-0.0032587649766355753,27,[ 1 12  8  0]
29,7536,3.3847081367213687,5.52697847942801,0.0028787003830075264,28,[ 1 13  7  0]
30,28700,3.634058577604937,3.324707419121717,0.011729463934898376,29,[ 7  0  1 12]
31,19568,3.4961799739959654,3.715676987797906,0.00600118562579155,30,[ 4 12  7  0]
32,64819,3.502560333412462,3.699708967665856,-0.002429272746667266,31,[15 13  3  3]
