step,action,psnr_value,mse_value,ssim_value,rank,action
1,28642,3.4015348707840936,18.39977748651502,0.0019799498841166496,1,[ 6 15 14  2]
2,22258,3.4504883949318588,65.4492481353825,0.0018121788743883371,2,[ 5  6 15  2]
3,6133,3.457283284795026,61.22285324674817,-0.008340220898389816,3,[ 1  7 15  5]
4,60943,3.7024457290556905,12.36961886131428,0.014714137651026249,4,[14 14  0 15]
5,1748,3.473426224529077,24.485085769326645,0.01588529162108898,5,[ 0  6 13  4]
6,5087,3.4242365247801905,39.536418551403585,-0.006777620408684015,6,[ 1  3 13 15]
7,4861,3.629530346364524,16.452332307162045,0.021598447114229202,7,[ 1  2 15 13]
8,4271,3.621498564652353,10.17714310348265,-2.1387822926044464e-05,8,[ 1  0 10 15]
9,16542,3.611771564958588,7.487961358000234,0.02020537480711937,9,[ 4  0  9 14]
10,64819,3.4728987028688163,9.456371640833822,-0.04062730073928833,10,[15 13  3  3]
11,20147,3.5928248702395154,9.477856708485945,-0.03700035810470581,11,[ 4 14 11  3]
12,20113,3.3840213504850953,13.300007121383263,-0.049396317452192307,12,[ 4 14  9  1]
13,45041,3.599511152408806,10.533052648158446,-0.01819382794201374,13,[10 15 15  1]
14,59180,3.581840348068635,10.231692015275087,-0.01171441562473774,14,[14  7  2 12]
15,21183,3.563339992006269,10.648886943615025,-0.019326921552419662,15,[ 5  2 11 15]
16,20360,3.5862193300098104,10.976923728203417,-0.015511270612478256,16,[ 4 15  8  8]
17,20389,3.422031193310444,11.806546031441485,-0.03312649577856064,17,[ 4 15 10  5]
18,16337,3.427536146241782,11.673516810831515,-0.041721656918525696,18,[ 3 15 13  1]
19,19937,3.436438901173977,12.457651650988737,-0.052249643951654434,19,[ 4 13 14  1]
20,20080,3.424224183717004,12.730011070629857,-0.04666505753993988,20,[ 4 14  7  0]
21,993,3.637890246057238,13.704909157106032,0.03996922820806503,21,[ 0  3 14  1]
22,57420,3.5528917330629146,7.185484593490969,-0.002278575673699379,22,[14  0  4 12]
23,4054,3.5399470372056507,5.494756589788125,0.00119844451546669,23,[ 0 15 13  6]
24,63281,3.6139938267607845,6.814481990575803,0.028667915612459183,24,[15  7  3  1]
25,3318,3.5659296886889753,8.785117590611108,0.007073242217302322,25,[ 0 12 15  6]
26,63569,3.3561217283925955,10.58829948142602,-0.028322577476501465,26,[15  8  5  1]
27,12112,3.468766448752814,10.682161533786712,0.004506890662014484,27,[ 2 15  5  0]
28,1022,3.5685055179408485,9.591897511853404,0.02182324230670929,28,[ 0  3 15 14]
29,18174,3.575334191715342,9.624651233638389,0.023166285827755928,29,[ 4  6 15 14]
30,2496,3.5301105538366553,9.543326464167421,0.01801210269331932,30,[ 0  9 12  0]
31,14051,3.4409691693788664,8.58865064716764,-0.04202966392040253,31,[ 3  6 14  3]
32,6088,3.45006584915111,8.330802754360697,-0.04037141799926758,32,[ 1  7 12  8]
33,24861,3.4591827465387546,6.9555436397721,-0.013543520122766495,33,[ 6  1  1 13]
34,7670,3.618705458719643,5.893984398270277,0.005379613488912582,34,[ 1 13 15  6]
35,3047,3.6724914051223987,6.376827469684297,0.023379039019346237,35,[ 0 11 14  7]
36,32500,3.60473490920016,6.895263626603958,0.019815990701317787,36,[ 7 14 15  4]
37,20783,3.671940016039643,6.267473639736302,0.012790496461093426,37,[ 5  1  2 15]
38,7857,3.5537090375856946,5.603589853590083,-0.006157202646136284,38,[ 1 14 11  1]
39,12112,3.563043378530848,5.708607795878379,0.0001937728375196457,39,[ 2 15  5  0]
40,13041,3.5630295146581363,5.709307353063878,2.4320092052221298e-05,39,[ 3  2 15  1]
41,20526,3.5883895438176685,4.887031317521945,-0.06472782790660858,40,[ 5  0  2 14]
42,35777,3.6057662317113213,4.552232697064035,-0.05484595149755478,41,[ 8 11 12  1]
43,24782,3.4320058245670637,6.657511806301356,-0.06410738825798035,42,[ 6  0 12 14]
44,32705,3.3694106491085396,7.252711386212582,-0.07171793282032013,43,[ 7 15 12  1]
45,32705,3.4709241562826247,8.750826687131678,-0.030816880986094475,44,[ 7 15 12  1]
46,21198,3.4730229056268875,8.77925787907482,-0.03066393919289112,44,[ 5  2 12 14]
47,57638,3.4196091226335525,8.211016589404323,-0.026780664920806885,45,[14  1  2  6]
48,497,3.4238860782565754,8.288702033938762,-0.026544686406850815,46,[ 0  1 15  1]
49,20701,3.4416104663620173,7.192279666092217,-0.013919282704591751,47,[ 5  0 13 13]
50,2800,3.423802164732699,7.41508033700552,-0.0065529681742191315,48,[ 0 10 15  0]
51,944,3.449860477236748,7.70057717097643,-0.004044595640152693,49,[ 0  3 11  0]
52,40988,3.5097243387969987,7.984923449717428,-0.0024795159697532654,50,[10  0  1 12]
53,8016,3.4224188302617047,8.846346312772084,-0.0015640854835510254,51,[ 1 15  5  0]
54,2505,3.4208040723080617,8.854313857919124,-0.0018330984748899937,52,[ 0  9 12  9]
55,51464,3.4179611345017498,8.822045761817208,-0.001628303900361061,53,[12  9  0  8]
56,2013,3.3669217061581436,19.502614136112243,-0.036972589790821075,54,[ 0  7 13 13]
57,6113,3.3162630009332745,18.422620608215936,-0.03749825060367584,55,[ 1  7 14  1]
58,993,3.236924625505921,19.88541678918591,-0.0419299378991127,56,[ 0  3 14  1]
59,993,3.2403210268884197,19.71893458555678,-0.04162728041410446,56,[ 0  3 14  1]
60,15335,3.2428860380197637,19.650592587003302,-0.041479796171188354,56,[ 3 11 14  7]
61,5620,3.49958237684407,16.759956610778417,-0.02590196393430233,57,[ 1  5 15  4]
62,5876,3.4959127519204647,12.080364892632863,-0.031501397490501404,58,[ 1  6 15  4]
63,60686,3.5969019496749306,14.22756157592886,-0.002330603078007698,59,[14 13  0 14]
64,8001,3.4609264750360036,15.865935640959968,-0.01968611404299736,60,[ 1 15  4  1]
65,4081,3.553875945595034,14.552965690798374,-0.007451571524143219,61,[ 0 15 15  1]
66,16096,3.6118075217370773,14.285613847824322,-0.012149620801210403,62,[ 3 14 14  0]
67,16783,3.5973298096117623,14.379622185264225,-0.007315423339605331,63,[ 4  1  8 15]
68,16527,3.46646060984727,14.92667011285323,-0.025358445942401886,64,[ 4  0  8 15]
69,16343,3.5271853562160453,14.959432865430927,-0.02009114995598793,65,[ 3 15 13  7]
70,3246,3.3909670310251605,14.362845683313935,-0.028819788247346878,66,[ 0 12 10 14]
71,13039,3.355237553034786,14.39470414497191,-0.04101928323507309,67,[ 3  2 14 15]
72,8016,3.2447149384147123,16.145402105876883,-0.04299312084913254,68,[ 1 15  5  0]
73,57420,3.24008642877025,16.155588383865506,-0.04258538782596588,68,[14  0  4 12]
74,57420,3.2157451690558325,16.162817021663855,-0.04488999769091606,68,[14  0  4 12]
75,55068,3.2092776377371557,16.16320184707365,-0.04494886100292206,68,[13  7  1 12]
76,59148,3.2207262691225353,16.17493776142379,-0.04509592801332474,69,[14  7  0 12]
77,59148,3.25499444993544,15.978878935264675,-0.04458407312631607,70,[14  7  0 12]
78,8003,3.2631993307139027,15.969856677556436,-0.04435669630765915,70,[ 1 15  4  3]
79,17183,3.3063229552259927,15.260953304681891,-0.04312615469098091,71,[ 4  3  1 15]
80,44339,3.275008163058015,14.398182515178632,-0.06063035875558853,72,[10 13  3  3]
81,6637,3.244406896590876,14.877716829825658,-0.06689558178186417,73,[ 1  9 14 13]
82,60686,3.35573773936365,14.873592615405414,-0.06653807312250137,74,[14 13  0 14]
83,49278,3.3491111360603227,14.932348784848841,-0.065409816801548,74,[12  0  7 14]
84,8420,3.3629854256419884,15.105173931720856,-0.06751738488674164,75,[ 2  0 14  4]
85,3215,3.326088271499538,15.204937199925794,-0.057383157312870026,76,[ 0 12  8 15]
86,36288,3.401368286209769,15.284559231020467,-0.05697847902774811,77,[ 8 13 12  0]
87,62351,3.418487628730984,15.810527045219033,-0.05365452915430069,78,[15  3  8 15]
88,20526,3.436223214813246,15.63110308976411,-0.05262782424688339,79,[ 5  0  2 14]
89,24265,3.436812955950803,15.646393332127062,-0.05224722623825073,79,[ 5 14 12  9]
90,16412,3.498412027075102,15.680188003861986,-0.04519057646393776,80,[ 4  0  1 12]
91,12396,3.5120678936755514,14.654126668039453,-0.026013122871518135,81,[ 3  0  6 12]
92,20320,3.4784289101794896,15.080586616822572,-0.03235979005694389,82,[ 4 15  6  0]
93,20320,3.3795570422396786,15.219688054692597,-0.024101905524730682,83,[ 4 15  6  0]
94,993,3.380010791845266,15.229846681635536,-0.023704251274466515,83,[ 0  3 14  1]
95,23293,3.378958866390236,15.224569650379635,-0.023415809497237206,83,[ 5 10 15 13]
96,20064,3.4674707678319745,16.35158541790952,-0.02440468594431877,84,[ 4 14  6  0]
97,20064,3.5308356831013303,16.99666446018682,-0.011628620326519012,85,[ 4 14  6  0]
98,20320,3.552221971454938,17.1247217438342,-0.008122213184833527,85,[ 4 15  6  0]
99,20320,3.554743966522019,17.13912784818075,-0.007892610505223274,85,[ 4 15  6  0]
100,20064,3.555891863585278,17.147776554058964,-0.007749546319246292,85,[ 4 14  6  0]
101,20320,3.5641434671705023,17.20817189011521,-0.006314031779766083,85,[ 4 15  6  0]
102,20320,3.5645881281054743,17.215804981341705,-0.006243137642741203,85,[ 4 15  6  0]
103,20320,3.5650554816530016,17.21888986039518,-0.006209125742316246,85,[ 4 15  6  0]
104,20320,3.5651976359061894,17.22233840902642,-0.006191872991621494,85,[ 4 15  6  0]
105,20320,3.5654015058876327,17.22566089194794,-0.006155538372695446,85,[ 4 15  6  0]
106,20320,3.5655379261457116,17.228013370825238,-0.006136802025139332,85,[ 4 15  6  0]
107,20320,3.5655427531767674,17.22769471906396,-0.006143257953226566,85,[ 4 15  6  0]
108,16749,3.5656538867309813,17.228102647622464,-0.006108347326517105,85,[ 4  1  6 13]
109,10476,3.453934235868873,14.287956225654455,-0.029875705018639565,86,[ 2  8 14 12]
110,16473,3.5378316716811566,14.323151602817404,-0.03450683876872063,87,[4 0 5 9]
111,51976,3.499934751886359,14.008501386838304,-0.05540699511766434,88,[12 11  0  8]
112,16671,3.558858144105952,14.01140199914807,-0.04243266209959984,89,[ 4  1  1 15]
113,8002,3.45554225898061,9.837082695520962,-0.0449494905769825,90,[ 1 15  4  2]
