step,action,psnr_value,mse_value,ssim_value,rank,action
1,14565,5.658901483063925,0.2717490944800005,0.04056215286254883,1,[ 3  8 14  5]
2,24560,5.809232691895268,0.26252057326254885,0.05858466029167175,2,[ 5 15 15  0]
3,28176,4.936945200576549,0.33345062683781634,0.0998835563659668,3,[ 6 14  1  0]
4,44626,5.566536036433969,0.3058683264396791,0.18874266743659973,4,[10 14  5  2]
5,16016,5.54342278204383,0.3088350830276907,0.17303122580051422,5,[ 3 14  9  0]
6,2496,5.58788200424829,0.3042019033780434,0.1593581587076187,6,[ 0  9 12  0]
7,4973,5.65977664933267,0.2860106028741747,0.1944771111011505,7,[ 1  3  6 13]
8,20639,5.692075774748437,0.28490353231929433,0.19250008463859558,8,[ 5  0  9 15]
9,20639,5.719215214998654,0.2964928749757121,0.2537135183811188,9,[ 5  0  9 15]
10,1976,5.719214219447513,0.29655636159091614,0.2537585496902466,9,[ 0  7 11  8]
11,40769,6.410008981471051,0.29872661526682975,0.29043954610824585,10,[ 9 15  4  1]
12,35592,6.427745054730439,0.29764617222737755,0.296886682510376,11,[ 8 11  0  8]
13,40990,6.456578223670145,0.292010590259423,0.3052782416343689,12,[10  0  1 14]
14,7087,6.553191547927238,0.28398264343555724,0.301634818315506,13,[ 1 11 10 15]
15,20618,6.557558921274929,0.2817708990215948,0.2988588809967041,14,[ 5  0  8 10]
16,37037,6.51780048554212,0.27904218120022506,0.29159116744995117,15,[ 9  0 10 13]
17,1000,6.511368938494787,0.290562831067001,0.28695064783096313,16,[ 0  3 14  8]
18,64565,6.763811776584544,0.2585454542584205,0.3052881360054016,17,[15 12  3  5]
19,20448,6.821216546429493,0.2749431046553621,0.3227258324623108,18,[ 4 15 14  0]
20,12485,6.855597900669607,0.2715314206547711,0.3285612165927887,19,[ 3  0 12  5]
21,8690,7.045665074252042,0.2374172536117083,0.3564666509628296,20,[ 2  1 15  2]
22,61194,7.390574009315712,0.2045895154917705,0.3581390082836151,21,[14 15  0 10]
23,4000,7.439913539718276,0.1907206150329568,0.34716421365737915,22,[ 0 15 10  0]
24,6894,7.4867088785762075,0.188873643882971,0.3551939129829407,23,[ 1 10 14 14]
25,61196,7.495310534623922,0.19674380607801378,0.3596365451812744,24,[14 15  0 12]
26,49535,7.535828310045893,0.19315910034766182,0.3585246205329895,25,[12  1  7 15]
27,14585,7.540543246144074,0.1926002856768001,0.36019569635391235,26,[ 3  8 15  9]
28,902,7.498688540515718,0.19395492306624676,0.3612300753593445,27,[0 3 8 6]
29,5879,7.499610564118232,0.19393409208787915,0.3611609935760498,28,[ 1  6 15  7]
30,12000,7.503623559446593,0.19188866164392238,0.36300504207611084,29,[ 2 14 14  0]
31,1646,7.589661777350147,0.1901955406621343,0.3839316964149475,30,[ 0  6  6 14]
32,21978,7.619250386401317,0.190066924810687,0.3903054893016815,31,[ 5  5 13 10]
33,57895,7.847654253833549,0.18078648057223745,0.409218966960907,32,[14  2  2  7]
34,12430,7.843057742651171,0.18149512739168472,0.40544599294662476,33,[ 3  0  8 14]
35,7123,7.9842431995063246,0.17801099247282792,0.41807347536087036,34,[ 1 11 13  3]
36,4185,8.007373144103498,0.17710304110491215,0.41865602135658264,35,[1 0 5 9]
37,55322,8.018462229444992,0.17708678475129602,0.4204912781715393,36,[13  8  1 10]
38,6556,8.079903889016498,0.1721474704780519,0.4284021258354187,37,[ 1  9  9 12]
39,12431,8.177237820331989,0.16791066314752356,0.43859559297561646,38,[ 3  0  8 15]
40,8655,8.178264645365958,0.16778818586872113,0.44492489099502563,39,[ 2  1 12 15]
41,767,8.202572823443688,0.16484849238876498,0.4517093300819397,40,[ 0  2 15 15]
42,13801,8.232627851650626,0.16324984458490732,0.45357948541641235,41,[ 3  5 14  9]
43,58889,8.30865116166077,0.15897698392341653,0.46512579917907715,42,[14  6  0  9]
44,49567,8.302162701615698,0.1588350119947486,0.4648451805114746,43,[12  1  9 15]
45,9702,8.307832924860074,0.15882013411653872,0.467440128326416,44,[ 2  5 14  6]
46,33197,8.39107640511547,0.15742505925074823,0.46494758129119873,45,[ 8  1 10 13]
47,63280,8.39193329407545,0.1574517702838989,0.4665737748146057,46,[15  7  3  0]
48,28307,8.520710231043802,0.1495052915484223,0.47060149908065796,47,[ 6 14  9  3]
49,28847,8.521120061096203,0.14937469106558154,0.46890997886657715,48,[ 7  0 10 15]
50,3652,8.653320641166037,0.1472435566272221,0.47741568088531494,49,[ 0 14  4  4]
51,433,8.653057210130475,0.14720208634172316,0.4775901734828949,50,[ 0  1 11  1]
52,28815,8.644569907800468,0.14780167355696383,0.47649282217025757,51,[ 7  0  8 15]
53,9441,8.634352273128119,0.14946173757145687,0.49189451336860657,52,[ 2  4 14  1]
54,28576,8.6437085438088,0.14898643114573673,0.4937538802623749,53,[ 6 15 10  0]
55,3453,8.65437104959428,0.14960918066601891,0.4880144000053406,54,[ 0 13  7 13]
56,11755,8.730081908469614,0.1480794364813265,0.4921177625656128,55,[ 2 13 14 11]
57,20086,8.74845123533813,0.14567122908046315,0.49683403968811035,56,[ 4 14  7  6]
58,16495,8.762194018018485,0.14523878223839404,0.4950864315032959,57,[ 4  0  6 15]
59,6464,8.757036988449997,0.14561342666613086,0.4920899271965027,58,[1 9 4 0]
60,53274,8.771885207313035,0.14495201570947813,0.4931904077529907,59,[13  0  1 10]
61,2813,8.786319408162626,0.14476332993166974,0.49442192912101746,60,[ 0 10 15 13]
62,3018,8.882369479048956,0.14166878033863695,0.5033425092697144,61,[ 0 11 12 10]
63,51978,8.86658719920068,0.14178216246898145,0.5025029182434082,62,[12 11  0 10]
64,3754,8.864108732090575,0.1417558047448586,0.5023223161697388,63,[ 0 14 10 10]
65,16244,8.943361725388758,0.13963876921622553,0.502319872379303,64,[ 3 15  7  4]
66,28304,9.038646840746184,0.13560063856959204,0.5061184167861938,65,[ 6 14  9  0]
67,39458,9.03938725715349,0.1356405510527452,0.5045188069343567,66,[ 9 10  2  2]
68,36970,9.07520200452088,0.13350105241343047,0.508996844291687,67,[ 9  0  6 10]
69,2866,9.082852570221714,0.13339571504588577,0.5083186626434326,68,[ 0 11  3  2]
70,16240,9.122356329082967,0.13200628290224614,0.5110143423080444,69,[ 3 15  7  0]
71,12098,9.145312104413826,0.1309978691696969,0.514013946056366,70,[ 2 15  4  2]
72,12537,9.165907230191236,0.13060481233762866,0.5130096077919006,71,[ 3  0 15  9]
73,4016,9.16814718276883,0.13162495651472905,0.5129290223121643,72,[ 0 15 11  0]
74,383,9.225144576827661,0.12966222516765513,0.5107821226119995,73,[ 0  1  7 15]
75,350,9.208108343521598,0.12930481700669066,0.5100325345993042,74,[ 0  1  5 14]
76,28684,9.208701983564778,0.1294895342506006,0.5101923942565918,75,[ 7  0  0 12]
77,28544,9.221805500468884,0.12892249835073455,0.5122932195663452,76,[ 6 15  8  0]
78,2401,9.242892276526655,0.1282317814488243,0.5187645554542542,77,[0 9 6 1]
79,4447,9.281144391684814,0.12769890091423575,0.5172978639602661,78,[ 1  1  5 15]
80,2774,9.280393109168322,0.1277177532627305,0.517966628074646,79,[ 0 10 13  6]
81,32416,9.280828807404477,0.12769170032149507,0.5179024934768677,80,[ 7 14 10  0]
82,36874,9.271447062441034,0.1276551730534905,0.5152674913406372,81,[ 9  0  0 10]
83,7728,9.25688751047889,0.1280179195325566,0.515226423740387,82,[ 1 14  3  0]
84,6384,9.413124472172747,0.12433144773080596,0.5237984657287598,83,[ 1  8 15  0]
85,2624,9.42406050937943,0.1242675728371907,0.5245630741119385,84,[ 0 10  4  0]
86,7139,9.426800599154143,0.12419450992481584,0.5243578553199768,85,[ 1 11 14  3]
87,4849,9.424678250252036,0.124441069086211,0.5243823528289795,86,[ 1  2 15  1]
88,28565,9.409483925660275,0.12396953675696626,0.5280466079711914,87,[ 6 15  9  5]
89,24434,9.42274742907905,0.12336461139209831,0.5273520946502686,88,[ 5 15  7  2]
90,7584,9.544277179223133,0.12047755775802799,0.535013735294342,89,[ 1 13 10  0]
91,3968,9.543741989202063,0.12073749241582732,0.5360062122344971,90,[ 0 15  8  0]
92,4413,9.562932737956562,0.11932423934444358,0.5375933051109314,91,[ 1  1  3 13]
93,2801,9.573586754993975,0.11908597519818542,0.5378159284591675,92,[ 0 10 15  1]
94,3152,9.582299627433349,0.11900560536629001,0.537338376045227,93,[ 0 12  5  0]
95,2174,9.60606849940714,0.11861000594550575,0.5401220917701721,94,[ 0  8  7 14]
96,623,9.60386257917815,0.11865328896350391,0.5401302576065063,95,[ 0  2  6 15]
97,12380,9.60555175218263,0.11867918099483354,0.5400092005729675,96,[ 3  0  5 12]
98,4159,9.638552052665577,0.11748364629200125,0.543998122215271,97,[ 1  0  3 15]
99,1448,9.661689650359671,0.11643118080269943,0.5423721075057983,98,[ 0  5 10  8]
100,8252,9.661534534048087,0.11634767545229378,0.5431260466575623,99,[ 2  0  3 12]
101,4159,9.715471111907723,0.11509147229722672,0.5446048974990845,100,[ 1  0  3 15]
102,415,9.71616544404531,0.11506989149389923,0.5445587038993835,100,[ 0  1  9 15]
103,19472,9.685033580781841,0.11620674968745615,0.5440346002578735,101,[ 4 12  1  0]
104,3909,9.712640316164805,0.11542267822097685,0.5452234745025635,102,[ 0 15  4  5]
105,31760,9.659561440400573,0.11724289963355627,0.54403156042099,103,[ 7 12  1  0]
106,20064,9.64599328998759,0.11783980524853277,0.54213947057724,104,[ 4 14  6  0]
107,28799,9.644490790235796,0.11788581484984206,0.5420911312103271,105,[ 7  0  7 15]
108,10471,9.763774731762675,0.11421862917494607,0.5641205310821533,106,[ 2  8 14  7]
109,25245,9.80395717373694,0.112687803755529,0.5671912431716919,107,[ 6  2  9 13]
110,15952,9.806903626493487,0.11274526408779828,0.5682771801948547,108,[ 3 14  5  0]
111,16479,9.884523725094102,0.11067973033255013,0.5736364722251892,109,[ 4  0  5 15]
112,35335,9.881602453377967,0.1106432826921835,0.5725618004798889,110,[ 8 10  0  7]
113,20606,9.859721824557202,0.11006524150109698,0.5743663311004639,111,[ 5  0  7 14]
114,3395,9.894747251827907,0.10952913952090881,0.5719254612922668,112,[ 0 13  4  3]
115,2972,9.905043205585212,0.10933911944055552,0.5725158452987671,113,[ 0 11  9 12]
116,2944,9.987256616605775,0.10752024508573221,0.5769079923629761,114,[ 0 11  8  0]
117,16671,10.008896910437908,0.10663951033031249,0.5784028768539429,115,[ 4  1  1 15]
118,15715,10.015467610833692,0.1062511745688477,0.5813078284263611,116,[ 3 13  6  3]
119,12096,10.019789830099748,0.10657070258129897,0.5810905694961548,117,[ 2 15  4  0]
120,2624,10.019300873307968,0.10654989939779114,0.5811682939529419,118,[ 0 10  4  0]
121,4706,10.021304068282157,0.10650076768511951,0.5812793970108032,118,[1 2 6 2]
122,78,10.010219126481555,0.10674040233860183,0.579868495464325,119,[ 0  0  4 14]
123,24528,10.100204255342115,0.10454963557221131,0.5772095918655396,120,[ 5 15 13  0]
124,7520,10.197894246970572,0.10030850846663775,0.5788949728012085,121,[ 1 13  6  0]
125,12396,10.215122380078407,0.0998606105356844,0.5784190893173218,122,[ 3  0  6 12]
126,20702,10.222168558849912,0.09981007698762134,0.5779610276222229,123,[ 5  0 13 14]
127,20830,10.276277543645511,0.09851360808334242,0.5795142650604248,124,[ 5  1  5 14]
128,1935,10.287456867322916,0.0982370034668425,0.5792176127433777,125,[ 0  7  8 15]
129,12006,10.29957505509982,0.09802111195571805,0.5793229341506958,126,[ 2 14 14  6]
130,6578,10.338163082612759,0.0980742963737018,0.5830352306365967,127,[ 1  9 11  2]
131,3560,10.382628837090348,0.0976431615784557,0.586616039276123,128,[ 0 13 14  8]
