step,action,psnr_value,mse_value,ssim_value,rank,action
1,0,5.2538474437864116,0.3263671611601458,0.04584084451198578,1,[0 0 0 0]
2,0,5.324042001318203,0.3245917598889502,0.04738040268421173,2,[0 0 0 0]
3,0,5.319227919647348,0.3254235332419969,0.047401588410139084,2,[0 0 0 0]
4,0,5.317094488714506,0.3257926054919371,0.04758656397461891,2,[0 0 0 0]
5,0,5.314368560523286,0.3261615002644374,0.04753541946411133,2,[0 0 0 0]
6,0,5.3163705380330235,0.32597136865096504,0.047482945024967194,2,[0 0 0 0]
7,0,5.3148577701546476,0.32610189158842906,0.04722461849451065,2,[0 0 0 0]
8,0,5.312901128164679,0.32628373304269764,0.04704641178250313,2,[0 0 0 0]
9,0,5.315864771162973,0.3259598085215646,0.0471203587949276,2,[0 0 0 0]
10,0,5.31336974745941,0.32621314779194965,0.04699869826436043,2,[0 0 0 0]
11,0,5.315271584097241,0.3259986192879907,0.047012247145175934,2,[0 0 0 0]
12,0,5.312320968358852,0.32630849299303194,0.0468718446791172,2,[0 0 0 0]
13,0,5.3125798855128314,0.32627327048264154,0.04689019173383713,2,[0 0 0 0]
14,0,5.312741278888521,0.3262460242788801,0.04688796028494835,2,[0 0 0 0]
15,0,5.314012990922292,0.32609858675749226,0.04691792279481888,2,[0 0 0 0]
16,0,5.313019520922486,0.32619869096887477,0.046841345727443695,2,[0 0 0 0]
17,0,5.312450273597622,0.326260163859351,0.04683161526918411,2,[0 0 0 0]
18,0,5.313075895736249,0.3261857881661544,0.046793434768915176,2,[0 0 0 0]
19,0,5.312558623643073,0.3262401773528185,0.046777479350566864,2,[0 0 0 0]
20,0,5.312369205098285,0.32625710663886454,0.0467490628361702,2,[0 0 0 0]
21,0,5.31238580015229,0.3262527627815576,0.04671376198530197,2,[0 0 0 0]
22,0,5.311814436174266,0.3263106304877027,0.046678368002176285,2,[0 0 0 0]
23,0,5.313569419583704,0.3261033844864038,0.04672419652342796,2,[0 0 0 0]
24,0,5.3107149494346935,0.3264293448412404,0.04665878042578697,2,[0 0 0 0]
25,0,5.312282523596458,0.32624484625791317,0.046677328646183014,2,[0 0 0 0]
26,0,5.311124899987326,0.3263720057574879,0.04663560539484024,2,[0 0 0 0]
27,0,5.311170924291552,0.3263682794935343,0.04667722433805466,2,[0 0 0 0]
28,0,5.310988830343551,0.3263868829724849,0.04664597287774086,2,[0 0 0 0]
29,0,5.311120784706306,0.3263727169324405,0.0466705784201622,2,[0 0 0 0]
30,0,5.309846718659246,0.3265158843225428,0.04664590582251549,2,[0 0 0 0]
31,0,5.310381130166726,0.32645505326536556,0.0466638021171093,2,[0 0 0 0]
32,0,5.3096990545146046,0.32652940656103224,0.046639956533908844,2,[0 0 0 0]
33,0,5.309390465387133,0.32656115431474503,0.04660606384277344,2,[0 0 0 0]
34,0,5.309456316208864,0.3265513694394939,0.04656648635864258,2,[0 0 0 0]
35,0,5.308488314656175,0.3266601626877492,0.046543508768081665,2,[0 0 0 0]
36,0,5.308076856116568,0.3267060484809605,0.0465318039059639,2,[0 0 0 0]
37,0,5.309216675278211,0.3265826328409829,0.04658302664756775,2,[0 0 0 0]
38,0,5.309032815575819,0.32660612949678924,0.046579509973526,2,[0 0 0 0]
39,0,5.309179806173908,0.32658837560425324,0.04656357318162918,2,[0 0 0 0]
40,0,5.308639090462206,0.32665056182992946,0.04656796157360077,2,[0 0 0 0]
41,0,5.309012130375241,0.3266087181433518,0.046557702124118805,2,[0 0 0 0]
42,0,5.308761146181251,0.3266369343801687,0.046569038182497025,2,[0 0 0 0]
43,0,5.309121174834893,0.3265976107518985,0.04656992480158806,2,[0 0 0 0]
44,0,5.3088125236035255,0.3266293292225524,0.04654904454946518,2,[0 0 0 0]
45,0,5.308610821555304,0.3266528749728702,0.04654277116060257,2,[0 0 0 0]
46,0,5.309238560665882,0.32658736148595313,0.046572718769311905,2,[0 0 0 0]
47,0,5.309525228234373,0.32656014074604556,0.04661045968532562,2,[0 0 0 0]
48,0,5.309762656044255,0.3265383047750645,0.04662922024726868,2,[0 0 0 0]
49,0,5.310196863538086,0.3264916857045415,0.04663518816232681,2,[0 0 0 0]
50,0,5.308437474557985,0.3266805277267504,0.046605050563812256,2,[0 0 0 0]
51,0,5.306286611990183,0.32690794312977356,0.04650479927659035,2,[0 0 0 0]
52,0,5.30572159903854,0.3269674872531907,0.04647962749004364,2,[0 0 0 0]
53,0,5.305182235489603,0.3270245885126653,0.04645431414246559,2,[0 0 0 0]
54,0,5.303764543577771,0.32717234109046217,0.046373412013053894,2,[0 0 0 0]
55,0,5.300670234987946,0.32749613056070626,0.04619334638118744,2,[0 0 0 0]
56,0,5.300335695573927,0.3275312738551891,0.0461709126830101,2,[0 0 0 0]
57,0,5.300016595821599,0.32756371037960175,0.046155594289302826,2,[0 0 0 0]
58,0,5.299720438169427,0.3275948236702857,0.046140946447849274,2,[0 0 0 0]
59,0,5.299443346224755,0.32762265800411455,0.04612692445516586,2,[0 0 0 0]
60,0,5.299177298242952,0.32765001746200123,0.04611552134156227,2,[0 0 0 0]
61,0,5.298905461198993,0.3276795130566467,0.046103961765766144,2,[0 0 0 0]
62,0,5.298661945798764,0.32770320270646086,0.04608955979347229,2,[0 0 0 0]
63,0,5.298432318907928,0.3277271914915386,0.046080201864242554,2,[0 0 0 0]
64,0,5.298200583733912,0.3277518255757092,0.04607097804546356,2,[0 0 0 0]
65,0,5.297612609183582,0.3278131340224686,0.046054430305957794,2,[0 0 0 0]
66,0,5.2973125153594,0.3278423932437233,0.04603947326540947,2,[0 0 0 0]
67,0,5.293698973818996,0.32820895855637233,0.04594958573579788,2,[0 0 0 0]
68,0,5.293518780429882,0.3282263036874702,0.0459468849003315,2,[0 0 0 0]
69,0,5.293254690843494,0.3282524399647405,0.04594479501247406,2,[0 0 0 0]
70,0,5.293109364396611,0.32826710703632495,0.045943669974803925,2,[0 0 0 0]
71,0,5.2929494708091065,0.32828255480572843,0.045940399169921875,2,[0 0 0 0]
72,0,5.292802915516408,0.3282967192462486,0.04593782499432564,2,[0 0 0 0]
73,0,5.292670801732045,0.32830854228208795,0.04593651369214058,2,[0 0 0 0]
74,0,5.292550972126538,0.32831815699600464,0.045936133712530136,2,[0 0 0 0]
75,0,5.292417937699572,0.32833065816605583,0.04593535512685776,2,[0 0 0 0]
76,0,5.292303552758387,0.3283399033154826,0.045933715999126434,2,[0 0 0 0]
77,0,5.292178559576163,0.32835215431490916,0.04593321681022644,2,[0 0 0 0]
78,0,5.292062632817506,0.32836242643199176,0.04593246430158615,2,[0 0 0 0]
79,0,5.2919423298137005,0.32837182145987276,0.0459318533539772,2,[0 0 0 0]
80,0,5.287388858605229,0.3287742740583391,0.04604140296578407,2,[0 0 0 0]
81,0,5.28725667078223,0.3287857768497257,0.04604453593492508,2,[0 0 0 0]
82,0,5.287465805837309,0.3287659811291766,0.046032361686229706,2,[0 0 0 0]
83,0,5.287002801926974,0.3288093335829688,0.046049222350120544,2,[0 0 0 0]
84,0,5.287120968565562,0.32879787742760747,0.04604129493236542,2,[0 0 0 0]
85,0,5.2867781849750095,0.3288301767889166,0.04605469852685928,2,[0 0 0 0]
86,0,5.286658850927718,0.3288398947681805,0.046059176325798035,2,[0 0 0 0]
87,0,5.288133763378566,0.32870079534327523,0.04600033164024353,2,[0 0 0 0]
88,0,5.286458442316237,0.32885644258339924,0.04606413096189499,2,[0 0 0 0]
89,0,5.286357775930631,0.328865095804664,0.046067386865615845,2,[0 0 0 0]
90,0,5.28626273468749,0.32887321703058475,0.046070411801338196,2,[0 0 0 0]
91,0,5.286171364624295,0.3288806923126612,0.04607259854674339,2,[0 0 0 0]
92,0,5.286079430336662,0.32888878538052013,0.04607550799846649,2,[0 0 0 0]
93,0,5.28599349102612,0.32889581225568754,0.04607798159122467,2,[0 0 0 0]
94,0,5.2859105759947935,0.3289025049240771,0.04608073830604553,2,[0 0 0 0]
95,0,5.285731296620861,0.32891650027141195,0.04608530551195145,2,[0 0 0 0]
96,0,5.285746415908548,0.328916066819152,0.04608635976910591,2,[0 0 0 0]
97,0,5.285668606329038,0.3289227443023418,0.04608865827322006,2,[0 0 0 0]
98,0,5.28559480161311,0.32892847123415936,0.04609131067991257,2,[0 0 0 0]
99,0,5.285515850894424,0.3289358107002224,0.046093374490737915,2,[0 0 0 0]
100,0,5.285442999709956,0.32894183782527886,0.04609554260969162,2,[0 0 0 0]
101,0,5.284914137703915,0.32898136752640816,0.04611419886350632,2,[0 0 0 0]
102,0,5.2812852134111345,0.32925067025198596,0.04629333317279816,2,[0 0 0 0]
103,0,5.285209222897398,0.3289613615642908,0.04610466957092285,2,[0 0 0 0]
104,0,5.285166801947453,0.32896521240266874,0.04610549286007881,2,[0 0 0 0]
105,0,5.285100984558725,0.32897067510759864,0.04610810428857803,2,[0 0 0 0]
106,0,5.281000048329839,0.3292687432106062,0.046311188489198685,2,[0 0 0 0]
107,0,5.284983065093827,0.3289793900927507,0.046111948788166046,2,[0 0 0 0]
108,0,5.284580745449594,0.3290082349360943,0.04613538831472397,2,[0 0 0 0]
109,0,5.284865534216542,0.3289889193914869,0.046117305755615234,2,[0 0 0 0]
110,0,5.280974886974565,0.32926741447346486,0.046320557594299316,2,[0 0 0 0]
111,0,5.280889049767809,0.3292733263087473,0.046325840055942535,2,[0 0 0 0]
