step,action,psnr_value,mse_value,ssim_value,rank,action
1,3505,5.125320770753397,0.30726357576310104,0.07443931698799133,1,[ 0 13 11  1]
2,4055,5.558878541880246,0.27807220480228534,0.0896456241607666,2,[ 0 15 13  7]
3,48401,5.630992076442032,0.2735005228456576,0.06869661062955856,3,[11 13  1  1]
4,15346,5.677246182535962,0.27060656809796035,0.057839490473270416,4,[ 3 11 15  2]
5,57867,5.699764973568291,0.26920900896658595,0.048681460320949554,5,[14  2  0 11]
6,45328,5.7452021005285046,0.26640920625110676,0.045919500291347504,6,[11  1  1  0]
7,5296,5.909485192468099,0.25652787688182777,0.05915903300046921,7,[ 1  4 11  0]
8,52303,5.8989827288974155,0.257151079928267,0.06000775843858719,8,[12 12  4 15]
9,40930,6.026104969479615,0.2497421512416622,0.08061888813972473,9,[ 9 15 14  2]
10,4191,6.018908013327751,0.25015294395263865,0.1024840772151947,10,[ 1  0  5 15]
11,10997,6.0266438570606145,0.24970586233780523,0.12261383980512619,11,[ 2 10 15  5]
12,32767,6.235928592219141,0.23844968675738087,0.12268157303333282,12,[ 7 15 15 15]
13,6368,6.5691754101190005,0.22184150149066273,0.15009453892707825,13,[ 1  8 14  0]
14,20652,6.835421178565043,0.20809250298095217,0.16261157393455505,14,[ 5  0 10 12]
15,8542,6.83148969573741,0.20824030704162277,0.15984296798706055,15,[ 2  1  5 14]
16,8269,6.877031587300506,0.20598005921511997,0.17290008068084717,16,[ 2  0  4 13]
17,58371,6.8497204663468985,0.20737559007342588,0.16967171430587769,17,[14  4  0  3]
18,4314,6.85810486178942,0.2070137510069996,0.16977493464946747,18,[ 1  0 13 10]
19,7407,6.873157083510484,0.20641253434090867,0.16572745144367218,19,[ 1 12 14 15]
20,12536,7.090586418369805,0.1971426192166042,0.16663426160812378,20,[ 3  0 15  8]
21,28863,7.1032538050082685,0.19722993850734305,0.16703614592552185,21,[ 7  0 11 15]
22,21439,7.073752256077258,0.1989320403562651,0.17125137150287628,22,[ 5  3 11 15]
23,28577,7.0514638182451925,0.1995385537034764,0.16472798585891724,23,[ 6 15 10  1]
24,7552,7.049122048193844,0.19960821106571824,0.16203013062477112,24,[ 1 13  8  0]
25,2240,7.043732991025178,0.1998739980678046,0.1606673151254654,25,[ 0  8 12  0]
26,8831,7.045154091827691,0.19981009770355485,0.16063225269317627,26,[ 2  2  7 15]
27,5023,7.032209100381661,0.20034198552065163,0.15812477469444275,27,[ 1  3  9 15]
28,5471,7.0961909728567925,0.19754072197397493,0.1792629212141037,28,[ 1  5  5 15]
