step,action,psnr_value,mse_value,ssim_value,rank,action
1,0,4.6518398516634925,0.34291816325366353,0.04010346531867981,1,[0 0 0 0]
2,0,4.696397638792785,0.3394179910696873,0.04178214818239212,2,[0 0 0 0]
3,0,4.696432743751993,0.33941524986234795,0.041823290288448334,2,[0 0 0 0]
4,0,4.69643415068831,0.339415140000376,0.041827671229839325,2,[0 0 0 0]
5,0,4.696433154545209,0.3394152177841856,0.04182443022727966,2,[0 0 0 0]
6,0,4.696432674663993,0.3394152552574705,0.04182310402393341,2,[0 0 0 0]
7,0,4.69643107312481,0.3394153803127362,0.04181931912899017,2,[0 0 0 0]
8,0,4.696431792381913,0.3394153241506994,0.04182092100381851,2,[0 0 0 0]
9,0,4.69643125160882,0.33941536637725944,0.04181970655918121,2,[0 0 0 0]
10,0,4.696432293943124,0.3394152849849017,0.041822127997875214,2,[0 0 0 0]
11,0,4.69643301983676,0.3394152283018239,0.04182405024766922,2,[0 0 0 0]
12,0,4.696434509892483,0.3394151119516873,0.041829101741313934,2,[0 0 0 0]
13,0,4.696434083189992,0.3394151452710257,0.041827425360679626,2,[0 0 0 0]
14,0,4.696434461966945,0.339415115695068,0.04182890057563782,2,[0 0 0 0]
15,0,4.6964348144922585,0.33941508816710053,0.041830502450466156,2,[0 0 0 0]
16,0,4.696435145973275,0.33941506228320817,0.04183235764503479,2,[0 0 0 0]
17,0,4.6964351314952175,0.3394150634137705,0.04183226823806763,2,[0 0 0 0]
18,0,4.696435201143147,0.339415057974914,0.04183272272348404,2,[0 0 0 0]
19,0,4.6964352981513695,0.33941505040077535,0.04183342307806015,2,[0 0 0 0]
20,0,4.696435332916022,0.3394150476859781,0.041833698749542236,2,[0 0 0 0]
21,0,4.696435465924008,0.33941503729958233,0.04183492437005043,2,[0 0 0 0]
22,0,4.696435529452683,0.33941503233917336,0.04183567315340042,2,[0 0 0 0]
23,0,4.696435520007117,0.3394150330767558,0.04183555394411087,2,[0 0 0 0]
24,0,4.696435597837597,0.33941502699916404,0.041836775839328766,2,[0 0 0 0]
25,0,4.696435641449646,0.339415023594001,0.04183812439441681,2,[0 0 0 0]
26,0,4.696435587629278,0.3394150277965342,0.04183657467365265,2,[0 0 0 0]
27,0,4.696435508917095,0.3394150339423576,0.04183541238307953,2,[0 0 0 0]
28,0,4.696435547127164,0.3394150309589814,0.04183591902256012,2,[0 0 0 0]
29,0,4.69643560418363,0.3394150265038036,0.04183690994977951,2,[0 0 0 0]
30,0,4.696435639808754,0.3394150237221105,0.04183802753686905,2,[0 0 0 0]
31,0,4.696435644003274,0.3394150233946105,0.04183831065893173,2,[0 0 0 0]
32,0,4.696435642851016,0.33941502348458574,0.04183822125196457,2,[0 0 0 0]
33,0,4.696435635401794,0.3394150240662551,0.041837818920612335,2,[0 0 0 0]
34,0,4.696435642919567,0.33941502347912733,0.04183822497725487,2,[0 0 0 0]
35,0,4.696435645465023,0.33941502328040013,0.04183846712112427,2,[0 0 0 0]
36,0,4.696435616373788,0.3394150255520949,0.04183720052242279,2,[0 0 0 0]
37,0,4.696435606879349,0.33941502629329,0.041836969554424286,2,[0 0 0 0]
38,0,4.6964356241223815,0.3394150249470407,0.0418374165892601,2,[0 0 0 0]
39,0,4.696435611530707,0.33941502592991,0.04183708131313324,2,[0 0 0 0]
40,0,4.696435641811993,0.33941502356567144,0.0418381467461586,2,[0 0 0 0]
41,0,4.6964356414323385,0.3394150235953473,0.04183812439441681,2,[0 0 0 0]
42,0,4.696435635814373,0.3394150240339471,0.04183783382177353,2,[0 0 0 0]
43,0,4.696435639929565,0.3394150237127138,0.041838034987449646,2,[0 0 0 0]
44,0,4.696435624446292,0.3394150249215363,0.041837427765131,2,[0 0 0 0]
45,0,4.696435638364632,0.3394150238347895,0.04183795303106308,2,[0 0 0 0]
46,0,4.696435639797717,0.33941502372296894,0.04183802753686905,2,[0 0 0 0]
47,0,4.696435646401017,0.3394150232073695,0.041838645935058594,2,[0 0 0 0]
48,0,4.696435646455414,0.33941502320311256,0.041838664561510086,2,[0 0 0 0]
49,0,4.696435646494442,0.3394150232000781,0.0418388694524765,2,[0 0 0 0]
50,0,4.696435643243538,0.3394150234539308,0.04183825105428696,2,[0 0 0 0]
51,0,4.696435641524318,0.33941502358804465,0.041838131844997406,2,[0 0 0 0]
52,0,4.696435644776087,0.33941502333421175,0.0418383851647377,2,[0 0 0 0]
53,0,4.696435645285991,0.33941502329439427,0.04183844476938248,2,[0 0 0 0]
54,0,4.696435644824957,0.33941502333041107,0.0418383926153183,2,[0 0 0 0]
55,0,4.696435637268689,0.33941502392041745,0.0418379008769989,2,[0 0 0 0]
56,0,4.696435629582668,0.33941502452058714,0.04183759540319443,2,[0 0 0 0]
57,0,4.696435638951475,0.33941502378896304,0.04183798283338547,2,[0 0 0 0]
58,0,4.6964356355007295,0.33941502405834045,0.041837818920612335,2,[0 0 0 0]
59,0,4.696435615723431,0.33941502560267955,0.0418371856212616,2,[0 0 0 0]
60,0,4.696435614228798,0.33941502571929805,0.041837144643068314,2,[0 0 0 0]
61,0,4.696435588296911,0.33941502774410237,0.04183658957481384,2,[0 0 0 0]
62,0,4.696435590397642,0.33941502758021347,0.04183662682771683,2,[0 0 0 0]
63,0,4.696435603796843,0.33941502653388733,0.041836902499198914,2,[0 0 0 0]
64,0,4.696435611027625,0.33941502596942974,0.041837066411972046,2,[0 0 0 0]
65,0,4.696435603713733,0.3394150265403515,0.041836898773908615,2,[0 0 0 0]
66,0,4.696435614214348,0.33941502572042204,0.041837144643068314,2,[0 0 0 0]
67,0,4.696435629203426,0.33941502455008354,0.041837580502033234,2,[0 0 0 0]
68,0,4.696435613082194,0.3394150258088553,0.041837118566036224,2,[0 0 0 0]
69,0,4.696435605940245,0.33941502636675036,0.041836947202682495,2,[0 0 0 0]
70,0,4.696435617136812,0.33941502549238733,0.04183722287416458,2,[0 0 0 0]
71,0,4.696435609584494,0.33941502608207186,0.04183703288435936,2,[0 0 0 0]
72,0,4.696435624787623,0.3394150248949883,0.04183743894100189,2,[0 0 0 0]
73,0,4.696435594177489,0.3394150272852485,0.0418367013335228,2,[0 0 0 0]
74,0,4.696435606327947,0.3394150263361768,0.04183695465326309,2,[0 0 0 0]
75,0,4.696435613740533,0.3394150257576505,0.04183713346719742,2,[0 0 0 0]
76,0,4.696435601308324,0.33941502672831425,0.04183684661984444,2,[0 0 0 0]
77,0,4.696435616299279,0.33941502555789027,0.04183720052242279,2,[0 0 0 0]
78,0,4.69643561717815,0.33941502548917213,0.04183722287416458,2,[0 0 0 0]
79,0,4.6964356141806185,0.33941502572304527,0.041837144643068314,2,[0 0 0 0]
