step,action,psnr_value,mse_value,ssim_value,rank,action
1,15899,5.552411587315622,0.27863197811925783,0.04364781826734543,1,[ 1  0 10 24]
2,41049,6.138951538735831,0.2435908734717348,0.04369392991065979,2,[ 2 15 16 24]
3,3103,6.2182025898273725,0.23922845760912168,0.04091579094529152,3,[ 0  4 24  3]
4,35301,6.902601362934179,0.20434672888995264,0.04694618657231331,4,[ 2  6 12  1]
5,108325,6.924780509117463,0.2033595729139706,0.050701435655355453,5,[ 6 23  8  0]
6,63025,7.148365704436907,0.19319549568076108,0.06706231087446213,6,[ 4  0 21  0]
7,1229,7.082009742970604,0.1962643104253178,0.0685395896434784,7,[ 0  1 24  4]
8,64299,7.216887948799206,0.19015246915437312,0.06686712056398392,8,[ 4  2 21 24]
9,31126,7.735142614570582,0.1689072523922827,0.07420908659696579,9,[ 1 24 20  1]
10,276963,8.037716579773113,0.15764518351607548,0.06711270660161972,10,[17 18  3 13]
11,93999,8.123239884663828,0.15473695816741675,0.06338273733854294,11,[ 6  0  9 24]
12,62484,8.141369942939786,0.1540218881341771,0.06131758540868759,12,[ 3 24 24  9]
13,17799,8.342970008392237,0.14700002985987282,0.05506772920489311,13,[ 1  3 11 24]
14,92800,8.359789171404152,0.14647318491467376,0.05246920511126518,14,[ 5 23 12  0]
15,77303,8.352855210634473,0.1467448090633352,0.051639631390571594,15,[ 4 23 17  3]
16,280681,8.375467228220614,0.14599732929196174,0.05456940829753876,16,[17 24  2  6]
17,31698,8.383370281484217,0.14562077284278022,0.05162976682186127,17,[ 2  0 17 23]
18,44318,8.382875973334857,0.1456348841866553,0.05154985934495926,18,[ 2 20 22 18]
19,14920,8.511649862906106,0.14162402457683348,0.06291867047548294,19,[ 0 23 21 20]
20,19900,8.528037729892588,0.14097787238468026,0.06961581856012344,20,[ 1  6 21  0]
21,171781,8.57580709826258,0.1395935635154558,0.07049380242824554,21,[10 24 21  6]
22,125610,8.647516314743374,0.13765227001485,0.07156471908092499,22,[ 8  0 24 10]
23,16774,8.78924501415042,0.13360286973805852,0.074664406478405,23,[ 1  1 20 24]
24,51243,8.788912913529837,0.1335847329672619,0.06995712220668793,24,[ 3  6 24 18]
25,327725,8.948099947479587,0.12884299342429295,0.06641684472560883,25,[20 24  9  0]
26,14700,8.95737001009339,0.12860375115868375,0.06417602300643921,26,[ 0 23 13  0]
27,187446,8.989815403673198,0.12779441645493061,0.06411919742822647,27,[11 24 22 21]
28,233829,9.039570720335242,0.1261467477423716,0.06710013747215271,28,[14 24  3  4]
29,60851,9.10760351896766,0.12428685851856462,0.07881757616996765,29,[ 3 22  9  1]
30,102915,9.118806326184808,0.12374622059716112,0.08573658019304276,30,[ 6 14 16 15]
31,157224,9.112591182670833,0.1239511414472454,0.08525726944208145,31,[10  1 13 24]
32,22490,9.307839310577158,0.1188701483177365,0.12902989983558655,32,[ 1 10 24 15]
33,15432,9.30260300052013,0.11903925661866087,0.13095158338546753,33,[ 0 24 17  7]
34,14774,9.308214837400282,0.11897289505323133,0.13197126984596252,34,[ 0 23 15 24]
35,1748,9.418611390841287,0.11650449822610266,0.12976273894309998,35,[ 0  2 19 23]
36,31866,9.424189003844186,0.11630047356244325,0.1307959109544754,36,[ 2  0 24 16]
37,18692,9.545499700305676,0.11293448716989107,0.13506843149662018,37,[ 1  4 22 17]
38,250297,9.57704850249942,0.11187818241666068,0.14010950922966003,38,[16  0 11 22]
39,109623,9.591800588474317,0.11156115195823804,0.1434209942817688,39,[ 7  0  9 23]
40,45150,9.592396677766205,0.11144640044055595,0.1472349911928177,40,[ 2 22  6  0]
41,46426,9.706550007397185,0.10837581286541642,0.14461031556129456,41,[ 2 24  7  1]
42,15896,9.710465277669961,0.10827704736127412,0.1456533521413803,42,[ 1  0 10 21]
43,265177,9.711034823606843,0.10825666561251564,0.14569686353206635,43,[16 24  7  2]
44,155450,9.714647118260029,0.10821438844591862,0.1441832184791565,44,[ 9 23 18  0]
45,322523,9.738140690998534,0.10749974822613949,0.1474694460630417,45,[20 16  0 23]
46,62748,9.746487649199473,0.10728592470988552,0.14773358404636383,46,[ 4  0  9 23]
47,1704,9.74426410265151,0.10750091263762551,0.14881300926208496,47,[ 0  2 18  4]
48,41819,9.746088060969555,0.10744723058579567,0.1487589180469513,48,[ 2 16 22 19]
49,156003,9.786942717658771,0.10646055360343162,0.15194976329803467,49,[ 9 24 15  3]
50,11638,9.785669498037214,0.10653793185198447,0.15141263604164124,50,[ 0 18 15 13]
51,104264,9.797953902086876,0.10646910323687582,0.15369588136672974,51,[ 6 16 20 14]
52,899,9.798238547461215,0.10646553394592079,0.15373581647872925,52,[ 0  1 10 24]
53,69858,9.786553079228643,0.10676008131974704,0.15231138467788696,53,[ 4 11 19  8]
54,44267,9.846408923181443,0.10522983291660348,0.15103638172149658,54,[ 2 20 20 17]
55,187898,9.846442906689665,0.10522885175554411,0.15103048086166382,55,[12  0 15 23]
56,171804,9.846763388992093,0.1052115122508016,0.1511111855506897,56,[10 24 22  4]
57,78649,9.886200550971518,0.10424812370752588,0.1532130390405655,57,[ 5  0 20 24]
58,47799,9.888001946013798,0.10419469486578005,0.15354356169700623,58,[ 3  1 11 24]
59,352807,9.886960277451177,0.1042257115117318,0.1535741686820984,59,[22 14 12  7]
60,264882,9.873545813477564,0.10462472010848083,0.1533574014902115,60,[16 23 20  7]
61,46743,9.873261990424762,0.10466581005760192,0.15351222455501556,61,[ 2 24 19 18]
62,63079,9.873855548865818,0.10464958267663403,0.15294283628463745,62,[ 4  0 23  4]
63,187307,9.890491499355743,0.10446552516196297,0.15414893627166748,63,[11 24 17  7]
64,78027,9.899682263001864,0.1043008072216122,0.15430454909801483,64,[ 4 24 21  2]
65,37962,9.903467150103216,0.10419026137354413,0.15536031126976013,65,[ 2 10 18 12]
66,774,9.945983145445814,0.10316024782280374,0.1569313108921051,66,[ 0  1  5 24]
67,141674,9.987687747938454,0.10216229680009331,0.1578490436077118,67,[ 9  1 16 24]
68,8101,10.016554000123204,0.10104044487430074,0.17019599676132202,68,[ 0 12 24  1]
69,188498,10.123646639838164,0.09862684385265139,0.1760382503271103,69,[12  1 14 23]
70,187891,10.14599906861195,0.09824803092483644,0.1830538511276245,70,[12  0 15 16]
