step,action,psnr_value,mse_value,ssim_value,rank,action
1,0,5.330848750254628,0.2932212891444564,0.05909741297364235,1,[0 0 0 0]
2,0,5.332987894902831,0.2930769899353385,0.05925677344202995,2,[0 0 0 0]
3,0,5.333396667901366,0.2930494236424565,0.059307508170604706,2,[0 0 0 0]
4,0,5.333536929498447,0.2930399654626846,0.05933113023638725,2,[0 0 0 0]
5,0,5.333607067441327,0.2930352359943092,0.05934591218829155,2,[0 0 0 0]
6,0,5.333642289916169,0.2930328609462827,0.059354811906814575,2,[0 0 0 0]
7,0,5.333666666297557,0.29303121726177633,0.05936195328831673,2,[0 0 0 0]
8,0,5.333681390618297,0.29303022440969945,0.05936690419912338,2,[0 0 0 0]
9,0,5.33369232922654,0.29302948683444413,0.05937103182077408,2,[0 0 0 0]
10,0,5.333698557640806,0.2930290668575093,0.059373628348112106,2,[0 0 0 0]
11,0,5.33370379362513,0.2930287138029933,0.05937599018216133,2,[0 0 0 0]
12,0,5.333711267121361,0.2930282098759897,0.05937977880239487,2,[0 0 0 0]
13,0,5.333713685821734,0.29302804678576067,0.059381142258644104,2,[0 0 0 0]
14,0,5.33371657725338,0.2930278518181294,0.059382885694503784,2,[0 0 0 0]
15,0,5.333718679632065,0.29302771006058903,0.05938426032662392,2,[0 0 0 0]
16,0,5.333720078219936,0.293027615756914,0.05938524380326271,2,[0 0 0 0]
17,0,5.333721878706865,0.29302749434937725,0.05938657745718956,2,[0 0 0 0]
18,0,5.333724351291948,0.2930273276277818,0.059388626366853714,2,[0 0 0 0]
19,0,5.333725033227809,0.2930272816465702,0.05938924849033356,2,[0 0 0 0]
20,0,5.333725632252252,0.2930272412548773,0.05938981845974922,2,[0 0 0 0]
21,0,5.333726531734971,0.2930271806059638,0.05939073488116264,2,[0 0 0 0]
22,0,5.3337272712908135,0.2930271307379007,0.05939153581857681,2,[0 0 0 0]
23,0,5.333727531352306,0.29302711320284286,0.05939184129238129,2,[0 0 0 0]
