step,action,psnr_value,mse_value,ssim_value,rank,action
1,0,7.295924610396689,0.18654201319942332,0.20815087854862213,1,[0 0 0 0]
2,0,7.3217657351852194,0.1854350988222108,0.2082315981388092,2,[0 0 0 0]
3,0,7.3263731702323,0.18523864161500786,0.20827710628509521,2,[0 0 0 0]
4,0,7.328021817160114,0.18516839531192636,0.20830076932907104,2,[0 0 0 0]
5,0,7.328758201153099,0.18513702775368546,0.20831429958343506,2,[0 0 0 0]
6,0,7.329179948060602,0.185119065080379,0.20832368731498718,2,[0 0 0 0]
7,0,7.329405209862187,0.1851094716382966,0.20832954347133636,2,[0 0 0 0]
8,0,7.329567817763699,0.1851025468168602,0.20833435654640198,2,[0 0 0 0]
9,0,7.329664387789682,0.18509843441823579,0.20833753049373627,2,[0 0 0 0]
10,0,7.329753683981575,0.1850946318430648,0.20834079384803772,2,[0 0 0 0]
11,0,7.32981260653526,0.1850921227333889,0.20834317803382874,2,[0 0 0 0]
12,0,7.32986972340126,0.18508969055244778,0.20834574103355408,2,[0 0 0 0]
13,0,7.329905618799769,0.18508816205466247,0.20834749937057495,2,[0 0 0 0]
14,0,7.329928778572424,0.18508717586452222,0.20834870636463165,2,[0 0 0 0]
15,0,7.329950679541934,0.18508624329285775,0.20834997296333313,2,[0 0 0 0]
16,0,7.329965924537079,0.18508559414202427,0.20835088193416595,2,[0 0 0 0]
17,0,7.329978882926429,0.1850850423535154,0.20835168659687042,2,[0 0 0 0]
18,0,7.329993212186547,0.18508443219529544,0.20835265517234802,2,[0 0 0 0]
19,0,7.330001905175672,0.1850840620441184,0.20835329592227936,2,[0 0 0 0]
20,0,7.330012771738545,0.18508359933661378,0.20835408568382263,2,[0 0 0 0]
21,0,7.330022494881813,0.18508318531753576,0.2083548754453659,2,[0 0 0 0]
22,0,7.3300286486349355,0.1850829232856453,0.2083553820848465,2,[0 0 0 0]
23,0,7.3300351459458195,0.18508264662621624,0.20835596323013306,2,[0 0 0 0]
24,0,7.330040230121234,0.18508243013879364,0.20835644006729126,2,[0 0 0 0]
25,0,7.330045015387253,0.18508222637584512,0.20835691690444946,2,[0 0 0 0]
26,0,7.330048817693436,0.18508206447212106,0.2083572894334793,2,[0 0 0 0]
27,0,7.330051907476648,0.18508193290921007,0.20835761725902557,2,[0 0 0 0]
28,0,7.330055685915259,0.18508177202016196,0.208358034491539,2,[0 0 0 0]
29,0,7.330058647696206,0.1850816459074438,0.20835837721824646,2,[0 0 0 0]
30,0,7.330062277857358,0.18508149133276275,0.20835882425308228,2,[0 0 0 0]
31,0,7.330063592581063,0.1850814353535705,0.2083589732646942,2,[0 0 0 0]
32,0,7.330064068943076,0.1850814150713206,0.20835904777050018,2,[0 0 0 0]
33,0,7.330064571707245,0.18508139365946955,0.20835910737514496,2,[0 0 0 0]
34,0,7.330066022343989,0.1850813318944358,0.20835930109024048,2,[0 0 0 0]
35,0,7.330067116106215,0.18508128532104273,0.20835945010185242,2,[0 0 0 0]
36,0,7.3300689403393235,0.1850812076464117,0.2083597034215927,2,[0 0 0 0]
37,0,7.330070863771358,0.1850811257442281,0.2083599865436554,2,[0 0 0 0]
38,0,7.330071992399658,0.18508107768854207,0.20836015045642853,2,[0 0 0 0]
39,0,7.33007307832232,0.18508103144921442,0.20836031436920166,2,[0 0 0 0]
40,0,7.330074705757426,0.18508096214922226,0.20836058259010315,2,[0 0 0 0]
41,0,7.330075557764635,0.18508092587206593,0.2083607316017151,2,[0 0 0 0]
42,0,7.330075918940027,0.1850809104941607,0.20836076140403748,2,[0 0 0 0]
43,0,7.3300764438047405,0.1850808881433968,0.20836088061332703,2,[0 0 0 0]
44,0,7.330076848082965,0.18508087093143805,0.2083609402179718,2,[0 0 0 0]
45,0,7.33007724076164,0.18508085420856332,0.20836099982261658,2,[0 0 0 0]
46,0,7.3300775516127645,0.1850808409757734,0.20836107432842255,2,[0 0 0 0]
47,0,7.330077851401095,0.1850808282089707,0.20836110413074493,2,[0 0 0 0]
48,0,7.330078890348194,0.18508078397063618,0.20836129784584045,2,[0 0 0 0]
49,0,7.330079330550778,0.18508076522660522,0.2083614021539688,2,[0 0 0 0]
50,0,7.330080006049727,0.18508073646335943,0.20836153626441956,2,[0 0 0 0]
