step,action,psnr_value,mse_value,ssim_value,rank,action
1,31866,3.2542190500263715,798937492275.632,0.007240909151732922,1,[ 1  8 25 24]
2,677883,3.167434377030009,2658571459477.684,0.0012185757514089346,2,[27 23  1  8]
3,690663,3.20277391626532,41606723941.02812,0.010507604107260704,3,[28  9  6 28]
4,171418,3.2164093962702323,45903815476.20479,0.0026515251956880093,4,[ 7  0 23 28]
5,575651,3.177272329384284,33201952523.06152,-0.005424768663942814,5,[23 17 14  1]
6,706691,3.1830574362940247,16436164755.972979,0.005977219436317682,6,[28 28  8 19]
7,5565,3.1513404123695854,78428983883.68222,-0.001898671267554164,7,[ 0  6 17 26]
8,23123,3.1969871407969985,81408348452265.33,0.001196671393699944,8,[ 0 27 14 10]
9,633708,3.1550814513669776,185812406621.51892,-0.005555829964578152,9,[25 28 15  0]
10,19242,3.1717907685905637,7802497421.9454365,-0.01230918150395155,10,[ 0 22 25 15]
11,388371,3.1006761988907368,313456454711.22687,-0.01537866611033678,11,[15 26 23  3]
12,385962,3.1238523969299776,1598353945086.8254,-0.01497079711407423,12,[15 23 27  1]
13,365577,3.2188393529888097,29916020837.386177,-0.009113191626966,13,[14 28 20  3]
14,96454,3.1567297109711423,63717455607.41785,-0.011940187774598598,14,[ 3 27 20  0]
15,267264,3.2145025233802045,4554397445.046877,-0.00029263010947033763,15,[10 27 23  0]
16,489577,3.2579475689466615,12563548533.753014,0.0072101145051419735,16,[20  2  3 28]
17,675729,3.1893064651281806,336729399064.8494,-0.01243586651980877,17,[27 20 14  0]
18,271463,3.18177559382173,40609636336.162994,0.0041616191156208515,18,[11  3 22 23]
19,14993,3.276534164747061,30730474233.5913,-0.0012522427132353187,19,[ 0 17 24  0]
20,52060,3.1544927508421736,15708102161.61283,-0.002713541267439723,20,[ 2  3 26  5]
21,121771,3.163851256174976,126420217013.70892,-0.00983257032930851,21,[ 4 28 23  0]
22,128382,3.14897198356876,35951420326.26985,-0.001884105266071856,22,[ 5  7 18 28]
23,170231,3.15163362503462,22239393043.799423,-0.006831538863480091,23,[ 6 28 12  1]
24,704003,3.239531596531871,13408489157.109535,0.0027278803754597902,24,[28 25  2 28]
25,634963,3.2212780879292833,2044265585.6477056,0.01902242749929428,25,[26  1  0  8]
26,366355,3.2266546935441087,37099188943.602646,-0.008947886526584625,26,[15  0 17 27]
27,122349,3.220622293498722,9028923612.695477,-0.004682411905378103,27,[ 5  0 13 27]
28,167678,3.212286883575835,11805830791.62284,0.0028129408601671457,28,[ 6 25 11  0]
29,195835,3.150868966889578,47953882202.64122,-0.009941598400473595,29,[ 8  0 24 27]
30,190791,3.2807120538902246,60333831693.355095,0.003990460652858019,30,[ 7 23 25  0]
31,36712,3.137315141980342,1105172015321.0872,-0.008167044259607792,31,[ 1 14 18 27]
32,705623,3.1774599221091826,1382242009.6604242,-0.0050412374548614025,32,[28 27  0 24]
33,101581,3.130164020280871,3850457678.540063,-0.011060989461839199,33,[ 4  4 22 23]
34,81981,3.168719201534371,4972550874.198225,0.014524558559060097,34,[ 3 10 13 27]
35,92450,3.2817538159919906,51216067.529561624,0.0062800380401313305,35,[ 3 22 26 27]
36,61256,3.2001771277652704,285856070.0336729,0.014507917687296867,36,[ 2 14 24  8]
37,54658,3.3314169124964184,744474035.2367779,0.011529466137290001,37,[ 2  6 28 22]
38,269090,3.193913365467636,123976907.1618502,0.0017499132081866264,38,[11  0 27 28]
39,171273,3.1504293321814196,97009705.61646765,0.0006480608717538416,39,[ 7  0 18 28]
40,266511,3.164228759385677,82460974.13172351,-0.002088726032525301,40,[10 26 26  1]
41,366440,3.206944367364508,21446258.0585758,0.004520832095295191,41,[15  0 20 25]
42,41889,3.2118839925476417,13303027.929369813,0.004055446945130825,42,[ 1 20 23 13]
43,487606,3.283270604253707,89994239.54519355,-0.010108869522809982,43,[19 28 23  0]
44,236207,3.2004558047740943,26841342.856721777,-0.00447620265185833,44,[ 9 19 25  2]
45,55445,3.3400657986592455,5484509.208796,0.02029515616595745,45,[ 2  7 26 26]
46,56273,3.2610074882340525,10753328.316422194,-0.014955720864236355,46,[ 2  8 26 13]
47,387328,3.27334361756376,10804015.999138992,0.0016400022432208061,47,[15 25 16  4]
48,101749,3.1828055934112225,3552118.5984855215,0.009700549766421318,48,[ 4  4 28 17]
49,417393,3.2059809550398057,48818536.4456684,0.002282487228512764,49,[17  3  8 25]
50,145262,3.1384509745007727,28296562.632541623,-0.003787810215726495,50,[ 5 27 21  1]
51,485665,3.1799463917960704,3948010.3863604893,0.0023084410931915045,51,[19 26 14  2]
52,66324,3.275301975044631,4104861.9776034974,-0.007979036308825016,52,[ 2 20 25  1]
53,462927,3.2100645452842222,1872076.6476919993,0.002416084287688136,53,[18 28 13  0]
54,120257,3.2182712587128264,12523937.124577805,-0.014816094189882278,54,[ 4 26 28 23]
55,244266,3.2468526170296776,8699047.619138315,0.0033591371029615402,55,[10  0 12 28]
56,511012,3.071912219908018,13050018.768356374,0.0008245575008913875,56,[20 27 18  3]
57,438455,3.1111540066606085,5720901.355988292,0.005768693517893553,57,[17 28 10  4]
