step,action,psnr_value,mse_value,ssim_value,rank,action
1,317720,3.2397821807990193,329164.04268256883,-0.011691597290337086,1,[13  0 22 25]
2,92450,3.188024075469073,77324958705.47653,0.011656994000077248,2,[ 3 22 26 27]
3,640001,3.2143692021514343,312298786473.0035,0.013251026161015034,3,[26  7  0  0]
4,316193,3.0707350552012884,17808748507.971085,-0.014986038208007812,4,[12 27 28  6]
5,274775,3.2722221934085063,2408391291884.378,-0.00023627403425052762,5,[11  7 21  0]
6,390861,3.0574193849222056,3791580193110.779,-0.008290483616292477,6,[16  0 21 28]
7,536442,3.139438901056,616894536895.8519,0.0014173322124406695,7,[21 28 25  0]
8,235477,3.167358533519375,1424090669718.4473,0.014078655280172825,8,[ 9 18 28 26]
9,88287,3.1221459761936776,5304526588279.177,-0.0013232143828645349,9,[ 3 17 28 11]
10,370618,3.2516169766100846,3211415526.9920373,0.008671865798532963,10,[15  5 19 27]
11,439639,3.1309318635008907,34641509471.81083,-0.009657618589699268,11,[18  0 21 28]
12,652356,3.02940165555042,1.4495674708323478e+17,-0.006212522275745869,12,[26 21 20  1]
13,443872,3.2012757692748215,133007277316.75552,-0.0027048755437135696,13,[18  5 22 27]
14,220162,3.0538205593022583,268458677716.23297,-0.007172352634370327,14,[ 9  0 22 23]
15,193286,3.1502802232963214,25142917683.600124,-0.01682581938803196,15,[ 7 26 24  1]
16,269726,3.068353279597449,5755371609.952414,-0.006238863337785006,16,[11  1 20 26]
17,246263,3.1044831662000423,74695063013.20007,-0.008927928283810616,17,[10  2 23 24]
18,245508,3.103566207590669,28085558029.88975,0.002415619557723403,18,[10  1 26 23]
19,392543,3.238155089534347,9184019732.394917,0.002903206506744027,19,[16  2 21 28]
20,171561,3.203744840304346,13643724805.005787,0.005667164456099272,20,[ 7  0 28 26]
21,146983,3.0627081528702886,745644854188.4847,0.008527195081114769,21,[ 6  0 22 11]
22,341214,3.1138988759591864,454414437481.5981,-0.002876847516745329,22,[13 28 21  0]
23,21837,3.020267946047093,20642942668.961784,-0.01510927639901638,23,[ 0 25 28  0]
24,44555,3.053506446385837,3090444110.2915096,-0.00382244517095387,24,[ 1 23 28 11]
25,15089,3.118781522309627,5208921207.845736,-0.004253471735864878,25,[ 0 17 27  9]
26,2116,3.222907075364978,8266266606.89772,-0.0010296173859387636,26,[ 0  2 14 28]
27,18448,3.1620970254063545,1261488997.0502589,-0.002895171521231532,27,[ 0 21 27  4]
28,181621,3.1370799722141736,5947043013.479375,-0.0044858804903924465,28,[ 7 12 27 23]
29,63063,3.038408045298841,6219070629.540758,0.0008633179240860045,29,[ 2 16 28 17]
30,317694,3.107058613019155,856401563.392835,-4.9242105887969956e-05,30,[13  0 21 28]
31,244703,3.070699923162695,45779159499.20416,-0.0027541795279830694,31,[10  0 28  1]
32,112591,3.203965748317012,110555955554.9036,0.00045920052798464894,32,[ 4 17 25 13]
33,146016,3.0175845863256145,3882731734.287096,-0.022807344794273376,33,[ 5 28 18  1]
34,543515,3.2055070785085027,1178348564.936936,-0.0028611363377422094,34,[22  8  7 26]
35,72970,3.1638052662646734,997803024.2291951,0.004195263609290123,35,[ 2 28 22  6]
36,367283,3.2924406981154206,7048835930.206152,0.0021725958213210106,36,[15  1 20 27]
37,18501,3.167277469801561,1218173184.5536306,-0.005114126019179821,37,[ 0 21 28 28]
38,105105,3.211350379967952,373329060.38812065,0.021048592403531075,38,[ 4  8 28  9]
39,13309,3.0644270486739114,438508904.33358544,-0.0009396995883435011,39,[ 0 15 23 27]
40,194998,3.159807675350507,936978823.4845071,-0.0017055327771231532,40,[ 7 28 25  2]
41,533543,2.9448258341061813,483934530.44059837,-0.01569553278386593,41,[21 25 12  1]
42,195912,3.1770641471759653,268082123.56806043,0.004204591736197472,42,[ 8  0 27 17]
43,314273,3.1117039667762953,3813704448.6924467,0.0037999621126800776,43,[12 25 20  0]
44,363080,3.1976512331440325,63285922.99887313,-0.002326281974092126,44,[14 25 21  0]
45,194973,3.0866569572329854,94985399.46236096,-0.005371604580432177,45,[ 7 28 24  6]
46,242976,3.0685923369535475,1832173723.412848,-0.006538907065987587,46,[ 9 27 26 14]
47,12393,3.090271732668129,548943670.1312577,0.003273261711001396,47,[ 0 14 21 10]
48,269610,3.153028667594911,285503518.57597953,0.01750778779387474,48,[11  1 16 26]
49,2202,3.246444749431548,139761018.1227796,0.03261636197566986,49,[ 0  2 17 27]
50,691310,3.1147537385393838,53722797.975806266,0.0018537065479904413,50,[28 10  0  8]
51,317681,3.156123849102172,81784297.87402232,-0.004983359947800636,51,[13  0 21 15]
52,146315,3.141126858483071,238285812.70313206,-0.010590865276753902,52,[ 5 28 28 10]
53,319289,3.3596319468150777,64869282.836171314,0.0316566526889801,53,[13  2 18 28]
54,246150,3.1641678230729857,324874456.6091763,0.00745812663808465,54,[10  2 19 27]
55,391643,3.0840064037204,98333170.15975736,0.011786406859755516,55,[16  1 19 27]
56,392686,3.16129875704114,155606977.86757097,0.0031885486096143723,56,[16  2 26 26]
57,220295,3.1395781317759703,74924112.72848645,-0.003957689274102449,57,[ 9  0 27 11]
58,317810,3.219039069206025,79657928.00093497,0.0361199788749218,58,[13  0 25 28]
59,245946,3.31287476670066,71015359.77346632,0.052001092582941055,59,[10  2 12 26]
60,147840,3.0230757267778223,69076693.76578967,-0.005949786864221096,60,[ 6  1 22 27]
61,173100,3.215173586624369,116242506.42537892,-0.008821788243949413,61,[ 7  2 23 28]
62,275470,3.1318153544193796,25930487.116311,0.0077484785579144955,62,[11  8 15 28]
63,268259,3.0005901687432606,17096789.10219511,0.009587107226252556,63,[10 28 28  9]
64,342806,3.1463843796865385,18854906.804178435,0.018518928438425064,64,[14  1 17 26]
65,171962,3.4516477703427197,19172621.371551465,0.024540312588214874,65,[ 7  1 13 21]
66,61187,3.1621320872076,58464202.817153424,0.008095750585198402,66,[ 2 14 21 26]
67,73506,3.1456312168954046,15557175.709157608,0.010302466340363026,67,[ 3  0 11 20]
68,262331,3.383448760691581,7267818.21370647,-0.0002687437226995826,68,[10 21 26 26]
69,249660,3.1994815445989784,96554317.35151923,0.011886467225849628,69,[10  6 24 28]
70,366525,3.3280163426817113,21761955.814839005,-0.010638495907187462,70,[15  0 23 23]
71,219365,3.1156390506314824,31796226.92581442,0.04668645188212395,71,[ 8 28 24  9]
72,145029,3.1784193601713144,13752738.421676146,0.01516949012875557,72,[ 5 27 13  0]
73,292504,3.1998101509887493,3887647.9063767116,0.0054832082241773605,73,[11 28 23 10]
74,97065,3.3365509014480486,10530642.55945536,0.014565563760697842,74,[ 3 28 12  2]
75,295826,3.160501169983446,3633970.8091426445,-0.01221315935254097,75,[12  3 21 26]
76,4994,3.120483306226136,9640769.303455098,-0.011034541763365269,76,[ 0  5 27  6]
77,99083,3.2045613203014236,6913073.565995346,-0.0035145506262779236,77,[ 4  1 23 19]
78,481519,3.0053238716108224,4614938.3195869755,-0.01618901640176773,78,[19 21 16  3]
79,603859,3.0262031521723602,5768684.133492472,-0.015578947961330414,79,[24 22  0 21]
80,72979,3.2110772292438416,2265043.0994971516,0.009936319664120674,80,[ 2 28 22 15]
81,170232,3.2198695185850728,1628175.3996650847,-0.008203690871596336,81,[ 6 28 12  2]
82,413946,3.167391773741387,2992053.288919926,-0.006894957274198532,82,[16 28  6  0]
83,172026,3.2441565402325745,3785750.9327480076,0.005107886623591185,83,[ 7  1 15 27]
84,20991,3.172982825862503,2150534.9423931884,-0.009008752182126045,84,[ 0 24 27 24]
85,466347,3.2675667765758942,1460375.9256108638,0.014769380912184715,85,[19  3 14 27]
86,249429,3.2584510105196625,1184012.0902332624,0.011774898506700993,86,[10  6 17  0]
87,292320,3.1412702919672957,4597405.307531748,-0.00879452284425497,87,[11 28 17  0]
88,293092,3.0237636601508395,1032427.458163182,-0.005803824868053198,88,[12  0 14 18]
89,137064,3.18768885574144,2234357.927288243,-0.0022299587726593018,89,[ 5 17 28 10]
90,244352,3.311763728642381,5174195.496880462,0.010118408128619194,90,[10  0 15 27]
91,24320,3.141942205391788,3872730.744064309,0.017169877886772156,91,[ 0 28 26 18]
92,390168,3.116053587680559,2285432.8729241863,0.006224397569894791,92,[15 28 27  2]
93,371431,3.110390875686815,496285.4675896219,0.0008770940476097167,93,[15  6 18 28]
94,195863,3.2294286087473543,3023497.38544667,0.008938956074416637,94,[ 8  0 25 26]
95,120700,3.223813204872604,637765.7798139805,-0.0027613297570496798,95,[ 4 27 15  2]
96,293301,3.2037897264774844,2648639.265858712,-0.01071030180901289,96,[12  0 21 24]
97,436196,3.2935235606102102,1121108.5620271044,-0.003846136387437582,97,[17 25 19  7]
98,69799,3.277319311927479,2999528.9893948548,0.010717160068452358,98,[ 2 24 28 25]
99,314998,3.23950866856489,3006611.9408048,0.002327138092368841,99,[12 26 16  0]
100,218407,3.151150473691444,3875244.7465133267,0.007673854473978281,100,[ 8 27 20  8]
101,53330,3.1646037231792814,447200.53427600785,0.007884892635047436,101,[ 2  5 11 28]
102,221762,3.150186261529932,1032891.2160668115,0.006774467416107655,102,[ 9  2 19 28]
103,95613,3.1481568172213543,1257589.6559371748,0.00440319674089551,103,[ 3 26 20  0]
104,16274,3.1524263006728566,2403617.6537429322,0.000547954288776964,104,[ 0 19 10  5]
105,137875,3.165909552322833,1938015.5113260702,-0.0013249283656477928,105,[ 5 18 27  9]
106,116679,3.2014446527970444,506258.71687480924,0.011727130971848965,106,[ 4 22 21 12]
107,97961,3.183828978713899,656945.2205035066,-0.005775091238319874,107,[ 4  0 13 28]
108,109939,3.306291391002506,395755.31165457703,0.03105391189455986,108,[ 4 14 21  0]
109,391469,3.223507988330767,719808.5719371166,-0.009857294149696827,109,[16  1 13 27]
110,17457,3.317838379192464,460897.78752102394,0.004537014290690422,110,[ 0 20 21 28]
