step,action,psnr_value,mse_value,ssim_value,rank,action
1,388605,7.8654882395332475,0.16358048880073328,0.2715437114238739,1,[15 27  2  5]
2,122406,7.939500940787515,0.16075457608672583,0.23886385560035706,2,[ 5  0 15 26]
3,48767,7.978635333126142,0.15930801096391586,0.19615349173545837,3,[ 1 28 28 18]
4,194793,8.006729509906705,0.15826759477455227,0.1430666595697403,4,[ 7 28 18  0]
5,388310,8.07082366807952,0.15595172332105275,0.1121654063463211,5,[15 26 21  0]
6,657793,8.080268308751213,0.15561423701852167,0.10374453663825989,6,[26 28  4 15]
7,196767,8.080649734485561,0.1555964493439712,0.10499191284179688,7,[ 8  1 28  2]
8,147129,8.104548646313916,0.15474361883455587,0.10671466588973999,8,[ 6  0 27 12]
9,57930,8.105795334779234,0.15470001550367207,0.10332825034856796,9,[ 2 10 25 17]
10,122582,8.142774037128259,0.1533899354276976,0.09011515229940414,10,[ 5  0 21 28]
11,244529,8.14676241135052,0.1532815399828434,0.07005253434181213,11,[10  0 22  1]
12,438858,8.23525633076535,0.1508102672490702,0.06942474097013474,12,[17 28 24  1]
13,412816,8.23369137804571,0.1508765498900082,0.067103311419487,13,[16 26 25  1]
14,623281,8.236236478276332,0.1508348438260828,0.06525328755378723,14,[25 16  3 13]
15,93234,8.37371470000839,0.1463149041237725,0.07694324105978012,15,[ 3 23 24 28]
16,413685,8.397457512685987,0.14549426358674492,0.07485230267047882,16,[16 27 26  0]
17,221094,8.398911255948025,0.1455891129179795,0.07647079974412918,17,[ 9  1 25 27]
18,68764,8.40274455776398,0.14547629773123028,0.07601963728666306,18,[ 2 23 22  5]
19,648479,8.402494020819676,0.14548240129959408,0.07480674982070923,19,[26 17  2 10]
20,439633,8.415139133443333,0.14504561019601642,0.0684785395860672,20,[18  0 21 22]
21,49395,8.417884636308218,0.1449542833241739,0.06928067654371262,21,[ 2  0 21  8]
22,194880,8.419720634874068,0.14481034254647146,0.07436802238225937,22,[ 7 28 21  0]
23,268856,8.422148299104874,0.14472625278140047,0.07789100706577301,23,[11  0 19 26]
24,219962,8.426878635087045,0.144579780278778,0.08018534630537033,24,[ 9  0 15 26]
25,127690,8.437832552612218,0.14431774384349474,0.09690823405981064,25,[ 5  6 24  3]
26,341590,8.445792096732518,0.1440484656656773,0.10395918786525726,26,[14  0  4 28]
27,38607,8.446348981016374,0.144028258036381,0.10444933921098709,27,[ 1 16 26  8]
28,291804,8.455764343880931,0.14371430562098347,0.09968076646327972,28,[11 27 28  6]
29,64696,8.46170962319649,0.14354680369671793,0.1027141734957695,29,[ 2 18 26 26]
30,147839,8.462781788113578,0.14352862838800587,0.10408048331737518,30,[ 6  1 22 26]
31,29323,8.474202489204071,0.14318228496800328,0.11200445890426636,31,[ 1  5 25  4]
32,340375,8.47315422091765,0.14324157516247116,0.1140313446521759,32,[13 27 21  2]
33,171649,8.496903664601545,0.14249973169296454,0.11530976742506027,33,[ 7  1  2 27]
34,284897,8.494725288159104,0.1425895160973651,0.11439742892980576,34,[11 19 22  1]
35,317143,8.48017140195947,0.14312404529655143,0.11320193111896515,35,[13  0  2 28]
36,117537,8.480830216951466,0.14309510838175843,0.11399155855178833,36,[ 4 23 22  0]
37,144439,8.480714288836229,0.14309943484925047,0.11378104984760284,37,[ 5 26 21 19]
38,610601,8.513879359403674,0.14213172175028704,0.109193354845047,38,[25  1  1  6]
39,77185,8.516579745214596,0.14213131315784025,0.1045989841222763,39,[ 3  4 22 16]
40,196770,8.51971743669937,0.14202953543033164,0.10492508113384247,40,[ 8  1 28  5]
41,536609,8.51982715843203,0.1421197286190201,0.10363882780075073,41,[22  0  1 22]
42,67250,8.519690716991677,0.14212678586371932,0.10356903076171875,42,[ 2 21 27 28]
43,147063,8.519695657010386,0.1421254658880583,0.10359150916337967,43,[ 6  0 25  4]
44,695511,8.527564957006417,0.14246483875152874,0.10377560555934906,44,[28 15  0  4]
45,219327,8.541549515414086,0.1418797402627257,0.09996660053730011,45,[ 8 28 23  0]
46,121341,8.535078834936959,0.14211612111224542,0.0988653153181076,46,[ 4 28  8  5]
47,243659,8.534891851475525,0.14212224007005178,0.09622936695814133,47,[ 9 28 21  1]
48,69760,8.53627158054131,0.14206985115010942,0.0950862467288971,48,[ 2 24 27 15]
49,169623,8.558119207612648,0.14181082169558654,0.10134656727313995,49,[ 6 27 20  2]
50,38547,8.557858273442967,0.14182007864432136,0.10115136951208115,50,[ 1 16 24  6]
51,601343,8.557124201429861,0.1418357398715323,0.10150539129972458,51,[24 19  0 28]
52,15892,8.564241177068077,0.14160120153314004,0.0999898836016655,52,[ 0 18 26  0]
53,367419,8.56974375326564,0.14123043843374072,0.1000901609659195,53,[15  1 25 18]
54,462625,8.583262738328184,0.14068293321793704,0.10317102074623108,54,[18 28  2 17]
55,26047,8.582994982662298,0.14067902796822002,0.10280812531709671,55,[ 1  1 28  5]
56,113387,8.582075327440904,0.14071560781689182,0.10230931639671326,56,[ 4 18 23 26]
57,67206,8.586487608700466,0.1405449883057854,0.10326004028320312,57,[ 2 21 26 13]
58,195807,8.588775368577208,0.14047063220613898,0.10502619296312332,58,[ 8  0 23 28]
59,19085,8.593429250650956,0.14025603831454328,0.10019881278276443,59,[ 0 22 20  3]
60,180059,8.595677424932903,0.14010053613984536,0.09841988235712051,60,[ 7 11  2 27]
61,267595,8.594678981592454,0.14014454158516365,0.09739188849925995,61,[10 28  5 12]
62,110024,8.604886872043005,0.13983474042176078,0.0978626236319542,62,[ 4 14 23 27]
63,17510,8.608962895350302,0.13970082252659172,0.09881167858839035,63,[ 0 20 23 23]
64,11644,8.609367404861409,0.13969410415930753,0.0986381471157074,64,[ 0 13 24 15]
65,8402,8.773092118425465,0.1347046530548814,0.10947071760892868,65,[ 0  9 28 21]
66,23525,8.784985751320132,0.13416330639254528,0.10395096987485886,66,[ 0 27 28  6]
67,197489,8.788909716294524,0.1340302117697854,0.09761078655719757,67,[ 8  2 23 28]
68,581305,8.792263184531683,0.13386434537539427,0.09646846354007721,68,[23 24  6  0]
69,84792,8.791077723216603,0.1338696239370878,0.09677136689424515,69,[ 3 13 23 25]
70,66201,8.787863978276755,0.133960560467152,0.09578610211610794,70,[ 2 20 20 23]
71,31816,8.789043878718326,0.13392219489184876,0.09548653662204742,71,[ 1  8 24  3]
72,36109,8.789440791328756,0.13390687163774798,0.09504227340221405,72,[ 1 13 27  4]
73,340556,8.825381205156164,0.13327887944325104,0.11179196089506149,73,[13 27 27  9]
74,48320,8.82633673196735,0.13323719098772055,0.1125410869717598,74,[ 1 28 13  6]
75,125017,8.830305530154687,0.13314549199866285,0.11483612656593323,75,[ 5  3 18 27]
