step,action,psnr_value,mse_value,ssim_value,rank,action
1,548,3.6883208076452387,3.951220422772185,0.01821950450539589,1,[0 5 4 8]
2,3805,3.8016251508702843,3.7484431125406443,0.02936166524887085,2,[3 8 0 5]
3,2255,4.102536080406682,2.4988528246324857,0.01555375475436449,3,[2 2 5 5]
4,1888,4.178330443758779,1.8683993062360604,0.037466224282979965,4,[1 8 8 8]
5,3013,3.8775999143338473,3.6138850691032713,0.00437550526112318,5,[3 0 1 3]
6,6553,4.362861860440683,2.801019675580319,0.07026587426662445,6,[6 5 5 3]
7,790,3.9717970582381485,2.365595078903716,0.017772670835256577,7,[0 7 9 0]
8,3011,3.92943677730722,2.67332189244451,0.0030034035444259644,8,[3 0 1 1]
9,6553,4.1192281285057755,1.143795929957414,0.06624956429004669,9,[6 5 5 3]
10,7358,3.9313966472892226,1.3532760496682021,0.0032509148586541414,9,[7 3 5 8]
11,6670,4.176872175448118,1.2505877473333384,0.08128885924816132,10,[6 6 7 0]
12,2848,3.7917064287621467,1.6280948628362966,0.05296684429049492,11,[2 8 4 8]
13,7361,4.320646965883363,1.2298814485124603,0.0556328184902668,12,[7 3 6 1]
14,5317,4.121282798929046,1.7495856691992957,0.03723350912332535,13,[5 3 1 7]
15,4144,4.0501143057874405,1.5854370100059896,-0.011992680840194225,14,[4 1 4 4]
16,7337,4.437077064137647,0.9283520005669561,0.07924933731555939,15,[7 3 3 7]
17,7033,4.419120985758882,0.8546190585009026,0.08871997892856598,16,[7 0 3 3]
18,6912,4.371796070235357,0.8647395008776221,0.08769787847995758,17,[6 9 1 2]
19,8286,4.429586183694925,0.7750542272476014,0.09089002758264542,18,[8 2 8 6]
20,5498,4.264330069821193,1.4963370671402663,0.04719283804297447,19,[5 4 9 8]
21,6661,4.4353299907758945,0.8504554876311158,0.06732495129108429,20,[6 6 6 1]
22,2595,4.514517646134827,1.035830729103909,0.10332350432872772,21,[2 5 9 5]
23,7359,4.8476489835181145,0.8953936717814213,0.13823795318603516,22,[7 3 5 9]
24,5538,4.720031400069865,0.7756021046764181,0.08678898215293884,23,[5 5 3 8]
25,459,4.370314838887369,1.0388324785677923,0.034566376358270645,24,[0 4 5 9]
26,1702,4.350859898478787,1.0487764076789607,0.029633115977048874,25,[1 7 0 2]
27,3354,4.43914370572859,0.9313783769689143,0.04656577855348587,26,[3 3 5 4]
28,4601,4.866843720187545,0.8531166217126883,0.07068220525979996,27,[4 6 0 1]
29,6818,4.884663615826419,0.775197720375254,0.0694064050912857,28,[6 8 1 8]
30,3985,4.839916091933365,0.6575691073952475,0.11113101243972778,29,[3 9 8 5]
31,3489,4.99371693301082,0.6903447380549914,0.13282020390033722,30,[3 4 8 9]
32,645,4.608057218838521,0.8067620787560008,0.13477161526679993,31,[0 6 4 5]
33,3574,4.486658920453385,0.8631293884584125,0.11828936636447906,32,[3 5 7 4]
34,1257,4.743141951757503,0.775106421110686,0.12972211837768555,33,[1 2 5 7]
35,7536,4.6319668983715205,0.798587118547025,0.1281196027994156,34,[7 5 3 6]
36,9286,4.568463652200316,0.8210510931536555,0.11339645087718964,35,[9 2 8 6]
37,1378,4.416602980055754,0.940512897671233,0.10844206809997559,36,[1 3 7 8]
38,1860,4.4061434830061685,1.011279144179425,0.10206333547830582,37,[1 8 6 0]
39,5186,4.441232725132512,0.8807810392254032,0.09281696379184723,38,[5 1 8 6]
40,6586,4.588634899656643,1.0861428243017872,0.11204370111227036,39,[6 5 8 6]
41,5,4.442083002146387,1.153804903603841,0.09172961115837097,40,[0 0 0 5]
42,3668,4.421994687847493,1.1505873966994113,0.08428475260734558,41,[3 6 6 8]
43,9173,4.406632732708789,1.0823852306735353,0.09454760700464249,42,[9 1 7 3]
44,3590,4.4323377810024684,1.0568406573805578,0.05880177021026611,43,[3 5 9 0]
45,2579,4.221509951376822,1.094959267497761,0.07209131866693497,44,[2 5 7 9]
46,1313,4.265130563761196,1.0641243522870354,0.08937098830938339,45,[1 3 1 3]
47,2095,4.208067992868594,1.1398293438831752,0.057464051991701126,46,[2 0 9 5]
48,8927,4.1770430912556815,1.1093972166138701,0.04739490896463394,47,[8 9 2 7]
49,6458,4.13827289686716,1.1376682157692266,0.04123437777161598,48,[6 4 5 8]
50,9592,4.471647204293615,0.9975572716809257,0.09745033085346222,49,[9 5 9 2]
51,7044,4.696451074457548,0.9652786870680575,0.11792954057455063,50,[7 0 4 4]
52,9002,4.569612233257844,0.963031541387827,0.0823182612657547,51,[9 0 0 2]
53,7192,5.049980146655505,0.8069568933243864,0.13330042362213135,52,[7 1 9 2]
54,5482,5.095229401407227,0.6781349088138086,0.0972236841917038,53,[5 4 8 2]
55,5984,5.168070947589738,0.6856054471936659,0.10068951547145844,54,[5 9 8 4]
56,7238,5.1013492987916385,0.7501886601818842,0.07867727428674698,55,[7 2 3 8]
57,2171,5.1131134090471875,0.7537054516398348,0.07993092387914658,56,[2 1 7 1]
