step,action,psnr_value,mse_value,ssim_value,rank,action
1,3192,4.842593218310963,0.3279437444738869,0.11255784332752228,1,[3 1 9 2]
2,2941,4.956675552783761,0.31944337266788353,0.11869025230407715,2,[2 9 4 1]
3,9804,4.7909709707769395,0.33188031141471586,0.062363337725400925,3,[9 8 0 4]
4,9306,5.2987967269605125,0.2952843192080036,0.043038662523031235,4,[9 3 0 6]
5,5534,5.240354069241413,0.2993244965583108,-0.029562484472990036,5,[5 5 3 4]
6,1992,5.169613504245634,0.30861458974337436,0.013633725233376026,6,[1 9 9 2]
7,4201,5.230515486358112,0.30029320057015413,-0.008283589966595173,7,[4 2 0 1]
8,9437,5.436625654337108,0.2880722273567517,0.028609704226255417,8,[9 4 3 7]
9,2212,5.435549340912262,0.28817593786823636,0.02938365377485752,9,[2 2 1 2]
10,3275,5.476011168675018,0.28486178476076424,0.07220229506492615,10,[3 2 7 5]
11,9462,5.434136190846313,0.2936392721773518,0.08706791698932648,11,[9 4 6 2]
12,3410,5.538337891608968,0.28962556586790017,0.14125493168830872,12,[3 4 1 0]
13,5992,5.523377725704934,0.28968404657323843,0.1349736601114273,13,[5 9 9 2]
14,1938,5.455101532070791,0.2934255845658481,0.14041495323181152,14,[1 9 3 8]
15,4300,6.058242058465276,0.2506229345005704,0.11233621835708618,15,[4 3 0 0]
16,4226,6.183664376869414,0.2420509487541858,0.12533527612686157,16,[4 2 2 6]
17,8873,6.201353460934963,0.24095720717526178,0.14303942024707794,17,[8 8 7 3]
18,4767,6.165006833410086,0.24545472707526642,0.19103382527828217,18,[4 7 6 7]
19,6250,6.242017093140202,0.23958856109384213,0.13779786229133606,19,[6 2 5 0]
20,8323,6.243353912042128,0.23973625816986896,0.1378398984670639,20,[8 3 2 3]
21,7032,6.240541951735652,0.2406202703929739,0.11638642847537994,21,[7 0 3 2]
22,4498,6.525887811298226,0.22626553796828375,0.17534299194812775,22,[4 4 9 8]
23,5171,6.808416942885268,0.21187056384813333,0.21693077683448792,23,[5 1 7 1]
24,2638,6.9188690354478695,0.20707928239650755,0.24669523537158966,24,[2 6 3 8]
25,8670,7.185636618097204,0.19702039493084159,0.29825514554977417,25,[8 6 7 0]
26,329,7.163691763704768,0.1976659401930283,0.28840649127960205,26,[0 3 2 9]
27,5914,7.127728301016486,0.1990627316872724,0.2918132543563843,27,[5 9 1 4]
28,298,7.38449632822541,0.1889660217865776,0.3265901505947113,28,[0 2 9 8]
29,19,7.397332700981565,0.18795713568823202,0.3220144212245941,29,[0 0 1 9]
30,639,7.404280896132684,0.18655887296987203,0.3218715786933899,30,[0 6 3 9]
31,3402,7.402623910071096,0.1871906966428287,0.3225443959236145,31,[3 4 0 2]
32,6447,7.3531288869834555,0.18845399125897075,0.33701854944229126,32,[6 4 4 7]
33,6976,7.420888503142465,0.18575151541561355,0.34635111689567566,33,[6 9 7 6]
34,6271,7.453601993029211,0.18338412961263473,0.3526533842086792,34,[6 2 7 1]
35,3160,7.573404823210784,0.17819081171146764,0.36925429105758667,35,[3 1 6 0]
36,2915,7.5705213650099346,0.17840545104793817,0.36715012788772583,36,[2 9 1 5]
37,8944,7.578992155537789,0.1781407271698481,0.36938995122909546,37,[8 9 4 4]
38,9835,7.624230589430676,0.17632553628340247,0.36568695306777954,38,[9 8 3 5]
39,6328,7.612600517851393,0.1771395987753567,0.36466196179389954,39,[6 3 2 8]
40,1612,7.653891272761521,0.17544698005185616,0.3697330951690674,40,[1 6 1 2]
41,9880,7.775084806570549,0.17061187115155918,0.36959439516067505,41,[9 8 8 0]
42,5367,8.489221700730784,0.14520057203080797,0.38334810733795166,42,[5 3 6 7]
43,2729,8.537932199912886,0.14371506543073337,0.3855721354484558,43,[2 7 2 9]
44,8678,8.746088232378863,0.13535609924263553,0.3903040587902069,44,[8 6 7 8]
45,8533,8.755409675734693,0.134777281374445,0.3853546977043152,45,[8 5 3 3]
46,3847,8.78172422953552,0.13390138480317545,0.39479368925094604,46,[3 8 4 7]
47,2470,9.071358134077137,0.12559176814029344,0.4326326847076416,47,[2 4 7 0]
48,7832,9.122530370268787,0.12431695129095488,0.4259728789329529,48,[7 8 3 2]
49,9490,10.378880986521985,0.09370511665449158,0.48877063393592834,49,[9 4 9 0]
50,3837,10.316144766122635,0.0954982418795771,0.4808310866355896,50,[3 8 3 7]
51,1916,10.362257743843411,0.0947284771152232,0.4891202449798584,51,[1 9 1 6]
52,8093,10.775230656732235,0.08761199916265468,0.5275865197181702,52,[8 0 9 3]
53,3526,12.376358628641015,0.0620021688703855,0.605712354183197,53,[3 5 2 6]
54,3392,12.708111622663449,0.05739062197131716,0.6207294464111328,54,[3 3 9 2]
55,28,12.725090635844936,0.05715863077343784,0.6214360594749451,55,[0 0 2 8]
56,664,12.76128824822483,0.056700189481623656,0.6212518215179443,56,[0 6 6 4]
57,6577,12.943266925729178,0.05474552970230434,0.6305138468742371,57,[6 5 7 7]
58,8819,13.009396817969943,0.054089562929169686,0.6367101073265076,58,[8 8 1 9]
59,3262,13.064935597148853,0.053557376955450306,0.6419509053230286,59,[3 2 6 2]
60,4270,13.197423268358836,0.05222372883274147,0.6493603587150574,60,[4 2 7 0]
61,1143,13.20743590011025,0.05214871283910043,0.6515191197395325,61,[1 1 4 3]
62,9954,13.371293114884416,0.050160256974148186,0.653326690196991,62,[9 9 5 4]
63,7202,13.384648039592504,0.050081011821678206,0.6500393152236938,63,[7 2 0 2]
64,3595,13.370851868738056,0.050090724850732044,0.6496222019195557,64,[3 5 9 5]
65,1382,13.390580045387779,0.04988518310411564,0.6565860509872437,65,[1 3 8 2]
66,6285,13.38911356628116,0.04988857001784595,0.6568114757537842,66,[6 2 8 5]
67,549,13.711370135142268,0.046027739289056624,0.6517759561538696,67,[0 5 4 9]
68,6369,13.75670864366414,0.04573791713580949,0.6623850464820862,68,[6 3 6 9]
69,9478,13.725946724063247,0.04615545789691908,0.6624586582183838,69,[9 4 7 8]
70,3812,13.758607334630472,0.04555555482696036,0.6756959557533264,70,[3 8 1 2]
71,1736,13.753329097353424,0.0456063930295295,0.6787842512130737,71,[1 7 3 6]
72,1281,13.748610521180735,0.04503914332836303,0.6817389726638794,72,[1 2 8 1]
73,1883,13.923488194679877,0.04316989349169603,0.6835920810699463,73,[1 8 8 3]
74,3549,13.94411148494215,0.04295830824944915,0.6825137138366699,74,[3 5 4 9]
75,1602,13.98721674284307,0.04241414874966722,0.6787930727005005,75,[1 6 0 2]
76,8719,13.975502990933945,0.042516898975227375,0.6778734922409058,76,[8 7 1 9]
77,5372,14.001809425123898,0.04224396047606859,0.6756698489189148,77,[5 3 7 2]
78,8482,14.048472166970695,0.041682906415276194,0.6771003603935242,78,[8 4 8 2]
79,9699,14.122329449143793,0.04066651903326715,0.6761404871940613,79,[9 6 9 9]
80,3042,14.824981030947693,0.034807848786259685,0.6952934265136719,80,[3 0 4 2]
81,2686,14.997999381416044,0.03359804930432801,0.6949273347854614,81,[2 6 8 6]
82,5385,15.656986495268978,0.02846607132407602,0.7300416231155396,82,[5 3 8 5]
83,5306,15.715710880867622,0.028177761981300762,0.7320961356163025,83,[5 3 0 6]
84,4238,15.713374643500842,0.028192284159369762,0.7317817807197571,84,[4 2 3 8]
85,1616,15.718757413856729,0.028158171467771106,0.7322031855583191,85,[1 6 1 6]
86,1481,15.711044572044145,0.028161340342612674,0.7324232459068298,86,[1 4 8 1]
87,3547,15.821646081795539,0.027522062705334065,0.7399996519088745,87,[3 5 4 7]
88,5758,15.821576217320017,0.027552754636719783,0.7400809526443481,88,[5 7 5 8]
89,8497,15.824998407861461,0.027488073509047126,0.7412737011909485,89,[8 4 9 7]
90,3214,15.82786307974361,0.027464573948550425,0.7374647855758667,90,[3 2 1 4]
91,5292,15.84073173798238,0.02730168572053117,0.7385497689247131,91,[5 2 9 2]
92,7281,16.269724097555578,0.02452371652568445,0.7655161023139954,91,[7 2 8 1]
93,1315,16.287338422045977,0.024334415585293527,0.7660346627235413,91,[1 3 1 5]
94,2069,16.280299103449384,0.02438120126826675,0.7655361294746399,91,[2 0 6 9]
95,4173,16.968691582686198,0.02091863898630109,0.7348080277442932,92,[4 1 7 3]
