step,action,psnr_value,mse_value,ssim_value,rank,action
1,330,6.722111351366264,0.21278518304228783,0.1604616492986679,1,[0 3 3 0]
2,2325,6.60946537076292,0.21837673872709273,0.14285621047019958,2,[2 3 2 5]
3,6676,6.60307628940709,0.21869889043271543,0.129581481218338,3,[6 6 7 6]
4,4398,6.49743233381885,0.22407687700902898,0.0646674782037735,4,[4 3 9 8]
5,9822,6.690941077705115,0.21431876099214492,0.10849068313837051,5,[9 8 2 2]
6,2855,6.697941826156079,0.21397824318613856,0.12039411067962646,6,[2 8 5 5]
7,3409,6.6950917849883655,0.2141199129407596,0.12003662437200546,7,[3 4 0 9]
8,1827,6.82089581184189,0.2079981959118959,0.14247450232505798,8,[1 8 2 7]
9,2735,7.233325159539248,0.18915861133963743,0.19317661225795746,9,[2 7 3 5]
10,5234,7.28514309017566,0.1869486242952712,0.21160852909088135,10,[5 2 3 4]
11,6974,7.19928414504375,0.19098971407511273,0.22667722404003143,11,[6 9 7 4]
12,1396,7.213067490333912,0.19034420449404935,0.21858572959899902,12,[1 3 9 6]
13,8454,7.247046379392613,0.188912729161068,0.2250966578722,13,[8 4 5 4]
14,7922,7.138278218348782,0.1939836885418481,0.23610135912895203,14,[7 9 2 2]
15,5753,7.099112049196501,0.19561733566489237,0.25087156891822815,15,[5 7 5 3]
16,2840,7.256985705121126,0.1924652343544585,0.2679199278354645,16,[2 8 4 0]
17,1501,7.280788339455357,0.1913908839807118,0.2585582733154297,17,[1 5 0 1]
18,5190,7.377769649911238,0.1870772356712405,0.2708923816680908,18,[5 1 9 0]
19,9989,7.509982381121514,0.18103435532568254,0.2767186164855957,19,[9 9 8 9]
20,4792,7.628869573906427,0.17644848280508085,0.2606746554374695,20,[4 7 9 2]
21,3070,7.551591820608621,0.17879648669990275,0.27965831756591797,21,[3 0 7 0]
22,4631,7.58050857799231,0.17748625620919484,0.2820996344089508,22,[4 6 3 1]
23,9807,7.572360003415732,0.1777473518962688,0.26946887373924255,23,[9 8 0 7]
24,7452,7.580798565978929,0.17727780587742017,0.26449665427207947,24,[7 4 5 2]
25,3359,8.247429363312392,0.1506531999678191,0.32179543375968933,25,[3 3 5 9]
26,8382,8.574812721179915,0.1397829972634645,0.3527439832687378,26,[8 3 8 2]
27,6435,9.411603855998212,0.11531568594276904,0.42054861783981323,27,[6 4 3 5]
28,2158,9.535859561338011,0.11241695349991232,0.42799463868141174,28,[2 1 5 8]
29,3826,9.570920078364702,0.11154448552377288,0.4298189580440521,29,[3 8 2 6]
30,9505,9.674621946231259,0.10856344042074852,0.4452592730522156,30,[9 5 0 5]
31,7945,10.041424513814462,0.09976862591538975,0.46050524711608887,31,[7 9 4 5]
32,8838,10.112270295210713,0.09831731786240198,0.4735383093357086,32,[8 8 3 8]
33,6536,10.04160744868005,0.09999081810867125,0.4709346294403076,33,[6 5 3 6]
34,7717,10.186550002770531,0.09654009718845974,0.4817929267883301,34,[7 7 1 7]
35,3771,10.248430925877319,0.09527464961389341,0.48055654764175415,35,[3 7 7 1]
36,8360,10.525932522287482,0.08952357619410009,0.49784374237060547,36,[8 3 6 0]
37,5802,10.539917526226791,0.08922501249820357,0.4998021721839905,37,[5 8 0 2]
38,7249,10.47507408065645,0.09060531360793903,0.49796828627586365,38,[7 2 4 9]
39,9361,10.541080588858968,0.0894108393703533,0.5001558661460876,39,[9 3 6 1]
40,4434,10.540940905181749,0.08940733828342502,0.4999728798866272,40,[4 4 3 4]
41,7613,10.51957466073435,0.08996329291966504,0.49530404806137085,41,[7 6 1 3]
42,48,10.50571983337038,0.09016045349329943,0.4967725872993469,42,[0 0 4 8]
43,3740,10.409133503073871,0.09214544012256738,0.5015847086906433,43,[3 7 4 0]
44,5392,10.46378450321306,0.09120815655875049,0.5112305879592896,44,[5 3 9 2]
