step,action,psnr_value,mse_value,ssim_value,rank,action
1,607,3.4713853279209395,0.4500278239883278,-0.006999913603067398,1,[0 6 0 7]
2,6490,3.471387608348829,0.4500275649059745,-0.0069994814693927765,2,[6 4 9 0]
3,4892,3.5748575567831624,0.43942721327322715,-0.02711542509496212,3,[4 8 9 2]
4,1180,3.892085255219512,0.40847427190768715,0.010161258280277252,4,[1 1 8 0]
5,4281,3.9329085858731467,0.4046420359141825,0.0072200908325612545,5,[4 2 8 1]
6,3960,4.052000120197792,0.3936866361015177,0.06419581174850464,6,[3 9 6 0]
7,7647,4.627207994050551,0.344864913866802,0.19978085160255432,7,[7 6 4 7]
8,2656,4.628491421913862,0.344800309752643,0.19883525371551514,8,[2 6 5 6]
9,2863,4.672032783435236,0.3413358188451434,0.21456405520439148,9,[2 8 6 3]
10,4921,4.678696550479664,0.3408575876296868,0.2106001079082489,10,[4 9 2 1]
11,9853,4.808011707392666,0.3308893119881736,0.21163062751293182,11,[9 8 5 3]
12,975,4.929427853012182,0.3217238247609566,0.21444003283977509,12,[0 9 7 5]
13,299,4.956314831066649,0.31971576432863,0.2085263729095459,13,[0 2 9 9]
14,5587,5.116603785924466,0.3080754783430348,0.20851051807403564,14,[5 5 8 7]
15,8755,5.184739272371287,0.306113788731609,0.23054757714271545,15,[8 7 5 5]
16,1527,5.184842841732653,0.30612218606488567,0.23063263297080994,15,[1 5 2 7]
17,6382,5.228416243640792,0.30309432375447615,0.22703123092651367,16,[6 3 8 2]
18,4246,5.2284723813090705,0.3030905059982342,0.22701522707939148,17,[4 2 4 6]
19,4518,5.518947014436312,0.285602924591567,0.29237475991249084,18,[4 5 1 8]
20,2154,5.587324795520607,0.28013239432342746,0.30499035120010376,19,[2 1 5 4]
21,3303,5.586846668205987,0.28008964167658634,0.3052613139152527,20,[3 3 0 3]
22,8699,5.587772464727461,0.28000924720965487,0.30469590425491333,21,[8 6 9 9]
23,485,5.685456333836859,0.2750394899073399,0.31352704763412476,22,[0 4 8 5]
24,9169,6.155298506431634,0.2457425062749644,0.30443429946899414,23,[9 1 6 9]
25,815,6.340938013129607,0.23419106641411416,0.29615849256515503,24,[0 8 1 5]
26,4237,6.451244356015291,0.22885289720805305,0.29917651414871216,25,[4 2 3 7]
27,9106,6.4733358258620175,0.22771220143949905,0.2983742654323578,26,[9 1 0 6]
28,5746,6.6239632823638885,0.22143605323559312,0.3185282349586487,27,[5 7 4 6]
29,9915,6.637676043739197,0.22062784503221336,0.3183341920375824,28,[9 9 1 5]
30,3496,6.659353817107389,0.21952496143123426,0.3075715899467468,29,[3 4 9 6]
31,83,6.693313289755498,0.2192516478664038,0.313148558139801,30,[0 0 8 3]
32,6158,6.69502389795799,0.21922748916660567,0.3134284019470215,31,[6 1 5 8]
33,6332,6.804484498468758,0.21467046218487668,0.33370912075042725,32,[6 3 3 2]
34,3230,6.814613372709415,0.21443246104070568,0.33393290638923645,33,[3 2 3 0]
35,3116,6.94016897835151,0.20981814536215096,0.34759756922721863,34,[3 1 1 6]
36,20,7.0270965603049635,0.20628745378693567,0.3667260408401489,35,[0 0 2 0]
37,3837,7.421010873712275,0.19063261435148887,0.384723961353302,36,[3 8 3 7]
38,1210,7.5490214529435935,0.18574784493175683,0.4083669185638428,37,[1 2 1 0]
39,2629,7.577486263569365,0.18455941215725033,0.41573649644851685,38,[2 6 2 9]
40,4062,7.6635261912084935,0.18161541498306177,0.42000189423561096,39,[4 0 6 2]
41,529,7.780472086714656,0.17757484972406928,0.42463111877441406,40,[0 5 2 9]
42,9511,7.802013399849342,0.17628099611407377,0.42575937509536743,41,[9 5 1 1]
43,6199,7.873601724578823,0.17309428311244118,0.41586869955062866,42,[6 1 9 9]
44,8785,8.141608259777664,0.16316599658202904,0.48213475942611694,43,[8 7 8 5]
45,3080,8.181904376093975,0.16043362181442716,0.4703119695186615,44,[3 0 8 0]
46,2254,8.200974320879856,0.16013613700171844,0.475205659866333,45,[2 2 5 4]
47,576,8.275950264987815,0.158649389823986,0.48597487807273865,46,[0 5 7 6]
48,6251,8.405550666766338,0.15226234789463888,0.5142807960510254,47,[6 2 5 1]
49,3892,8.468986024054265,0.14936784181281035,0.5145629644393921,48,[3 8 9 2]
50,8977,8.45621945089928,0.14964775399889846,0.5140935778617859,49,[8 9 7 7]
51,922,8.46947842038505,0.14940591789898464,0.5138049125671387,50,[0 9 2 2]
52,6552,8.48432961459028,0.14831552999694395,0.5148691534996033,51,[6 5 5 2]
53,5321,8.488344812542387,0.14763000018877392,0.5138551592826843,52,[5 3 2 1]
54,7262,8.4686800330863,0.1486279005870108,0.5108753442764282,53,[7 2 6 2]
55,5224,8.624954436153017,0.14363315033788696,0.5410349369049072,54,[5 2 2 4]
56,6070,8.817099829338161,0.13687567724789915,0.552320122718811,55,[6 0 7 0]
57,1624,8.771125690011916,0.13822399164029775,0.5469817519187927,56,[1 6 2 4]
58,1109,8.967934608372978,0.1331603426896345,0.5705158114433289,57,[1 1 0 9]
59,4054,8.969898343361622,0.1325841045108308,0.5668323636054993,58,[4 0 5 4]
60,4355,10.075307246410727,0.10422545109220664,0.7085685133934021,59,[4 3 5 5]
61,1495,10.389671605444759,0.09908729813001628,0.724441647529602,60,[1 4 9 5]
62,2914,10.449877337183299,0.09799468268296184,0.7254899740219116,61,[2 9 1 4]
63,4482,10.485139937694628,0.09719141226980355,0.7281703948974609,62,[4 4 8 2]
64,5650,10.400240726278758,0.09904173972491108,0.7241374254226685,63,[5 6 5 0]
65,550,10.49222291346245,0.09764674429375617,0.7280488014221191,64,[0 5 5 0]
66,4964,10.624443138680537,0.095017908794689,0.7314268946647644,65,[4 9 6 4]
67,6219,10.829383072064317,0.09055229545631391,0.7403947710990906,66,[6 2 1 9]
68,4184,11.098196113335936,0.08686634594972986,0.7465218305587769,67,[4 1 8 4]
69,8918,11.472175229518255,0.0802999760746161,0.770028829574585,68,[8 9 1 8]
70,737,11.573498266897857,0.07846943531201304,0.7681877017021179,69,[0 7 3 7]
71,990,11.56762531184608,0.07851722871670062,0.7677237391471863,70,[0 9 9 0]
72,782,11.889311546047288,0.07254295716119487,0.7651232481002808,71,[0 7 8 2]
73,2372,11.931758729919299,0.07193709700797626,0.7681878209114075,72,[2 3 7 2]
74,6190,11.964222387410523,0.07131133187543583,0.7691023349761963,73,[6 1 9 0]
75,2781,11.957208663948705,0.07144550420291182,0.7670275568962097,74,[2 7 8 1]
76,154,12.065828111738288,0.07012547567836008,0.772216260433197,75,[0 1 5 4]
77,3387,12.076651416960885,0.06894535491113402,0.7722527980804443,76,[3 3 8 7]
78,3011,12.110012020012402,0.0685777151183197,0.7700216770172119,77,[3 0 1 1]
79,6411,12.175860267241896,0.06781834465815337,0.7728664875030518,78,[6 4 1 1]
80,1124,12.224946048978305,0.06611651946340316,0.776297390460968,79,[1 1 2 4]
81,8515,12.444646608925634,0.06216083555265584,0.7882562279701233,80,[8 5 1 5]
82,2739,12.568925054803561,0.06024821875371799,0.795229434967041,81,[2 7 3 9]
83,8484,12.721509323948519,0.05752653910980143,0.7953978180885315,82,[8 4 8 4]
84,324,12.792781581937131,0.05686280178501647,0.7933008074760437,83,[0 3 2 4]
85,4159,12.808944971151504,0.056665923471379075,0.7952424883842468,83,[4 1 5 9]
86,4532,12.89801744969408,0.055747989146469765,0.7800712585449219,84,[4 5 3 2]
87,1223,12.958208156227444,0.0546443302734825,0.7792788147926331,85,[1 2 2 3]
88,9409,12.949669104066416,0.05473415230893352,0.7783681154251099,86,[9 4 0 9]
89,5180,13.629798031013351,0.048427533692279784,0.774488091468811,87,[5 1 8 0]
90,5123,13.666171272857914,0.0484017118937733,0.7806538939476013,88,[5 1 2 3]
91,8565,13.713392521952017,0.04723131488207855,0.7820850610733032,89,[8 5 6 5]
92,4908,13.894770574173641,0.044708442894022406,0.7847055196762085,90,[4 9 0 8]
93,6145,15.763160512470193,0.028104791552086682,0.862705409526825,91,[6 1 4 5]
94,1607,16.083409229342585,0.02577014166478875,0.8918737173080444,92,[1 6 0 7]
95,4378,16.17235150606823,0.025292262424517275,0.8956297039985657,93,[4 3 7 8]
96,1533,16.178780180802317,0.02527775994140853,0.8939253091812134,94,[1 5 3 3]
97,6493,16.21585232816014,0.02505807003096816,0.8935786485671997,95,[6 4 9 3]
98,5368,17.69233445415438,0.018321089390648523,0.8791942596435547,96,[5 3 6 8]
99,5142,17.813617077658783,0.018124313474586772,0.8834554553031921,97,[5 1 4 2]
100,6655,17.884325602177892,0.017768607514493624,0.883697509765625,97,[6 6 5 5]
101,2006,18.269376864395706,0.016289074167178938,0.8951829075813293,97,[2 0 0 6]
102,1488,18.344316622384447,0.01599086836729839,0.8948322534561157,97,[1 4 8 8]
103,2046,18.611440695344783,0.014804236170337503,0.8990060091018677,98,[2 0 4 6]
104,4326,18.784219800931115,0.014081779878228682,0.9213315844535828,98,[4 3 2 6]
105,7483,18.977045851758103,0.013306318955235952,0.9422900080680847,98,[7 4 8 3]
106,548,19.06425312497207,0.01301304979955205,0.9288862347602844,98,[0 5 4 8]
107,140,19.460437911305103,0.011673502765357497,0.9359307289123535,98,[0 1 4 0]
108,7955,19.473358371726817,0.011630183356058055,0.9362176656723022,98,[7 9 5 5]
109,8717,19.559046243447398,0.011390386441065914,0.9379105567932129,99,[8 7 1 7]
110,2257,19.532553812068873,0.011570168487877482,0.9376835823059082,99,[2 2 5 7]
111,8176,19.58099736783776,0.011440065137373381,0.9380123019218445,99,[8 1 7 6]
112,4470,19.751693487927593,0.010903298477185226,0.9375279545783997,99,[4 4 7 0]
113,9558,19.750946795472913,0.010903584086774786,0.9377010464668274,99,[9 5 5 8]
114,4224,20.015791529948743,0.010184908052654151,0.9556084871292114,99,[4 2 2 4]
115,1131,20.08134433376572,0.01001095653966642,0.9600594639778137,99,[1 1 3 1]
116,3392,20.118600388427552,0.009890492904214945,0.9620651006698608,99,[3 3 9 2]
117,9301,20.116188802548503,0.009892366421775236,0.9588301777839661,99,[9 3 0 1]
118,7372,20.086118398303377,0.00999048754234206,0.9584128260612488,99,[7 3 7 2]
119,4621,20.085040687746066,0.009986611967283992,0.9564663171768188,99,[4 6 2 1]
120,2777,20.088398634327824,0.00996985154827975,0.9564179182052612,99,[2 7 7 7]
121,3679,20.129396047269253,0.009852187479579158,0.9586636424064636,99,[3 6 7 9]
122,3479,20.169244156997603,0.009776957272316622,0.9591557383537292,99,[3 4 7 9]
123,2012,20.17191259052987,0.009781607986398058,0.9594053030014038,99,[2 0 1 2]
