step,action,psnr_value,mse_value,ssim_value,rank,action
1,73,6.616095987922978,0.2180767367151475,0.030500248074531555,1,[0 0 4 9]
2,27187,6.638319250063876,0.21695473436534485,0.02059134468436241,2,[ 6 10  3  3]
3,63179,6.6692739705567785,0.21541871676572555,0.03844073414802551,3,[15  6 12 11]
4,32854,6.678433923128237,0.21496430824436175,0.0399511381983757,4,[8 0 5 6]
5,50013,6.9719579207624545,0.2009209496880544,0.10061069577932358,5,[12  3  5 13]
6,9834,6.984130220106404,0.2003562849469707,0.09574314206838608,6,[ 2  6  6 10]
7,37265,7.086311433355786,0.19570208427671787,0.12362286448478699,7,[9 1 9 1]
8,62517,7.101313727969016,0.1950281719336715,0.14833126962184906,8,[15  4  3  5]
9,12096,7.030559623923349,0.1982307784268471,0.1765928715467453,9,[ 2 15  4  0]
10,41559,7.705714554482832,0.1696889274962068,0.23369428515434265,10,[10  2  5  7]
11,37831,7.736993068588704,0.16847017780699147,0.2340002954006195,11,[ 9  3 12  7]
12,14346,7.56348248139136,0.17533535004259804,0.25420433282852173,12,[ 3  8  0 10]
13,40956,7.5240352765304594,0.17693368439890378,0.25376224517822266,13,[ 9 15 15 12]
14,238,7.916556790327915,0.16164293854994938,0.2564353346824646,14,[ 0  0 14 14]
15,44318,7.821022341918895,0.16523611306645283,0.2802051603794098,15,[10 13  1 14]
16,58606,7.850711154204241,0.16424437667313896,0.25695180892944336,16,[14  4 14 14]
17,37983,7.700368880732203,0.1698844010377627,0.2426556497812271,17,[ 9  4  5 15]
18,32944,7.772470383762049,0.1671005674894337,0.2668960988521576,18,[ 8  0 11  0]
19,34155,7.768523537108296,0.16724719870686044,0.253423810005188,19,[ 8  5  6 11]
20,7724,7.871175860527213,0.16335349586762504,0.26878347992897034,20,[ 1 14  2 12]
21,6895,7.891361322637528,0.16260464491807625,0.27614718675613403,21,[ 1 10 14 15]
22,61620,7.97374569623464,0.1595588900683893,0.27515706419944763,22,[15  0 11  4]
23,47719,7.9920636074370845,0.1588935343960869,0.28216275572776794,23,[11 10  6  7]
24,10189,8.10045810012818,0.15501775290136166,0.2865680456161499,24,[ 2  7 12 13]
25,1865,8.031383673301164,0.15760219656895913,0.3141224980354309,25,[0 7 4 9]
26,15788,8.20507487081436,0.15162145327139065,0.3119879961013794,26,[ 3 13 10 12]
27,3435,8.199537293637885,0.15179041281044192,0.3121202290058136,27,[ 0 13  6 11]
28,54484,8.24366288211795,0.15105047929815776,0.33424627780914307,28,[13  4 13  4]
29,61105,8.24962818601427,0.15083585511980016,0.33440926671028137,29,[14 14 11  1]
30,64290,8.249575542264886,0.15083751273452042,0.3343845009803772,30,[15 11  2  2]
31,55149,8.248410552653606,0.15087851148563827,0.3341502845287323,31,[13  7  6 13]
32,6073,8.340788036075569,0.14849425816911221,0.3585435748100281,32,[ 1  7 11  9]
33,5369,8.642606566481433,0.13878794517210402,0.3734801411628723,33,[ 1  4 15  9]
34,857,8.625587820541101,0.13938333892183508,0.37071505188941956,34,[0 3 5 9]
35,18424,8.734622602983181,0.13583566876034503,0.3698047399520874,35,[ 4  7 15  8]
36,8819,8.928121208442562,0.1314941060918865,0.3397379219532013,36,[2 2 7 3]
37,2101,8.912482641898748,0.1320588317982725,0.336774080991745,37,[0 8 3 5]
38,4875,8.896787420207318,0.13259754376407784,0.32710134983062744,38,[ 1  3  0 11]
39,52161,8.905810803853008,0.13215843054184717,0.3247694969177246,39,[12 11 12  1]
40,48954,8.95706674618961,0.1306509852271558,0.3326449990272522,40,[11 15  3 10]
41,51844,8.963093364688277,0.13038572409741267,0.3292936682701111,41,[12 10  8  4]
42,60097,8.947434751776736,0.13196189185077023,0.3226022720336914,42,[14 10 12  1]
43,40315,9.021084172138835,0.1293191121647288,0.3290131986141205,43,[ 9 13  7 11]
44,9550,9.060339660348738,0.12878960220718705,0.3473637104034424,44,[ 2  5  4 14]
45,55785,9.071327422859959,0.1282806753429706,0.3490404486656189,45,[13  9 14  9]
46,35788,8.976155069327143,0.13171676766792473,0.33759424090385437,46,[ 8 11 12 12]
47,18870,8.97939472389554,0.13169115945982668,0.33798134326934814,47,[ 4  9 11  6]
48,64279,8.993668109414656,0.13081244341709208,0.34555768966674805,48,[15 11  1  7]
49,38331,9.098427618016995,0.1273682001280133,0.35967132449150085,49,[ 9  5 11 11]
50,40102,9.103995144918077,0.1272160740104029,0.3605579435825348,50,[ 9 12 10  6]
51,9584,9.047117404506366,0.12888882562097068,0.35952574014663696,51,[2 5 7 0]
52,15540,9.03656141530358,0.12915480246775157,0.3597941994667053,52,[ 3 12 11  4]
53,25639,9.053095143755394,0.12942517559360045,0.3621171712875366,53,[6 4 2 7]
54,62975,9.297248207135734,0.12170299271989649,0.38595879077911377,54,[15  5 15 15]
55,44429,9.890450706692787,0.10753635107812443,0.4251963794231415,55,[10 13  8 13]
56,16073,10.024418784418197,0.10415910782837795,0.43240630626678467,56,[ 3 14 12  9]
57,48198,10.05741686634879,0.10340893045418298,0.43909603357315063,57,[11 12  4  6]
58,17612,10.078299367629528,0.10290470501794502,0.44210147857666016,58,[ 4  4 12 12]
59,20981,10.077009199229598,0.1034470005490915,0.45360326766967773,59,[ 5  1 15  5]
60,42737,10.083389292027086,0.10322343526361061,0.45493197441101074,60,[10  6 15  1]
61,11059,10.084104133976462,0.10327007109922492,0.4553759694099426,61,[ 2 11  3  3]
62,37233,10.128456258581073,0.10209800711287365,0.4622267484664917,62,[9 1 7 1]
63,43666,10.285698085017021,0.09897893577829553,0.500165581703186,63,[10 10  9  2]
64,15512,10.339651240623496,0.09751041873371236,0.5067915320396423,64,[ 3 12  9  8]
65,2487,10.719095607241753,0.08862735322513715,0.5380630493164062,65,[ 0  9 11  7]
66,19536,10.973506444615364,0.08414395314143164,0.5456014275550842,66,[ 4 12  5  0]
67,15190,10.976663749545676,0.08410073089619452,0.5457735061645508,67,[ 3 11  5  6]
68,54692,10.992682794820862,0.08400676059172729,0.5479891300201416,68,[13  5 10  4]
69,48937,10.994138272149314,0.08409527751793178,0.548532247543335,69,[11 15  2  9]
70,636,11.045931677937535,0.0832002647441823,0.5556825995445251,70,[ 0  2  7 12]
71,62432,11.09427730306274,0.08226211157726482,0.5576016902923584,71,[15  3 14  0]
72,19170,11.118234936916913,0.08191552579222618,0.5573134422302246,72,[ 4 10 14  2]
73,16510,11.12154051372936,0.0820923671898981,0.5561995506286621,73,[ 4  0  7 14]
74,64056,11.127189866469259,0.08199131194406206,0.5560910105705261,74,[15 10  3  8]
75,9596,11.108578909103173,0.08237860434397248,0.5552200675010681,75,[ 2  5  7 12]
76,3777,11.108311662832948,0.08238258801980791,0.5551979541778564,76,[ 0 14 12  1]
77,18811,11.119262443494122,0.08188858553861735,0.5563022494316101,77,[ 4  9  7 11]
78,47948,11.116188076422873,0.08162198586400393,0.5540362596511841,78,[11 11  4 12]
79,554,11.116982665858464,0.08160515783747968,0.554082989692688,79,[ 0  2  2 10]
80,46589,11.15029682140529,0.08105449456185454,0.5562843680381775,80,[11  5 15 13]
81,64664,11.141857941047066,0.08109921087989491,0.5572315454483032,81,[15 12  9  8]
82,4156,11.139403774996328,0.08109587424480383,0.5569928288459778,82,[ 1  0  3 12]
83,39354,11.184388763742037,0.08032959934149275,0.5607262849807739,83,[ 9  9 11 10]
84,20988,11.1825911498351,0.08035386424296931,0.560596764087677,84,[ 5  1 15 12]
85,5512,11.185369015860172,0.08040524580476038,0.5671645998954773,85,[1 5 8 8]
86,17153,11.41648543831893,0.0762347696709007,0.5739486217498779,86,[4 3 0 1]
87,32188,11.415890861489055,0.07629925334702703,0.5730260014533997,87,[ 7 13 11 12]
88,43509,11.530025110033698,0.07446130784386851,0.5875775814056396,88,[10  9 15  5]
89,45440,11.529657991637002,0.07446805770978272,0.5876193046569824,89,[11  1  8  0]
90,12055,11.526628824198038,0.07452099947800718,0.5873827934265137,90,[ 2 15  1  7]
91,23715,11.685895733077365,0.07172510235457352,0.5890233516693115,91,[ 5 12 10  3]
92,12023,11.770816067182325,0.07052616766289521,0.5992598533630371,92,[ 2 14 15  7]
93,55812,11.801779151559098,0.06987513411339125,0.6000181436538696,93,[13 10  0  4]
94,51752,11.826315587028107,0.06971191495937035,0.6057966351509094,94,[12 10  2  8]
95,40709,11.830279382442848,0.06954929348574534,0.6047442555427551,95,[ 9 15  0  5]
96,14858,11.897792508461343,0.0685499742476452,0.6089030504226685,96,[ 3 10  0 10]
97,28194,11.899148864229598,0.06850154168686728,0.6084225177764893,97,[ 6 14  2  2]
98,30222,12.104435539173053,0.06559657953651765,0.6198298931121826,98,[ 7  6  0 14]
99,45137,12.123045976736805,0.0652436686233977,0.6195330023765564,99,[11  0  5  1]
100,34209,12.48201259866283,0.060190563704902944,0.6438999176025391,100,[ 8  5 10  1]
101,56903,12.49687908015047,0.06008772597551992,0.6447917222976685,101,[13 14  4  7]
102,62939,12.51121904208972,0.05996859423038714,0.6440256237983704,102,[15  5 13 11]
103,5870,12.508507321979717,0.06002049765150158,0.6438198089599609,103,[ 1  6 14 14]
104,51585,12.526453927147987,0.05998489017198949,0.6417535543441772,104,[12  9  8  1]
105,15211,12.593110270652996,0.059198724988644535,0.6536569595336914,105,[ 3 11  6 11]
106,10154,12.601906385999357,0.05915179115446634,0.6545655727386475,106,[ 2  7 10 10]
107,55612,12.647933873994788,0.058420217477163305,0.6544536352157593,107,[13  9  3 12]
108,49676,12.671771362776248,0.058149609103546496,0.6553654670715332,108,[12  2  0 12]
109,19228,12.700301469419067,0.057763666004182534,0.6552044153213501,109,[ 4 11  1 12]
110,8180,12.680327956953864,0.05797849557137846,0.6535937190055847,110,[ 1 15 15  4]
111,11938,12.718158590718069,0.05748882235432351,0.6576321125030518,111,[ 2 14 10  2]
112,21244,12.726123968476614,0.05736466010657894,0.6580556035041809,112,[ 5  2 15 12]
113,40390,12.729197532691657,0.05730080915268565,0.6584571599960327,113,[ 9 13 12  6]
114,65338,12.722608110670153,0.05741966370162288,0.6603901982307434,114,[15 15  3 10]
115,27421,12.780112637612785,0.056586350558850196,0.6616596579551697,115,[ 6 11  1 13]
116,56109,12.780297048099028,0.05658657534227973,0.6616143584251404,116,[13 11  2 13]
117,44359,12.780734963016101,0.056604966219624464,0.6615991592407227,117,[10 13  4  7]
118,16447,12.788192911594766,0.0565681789879704,0.6615170836448669,118,[ 4  0  3 15]
119,3827,12.81114344838099,0.056319627428505825,0.661329448223114,119,[ 0 14 15  3]
120,6012,12.8111621517547,0.056248716770433305,0.6628322601318359,120,[ 1  7  7 12]
121,34808,12.897335248746478,0.055135499825587075,0.66228187084198,121,[ 8  7 15  8]
122,55632,12.888006653555662,0.05493356121753101,0.6623359322547913,122,[13  9  5  0]
123,52434,12.895356448811611,0.054775329208391454,0.6610066294670105,123,[12 12 13  2]
124,14319,12.937395565484067,0.05432996305860266,0.6617593765258789,124,[ 3  7 14 15]
125,33481,12.923142208004847,0.05435850926548369,0.6614561080932617,125,[ 8  2 12  9]
126,8471,13.004246137314608,0.053451245718635576,0.6608957648277283,126,[2 1 1 7]
127,37254,13.393712231655668,0.049217234809788124,0.6754336357116699,127,[9 1 8 6]
128,52210,13.398555829914663,0.049078469976963315,0.6743865013122559,128,[12 11 15  2]
