step,action,psnr_value,mse_value,ssim_value,rank,action
1,3048,5.857141455846074,0.2597303821821697,0.1071983203291893,1,[ 0 11 14  8]
2,31437,6.249112392707167,0.23731340007066137,0.12470892071723938,2,[ 7 10 12 13]
3,56284,6.358116537446152,0.23143040642958113,0.11354681104421616,3,[13 11 13 12]
4,14459,6.451222749613644,0.2265200801091396,0.1281994879245758,4,[ 3  8  7 11]
5,4608,6.48765231342754,0.22462693398179567,0.137132927775383,5,[1 2 0 0]
6,54722,6.654250250788304,0.2161745743578365,0.14198508858680725,6,[13  5 12  2]
7,56206,7.104406378067123,0.19489472646823813,0.17760467529296875,7,[13 11  8 14]
8,45921,7.199492394806191,0.19067332298014428,0.18243193626403809,8,[11  3  6  1]
9,44775,7.285775255327858,0.18692997455506344,0.1709471344947815,9,[10 14 14  7]
10,58161,7.270013691272607,0.1876073265038255,0.17564308643341064,10,[14  3  3  1]
11,52498,7.463356279634803,0.1795015973643288,0.18683063983917236,11,[12 13  1  2]
12,36628,7.686272906308151,0.17051212220661682,0.22901183366775513,12,[ 8 15  1  4]
13,7614,7.7507557306097,0.1679985530770125,0.2345256507396698,13,[ 1 13 11 14]
14,38640,8.104790580515623,0.15484863684210382,0.25130483508110046,14,[ 9  6 15  0]
15,63948,8.10757984121783,0.15491277660635205,0.26516979932785034,15,[15  9 12 12]
16,3005,8.107782197920422,0.15490561892863752,0.2652134597301483,16,[ 0 11 11 13]
17,50823,8.364881914973223,0.14608815399418296,0.289767861366272,17,[12  6  8  7]
18,15879,8.374765847517587,0.1457696085677298,0.2902075946331024,18,[ 3 14  0  7]
19,49243,8.349303618768722,0.14681366013905972,0.29161500930786133,19,[12  0  5 11]
20,41903,8.33885140701726,0.14717944184963017,0.28750020265579224,20,[10  3 10 15]
21,63069,8.366359009739,0.14617159565900728,0.3094387352466583,21,[15  6  5 13]
22,55170,8.43508546323634,0.1441548676022677,0.3114326596260071,22,[13  7  8  2]
23,64752,8.443535318015549,0.14386958173668507,0.3111375570297241,23,[15 12 15  0]
24,44271,8.613074273640127,0.13918025617153035,0.32946211099624634,24,[10 12 14 15]
25,7375,8.611234561720922,0.13921669473538384,0.3340246081352234,25,[ 1 12 12 15]
26,30508,8.686885555151333,0.1368885442971921,0.3335404396057129,26,[ 7  7  2 12]
27,15519,8.685916697924617,0.13687872554620029,0.33246034383773804,27,[ 3 12  9 15]
28,16690,8.678500014986623,0.13729723247727676,0.3307722210884094,28,[4 1 3 2]
29,55221,8.728812384697521,0.1356442977679606,0.341534286737442,29,[13  7 11  5]
30,25946,8.775439282581056,0.13428192562847396,0.3525732755661011,30,[ 6  5  5 10]
31,45909,8.786111983283092,0.1338835044843396,0.35895854234695435,31,[11  3  5  5]
32,19157,8.791150772404011,0.13369685842992612,0.36642661690711975,32,[ 4 10 13  5]
33,62314,8.788037907302586,0.13375923428851788,0.3657951354980469,33,[15  3  6 10]
34,59930,8.788079804879608,0.13375772619516546,0.36579281091690063,34,[14 10  1 10]
35,273,8.936061246372784,0.12926324732520378,0.3692169189453125,35,[0 1 1 1]
36,57307,8.96452231166565,0.12843555679869212,0.37054020166397095,36,[13 15 13 11]
37,38728,8.970695570631737,0.12824037927903476,0.3710980713367462,37,[9 7 4 8]
38,13419,9.644392896045057,0.11072277368465544,0.42464327812194824,38,[ 3  4  6 11]
39,44036,9.700699009498242,0.10937717339661912,0.43852394819259644,39,[10 12  0  4]
40,5352,9.698176590723552,0.10938537559441663,0.4374297857284546,40,[ 1  4 14  8]
41,12960,9.72919208781234,0.10882338779529754,0.44149452447891235,41,[ 3  2 10  0]
42,65198,9.73063547293974,0.10903590165319699,0.4443044364452362,42,[15 14 10 14]
43,63295,9.700520630748766,0.10975311623211148,0.44085413217544556,43,[15  7  3 15]
44,14304,9.700138729659107,0.10969258838943396,0.44329947233200073,44,[ 3  7 14  0]
45,59006,9.744043979728241,0.10866741607341623,0.4433351755142212,45,[14  6  7 14]
46,21808,9.757678701487112,0.1082477419258856,0.43915945291519165,46,[5 5 3 0]
47,7570,9.792149295335038,0.10741508198954719,0.447903037071228,47,[ 1 13  9  2]
48,34221,9.818670996666487,0.1069294257921527,0.4553367495536804,48,[ 8  5 10 13]
49,54191,9.82502692154204,0.10679392933636933,0.4580453038215637,49,[13  3 10 15]
50,7944,9.835205408155943,0.10660985827471284,0.45805293321609497,50,[ 1 15  0  8]
51,12731,9.878154742001538,0.10573867061117465,0.45879918336868286,51,[ 3  1 11 11]
52,49201,9.93417710702987,0.10456590858310832,0.46476370096206665,52,[12  0  3  1]
53,10870,9.949165412881849,0.10424976035983735,0.46429452300071716,53,[ 2 10  7  6]
54,32247,9.949549121493721,0.10423874898236596,0.46435147523880005,54,[ 7 13 15  7]
55,35508,9.950368167068369,0.10417523734359574,0.46049124002456665,55,[ 8 10 11  4]
56,61245,10.12651894416259,0.10036692316318738,0.4808538854122162,56,[14 15  3 13]
57,273,10.227163824830502,0.09839528543649845,0.48223569989204407,57,[0 1 1 1]
58,50310,10.22748762666307,0.0983911754703124,0.4822160601615906,57,[12  4  8  6]
59,30535,10.24426289332104,0.09789419169759128,0.48163357377052307,58,[7 7 4 7]
60,50112,10.320241151376566,0.0964995504878598,0.4790935814380646,59,[12  3 12  0]
61,37732,10.464505363257782,0.09277489369143055,0.48871421813964844,60,[9 3 6 4]
62,16664,10.489782846166449,0.09229380282225108,0.4932393431663513,61,[4 1 1 8]
63,46788,10.51209807576489,0.09204789680307357,0.49092423915863037,62,[11  6 12  4]
64,22559,10.517862105382964,0.09189512635475339,0.49081480503082275,63,[ 5  8  1 15]
65,59404,10.543916913872437,0.0908279429348139,0.48858827352523804,64,[14  8  0 12]
66,42705,10.543932858415745,0.0908191732856879,0.4885041415691376,65,[10  6 13  1]
67,55028,10.544629209439286,0.09085886640912245,0.48792821168899536,66,[13  6 15  4]
68,35232,10.83998999697515,0.08494049414918259,0.49847039580345154,67,[ 8  9 10  0]
69,48136,10.89133879581225,0.08395769378739448,0.5077844858169556,68,[11 12  0  8]
70,24307,10.895278414373117,0.08416642046694602,0.510898232460022,69,[ 5 14 15  3]
71,27008,10.92471484574709,0.08390988246555331,0.5220023989677429,70,[6 9 8 0]
72,40118,10.985500027261224,0.08284256048931837,0.5299773216247559,71,[ 9 12 11  6]
73,35736,11.002961101862578,0.08249125367550292,0.5283647179603577,72,[ 8 11  9  8]
74,24911,10.9974681595435,0.08257708038150136,0.527526319026947,73,[ 6  1  4 15]
75,17761,11.050999725956201,0.0817167139296218,0.534552812576294,74,[4 5 6 1]
76,50129,11.085535670781066,0.08110297010304446,0.537956953048706,75,[12  3 13  1]
77,23518,11.088845456862364,0.08100349818565089,0.5384573340415955,76,[ 5 11 13 14]
78,22231,11.10428786379754,0.08067674892851429,0.5414121150970459,77,[ 5  6 13  7]
79,43779,11.15468304536359,0.07980814046240614,0.5434391498565674,78,[10 11  0  3]
80,16909,11.146746787138063,0.07992906679797396,0.5441493988037109,79,[ 4  2  0 13]
81,46499,11.16694668528259,0.07960258423028854,0.5445713400840759,80,[11  5 10  3]
82,24462,11.161056679347872,0.07967481678499633,0.5441659688949585,81,[ 5 15  8 14]
83,58768,11.183821643833225,0.07974199361003387,0.540799081325531,82,[14  5  9  0]
84,61947,11.178090473239221,0.07979746135011057,0.5403380393981934,83,[15  1 15 11]
85,21565,11.180003396955321,0.07972388485305287,0.540714681148529,84,[ 5  4  3 13]
86,62312,11.18571484194431,0.07965740811436639,0.5413947701454163,85,[15  3  6  8]
87,21850,11.219996932459564,0.07902687634772847,0.5417879819869995,86,[ 5  5  5 10]
88,12357,11.222355132864742,0.07896380855267404,0.5433986186981201,87,[3 0 4 5]
89,53276,11.270365880603816,0.07790739473571362,0.5468268394470215,88,[13  0  1 12]
90,65441,11.269999841799198,0.07791370358538474,0.5468493700027466,89,[15 15 10  1]
91,30697,11.321451015792363,0.07712112143103879,0.5494096875190735,90,[ 7  7 14  9]
92,23538,11.328792674795302,0.07696359989926704,0.5501697659492493,91,[ 5 11 15  2]
93,41310,11.329021266184508,0.07697148723638825,0.5501953363418579,92,[10  1  5 14]
94,57019,11.36271696006181,0.07641889055032194,0.5530015230178833,93,[13 14 11 11]
95,35563,11.365167600441579,0.07647349751435706,0.5534082651138306,94,[ 8 10 14 11]
96,8120,11.380546531534472,0.07614019235946756,0.5553046464920044,95,[ 1 15 11  8]
97,22012,11.380704165331665,0.07608470277179702,0.5554973483085632,96,[ 5  5 15 12]
98,34386,11.471013515884332,0.07445386028621936,0.5630930066108704,97,[8 6 5 2]
99,10857,11.545883959494535,0.07341244592526408,0.5728060603141785,98,[ 2 10  6  9]
100,35,11.555040976627144,0.0732923845374458,0.5748501420021057,99,[0 0 2 3]
101,29479,11.556095359125083,0.07327443624150476,0.5749272108078003,100,[7 3 2 7]
102,15659,11.631003958067936,0.07221184865257335,0.578253984451294,101,[ 3 13  2 11]
103,29887,11.629454239396559,0.07217875117454753,0.578865110874176,102,[ 7  4 11 15]
104,31938,11.676994185871806,0.07150134240611017,0.5766305923461914,103,[ 7 12 12  2]
105,65341,11.716248593403975,0.0707617559656315,0.579416811466217,104,[15 15  3 13]
106,54303,11.8830242308341,0.06816818060202606,0.5870605707168579,105,[13  4  1 15]
107,58243,11.909336703999926,0.06776152383564593,0.5897983908653259,106,[14  3  8  3]
108,48353,11.912664218189835,0.06769417022269053,0.589533805847168,107,[11 12 14  1]
109,15473,11.932432210664734,0.06769118270557506,0.5908504724502563,108,[ 3 12  7  1]
110,17824,11.933784041412077,0.06754380676965255,0.5886174440383911,109,[ 4  5 10  0]
111,21126,11.97333494750495,0.06695854420358703,0.5930506587028503,110,[5 2 8 6]
112,54944,12.010966055528502,0.06636297324151574,0.59798264503479,111,[13  6 10  0]
113,11597,12.01506580619532,0.06630049371869973,0.5981165170669556,112,[ 2 13  4 13]
114,4053,12.067541464346942,0.06522341962901379,0.6042888164520264,113,[ 0 15 13  5]
115,19859,12.073831369441805,0.06515546847370146,0.6041527986526489,114,[ 4 13  9  3]
116,27132,12.099545748959082,0.0647591448575664,0.6062674522399902,115,[ 6  9 15 12]
117,15868,12.100009760976636,0.06474911639531866,0.606178879737854,116,[ 3 13 15 12]
118,8556,12.104235973762378,0.06468617473710597,0.6058515310287476,117,[ 2  1  6 12]
119,60433,12.102740801990988,0.064740249613088,0.605858564376831,118,[14 12  1  1]
120,44821,12.09955341699645,0.06476953225778581,0.6062291264533997,119,[10 15  1  5]
121,53554,12.112426931774902,0.06460562778003137,0.6076421737670898,120,[13  1  3  2]
122,7209,12.121543298336093,0.06430740677901053,0.6060198545455933,121,[ 1 12  2  9]
123,5357,12.143289251519446,0.06392188781642227,0.6058099865913391,122,[ 1  4 14 13]
124,23624,12.265058316228163,0.06214792213555853,0.6072860956192017,123,[ 5 12  4  8]
125,4285,12.251321037864553,0.06222481342509012,0.6066018342971802,124,[ 1  0 11 13]
126,21669,12.247635941447204,0.062259736243805985,0.6069864630699158,125,[ 5  4 10  5]
127,47267,12.248984330056722,0.062239676412686684,0.6071543097496033,126,[11  8 10  3]
128,38987,12.27152762109386,0.061977184425972,0.609539806842804,127,[ 9  8  4 11]
129,54903,12.278396324603722,0.061880496668183405,0.6103335618972778,128,[13  6  7  7]
130,51557,12.34139595572649,0.06071402859516084,0.6112408638000488,129,[12  9  6  5]
131,51629,12.360861944379698,0.06045263448286953,0.6124449968338013,130,[12  9 10 13]
132,59648,12.405861058394931,0.06002808702598372,0.6146144866943359,131,[14  9  0  0]
133,38330,12.407953907832866,0.05998221288616179,0.614784836769104,132,[ 9  5 11 10]
134,14042,12.410128339319133,0.05991670445752506,0.6178159713745117,133,[ 3  6 13 10]
135,23841,12.409373093085716,0.05993327664133119,0.6178179979324341,134,[ 5 13  2  1]
136,22135,12.423780089168714,0.05977255707419005,0.6184309720993042,135,[5 6 7 7]
137,62786,12.480758976737388,0.059171438843589164,0.6241926550865173,136,[15  5  4  2]
138,56973,12.481399136225097,0.059173425463376894,0.6239756345748901,137,[13 14  8 13]
139,42806,12.498642287889387,0.05889579119133348,0.6248652338981628,138,[10  7  3  6]
140,13991,12.498574741119556,0.058895962780188604,0.6248918771743774,139,[ 3  6 10  7]
141,29525,12.498760124868479,0.05889478200777987,0.6248356699943542,139,[7 3 5 5]
142,33993,12.501409654217046,0.05882899224511984,0.626573920249939,140,[ 8  4 12  9]
143,4030,12.564540214093,0.05792239165175772,0.6327936053276062,141,[ 0 15 11 14]
144,21630,12.666845746278394,0.056580351039481336,0.6296137571334839,142,[ 5  4  7 14]
145,51122,12.665728843022146,0.05659379699170147,0.6295701265335083,143,[12  7 11  2]
146,17787,12.660846636102413,0.05665990147939337,0.6314258575439453,144,[ 4  5  7 11]
147,37021,12.794527570294417,0.054946712481491744,0.6379060745239258,145,[ 9  0  9 13]
148,35564,13.068613526690363,0.051947651882720436,0.6653337478637695,146,[ 8 10 14 12]
149,23526,13.067041237096426,0.051994439104913415,0.6652346849441528,147,[ 5 11 14  6]
150,32956,13.124260291980768,0.051045610703375655,0.6719828248023987,148,[ 8  0 11 12]
151,55725,13.133266326515114,0.0509688906679191,0.6720262765884399,149,[13  9 10 13]
152,23239,13.132467480378622,0.050988902760780164,0.6720131635665894,150,[ 5 10 12  7]
153,9656,13.175173849244185,0.05052630175314121,0.6702994108200073,151,[ 2  5 11  8]
154,53498,13.166168620681827,0.05060039841085118,0.671435534954071,152,[13  0 15 10]
155,49398,13.199406085113011,0.05008879963247992,0.6740021705627441,153,[12  0 15  6]
156,37735,13.246894773990665,0.04952516809994645,0.6737056970596313,154,[9 3 6 7]
157,12593,13.255683295516917,0.04945985718121282,0.6740708351135254,155,[3 1 3 1]
158,53048,13.263929723727575,0.04930030349598624,0.6736341714859009,156,[12 15  3  8]
159,51852,13.348316504926835,0.048415543892129875,0.6768875122070312,157,[12 10  8 12]
160,28194,13.574870539222628,0.045533944551044314,0.6877126693725586,158,[ 6 14  2  2]
161,65299,13.846932899255982,0.04285392664012555,0.6987401843070984,159,[15 15  1  3]
162,58782,13.856370056997026,0.04276533392023163,0.6996344327926636,160,[14  5  9 14]
163,28408,13.89229275700005,0.04253234303960651,0.7037725448608398,161,[ 6 14 15  8]
164,565,13.891940127799725,0.0425593934702011,0.702445387840271,162,[0 2 3 5]
165,34325,13.919223765788328,0.04238597030374436,0.69942307472229,163,[8 6 1 5]
166,19920,14.139147654002706,0.040267527792899105,0.7048690915107727,164,[ 4 13 13  0]
167,13627,14.18816324481404,0.039889156738817544,0.7062678337097168,165,[ 3  5  3 11]
168,43983,14.202219676111978,0.03977438295528782,0.7069286108016968,166,[10 11 12 15]
169,18186,14.208754337245084,0.03972401232915818,0.7075627446174622,167,[ 4  7  0 10]
170,40955,14.351771710209572,0.038537097869532744,0.7096364498138428,168,[ 9 15 15 11]
171,3112,14.480437176976137,0.03732975023786533,0.7121641635894775,169,[ 0 12  2  8]
172,47863,14.482783080957383,0.03732211537442165,0.7123274803161621,170,[11 10 15  7]
173,28408,14.552329055992619,0.036696690762185735,0.7167508006095886,171,[ 6 14 15  8]
174,38111,14.553636378150916,0.03669047532232472,0.7166388034820557,171,[ 9  4 13 15]
175,61942,14.572779985579674,0.03651862638672437,0.7170986533164978,172,[15  1 15  6]
176,18685,14.575747398728671,0.03649095326696711,0.7176734209060669,173,[ 4  8 15 13]
177,21458,14.572009975716224,0.0365067140796671,0.7179030776023865,174,[ 5  3 13  2]
178,46276,14.579939243879416,0.036463501587445324,0.7180969715118408,175,[11  4 12  4]
179,23867,14.598435015978524,0.03627132522212673,0.7205789685249329,176,[ 5 13  3 11]
180,22354,14.606212719684526,0.03620852743358505,0.7207297086715698,177,[5 7 5 2]
181,63841,14.687969006691862,0.035425788916660775,0.7233349680900574,178,[15  9  6  1]
182,12560,14.713806585053524,0.03526157246896945,0.725053071975708,179,[3 1 1 0]
183,18481,14.689696089098412,0.03549531081769075,0.7261072397232056,180,[4 8 3 1]
184,15542,14.745113923988459,0.03501196846112187,0.7284837961196899,181,[ 3 12 11  6]
185,51295,14.740900355382632,0.03503676499287911,0.7285500764846802,182,[12  8  5 15]
186,44258,14.765847428957317,0.03480131564904587,0.7286778688430786,183,[10 12 14  2]
187,26945,14.805432415881796,0.034454994745388545,0.7325944900512695,184,[6 9 4 1]
188,31336,14.872438116601693,0.033920615364186175,0.7310508489608765,185,[ 7 10  6  8]
189,6409,14.915277297610004,0.033533079448884506,0.7323562502861023,186,[1 9 0 9]
190,26899,14.901396092591142,0.03364487155203283,0.7321543097496033,187,[6 9 1 3]
191,5262,14.919082975618272,0.03352315081690539,0.7326826453208923,188,[ 1  4  8 14]
192,5403,15.003838498456643,0.032910543607372666,0.7331184148788452,189,[ 1  5  1 11]
193,54262,15.002679544307716,0.03292190396469715,0.7330716848373413,190,[13  3 15  6]
194,15850,15.047120156316591,0.032444169831407424,0.7339375019073486,191,[ 3 13 14 10]
195,26075,15.053835594869255,0.03240758843326308,0.7334887981414795,192,[ 6  5 13 11]
196,44997,15.089875725782116,0.032114603616221093,0.7318341135978699,193,[10 15 12  5]
197,5005,15.150102711479786,0.03154807197177814,0.7321224808692932,194,[ 1  3  8 13]
198,21609,15.180285399297928,0.031310562087303095,0.7338007688522339,195,[5 4 6 9]
199,30542,15.181401992138397,0.03131726564210854,0.7336887121200562,196,[ 7  7  4 14]
200,25447,15.195068812078834,0.03121315626965626,0.7348372936248779,197,[6 3 6 7]
201,45370,15.34758272551021,0.03011886913649975,0.7436771392822266,198,[11  1  3 10]
202,58947,15.347639241925249,0.030117719082416672,0.7436129450798035,199,[14  6  4  3]
203,59462,15.38362572176517,0.029886978961410904,0.7450729608535767,200,[14  8  4  6]
204,7408,15.386179412326332,0.029913024534935495,0.7453575134277344,201,[ 1 12 15  0]
205,12247,15.4023929867507,0.029816219781732656,0.7470471858978271,202,[ 2 15 13  7]
206,33801,15.403055446064652,0.029800810211573214,0.7470363974571228,203,[8 4 0 9]
207,34414,15.71505595433219,0.027859138526955055,0.7499309182167053,204,[ 8  6  6 14]
208,30470,15.721972397786143,0.027819992247480413,0.7529191374778748,205,[7 7 0 6]
209,43190,15.7307571264958,0.027777679765634666,0.7527631521224976,206,[10  8 11  6]
210,13243,15.733555584394228,0.027743043300230252,0.7525153756141663,207,[ 3  3 11 11]
211,5027,15.735868868218398,0.027726664152010083,0.7542507648468018,208,[ 1  3 10  3]
212,9343,15.737031257709287,0.027721569629159504,0.7543616890907288,209,[ 2  4  7 15]
213,39150,15.73679678446017,0.027723007355671347,0.7542769312858582,210,[ 9  8 14 14]
214,1062,15.737482506066362,0.027712192340776032,0.7545939087867737,211,[0 4 2 6]
215,53691,15.828530812517467,0.0271292961876288,0.7568832635879517,212,[13  1 11 11]
216,9551,15.843348913029507,0.027037345577014538,0.7575274705886841,213,[ 2  5  4 15]
217,60621,15.908210356270935,0.026659503287596264,0.7582882642745972,214,[14 12 12 13]
218,6745,15.925272083569173,0.026497559687139183,0.7611730098724365,215,[ 1 10  5  9]
219,830,15.925375828421252,0.026496885850563867,0.761178195476532,216,[ 0  3  3 14]
220,16545,16.03600013770067,0.025981990536029134,0.7666206955909729,217,[ 4  0 10  1]
221,64461,16.072171362150833,0.025770939758191003,0.767683744430542,218,[15 11 12 13]
222,61983,16.07594721298661,0.025749922644326205,0.7682722210884094,219,[15  2  1 15]
223,50658,16.09282284055725,0.025637967029496958,0.7696342468261719,220,[12  5 14  2]
224,37942,16.092036433224,0.02563819203052864,0.7696080207824707,221,[9 4 3 6]
225,49872,16.134372007178698,0.02543207996977702,0.7727135419845581,222,[12  2 13  0]
226,51980,16.141449911220903,0.025371565103916194,0.7742047905921936,223,[12 11  0 12]
227,24995,16.236486888616803,0.02479095964450373,0.7701764106750488,224,[ 6  1 10  3]
228,39337,16.233245934369414,0.02480915853909149,0.7700749635696411,225,[ 9  9 10  9]
229,38018,16.2485821755429,0.024709622554493618,0.7698608636856079,226,[9 4 8 2]
230,30016,16.24406193345629,0.024739065477775046,0.7696285247802734,227,[7 5 4 0]
231,10613,16.735776377376094,0.022214008904498428,0.7852268218994141,228,[2 9 7 5]
232,12446,16.760959369294703,0.02208254138087451,0.7857729196548462,229,[ 3  0  9 14]
233,45763,16.765076009362616,0.022052319798634257,0.7857460975646973,230,[11  2 12  3]
234,36441,16.76678861118907,0.022045773136674718,0.7860296964645386,231,[ 8 14  5  9]
235,14244,16.77959671097912,0.021987934818049837,0.7846973538398743,232,[ 3  7 10  4]
236,10481,16.790776974300428,0.021918997932004913,0.7854418754577637,233,[ 2  8 15  1]
237,21084,16.791295420385296,0.021914392061955112,0.7854114770889282,234,[ 5  2  5 12]
238,56231,16.8252089559388,0.021761779594600683,0.7853710651397705,235,[13 11 10  7]
239,8521,16.927603026749882,0.021244079200765542,0.7892627716064453,236,[2 1 4 9]
240,27536,16.913149624000514,0.021316399736094782,0.788371205329895,237,[ 6 11  9  0]
241,51614,16.945513464124943,0.02116798107495521,0.7871238589286804,238,[12  9  9 14]
242,4161,16.963408667533177,0.021097457327655,0.7880533933639526,239,[1 0 4 1]
243,55081,17.19930755708086,0.020031723270586888,0.7907329797744751,240,[13  7  2  9]
244,19289,17.24369242205086,0.019845962692858432,0.7910152673721313,241,[ 4 11  5  9]
245,49785,17.242798135949812,0.01985150125023294,0.7909925580024719,242,[12  2  7  9]
