step,action,psnr_value,mse_value,ssim_value,rank,action
1,55989,3.3175749199441884,15027997755.602903,0.03264424949884415,1,[ 3 14 14 14]
2,96744,3.1120621849823356,1898254423.9587047,-0.018605362623929977,2,[ 6  4 19 19]
3,214070,3.1022885194671135,2840184676.121628,-0.017306137830018997,3,[13 17 12 20]
4,40618,3.044577694823896,20542106058.313896,-0.018860485404729843,4,[ 2 14 24 18]
5,221987,3.1880743810259182,390144172.741212,0.007548686116933823,5,[14  5  4 12]
6,303518,3.2213561594927045,5039139422.259036,0.009170194156467915,6,[19 10 15 18]
7,259540,3.2362614522372315,57697020255.19845,0.005966166965663433,7,[16 15  6 15]
8,109280,3.229486930587723,2695855881.224342,0.01507693063467741,8,[ 6 24 21  5]
9,293163,3.0494259913127837,1030028154.286369,-0.013281052000820637,9,[18 19  1 13]
10,276623,3.1244360566062386,15043458.013795083,-0.024266863241791725,10,[17 17 14 23]
11,355881,3.2745728396711526,87543668.53345387,0.028042275458574295,11,[22 19 10  6]
12,327342,3.1243276038681,10388702.124754457,0.007704424671828747,12,[20 23 18 17]
13,258435,3.10217076055224,51977041.54780877,0.005653635133057833,13,[16 13 12 10]
14,15943,3.098985743335363,28601499.885317102,-0.005072044674307108,14,[ 1  0 12 18]
15,255486,3.2063647378740985,48439349.67260973,-0.007978135719895363,15,[16  8 19 11]
16,388780,3.0802404050435905,18221063.631741058,-0.02289426140487194,16,[24 22  1  5]
17,161057,3.0476198958208665,15792340.175260538,-0.010672151111066341,17,[10  7 17  7]
18,115211,3.0975228916851827,2274485.8711134074,-0.02913842722773552,18,[ 7  9  8 11]
19,353433,3.2248445320845693,3208540.424355358,0.009890236891806126,19,[22 15 12  8]
20,349728,3.3794047868524553,12418731.2913756,0.01877443864941597,20,[22  9 14  3]
21,111253,3.252963079649378,46699248.48974609,-0.02158534526824951,21,[7 3 0 3]
22,73631,3.2570045687395943,4756444.940824289,0.0006100682658143342,22,[ 4 17 20  6]
23,274744,3.0590008385054923,1431825.736866397,-0.017101531848311424,23,[17 14 14 19]
24,365689,3.037546581599141,4974905.43735296,0.0001145504429587163,24,[23 10  2 14]
25,163595,3.165647304023535,14026314.439908799,-0.00011015012569259852,25,[10 11 18 20]
26,186667,3.2340569688441607,25090546.8087888,0.010813649743795395,26,[11 23 16 17]
27,170084,3.497251711990439,2985272.7368962015,0.03240805119276047,27,[10 22  3  9]
28,78321,3.0670846364280715,5553769.006255165,-0.004531901329755783,28,[ 5  0  7 21]
29,142026,3.20987609282972,1820998.9605478279,-0.005089192185550928,29,[9 2 6 1]
30,299650,3.220019551843383,1619844.26853064,0.011873288080096245,30,[19  4 11  0]
31,362616,3.1070455395715904,1174216.4736589005,-0.0144109595566988,31,[23  5  4 16]
32,157990,3.2130292712839106,211678.689175588,-0.00722481170669198,32,[10  2 19 15]
33,307654,3.3665738092364,2588754.7520086644,-0.005425403825938702,33,[19 17  6  4]
34,45749,3.067898291225073,601368.2555453074,-0.02516910806298256,34,[ 2 23  4 24]
35,108945,3.184434036962924,196981.98941494786,-0.004663817584514618,35,[ 6 24  7 20]
36,198082,3.2072483915737986,4287840.593724772,0.003697158768773079,36,[12 16 23  7]
37,209480,3.3180120968718114,304380.1851126773,0.0005864766426384449,37,[13 10  4  5]
38,90863,3.3334550716930176,328080.1144058789,0.014172532595694065,38,[ 5 20  9 13]
39,375856,3.1991240623264816,274186.067513522,-0.002815563464537263,39,[24  1  9  6]
40,220801,3.2447524721261662,19564.57308098922,-0.022164592519402504,40,[14  3  7  1]
41,355501,3.2223616006630813,22013.37678429251,-0.025477338582277298,41,[22 18 20  1]
42,325021,3.1467817236109092,21604.145010451917,-0.003446384100243449,42,[20 20  0 21]
43,377032,3.192313350794247,189857.98819792763,-0.014286298304796219,43,[24  3  6  7]
44,144701,3.4255511505044884,721978.6924177668,-0.0003882304881699383,44,[ 9  6 13  1]
45,174729,3.337936815557881,40988.86236803336,0.0037321015261113644,45,[11  4 14  4]
46,197170,3.232915134056311,73556.91292460398,-0.007988947443664074,46,[12 15 11 20]
47,91795,3.56077035954728,18111.151984686585,0.018563510850071907,47,[ 5 21 21 20]
48,213821,3.138942654564895,67623.1385295187,-0.030992254614830017,48,[13 17  2 21]
49,327512,3.3174568077336186,67476.86667617655,-0.025350945070385933,49,[20 24  0 12]
50,3723,3.407009621746655,17305.188891586058,-0.0024300767108798027,50,[ 0  5 23 23]
51,148377,3.4167989587546153,7118.614074417495,0.004373016767203808,51,[ 9 12 10  2]
52,243449,3.5346210443141874,18045.77203580944,0.010430421680212021,52,[15 14 12 24]
53,308281,3.463969513837008,56611.2089926957,-0.0218671727925539,53,[19 18  6  6]
54,223454,3.3664180646827586,6257.080872700314,-0.01977423205971718,54,[14  7 13  4]
55,323934,3.3835696151510044,13280.287866146144,0.007248746231198311,55,[20 18  7  9]
56,127032,3.3867338889862046,5768.467033546074,0.01150690671056509,56,[8 3 6 7]
57,365967,3.245546762204607,15893.823391015654,-0.005313857924193144,57,[23 10 13 17]
58,221712,3.2898707848267312,18836.64387972254,0.006190903019160032,58,[14  4 18 12]
59,104197,3.799577865403762,8681.115611223064,0.006780253257602453,59,[ 6 16 17 22]
60,105784,3.4940758268693357,7966.573581716326,0.015975305810570717,60,[ 6 19  6  9]
61,363084,3.677320596467679,15277.243672575923,-0.0010202131234109402,61,[23  5 23  9]
62,137583,3.382465692800216,5658.723071570827,-0.004911089316010475,62,[ 8 20  3  8]
63,117908,3.470878060907129,3189.696132643583,-0.0012272605672478676,63,[ 7 13 16  8]
64,163707,3.57475864735951,13021.2007314779,0.016024239361286163,64,[10 11 23  7]
65,16522,3.3340111291754027,4253.691143554887,-0.022014550864696503,65,[ 1  1 10 22]
66,127937,3.861919743065539,1465.1034026899997,0.01975303702056408,66,[ 8  4 17 12]
67,164025,3.5154670790309983,7918.738103019305,0.015290163457393646,67,[10 12 11  0]
68,352229,3.3830147766730323,2842.9296111558992,-0.020930036902427673,68,[22 13 14  4]
69,373992,3.6349135390700367,11206.806337611466,-0.009050684981048107,69,[23 23  9 17]
70,37149,3.7288853442262573,11489.403217314999,0.017539940774440765,70,[ 2  9 10 24]
71,300209,3.4901838208161524,3232.6985665305006,-0.02415047213435173,71,[19  5  8  9]
