step,action,psnr_value,mse_value,ssim_value,rank,action
1,18372,7.164954952595414,0.19222479592162411,0.253786563873291,1,[ 1  4  9 22]
2,104605,7.202963947244617,0.19047173830585956,0.1979590207338333,2,[ 6 17  9  5]
3,202099,7.212256972353146,0.19005257754285057,0.18916481733322144,3,[12 23  8 24]
4,169019,7.340419433375724,0.1845219806679522,0.18787507712841034,4,[10 20 10 19]
5,1691,7.340597524659406,0.18451430939103752,0.1882704794406891,5,[ 0  2 17 16]
6,377796,7.41692930687893,0.18129419375718805,0.1720118373632431,6,[24  4 11 21]
7,335275,7.454572923834045,0.17973045612648833,0.116523377597332,7,[21 11 11  0]
8,388576,7.489984149305183,0.17827337603425064,0.09785962849855423,8,[24 21 18  1]
9,45818,7.510636625387839,0.17742144827492856,0.09267932921648026,9,[ 2 23  7 18]
10,327680,7.510549558308389,0.17745640261547438,0.09635619819164276,10,[20 24  7  5]
11,319947,7.534928708511451,0.17647141819419204,0.08208942413330078,11,[20 11 22 22]
12,114599,7.535936132494756,0.17643058022221353,0.08213703334331512,12,[ 7  8  8 24]
13,276153,7.535123846753873,0.17647102802253747,0.07920213788747787,13,[17 16 21  3]
14,127440,7.564123107221398,0.17529616250272742,0.08216207474470139,14,[ 8  3 22 15]
15,101032,7.606095472600259,0.17361949317006775,0.08567201346158981,15,[ 6 11 16  7]
16,152544,7.601773667918465,0.17379840592663753,0.08074001967906952,16,[ 9 19  1 19]
17,150619,7.603365515373533,0.17378355476844518,0.08268070966005325,17,[ 9 15 24 19]
18,129024,7.603537996887358,0.17377564904225012,0.08117547631263733,18,[ 8  6 10 24]
19,377195,7.607436770111801,0.17365279416403115,0.08634072542190552,19,[24  3 12 20]
20,240850,7.607366035836526,0.17365495334677333,0.0863398090004921,20,[15 10  9  0]
21,358127,7.599153763942481,0.17398179644105757,0.08550558984279633,21,[22 23  0  2]
22,240480,7.6042610660583945,0.1737123789905575,0.08550792932510376,22,[15  9 19  5]
23,316225,7.638161804408812,0.17237678060775247,0.09184736013412476,23,[20  5 24  0]
24,60027,7.64215475140849,0.1722109951344804,0.09238556772470474,24,[ 3 21  1  2]
25,260512,7.672368423740469,0.17096487935616764,0.0826340988278389,25,[16 16 20 12]
26,385550,7.673603502136352,0.17092976827784717,0.07917744666337967,26,[24 16 22  0]
27,214110,7.755441467516601,0.16776694506327447,0.08066579699516296,27,[13 17 14 10]
28,222593,7.749210752498802,0.16800740932704858,0.0796576663851738,28,[14  6  3 18]
29,362261,7.7653701035811356,0.16738616417763114,0.07287000864744186,29,[23  4 15 11]
30,134766,7.776715239152578,0.1670394177238086,0.07487326115369797,30,[ 8 15 15 16]
31,140746,7.776104043557689,0.16706668284834242,0.07429180294275284,31,[ 9  0  4 21]
32,353894,7.779908144913299,0.1669145802782713,0.0800590068101883,32,[22 16  5 19]
33,195873,7.7862791392415955,0.16668691908480202,0.07674404978752136,33,[12 13  9 23]
34,359092,7.799228755950666,0.16619154231953645,0.08112321048974991,34,[22 24 13 17]
35,90167,7.800363611246883,0.16614618228298295,0.0792265385389328,35,[ 5 19  6 17]
36,166078,7.8009504177493225,0.16612462519466636,0.07934773713350296,36,[10 15 18  3]
37,59544,7.796058647144479,0.16630681245701107,0.07978586107492447,37,[ 3 20  6 19]
38,135985,7.795986279937072,0.1663096858044018,0.07977757602930069,38,[ 8 17 14 10]
39,225144,7.832433272562848,0.16491432657579894,0.08682551234960556,39,[14 10  5 19]
40,210532,7.836703262165717,0.16475984556957998,0.08774162083864212,40,[13 11 21  7]
41,226472,7.8383435028565,0.16468823619821676,0.08854848146438599,41,[14 12  8 22]
42,98296,7.87000589140583,0.16349655133442312,0.09140177071094513,42,[ 6  7  6 21]
43,69719,7.874565131989549,0.163323500187181,0.09120722115039825,43,[ 4 11 13 19]
44,339340,7.929622859849703,0.16129556695342231,0.09424005448818207,44,[21 17 23 15]
45,344733,7.929268064704634,0.16132384161000538,0.09467215836048126,45,[22  1 14  8]
46,71307,7.957880215666241,0.16038451638116702,0.10166105628013611,46,[ 4 14  2  7]
47,50078,7.963245331428568,0.16018813588393496,0.10215385258197784,47,[3 5 3 3]
48,233190,7.96661471760234,0.16006220554985848,0.10508029162883759,48,[14 23  2 15]
49,363509,7.966385124598626,0.16007697349480868,0.10462036728858948,49,[23  6 15  9]
50,131258,7.973161082681778,0.1598354215330899,0.10588724911212921,50,[ 8 10  0  8]
51,154444,7.96813534635215,0.16001288482615447,0.11049690842628479,51,[ 9 22  2 19]
52,161751,7.990584338944551,0.15922856062124202,0.11987502127885818,52,[10  8 20  1]
53,251695,7.991095510849555,0.1592342911207652,0.11927680671215057,53,[16  2 17 20]
54,218949,7.994643598458375,0.15908929746150535,0.12271754443645477,54,[14  0  7 24]
55,279708,8.034494815462889,0.1576369553260387,0.13422714173793793,55,[17 22 13  8]
56,60018,8.042623523412955,0.15734916507407756,0.1361480951309204,56,[ 3 21  0 18]
57,279850,8.065184421455259,0.1565956211603825,0.1318383514881134,57,[17 22 19  0]
58,26151,8.074527658601726,0.15624865858856482,0.13517898321151733,58,[ 1 16 21  1]
