step,action,psnr_value,mse_value,ssim_value,rank,action
1,373133,5.373076120498558,0.2903923408150673,0.0604141429066658,1,[23 22  0  8]
2,374679,5.484054693802145,0.28306328726112845,0.04753376916050911,2,[23 24 12  4]
3,46375,5.57763412608185,0.27723838049173355,0.039094891399145126,3,[ 2 24  5  0]
4,295998,5.715476850362872,0.2686662597179413,0.03172290697693825,4,[18 23 14 23]
5,324912,5.748333213338541,0.2667658279880881,0.03397427499294281,5,[20 19 21 12]
6,126171,5.777920208358605,0.26495891916155817,0.03194919228553772,6,[ 8  1 21 21]
7,72567,5.884591673175967,0.25919115080162886,0.03103099763393402,7,[ 4 16  2 17]
8,280126,5.900110900485932,0.2583096322581172,0.03144492954015732,8,[17 23  5  1]
9,160986,5.985164421650917,0.253347216463089,0.024822644889354706,9,[10  7 14 11]
10,245735,5.997876567452057,0.25258549085073173,0.02277279645204544,10,[15 18  4 10]
11,131622,6.011504918164636,0.25187547636441887,0.023073794320225716,11,[ 8 10 14 22]
12,326140,6.036589929978903,0.25047890671228523,0.019419200718402863,12,[20 21 20 15]
13,89758,6.046867651450052,0.2501113360917312,0.01964949443936348,13,[ 5 18 15  8]
14,218195,6.078161743810645,0.24841849933550839,0.01792951300740242,14,[13 24  2 20]
15,58467,6.098729481248459,0.24713862056190847,0.014589209109544754,15,[ 3 18 13 17]
16,322640,6.1405418199960495,0.2447034937100485,0.013184869661927223,16,[20 16  5 15]
17,17952,6.194373141573271,0.24155365067180246,0.014605696313083172,17,[ 1  3 18  2]
18,102355,6.318059944145755,0.23490462884446606,0.014091148041188717,18,[ 6 13 19  5]
19,215069,6.347041233784207,0.23327765338425815,0.013819322921335697,19,[13 19  2 19]
20,105236,6.430299211751977,0.22898954789662967,0.01170081365853548,20,[ 6 18  9 11]
21,100450,6.440639253624758,0.22833581656705282,0.014342584647238255,21,[ 6 10 18  0]
22,389980,6.488202593519089,0.22583039713790057,0.010203205049037933,22,[24 23 24  5]
23,104671,6.559546815132684,0.2221728338556146,0.018482105806469917,23,[ 6 17 11 21]
24,375990,6.577762556269632,0.22125357525584696,0.021151039749383926,24,[24  1 14 15]
25,72227,6.6802718390771805,0.21646876007777902,0.023368529975414276,25,[ 4 15 14  2]
26,368009,6.683317753209072,0.21628625670152687,0.022454986348748207,26,[23 13 20  9]
27,164023,6.7090207528637755,0.2150189810402968,0.02295490726828575,27,[10 12 10 23]
28,93598,6.7376626344681885,0.21359401175914244,0.030041079968214035,28,[ 5 24 18 23]
29,258696,6.753609958976705,0.21279961575682682,0.029701760038733482,29,[16 13 22 21]
30,262677,6.7631118554513945,0.2123883728334011,0.030188050121068954,30,[16 20  7  2]
31,203098,6.847117644245761,0.20842544393219722,0.033614665269851685,31,[12 24 23 23]
32,117439,6.851895198532678,0.20820887417523337,0.029270660132169724,32,[ 7 12 22 14]
33,172517,6.854264573771632,0.20802848089779583,0.029288750141859055,33,[11  1  0 17]
34,360275,6.919631723094576,0.20505723938774753,0.0312960147857666,34,[23  1 11  0]
35,375633,6.953194195759456,0.2034693611300303,0.034810300916433334,35,[24  1  0  8]
36,60711,7.0747650727901155,0.1984316966412349,0.03598792850971222,36,[ 3 22  3 11]
37,230592,7.085849919008142,0.1982651253811235,0.036713942885398865,37,[14 18 23 17]
38,154751,7.138831594632789,0.19570202442216833,0.040061190724372864,38,[ 9 22 15  1]
39,97265,7.153150930349851,0.19503200483266847,0.0377509631216526,39,[ 6  5 15 15]
40,119927,7.193478631248783,0.19349336523204647,0.04163958877325058,40,[ 7 16 22  2]
41,17116,7.240860542248422,0.19146342554792756,0.04499328136444092,41,[ 1  2  9 16]
