step,action,psnr_value,mse_value,ssim_value,rank,action
1,297907,7.382864307681936,0.1828470220072027,0.22832119464874268,1,[19  1 16  7]
2,15378,7.382870652029009,0.1828467357572939,0.23101836442947388,2,[ 0 24 15  3]
3,315521,7.394231870291997,0.18236715254978766,0.19885660707950592,3,[20  4 20 21]
4,92793,7.396664075153492,0.1822643559598218,0.19724828004837036,4,[ 5 23 11 18]
5,268784,7.396672025911082,0.1822639994355471,0.19926747679710388,5,[17  5  1  9]
6,343195,7.400304115143953,0.1821110566259434,0.19507569074630737,6,[21 24  2 20]
7,138403,7.42816320623432,0.18095917575362924,0.18016985058784485,7,[ 8 21 11  3]
8,314367,7.428341930059874,0.18095310101292014,0.18088170886039734,8,[20  2 24 17]
9,67439,7.449451771912664,0.1800734123645703,0.15436725318431854,9,[ 4  7 22 14]
10,294102,7.478756770301298,0.17885988593488783,0.1441221386194229,10,[18 20 14  2]
11,247986,7.48005556736786,0.1788062521540432,0.13255146145820618,11,[15 21 19 11]
12,279539,7.4830353109449765,0.1786825420201752,0.11693856865167618,12,[17 22  6 14]
13,272719,7.484281739545066,0.17863151586221251,0.11202497780323029,13,[17 11  8 19]
14,72197,7.4910319235309615,0.17835256577881717,0.11046724021434784,14,[ 4 15 12 22]
15,121698,7.494218812041485,0.17822165091908024,0.11045122891664505,15,[ 7 19 17 23]
16,16297,7.49473096453465,0.178198928385638,0.10844950377941132,16,[ 1  1  1 22]
17,225681,7.49619972759378,0.17813772597351316,0.10825252532958984,17,[14 11  2  6]
18,56977,7.497841589274365,0.17808547381768447,0.10812189429998398,18,[ 3 16  4  2]
19,269580,7.4994662924970745,0.17801952333072427,0.10522110760211945,19,[17  6  8  5]
20,313208,7.504620096260577,0.1778100340139694,0.10565692186355591,20,[20  1  3  8]
21,291661,7.506019625355895,0.17775368075020007,0.10257282853126526,21,[18 16 16 11]
22,125953,7.506466778336622,0.17773441032340342,0.10208728909492493,22,[ 8  1 13  3]
23,116821,7.512201743391666,0.17749924326835026,0.09992276132106781,23,[ 7 11 22 21]
24,181288,7.525671848388242,0.17695195804362593,0.0856136605143547,24,[11 15  1 13]
25,257563,7.531892503200459,0.17677951096756198,0.08337435126304626,25,[16 12  2 13]
26,109324,7.612735048693494,0.17354350117305525,0.0913197249174118,26,[ 6 24 22 24]
27,62355,8.24141439357279,0.1501594726358253,0.11051226407289505,27,[ 3 24 19  5]
28,333210,8.249698789654525,0.14986913876610541,0.10002979636192322,28,[21  8  3 10]
29,383332,8.255940233244534,0.14966329801121991,0.1003594771027565,29,[24 13  8  7]
30,172365,8.312690512406961,0.14772708592526834,0.10386712104082108,30,[11  0 19 15]
31,113026,8.337024416005987,0.14691243234235904,0.09987850487232208,31,[ 7  5 21  1]
32,4136,8.337502959781904,0.14689622245650963,0.09600856900215149,32,[ 0  6 15 11]
33,100624,8.339014514943422,0.14685713925301425,0.09624367952346802,33,[ 6 10 24 24]
34,74348,8.351655595538514,0.1464315202036442,0.09172378480434418,34,[ 4 18 23 23]
35,294708,8.351644485721694,0.14643067506089344,0.09158312529325485,35,[18 21 13  8]
36,281105,8.352609365955196,0.14641138229692655,0.09286089241504669,36,[17 24 19  5]
37,219533,8.35287177071127,0.14640586473607217,0.09320531040430069,37,[14  1  6  8]
38,228156,8.35463127529456,0.14635264927487115,0.09083376824855804,38,[14 15  1  6]
39,346349,8.36006183233247,0.14615986862927285,0.0899612158536911,39,[22  4  3 24]
40,210189,8.361098788846563,0.14612245881099314,0.08670353144407272,40,[13 11  7 14]
41,131349,8.37535053093065,0.14566607431739612,0.08832468092441559,41,[ 8 10  3 24]
42,222542,8.378352307951825,0.14557036248913446,0.08158037811517715,42,[14  6  1 17]
43,137096,8.384959219007676,0.14537800680573945,0.0839308351278305,43,[ 8 19  8 21]
44,11587,8.384943392293293,0.14537867396654416,0.08389697223901749,44,[ 0 18 13 12]
45,368644,8.384989247924635,0.1453657277006456,0.08269816637039185,45,[23 14 20 19]
46,207844,8.385226582754974,0.14536150025061614,0.08264783024787903,46,[13  7 13 19]
47,119621,8.388350715293635,0.14528628768741877,0.08380144089460373,47,[ 7 16  9 21]
48,204252,8.388791047942165,0.14527342634366247,0.08384817093610764,48,[13  1 20  2]
49,159360,8.38968841068705,0.14525389321651383,0.08417823910713196,49,[10  4 24 10]
50,153539,8.397413183674429,0.14500851553539704,0.08749708533287048,50,[ 9 20 16 14]
51,151038,8.40203708894966,0.14486260204990195,0.08822482079267502,51,[ 9 16 16 13]
52,236474,8.405667579800442,0.14475616787263262,0.08967477083206177,52,[15  3  8 24]
53,142665,8.40647242010611,0.14473297968695836,0.09138758480548859,53,[ 9  3  6 15]
54,361836,8.409393716668463,0.1446492200487118,0.0944930836558342,54,[23  3 23 11]
55,336756,8.410489911681156,0.1446117607317474,0.09446580708026886,55,[21 13 20  6]
56,110597,8.415451346725845,0.1444463189471076,0.09500087797641754,56,[ 7  1 23 22]
57,151779,8.421806624353227,0.14425109868931577,0.09610346704721451,57,[ 9 17 21  4]
58,386807,8.42176707734389,0.14424927564309145,0.09629092365503311,58,[24 18 22  7]
59,12345,8.447310780382907,0.14339974905365416,0.10636698454618454,59,[ 0 19 18 20]
60,176123,8.447988218447474,0.14337631195151115,0.10653697699308395,60,[11  6 19 23]
61,97797,8.456962136814164,0.14311811701944713,0.10668275505304337,61,[ 6  6 11 22]
62,312137,8.458955393395282,0.14308387726723304,0.10723696649074554,62,[19 24 10 12]
63,210729,8.467642932012595,0.1427951004515835,0.10821116715669632,63,[13 12  4  4]
64,101108,8.472360047223315,0.14265220519143582,0.10430986434221268,64,[ 6 11 19  8]
65,302462,8.474657601405704,0.1425935418770415,0.10665957629680634,65,[19  8 23 12]
66,361249,8.479354883309123,0.1424442313578892,0.10776721686124802,66,[23  2 24 24]
67,326221,8.857175782967495,0.13058374027994918,0.12609855830669403,67,[20 21 23 21]
68,56307,8.857881779993987,0.13057259172947425,0.1266310065984726,68,[ 3 15  2  7]
69,148059,8.859979441376588,0.13052063396444047,0.12494289129972458,69,[ 9 11 22  9]
70,390607,8.863926663171915,0.13044820693457895,0.12446066737174988,70,[24 24 24  7]
71,339149,9.245946783810785,0.11946845803292308,0.13901934027671814,71,[21 17 15 24]
