step,action,psnr_value,mse_value,ssim_value,rank,action
1,95602,7.268523719252096,0.18772401494150825,0.27301347255706787,1,[ 6  2 24  2]
2,173144,7.276355928181153,0.18738776356124445,0.25595206022262573,2,[11  2  0 19]
3,326950,7.283853200843655,0.18706338520154578,0.21423494815826416,3,[20 23  3  0]
4,68744,7.2902413281430185,0.18678944320213386,0.19361816346645355,4,[ 4  9 24 19]
5,295101,7.315734490292551,0.18569383360212752,0.177367702126503,5,[18 22  4  1]
6,274248,7.3199265671931695,0.18551750047839405,0.17483337223529816,6,[17 13 19 23]
7,278577,7.321019114560183,0.1854886824220953,0.1759735345840454,7,[17 20 18  2]
8,270441,7.322445316466867,0.18542874752944727,0.18116547167301178,8,[17  7 17 16]
9,248603,7.325325147842543,0.18532477603278777,0.16312460601329803,9,[15 22 19  3]
10,374062,7.3255873637849644,0.18531421773214232,0.1616833508014679,10,[23 23 12 12]
11,261887,7.326727940087582,0.18526233188833022,0.1587018072605133,11,[16 19  0 12]
12,378687,7.3462933118647875,0.18442727694500163,0.1426496058702469,12,[24  5 22 12]
13,112215,7.385965228750245,0.18274972327642855,0.14068713784217834,13,[ 7  4 13 15]
14,120755,7.400090576084676,0.18215082221421638,0.1496843695640564,14,[ 7 18  5  5]
15,337787,7.400960556870453,0.1821126072144641,0.14914681017398834,15,[21 15 11 12]
16,196236,7.406260925922244,0.18189864288902013,0.15077288448810577,16,[12 13 24 11]
17,204786,7.535097783843114,0.17655011425435777,0.1734931766986847,17,[13  2 16 11]
18,249607,7.535128713722261,0.17654977509097444,0.17349959909915924,18,[15 24  9  7]
19,239371,7.554520440797452,0.175765553280885,0.17051038146018982,19,[15  7 24 21]
20,289550,7.559078845161984,0.17558531668251454,0.15725131332874298,20,[18 13  7  0]
21,229636,7.5776799438011,0.1748595832467819,0.1472938507795334,21,[14 17 10 11]
22,298516,7.585127737905979,0.17456877644166652,0.15031591057777405,22,[19  2 15 16]
23,55127,7.585131618818009,0.1745685928899161,0.15073880553245544,23,[ 3 13  5  2]
24,83818,7.586715516953549,0.1745036418558152,0.14153213798999786,24,[ 5  9  2 18]
25,23242,7.589118401343994,0.17440639817994616,0.13725882768630981,25,[ 1 12  4 17]
26,314061,7.590744806820543,0.17434137691075738,0.13551172614097595,26,[20  2 12 11]
27,6195,7.5950717869173925,0.17417663031219183,0.11860830336809158,27,[ 0  9 22 20]
28,342536,7.6186372970180996,0.17326669343442055,0.1198946163058281,28,[21 23  1 11]
29,188152,7.629246773096575,0.1728533872075276,0.12177500128746033,29,[12  1  1  2]
30,141081,7.630745398391962,0.17279862550256594,0.12171786278486252,30,[ 9  0 18  6]
31,263465,7.643456078323001,0.17230679960620018,0.11762523651123047,31,[16 21 13 15]
32,233491,7.647372962822417,0.17221447562352768,0.11995766311883926,32,[14 23 14 16]
33,330652,7.647369035398173,0.17221446820845812,0.11995682865381241,33,[21  4  1  2]
34,187048,7.6476753595472315,0.17220357936581598,0.11947891116142273,34,[11 24  6 23]
35,158612,7.7024210260260855,0.17004811266033168,0.11089127510786057,35,[10  3 19 12]
36,339330,7.705293088242593,0.16992234312389937,0.11161178350448608,36,[21 17 23  5]
37,220214,7.707939814787813,0.16986427933901946,0.1113365963101387,37,[14  2  8 14]
38,377544,7.717781119391458,0.16946591455866106,0.11347862333059311,38,[24  4  1 19]
39,149719,7.723757844753907,0.1692272795816676,0.10609617084264755,39,[ 9 14 13 19]
40,87463,7.724986669984686,0.16917710283150475,0.10681863129138947,40,[ 5 14 23 13]
41,250591,7.7262414070463326,0.1691488943834224,0.10542835295200348,41,[16  0 23 16]
42,223966,7.731271637074725,0.1689597469106224,0.09940889477729797,42,[14  8  8 16]
43,24114,7.734546542420244,0.1688285751531249,0.09997576475143433,43,[ 1 13 14 14]
44,210782,7.736502795690464,0.16876819813351832,0.09907808899879456,44,[13 12  6  7]
45,381924,7.747222840845143,0.1683643610903298,0.09889240562915802,45,[24 11  1 24]
46,17774,7.770522563715941,0.167523711323944,0.07499630749225616,46,[ 1  3 10 24]
47,327594,7.771455975968442,0.16748621265954367,0.07367626577615738,47,[20 24  3 19]
48,84886,7.786338759881524,0.16692488217120166,0.06594351679086685,48,[ 5 10 20 11]
49,222197,7.786872762978748,0.16692375038503898,0.06592555344104767,49,[14  5 12 22]
50,127518,7.820405565788224,0.16569047543398793,0.08415960520505905,50,[ 8  4  0 18]
51,58028,7.820555862692842,0.16568690198176056,0.08421873301267624,51,[ 3 17 21  3]
52,160902,7.8262268718106185,0.1654315972625366,0.08137937635183334,52,[10  7 11  2]
53,274260,7.826614140473131,0.16542554810930876,0.08165550976991653,53,[17 13 20 10]
54,186215,7.828093207481883,0.16535872371227914,0.08205751329660416,54,[11 22 23 15]
55,379015,7.828734287663819,0.16534503028385092,0.08263127505779266,55,[24  6 10 15]
56,356490,7.846121418721363,0.16480023904805247,0.08389313519001007,56,[22 20  9 15]
57,104481,7.846219033554629,0.1647948985921951,0.0839267373085022,57,[ 6 17  4  6]
58,249615,7.846220722399972,0.16479479693862967,0.08393480628728867,58,[15 24  9 15]
59,181004,7.864233688077677,0.16404463387001647,0.09258543699979782,59,[11 14 15  4]
60,55390,7.865697208472398,0.16400153399760814,0.09202476590871811,60,[ 3 13 15 15]
61,137906,7.866868702392651,0.16396987678571476,0.09160047769546509,61,[ 8 20 16  6]
62,143567,7.870778075717069,0.16388112901930116,0.09357015788555145,62,[ 9  4 17 17]
63,278705,7.871345782337266,0.16386177694916249,0.09317904710769653,63,[17 20 23  5]
64,320519,7.871339854700611,0.1638615075427994,0.09314921498298645,64,[20 12 20 19]
65,189267,7.87140405662976,0.16385841513310462,0.09296654909849167,65,[12  2 20 17]
66,283994,7.873860559734073,0.16377267195867354,0.09546177089214325,66,[18  4  9 19]
67,358441,7.873855614125425,0.163772702534392,0.09546221792697906,67,[22 23 12 16]
68,38990,7.876342223883931,0.1636964548352299,0.09475432336330414,68,[ 2 12  9 15]
69,234039,7.888457226815053,0.16329656588201039,0.09044189751148224,69,[14 24 11 14]
70,179974,7.926292210873128,0.16192430947695807,0.10441753268241882,70,[11 12 23 24]
71,85194,7.9392227212346125,0.16152852556558842,0.09947123378515244,71,[ 5 11  7 19]
72,300407,7.939233467401923,0.1615285323978318,0.09946079552173615,72,[19  5 16  7]
73,272696,7.940893737459351,0.1614598841957345,0.10028371214866638,73,[17 11  7 21]
74,291002,7.940890875676915,0.16145986126514306,0.100285604596138,74,[18 15 15  2]
75,280660,7.942189237927928,0.16143179533916635,0.10047082602977753,75,[17 24  1 10]
76,80848,7.943781430495287,0.1613610689930668,0.09993145614862442,76,[ 5  4  8 23]
77,238806,7.945600917748252,0.16131270627592478,0.09996164590120316,77,[15  7  2  6]
78,132484,7.945657663932146,0.16130300915774556,0.09903566539287567,78,[ 8 11 24  9]
79,150584,7.946209376970577,0.16130203139192273,0.09896497428417206,79,[ 9 15 23  9]
80,67906,7.946031411918415,0.16129069764756288,0.09926677495241165,80,[ 4  8 16  6]
81,15909,7.946010005176896,0.16128311027368167,0.0999588593840599,81,[ 1  0 11  9]
82,362885,7.948288949246942,0.1611992335353821,0.0970122218132019,82,[23  5 15 10]
83,204334,7.95787062160538,0.16091884768582249,0.0994422510266304,83,[13  1 23  9]
84,165834,7.9592815947286475,0.16088879961042138,0.10026562958955765,84,[10 15  8  9]
85,231706,7.960505932107993,0.16084610537001762,0.09910046309232712,85,[14 20 18  6]
86,285510,7.9624156200136404,0.16074763661196212,0.09766688942909241,86,[18  6 20 10]
87,144018,7.964664884288086,0.1606821780313004,0.09736938774585724,87,[ 9  5 10 18]
88,270067,7.9652154229545316,0.16066608415862488,0.09883823245763779,88,[17  7  2 17]
89,224734,7.967088743839178,0.16061753354258412,0.0987684354186058,89,[14  9 14  9]
90,389682,7.968765068398032,0.16055932067043252,0.09992016851902008,90,[24 23 12  7]
91,291282,7.9803878411305,0.16013536325899408,0.10090858489274979,91,[18 16  1  7]
92,235098,7.98038202896149,0.16013474768573238,0.10089115053415298,92,[15  1  3 23]
93,74804,7.98386892761906,0.1600558848419043,0.10088279098272324,93,[ 4 19 17  4]
94,20042,7.98459504579117,0.16003968526588713,0.10097108036279678,94,[ 1  7  1 17]
95,281723,7.985849692465611,0.1599907331944237,0.10047511011362076,95,[18  0 18 23]
96,239974,7.993756764520363,0.15975663658111963,0.10214577615261078,96,[15  8 23 24]
97,212492,7.99415553381272,0.15974615364161698,0.10157344490289688,97,[13 14 24 17]
98,269365,7.9946926294010385,0.15971858479532444,0.1007310226559639,98,[17  5 24 15]
99,93874,8.001689034313035,0.15943855281786862,0.1011495366692543,99,[ 6  0  4 24]
100,303915,8.004780413721338,0.1593376888051823,0.0986139178276062,100,[19 11  6 15]
101,296712,8.005355059471341,0.15932933921260636,0.09903201460838318,101,[18 24 18 12]
102,46138,8.01352223026458,0.15909971514545346,0.10383797436952591,102,[ 2 23 20 13]
103,351689,8.027667333823006,0.15882398823233757,0.10272704064846039,103,[22 12 17 14]
104,304313,8.035338579223883,0.1585847864049439,0.1020602434873581,104,[19 11 22 13]
105,390209,8.046418702667705,0.15821817573556857,0.10331253707408905,105,[24 24  8  9]
106,105313,8.050883544747109,0.15812101224738004,0.10309850424528122,106,[ 6 18 12 13]
107,1419,8.053186841552945,0.15806421958815323,0.10242431610822678,107,[ 0  2  6 19]
108,254864,8.062412308015597,0.15768104615268402,0.10070859640836716,108,[16  7 19 14]
109,108480,8.062194038781762,0.15766723424077755,0.10082010179758072,109,[ 6 23 14  5]
110,338457,8.063152299428198,0.1576363883321991,0.10103140026330948,110,[21 16 13  7]
111,194216,8.06322865724603,0.1576353172352312,0.10109703242778778,111,[12 10 18 16]
112,205442,8.072119846156745,0.15733768856345212,0.1050134003162384,112,[13  3 17 17]
113,362241,8.08029319880298,0.15714215228524003,0.10868491232395172,113,[23  4 14 16]
114,20259,8.082296489311316,0.15691058495971175,0.10904696583747864,114,[ 1  7 10  9]
115,41417,8.090794321887103,0.1566900464319775,0.10949227213859558,115,[ 2 16  6 17]
116,33011,8.092961433653088,0.1566475213784469,0.10936453193426132,116,[ 2  2 20 11]
117,210203,8.094097369956625,0.1566159465788018,0.11143895983695984,117,[13 11  8  3]
118,356786,8.10658135032477,0.15624663285241014,0.11403830349445343,118,[22 20 21 11]
119,138543,8.107482031610811,0.15623824845581877,0.1140119805932045,119,[ 8 21 16 18]
120,177038,8.107665624974846,0.15623497760724714,0.11425785720348358,120,[11  8  6 13]
121,57041,8.1133959218071,0.1560952828691265,0.11314251273870468,121,[ 3 16  6 16]
122,288478,8.121662315629571,0.1558219545605158,0.11333218216896057,122,[18 11 14  3]
123,6057,8.122503833260557,0.1557801428264808,0.11256326735019684,123,[ 0  9 17  7]
124,291500,8.12241361557292,0.15577821146501653,0.11272688955068588,124,[18 16 10  0]
125,256577,8.124994256913457,0.15570760254703286,0.11424673348665237,125,[16 10 13  2]
126,5062,8.124878808121478,0.15570657379295727,0.11409907042980194,126,[ 0  8  2 12]
127,23115,8.185087093051798,0.15372151007899987,0.11665654927492142,127,[ 1 11 24 15]
128,163833,8.22459547805947,0.15259600323897513,0.11947467178106308,128,[10 12  3  8]
129,300672,8.226218012304063,0.1525712756610643,0.11962541937828064,129,[19  6  1 22]
130,51811,8.226831580033856,0.15257007982715662,0.11943349242210388,130,[ 3  7 22 11]
131,276045,8.225825776156771,0.15251331972528215,0.11782827228307724,131,[17 16 16 20]
132,26916,8.225466174853079,0.15251126123135117,0.11802145093679428,132,[ 1 18  1 16]
133,290451,8.225471022004534,0.15251131355711975,0.11804822087287903,133,[18 14 18  1]
134,160918,8.225208592968215,0.1525094288387137,0.11810702085494995,134,[10  7 11 18]
135,4210,8.231577728664243,0.15229521516458486,0.12208080291748047,135,[ 0  6 18 10]
136,375429,8.232320108440854,0.15228653426835473,0.1222691610455513,136,[24  0 17  4]
137,249170,8.23773690247567,0.15208336334946781,0.11806313693523407,137,[15 23 16 20]
138,259003,8.237802650246008,0.15207908069891335,0.11800162494182587,138,[16 14 10  3]
139,282316,8.243625425132578,0.15197164948496472,0.12023279070854187,139,[18  1 17 16]
140,274753,8.243588485686553,0.15197173933219826,0.1202167347073555,140,[17 14 15  3]
141,329131,8.244396284505747,0.15196391754737473,0.12012219429016113,141,[21  1 15  6]
142,43088,8.246987265800657,0.1518824190575502,0.1211366355419159,142,[ 2 18 23 13]
143,166471,8.249307187312658,0.15179361253812806,0.12134582549333572,143,[10 16  8 21]
144,23142,8.249520953904884,0.15178439414073547,0.12100588530302048,144,[ 1 12  0 17]
145,30037,8.285532413898423,0.15068158626592768,0.12266499549150467,145,[ 1 23  1 12]
146,307145,8.286069529745921,0.1506750928538636,0.12255522608757019,146,[19 16 10 20]
147,36833,8.294482987725875,0.1504601855640246,0.12117698043584824,147,[ 2  8 23  8]
148,384586,8.303115064624428,0.15035370947528462,0.12190145254135132,148,[24 15  8 11]
