step,action,psnr_value,mse_value,ssim_value,rank,action
1,130013,7.394077139067279,0.18237657737961444,0.2337612509727478,1,[ 8  8  0 13]
2,410,7.438109828004516,0.18053572334399165,0.22373609244823456,2,[ 0  0 16 10]
3,379876,7.455045269180043,0.1798316720206053,0.2032342553138733,3,[24  7 20  1]
4,144701,7.460004432435252,0.17962627525448505,0.1899595409631729,4,[ 9  6 13  1]
5,96476,7.464440051517652,0.17944210507683608,0.18838298320770264,5,[6 4 9 1]
6,180854,7.464668113323713,0.17943852427096943,0.1884298324584961,6,[11 14  9  4]
7,314316,7.466429008745403,0.1793645579750281,0.18709100782871246,7,[20  2 22 16]
8,186203,7.47125689351837,0.17916453717963635,0.17228053510189056,8,[11 22 23  3]
9,227814,7.486116914726104,0.1785507014912146,0.1489727944135666,9,[14 14 12 14]
10,125234,7.498137820944315,0.17805679398515897,0.15402570366859436,10,[8 0 9 9]
11,206804,7.500028876208935,0.17798080766983623,0.15421222150325775,11,[13  5 22  4]
12,193162,7.500660497991901,0.17797124301684383,0.1543842852115631,12,[12  9  1 12]
13,85380,7.517687356433895,0.17727482529418706,0.1554524451494217,13,[ 5 11 15  5]
14,173519,7.517849002669019,0.1772667763336215,0.1554037183523178,14,[11  2 15 19]
15,26997,7.554783502467873,0.1757656731942038,0.1554461270570755,15,[ 1 18  4 22]
16,31848,7.55479508496946,0.1757651946442443,0.1585782915353775,16,[ 2  0 23 23]
17,286378,7.561619112610787,0.17549414968321475,0.1443880945444107,17,[18  8  5  3]
18,379840,7.561776718673693,0.17548746389775324,0.1450846642255783,18,[24  7 18 15]
19,344736,7.580839358528868,0.17471457438803653,0.14644259214401245,19,[22  1 14 11]
20,107756,7.580991374172411,0.1747112930560573,0.14697080850601196,20,[ 6 22 10  6]
21,43448,7.582602444022138,0.17464440869172002,0.15745337307453156,21,[ 2 19 12 23]
22,362368,7.586186643677786,0.17450119303909722,0.14016841351985931,22,[23  4 19 18]
23,35305,7.587124777526288,0.17446202734047145,0.14134958386421204,23,[ 2  6 12  5]
24,142236,7.587621929981592,0.17444167265151614,0.14122173190116882,24,[ 9  2 14 11]
25,179982,7.591225440064921,0.17430112862600314,0.14166203141212463,25,[11 12 24  7]
26,45201,7.603496850694537,0.17382067564872156,0.13702721893787384,26,[ 2 22  8  1]
27,330797,7.603567569816225,0.173815996729304,0.1386157125234604,27,[21  4  6 22]
28,325476,7.605392665076344,0.17374251395605966,0.13086803257465363,28,[20 20 19  1]
29,210742,7.605408963826941,0.17374239338728156,0.13106471300125122,29,[13 12  4 17]
30,369711,7.615677640367301,0.17333258217253453,0.10883859544992447,30,[23 16 13 11]
31,323124,7.617488094445113,0.17325903903812026,0.10835658758878708,31,[20 16 24 24]
32,383497,7.621082435025515,0.1731189813253268,0.10364954173564911,32,[24 13 14 22]
33,172581,7.621486528109324,0.17310319137516061,0.10414688289165497,33,[11  1  3  6]
34,29172,7.622014586739498,0.17309252856700214,0.1045733392238617,34,[ 1 21 16 22]
35,347040,7.622498076149466,0.17307237392174774,0.10407454520463943,35,[22  5  6 15]
36,99298,7.634535941529359,0.17260346585199113,0.10045658051967621,36,[ 6  8 21 23]
37,360834,7.635370884246704,0.17257153374807976,0.09943538904190063,37,[23  2  8  9]
38,384491,7.639273511382121,0.17244905291128335,0.10139207541942596,38,[24 15  4 16]
39,121274,7.6397181432088,0.1724295446068575,0.10157560557126999,39,[ 7 19  0 24]
40,154513,7.643421385557623,0.17228254061565276,0.09438548237085342,40,[ 9 22  5 13]
41,339406,7.64480822105134,0.1722516569970875,0.0943000540137291,41,[21 18  1  6]
42,187462,7.6451043357016415,0.17224023900357033,0.09500309079885483,42,[11 24 23 12]
43,37512,7.6674357772660535,0.17136070679610926,0.09145212173461914,43,[ 2 10  0 12]
44,163506,7.679812112348934,0.17087300551816412,0.09036421030759811,44,[10 11 15  6]
45,375778,7.685294860743507,0.1706493429727585,0.09707187861204147,45,[24  1  6  3]
46,136415,7.692865730933169,0.17036424223945895,0.08998703956604004,46,[ 8 18  6 15]
47,149171,7.692873619824843,0.17036416003317983,0.09000632166862488,47,[ 9 13 16 21]
48,16296,7.701923927938972,0.1700035711749169,0.09343154728412628,48,[ 1  1  1 21]
49,201674,7.701973391957959,0.17000161294114902,0.09351882338523865,49,[12 22 16 24]
50,250596,7.727952906053288,0.16900214532229002,0.09811987727880478,50,[16  0 23 21]
51,341526,7.73002655303471,0.16892760016155295,0.09272728115320206,51,[21 21 11  1]
52,377093,7.736541072495329,0.1686699919756231,0.09648643434047699,52,[24  3  8 18]
53,67692,7.739335808106188,0.16855392094943297,0.09862471371889114,53,[ 4  8  7 17]
54,216407,7.74374387231139,0.1683963989925708,0.09599146991968155,54,[13 21  6  7]
55,190737,7.753420080697193,0.16801526913117387,0.09742005169391632,55,[12  5  4 12]
56,196830,7.755097541185798,0.16795354699127515,0.09879718720912933,56,[12 14 23  5]
57,360879,7.766028326869105,0.16754970721306273,0.10051557421684265,57,[23  2 10  4]
58,75750,7.766590587283304,0.16751982335862967,0.09833526611328125,58,[ 4 21  5  0]
59,137047,7.7758701690672165,0.16716933241862356,0.095777727663517,59,[ 8 19  6 22]
60,187687,7.77615067501889,0.16716451592033071,0.09677155315876007,60,[12  0  7 12]
61,177668,7.782965445362456,0.16689324631713867,0.09259772300720215,61,[11  9  6 18]
62,26800,7.783303275533743,0.1668806659622727,0.09306663274765015,62,[ 1 17 22  0]
63,227115,7.784513147589779,0.16683454935790165,0.09201671928167343,63,[14 13  9 15]
64,171142,7.784546531194505,0.16683332653301508,0.09208676964044571,64,[10 23 20 17]
65,278241,7.7852820635987,0.16680542951474917,0.09254124760627747,65,[17 20  4 16]
66,178522,7.785364547427006,0.1668019979198946,0.092193603515625,66,[11 10 15 22]
67,310148,7.797469983371503,0.16634750465582696,0.09263089299201965,67,[19 21  5 23]
68,211006,7.797471450056349,0.16634751720295077,0.09268887341022491,68,[13 12 15  6]
69,147141,7.799001967304699,0.16628094184910133,0.0934913158416748,69,[ 9 10 10 16]
70,358679,7.799599691087053,0.166261640396241,0.09315335005521774,70,[22 23 22  4]
71,248953,7.80315630553768,0.16623303727224392,0.09367381036281586,71,[15 23  8  3]
72,289384,7.8040075212966284,0.16620565373922164,0.0947721004486084,72,[18 13  0  9]
73,268779,7.812033096651167,0.16590239787003466,0.09502441436052322,73,[17  5  1  4]
74,41187,7.812232696584507,0.1658944282060167,0.09517072886228561,74,[ 2 15 22 12]
75,270560,7.8234426824199765,0.1653893778357004,0.09370758384466171,75,[17  7 22 10]
76,266416,7.8252414562109,0.16533711990379257,0.09380637109279633,76,[17  1  6 16]
77,26113,7.8267399255985595,0.16528023402889838,0.09207821637392044,77,[ 1 16 19 13]
78,363328,7.8329802240868505,0.16511891585328095,0.09243066608905792,78,[23  6  8  3]
79,372628,7.833338168469117,0.16510952298914602,0.09352796524763107,79,[23 21  5  3]
80,2373,7.833523772711823,0.16510931848633775,0.093633271753788,80,[ 0  3 19 23]
81,181198,7.835949314614988,0.1650168967318772,0.091736800968647,81,[11 14 22 23]
82,365281,7.837502238412588,0.1649639060126957,0.0924263447523117,82,[23  9 11  6]
83,298051,7.837800260939964,0.16495068936237917,0.09250343590974808,83,[19  1 22  1]
84,42776,7.8387372958118355,0.16492613646917595,0.09357190132141113,84,[ 2 18 11  1]
85,277288,7.838910417303793,0.16492473727697868,0.09361114352941513,85,[17 18 16 13]
86,189384,7.840736422887444,0.1648725588157365,0.09399878233671188,86,[12  3  0  9]
87,137807,7.8407708848285775,0.1648723352104837,0.09401699900627136,87,[ 8 20 12  7]
88,224483,7.844538549794386,0.16474870134599873,0.09499945491552353,88,[14  9  4  8]
89,3960,7.844646386888022,0.16474543298280103,0.09531127661466599,89,[ 0  6  8 10]
90,285687,7.844819825662519,0.164737966224238,0.09555747359991074,90,[18  7  2 12]
91,145683,7.845730646486459,0.16468643003382802,0.09425891935825348,91,[9 8 2 8]
92,389343,7.849054869188558,0.164619771295354,0.09427131712436676,92,[24 22 23 18]
93,173985,7.887985556149353,0.16315706124091922,0.09789120405912399,93,[11  3  9 10]
94,305513,7.8952371178011145,0.1629259243175682,0.0976666733622551,94,[19 13 20 13]
95,337746,7.895988636299432,0.16291047408945072,0.0976344496011734,95,[21 15  9 21]
96,95573,7.895921217571176,0.162908622356559,0.09773571789264679,96,[ 6  2 22 23]
97,88959,7.896034264512504,0.1628936874271858,0.09792279452085495,97,[ 5 17  8  9]
98,146337,7.898642811666019,0.1628228201010212,0.09979087114334106,98,[ 9  9  3 12]
99,22878,7.898611076395968,0.16282196914085176,0.09987875074148178,99,[ 1 11 15  3]
100,66378,7.901637775310824,0.16273076836497866,0.09936769306659698,100,[4 6 5 3]
101,372704,7.903538098932376,0.16269520071981688,0.10013684630393982,101,[23 21  8  4]
102,274706,7.903762686820017,0.16268354083431458,0.10039384663105011,102,[17 14 13  6]
103,51175,7.903765838453404,0.16267997245202964,0.10014209896326065,103,[ 3  6 22  0]
104,208801,7.903853470499371,0.16267824058045174,0.10030193626880646,104,[13  9  2  1]
105,161252,7.907263901288937,0.16257162749173892,0.10096051543951035,105,[10  8  0  2]
106,76334,7.908942258573106,0.16250634851871856,0.0991106927394867,106,[ 4 22  3  9]
107,312046,7.90949739074184,0.1624934217601036,0.0999981239438057,107,[19 24  6 21]
108,71714,7.947317569539925,0.16122181073583025,0.09495119750499725,108,[ 4 14 18 14]
109,26079,7.96491975372245,0.16080566760613857,0.09508006274700165,109,[ 1 16 18  4]
110,61242,7.977288947119909,0.1604387101051642,0.0958661139011383,110,[ 3 22 24 17]
111,35384,7.977353268295549,0.16043609159917852,0.09586260467767715,111,[ 2  6 15  9]
112,274029,7.9783321364972615,0.16040054997457978,0.09764876216650009,112,[17 13 11  4]
113,290227,8.002286453033975,0.15964897363629624,0.10749141871929169,113,[18 14  9  2]
114,104428,8.00674824772736,0.15952845934787438,0.11037823557853699,114,[ 6 17  2  3]
115,205073,8.006642527383972,0.15952561725011852,0.11018232256174088,115,[13  3  2 23]
116,303700,8.0124740843562,0.159324442718712,0.10908332467079163,116,[19 10 23  0]
117,267356,8.013134179031997,0.15932377523799324,0.10917574912309647,117,[17  2 19  6]
118,54635,8.01559138868248,0.1592727030584391,0.11322835832834244,118,[ 3 12 10 10]
119,115889,8.023316490507606,0.15899827751705817,0.11649063974618912,119,[ 7 10 10 14]
120,184909,8.036740527886279,0.15874780574372993,0.12221169471740723,120,[11 20 21  9]
121,257483,8.042831874694164,0.15849088324360724,0.1214052140712738,121,[16 11 24  8]
122,75673,8.043108021571085,0.1584835181300414,0.12104841321706772,122,[ 4 21  1 23]
123,380088,8.044825213404343,0.15843522931777487,0.12057556211948395,123,[24  8  3 13]
124,86697,8.06371148930305,0.15768055225132097,0.12270145118236542,124,[ 5 13 17 22]
125,216271,8.064425174333138,0.15765206548431265,0.12284524738788605,125,[13 21  0 21]
126,72523,8.082773431680485,0.1570710434524356,0.12325480580329895,126,[ 4 16  0 23]
127,234493,8.094929817446783,0.15671850429903467,0.1225777342915535,127,[15  0  4 18]
128,83441,8.095220848198043,0.15670952090241805,0.12233825027942657,128,[ 5  8 12 16]
129,125597,8.100825031831608,0.15657309066340244,0.13007992506027222,129,[ 8  0 23 22]
130,203348,8.102050901308171,0.15653634202723934,0.13163091242313385,130,[13  0  8 23]
131,5838,8.110646440912264,0.1562541937039773,0.13013605773448944,131,[ 0  9  8 13]
132,66899,8.110647019695765,0.1562503010461015,0.12992066144943237,132,[ 4  7  0 24]
133,309245,8.131477024675682,0.15557234457013738,0.1292496919631958,133,[19 19 19 20]
134,110839,8.13169599658888,0.155566457197331,0.12913793325424194,134,[ 7  2  8 14]
135,2293,8.131371533830018,0.15556129163792465,0.12932828068733215,135,[ 0  3 16 18]
136,321647,8.134345067227445,0.15548988043934556,0.1286105513572693,136,[20 14 15 22]
137,27345,8.137590231255134,0.15540162793770823,0.12888388335704803,137,[ 1 18 18 20]
138,101227,8.137710764640595,0.15540038610768897,0.12895233929157257,138,[ 6 11 24  2]
139,62537,8.138038317891315,0.15539551678029284,0.12910377979278564,139,[ 4  0  1 12]
140,56854,8.138083104374932,0.1553951854114288,0.12902343273162842,140,[ 3 15 24  4]
141,132330,8.145209900459044,0.15514338047434226,0.13090206682682037,141,[ 8 11 18  5]
142,182867,8.14626165981638,0.15511494922370822,0.13016824424266815,142,[11 17 14 17]
143,316095,8.147577057481353,0.15504596758928532,0.13087907433509827,143,[20  5 18 20]
144,278925,8.148730807265409,0.155004300287852,0.1316697597503662,144,[17 21  7  0]
145,233923,8.14912684859037,0.15497630765853157,0.1318313479423523,145,[14 24  6 23]
146,19545,8.252827074096693,0.15140715158457185,0.12863746285438538,146,[ 1  6  6 20]
147,99209,8.25390343602442,0.1513675895399252,0.12842148542404175,147,[ 6  8 18  9]
148,265176,8.254696271965141,0.15134787033373667,0.12885670363903046,148,[16 24  7  1]
149,24833,8.256055630460242,0.15127563397282365,0.1284024864435196,149,[ 1 14 18  8]
150,306595,8.257866449722794,0.1511650627492805,0.12793631851673126,150,[19 15 13 20]
151,345784,8.258390191672175,0.1511590136616309,0.12855412065982819,151,[22  3  6  9]
152,335064,8.26156641033285,0.15107837135350718,0.1288154274225235,152,[21 11  2 14]
153,169880,8.301885148373191,0.14980022249308222,0.12956993281841278,153,[10 21 20  5]
154,238665,8.30221689561933,0.1497695441929199,0.12994571030139923,154,[15  6 21 15]
155,110444,8.305894337581341,0.14966046654073373,0.1310756504535675,155,[ 7  1 17 19]
156,177452,8.307263454422243,0.14962436802649376,0.13146939873695374,156,[11  8 23  2]
157,321509,8.309280098275387,0.1495779336936195,0.13092897832393646,157,[20 14 10  9]
158,45741,8.309309626912533,0.1495775436528909,0.13089127838611603,158,[ 2 23  4 16]
159,357244,8.309485451091295,0.14957111482605126,0.13126273453235626,159,[22 21 14 19]
160,387887,8.314162255524533,0.14943127803321143,0.13298875093460083,160,[24 20 15 12]
161,47863,8.314685180483467,0.14942399555991215,0.1329774707555771,161,[ 3  1 14 13]
162,206057,8.316702341019349,0.1493746529896178,0.1329972743988037,162,[13  4 17  7]
163,54142,8.316642148224604,0.14936081495704803,0.1333802044391632,163,[ 3 11 15 17]
164,328030,8.320711401324129,0.14933624007582902,0.1340511441230774,164,[20 24 21  5]
165,221479,8.322097175854202,0.14929928030424272,0.13402636349201202,165,[14  4  9  4]
166,73791,8.323576750048286,0.14926260179755774,0.13426417112350464,166,[ 4 18  1 16]
167,168701,8.323689745735319,0.14924103239877023,0.1343938112258911,167,[10 19 23  1]
168,275757,8.326702582494068,0.1491818078468223,0.13542425632476807,168,[17 16  5  7]
169,33761,8.332446172886886,0.14899219235974465,0.1387845128774643,169,[ 2  4  0 11]
170,333974,8.369314608438769,0.14793696584900362,0.13931027054786682,170,[21  9  8 24]
171,197937,8.371857812480062,0.14785410632810034,0.13911190629005432,171,[12 16 17 12]
172,73911,8.39044036856534,0.14724659614848876,0.14023646712303162,172,[ 4 18  6 11]
173,24306,8.3905929094423,0.1472466400119606,0.14026902616024017,173,[ 1 13 22  6]
174,298541,8.388070912506514,0.14722040987488935,0.13937275111675262,174,[19  2 16 16]
175,351778,8.388743014756052,0.14721087783460685,0.13905587792396545,175,[22 12 21  3]
176,224027,8.388664414588966,0.14721008395303115,0.13886617124080658,176,[14  8 11  2]
177,350770,8.402472641643001,0.14676742871918277,0.14876282215118408,177,[22 11  5 20]
178,359624,8.410962181142533,0.1464443488669317,0.14553727209568024,178,[23  0  9 24]
179,377974,8.414836558783488,0.14634885872212827,0.142632395029068,179,[24  4 18 24]
180,144052,8.438760464923952,0.14568834173709946,0.1415029764175415,180,[ 9  5 12  2]
181,340730,8.440210397801296,0.14564452311756662,0.142706498503685,181,[21 20  4  5]
182,296343,8.449601752105622,0.1454505283427486,0.1465144157409668,182,[18 24  3 18]
183,182721,8.450219055880266,0.14541378677189137,0.14652597904205322,183,[11 17  8 21]
184,67974,8.45617425368574,0.14527826666193816,0.1476917713880539,184,[ 4  8 18 24]
185,88545,8.456318951536742,0.14527617131451825,0.14796797931194305,185,[ 5 16 16 20]
186,347760,8.456297650194406,0.14526911300433099,0.14807580411434174,186,[22  6 10 10]
187,139464,8.50193638020705,0.14400936620727256,0.15780532360076904,187,[ 8 23  3 14]
188,355127,8.504348946306495,0.14392654277074396,0.15744061768054962,188,[22 18  5  2]
189,321327,8.50396717872944,0.14392114168571854,0.15739662945270538,189,[20 14  3  2]
190,145941,8.504023459910133,0.1439172643063576,0.15731987357139587,190,[ 9  8 12 16]
191,1975,8.521503193540507,0.14340035961779835,0.16234853863716125,191,[0 3 4 0]
192,46769,8.53276936733067,0.14305752610124317,0.16196100413799286,192,[ 2 24 20 19]
193,112198,8.542138927710553,0.1428136458000656,0.16000647842884064,193,[ 7  4 12 23]
194,30852,8.546358856750778,0.1426887939352375,0.16102974116802216,194,[ 1 24  9  2]
195,114309,8.550054081672684,0.1425927892754361,0.15992484986782074,195,[ 7  7 22  9]
196,356747,8.550922357506552,0.14257962251487635,0.16026750206947327,196,[22 20 19 22]
197,148814,8.551896070681547,0.14256024390854863,0.1607392430305481,197,[ 9 13  2 14]
198,376941,8.582959615976675,0.14154420607941395,0.15997843444347382,198,[24  3  2 16]
199,136879,8.599288876236814,0.14103172087880822,0.1616637408733368,199,[ 8 19  0  4]
200,152651,8.617910221840724,0.14052920771962768,0.16185106337070465,200,[ 9 19  6  1]
201,344801,8.619011190837476,0.14051911941348108,0.1618618369102478,201,[22  1 17  1]
202,153142,8.619076154927397,0.14051665665819346,0.161811962723732,202,[ 9 20  0 17]
203,87257,8.62641500705145,0.1403451654463573,0.16129200160503387,203,[ 5 14 15  7]
204,354903,8.634514539641346,0.14016072055676942,0.15698452293872833,204,[22 17 21  3]
205,208663,8.636210172162945,0.14010225123503087,0.15802603960037231,205,[13  8 21 13]
206,85926,8.636499682005217,0.14009803279446933,0.15799207985401154,206,[ 5 12 12  1]
207,335635,8.644880752107172,0.1397703594444807,0.1603149175643921,207,[21 12  0 10]
208,182289,8.658435303703406,0.13930882226302274,0.15962593257427216,208,[11 16 16 14]
209,322750,8.658469714791767,0.13930591617409976,0.15973970293998718,209,[20 16 10  0]
210,7085,8.65812866250806,0.13929997714089176,0.16019806265830994,210,[ 0 11  8 10]
211,18761,8.661905158441245,0.1392148873605958,0.15953589975833893,211,[ 1  5  0 11]
212,125958,8.672319291890174,0.1389234269241549,0.15898385643959045,212,[ 8  1 13  8]
213,208691,8.685303215956674,0.13867288282045234,0.1637324094772339,213,[13  8 22 16]
214,207,8.685334253775077,0.13866730162198299,0.16335080564022064,214,[0 0 8 7]
215,72652,8.687984476566546,0.1385810584571718,0.16277416050434113,215,[ 4 16  6  2]
216,10940,8.688122037668487,0.13857715569597787,0.16292531788349152,216,[ 0 17 12 15]
217,28376,8.702890211647604,0.1382623829793185,0.1624641865491867,217,[ 1 20 10  1]
218,271466,8.708611460944862,0.13817399414417408,0.16323167085647583,218,[17  9  8 16]
219,26225,8.712206773900101,0.138085682822713,0.16286607086658478,219,[ 1 16 24  0]
220,94150,8.71277998740296,0.1380752829697536,0.16341239213943481,220,[ 6  0 16  0]
221,130355,8.988326081258665,0.1298402700460865,0.17355430126190186,221,[ 8  8 14  5]
222,55267,8.990165897187586,0.129797701998548,0.1746412068605423,222,[ 3 13 10 17]
223,51014,8.990372878930996,0.1297502022677311,0.1758715957403183,223,[ 3  6 15 14]
224,115292,9.011478278804844,0.12927456564778156,0.17511409521102905,224,[ 7  9 11 17]
225,75684,9.013466669441602,0.1292062157197235,0.17641276121139526,225,[ 4 21  2  9]
226,84595,9.013818585898537,0.12913329614771074,0.17620129883289337,226,[ 5 10  8 20]
227,72983,9.017151432017734,0.1290208373679645,0.17668285965919495,227,[ 4 16 19  8]
228,164778,9.018889740773082,0.12895903062404468,0.17664560675621033,228,[10 13 16  3]
229,183578,9.036611096946901,0.12857385873999355,0.17195706069469452,229,[11 18 18  3]
230,132624,9.04269581684992,0.1284355228735565,0.17315773665905,230,[ 8 12  4 24]
231,189098,9.047309246317122,0.12830174032024555,0.17237573862075806,231,[12  2 13 23]
232,149286,9.074878512124428,0.12711271806198346,0.19066299498081207,232,[ 9 13 21 11]
233,128257,9.106951869623508,0.1261861218296603,0.1996062844991684,233,[8 5 5 7]
234,292381,9.114654793692146,0.12607014167295538,0.19670191407203674,234,[18 17 20  6]
235,87982,9.11467568957893,0.1260696132899744,0.19662857055664062,235,[ 5 15 19  7]
