step,action,psnr_value,mse_value,ssim_value,rank,action
1,272071,4.161727538281263,477.37687850600804,-0.0033668724354356527,1,[11  4 14 22]
2,522541,3.172059066966015,5096807.064763929,-0.01460944302380085,2,[21 12  9 19]
3,551814,3.3730991728812576,127017.79051193234,0.006033099256455898,3,[22 18  4  2]
4,170427,3.2602026918858114,4158334.46136759,-0.01301774475723505,4,[ 6 28 18 23]
5,237460,3.432161659007298,170500.21865386466,-0.0012393370270729065,5,[ 9 21 10  8]
6,51455,3.240498899164769,1203584.4939698237,-0.0056783277541399,6,[2 3 5 9]
7,408128,3.2483433143986633,180512.73812605935,-0.008430133573710918,7,[16 21  8 11]
8,508512,3.309997159242794,75893.08919653734,0.0038121561519801617,8,[20 24 18 26]
9,434511,3.150737871918983,14099819.074883519,-0.009803407825529575,9,[17 23 19  4]
10,500340,3.1884588449466875,1065380.2749407052,-0.007215890102088451,10,[20 14 27  3]
11,319382,3.2613437204896254,166138.7438200645,-0.0027752937749028206,11,[13  2 22  5]
12,538807,3.3725136299424285,4461.2328031507195,-0.012919958680868149,12,[22  2 19 16]
13,131374,3.35955267583551,3789.216313283743,0.0006796865491196513,13,[ 5 11  6  4]
14,511266,3.4323698573562744,1627.381069799288,-0.0007225959561765194,14,[20 27 26 25]
15,180010,3.721006444029017,2332.3528905122016,-0.008385038003325462,15,[ 7 11  1  7]
16,464265,3.4112152805855005,3150.7527313808096,0.0008637807914055884,16,[19  1  1  4]
17,41263,3.625704625879627,1180.9656125731512,-9.01248276932165e-05,17,[ 1 20  1 25]
18,111733,3.440563091792174,4314.87391862586,-0.004598449449986219,18,[ 4 16 24 25]
19,229446,3.614267287446361,347.9262175931922,-0.006211245432496071,19,[ 9 11 23 27]
20,410047,3.689157876046295,44.298622681942476,-0.002623505424708128,20,[16 23 16 16]
21,607383,3.5282172276699537,138.02995123661725,-0.003680227557197213,21,[24 26  6  7]
22,509129,3.6909787928997817,287.64803818417465,3.684323382913135e-05,22,[20 25 11  5]
23,324904,3.9846680172340907,75.19538019909733,8.164759492501616e-05,23,[13  9  9 17]
24,119043,3.9460691605951626,66.0438737892646,0.0073697930201888084,24,[ 4 25 15 27]
25,74280,3.7703410416046563,38.75798291494042,0.01218861062079668,25,[ 3  1  9 11]
26,67292,3.9326742044939422,13.009293258814235,0.022579576820135117,26,[ 2 22  0 12]
27,338185,3.903617344231459,13.702772338988547,0.010082561522722244,27,[13 25  3 16]
28,627022,3.9755664496828707,6.697825448609832,-0.005550964269787073,28,[25 20 16 13]
29,399883,3.782415066766646,46.434017094746736,0.007198774721473455,29,[16 11 14  2]
30,36317,4.447005934148579,3.146328033333951,-0.00499544246122241,30,[ 1 14  5  9]
31,498961,3.786503735686673,11.794986648680345,-0.010741937905550003,31,[20 13  8 16]
32,362322,3.9486187871773915,7.916197909242776,0.0023814188316464424,32,[14 24 23 25]
33,671196,4.014042345131576,8.566624105235167,-0.004785350989550352,33,[27 15  2 20]
34,422856,4.09724931503774,4.168720137528357,0.008535567671060562,34,[17  9 23  7]
35,347053,4.366238494425535,3.0669955014554002,-0.004357816651463509,35,[14  6 19 10]
36,369894,4.13426064687383,2.745060593914956,-0.011680257506668568,36,[15  4 23 28]
37,386760,4.289849304481073,2.372276408226566,0.0032098612282425165,37,[15 24 25 16]
38,282942,4.318760190970406,3.2637327127430735,-0.0033596556168049574,38,[11 17 12 18]
39,440174,4.283872633643122,2.8457114680276896,-6.475768168456852e-05,39,[18  1 11 12]
40,220253,4.5846817012063905,1.9585886889558999,0.018428834155201912,40,[ 9  0 25 27]
41,413591,4.4859025646133235,3.2104067549173845,0.01944679021835327,41,[16 27 22 22]
42,459211,4.32687967315101,3.623761173895079,0.016339687630534172,42,[18 24  0 25]
43,432579,4.18114499632228,3.408981778793467,0.0112380962818861,43,[17 21 10 15]
44,169179,4.705100873790809,2.4271241902088208,0.019414329901337624,44,[ 6 27  4 22]
45,284351,4.442775383849931,2.399313838943713,0.009908515028655529,45,[11 19  3  6]
46,5656,4.384749808036071,2.80762604532631,0.012522601522505283,46,[ 0  6 21  1]
47,210260,4.2446435279388,3.8414224866369517,0.0017502501141279936,47,[ 8 18  0 10]
48,477343,4.669525066858031,2.2071010658639243,0.004538755398243666,48,[19 16 17  3]
49,445395,4.622301382000158,2.2856533840234605,0.014646711759269238,49,[18  7 17 13]
50,51350,4.687664461510609,1.73007849996851,0.017566833645105362,50,[ 2  3  1 20]
51,125566,4.738443049269558,1.565910431593402,0.012730681337416172,51,[ 5  4  8 25]
52,131564,4.553580655878924,1.8060787295279181,0.01046299934387207,52,[ 5 11 12 20]
53,305965,4.837069487973213,1.8193368210778436,0.010843961499631405,53,[12 15 23 15]
54,477302,4.596290947905822,2.0090611083342833,0.016532348468899727,54,[19 16 15 20]
55,312338,4.739207569238766,1.7988055536170946,0.014892409555613995,55,[12 23 11  8]
56,555361,4.674885508617315,2.1802328271704936,0.022166717797517776,56,[22 22 10 11]
57,545146,4.710309545129071,2.2947098570230557,0.013212165795266628,57,[22 10  6  4]
58,627031,4.889431016356792,1.883313025785322,0.021741973236203194,58,[25 20 16 22]
59,553474,4.8442926769131045,1.5992714716562209,0.029281098395586014,59,[22 20  3  9]
60,686975,5.0491470679400745,1.5461039509253334,0.020760729908943176,60,[28  4 24 23]
61,179534,4.8509035593241805,1.6051052337201333,0.016461269930005074,61,[ 7 10 13 24]
62,309124,5.002263443479044,1.601161389752898,0.019754186272621155,62,[12 19 16 13]
63,254489,4.594558767974143,2.0095602914086332,0.02269974909722805,63,[10 12 17 14]
64,99542,4.497739174069379,2.778442484812125,0.012761577032506466,64,[ 4  2 10 14]
65,246711,4.386503123003267,3.042497869664105,0.018038267269730568,65,[10  3 10  8]
66,502712,4.4528620168123005,2.4706553016189114,0.0009501073509454727,66,[20 17 21 26]
67,185044,4.441226640156788,2.7789569843005593,0.007002912927418947,67,[ 7 17  0 24]
68,113138,4.773938736926465,2.3877351677796916,0.011525713838636875,68,[ 4 18 15  9]
69,187295,4.892190665700243,2.311564016601101,0.015314336866140366,69,[ 7 19 20 13]
70,221441,4.707517932001772,2.568385115917781,0.014520061202347279,70,[ 9  2  8 26]
71,224128,4.747094021649046,2.4933957895913954,0.01095480564981699,71,[ 9  5 14 16]
72,355618,4.686507992364141,2.6725790072775175,0.004946680273860693,72,[14 16 24 20]
73,399364,4.645089378357303,2.745228967074099,0.015839962288737297,73,[16 10 25  5]
74,169880,4.765400627130504,2.709125791042475,0.010049021802842617,74,[ 6 27 28 27]
75,171639,4.583089282301184,2.283995158490515,0.007396453060209751,75,[ 7  1  2 17]
76,129361,4.554428890861823,2.2868191565034235,0.008204054087400436,76,[ 5  8 23 21]
77,628673,4.546758656997571,2.476200885191981,0.009922041557729244,77,[25 22 15 11]
78,427488,4.498231475300607,2.4299337289769296,0.00546524953097105,78,[17 15  8 28]
79,28763,4.517122742817444,2.4492292681694967,0.006725405342876911,79,[ 1  5  5 24]
80,655863,4.476564840849103,2.3708870901240076,0.005579485557973385,80,[26 25 24 28]
81,75079,4.462407178606237,2.3977164469789045,0.006758746691048145,81,[ 3  2  7 27]
82,133731,4.448726707433803,2.5614126896428027,0.005528722424060106,82,[ 5 14  0 12]
83,156163,4.571132679972844,2.415476007901189,0.007160848472267389,83,[ 6 11 19 27]
84,587006,4.484049444268098,2.729417549872563,-0.0028926010709255934,84,[24  1 28 17]
85,653024,4.464032664065057,2.8001935122088875,0.002561243250966072,85,[26 22 14  2]
86,28318,4.5528764769995504,2.8011832692333747,0.0004893025034107268,86,[ 1  4 19 14]
87,116714,4.514345565913967,2.8376455155645597,0.00019603002874646336,87,[ 4 22 22 18]
88,354106,4.469561065767586,2.7817867634222995,0.00016773045354057103,88,[14 15  1 16]
89,411082,4.475872565623695,2.665098796947459,0.00014971553173381835,89,[16 24 23  7]
90,302226,4.556946476750753,2.511499791785721,-0.001403933740220964,90,[12 11 10 17]
91,316552,4.517779479047874,2.6807815461465916,0.00015010792412795126,91,[12 28 11 17]
92,340245,4.531565894020982,2.7676736146558634,-0.0003331818734295666,92,[13 27 16 17]
93,356657,4.50997546432823,2.9827782192520655,-0.005357144866138697,93,[14 18  2 15]
94,653309,4.467080301429744,3.153070006176535,-0.0017576602986082435,94,[26 22 23 26]
95,255182,4.43576378135032,2.9429187697786627,-0.003950806334614754,95,[10 13 12 11]
96,313204,4.3682587471312075,3.0799455224750223,-0.008287237025797367,96,[12 24 12  4]
97,125473,4.282619087786918,3.269743390837961,-0.0008271659025922418,97,[ 5  4  5 19]
98,353599,4.31147618501827,2.999390907695033,-0.004601181019097567,98,[14 14 13  2]
