step,action,psnr_value,mse_value,ssim_value,rank,action
1,345106,8.06913209818645,0.15601354403432754,0.09163857996463776,1,[14  4 10  6]
2,584523,8.043816606367368,0.15692375910415773,0.11075520515441895,2,[23 28  0 28]
3,617272,3.2140059280629956,2.0857677154099292,0.057104580104351044,3,[25  8 28  7]
4,4422,3.1533581172894327,2.096053298452343,0.04141351208090782,4,[ 0  5  7 14]
5,37041,3.1519599932967295,2.0966734295118727,0.04061787575483322,5,[ 1 15  1  8]
6,370816,3.152119351915599,2.097021164514817,0.04046976566314697,6,[15  5 26 22]
7,440417,3.645709314820336,1.651019144903885,0.043058425188064575,7,[18  1 19 23]
8,552451,3.6835699630903878,1.3648690111534587,0.04763209447264671,8,[22 18 26  1]
9,341243,3.690828946549278,1.3595322234647398,0.05831639841198921,9,[13 28 22  0]
10,558501,3.830819165080891,1.027166080137079,0.05839754268527031,10,[22 26  2 19]
11,371797,6.119489755101491,0.4167401282354398,0.10826660692691803,11,[15  7  2 17]
12,297333,6.191045268975755,0.359522444100036,0.09377779811620712,12,[12  5 15 25]
13,339323,6.062532071339483,0.36540293799012036,0.10150013864040375,13,[13 26 13 23]
14,328843,6.082260724927886,0.33727241038755806,0.052887313067913055,14,[13 14  0 12]
15,47033,6.131082606972898,0.3293371667009972,0.04344366863369942,15,[ 1 26 26 24]
16,540669,6.712252570623731,0.3229784497637851,0.10991106927394867,16,[22  4 25 22]
17,212044,6.937910106622811,0.2861270865175749,0.09656726568937302,17,[ 8 20  3 25]
18,280954,7.522164593271265,0.23082985329115088,0.12763839960098267,18,[11 15  2  2]
19,520581,7.611115943386002,0.22842674330346205,0.15102462470531464,19,[21 10  0  2]
20,284185,7.615284091984647,0.22805651144165848,0.1511124074459076,20,[11 18 26 14]
21,666714,7.6144527709696455,0.22359629918099463,0.1536019742488861,21,[27  9 22  4]
22,491547,7.559747772478268,0.23105428698995373,0.16380439698696136,22,[20  4 13 26]
23,80736,7.596072181429805,0.22824147748010287,0.16508549451828003,23,[3 9 0 0]
24,31275,7.6230140827198865,0.22644808698825494,0.16181901097297668,24,[ 1  8  5 13]
25,149117,7.617245312135783,0.2267659005616222,0.16263394057750702,25,[ 6  3  8 28]
26,635432,7.6218529554101755,0.22782886881912304,0.16088518500328064,26,[26  1 16 13]
27,2526,7.778603746708399,0.22048579447034375,0.1587682068347931,27,[0 3 0 3]
28,36265,7.896429944451785,0.21399160754394406,0.17105437815189362,28,[ 1 14  3 15]
29,238361,7.912000968547495,0.21425112774890093,0.14635048806667328,29,[ 9 22 12 10]
30,477386,7.9244520872529645,0.21441065511311774,0.1453336477279663,30,[19 16 18 17]
31,207034,7.9327832079870415,0.21308432226831936,0.1476256102323532,31,[ 8 14  5  3]
32,238264,7.95313642909084,0.21011490351025663,0.14487317204475403,32,[ 9 22  9  0]
33,376980,7.980137892527218,0.20624224452631873,0.13316769897937775,33,[15 13  7  9]
34,652720,7.96422106089584,0.20356927661190477,0.13240236043930054,34,[26 22  3 17]
35,134102,7.932010740543433,0.1949686311909307,0.11838497966527939,35,[ 5 14 13  6]
36,561681,7.938544062419748,0.19509857495417685,0.11832840740680695,36,[23  0 25  9]
37,1752,7.964314053547047,0.19015496543604876,0.10863742977380753,37,[ 0  2  2 12]
38,686055,7.971154826663856,0.1896007372891242,0.11057458817958832,38,[28  3 22  2]
39,349046,7.991908141830905,0.18800807423509827,0.10897444933652878,39,[14  9  1  2]
40,603078,8.015182442758825,0.1857514541918155,0.10567241162061691,40,[24 21  2 23]
41,172506,8.002646919867912,0.18383706753459322,0.11416419595479965,41,[ 7  2  3 14]
42,363165,8.003664061747415,0.18421465994911357,0.11482834815979004,42,[14 25 23 27]
43,383356,7.9728575805026205,0.1898900306696662,0.1026427298784256,43,[15 20 24  5]
44,619421,7.972355644028182,0.19002259111125586,0.10372387617826462,44,[25 11 15 10]
45,453765,7.973343355859532,0.18999225394291788,0.10344944149255753,45,[18 17 16  2]
46,340727,7.967578098619272,0.19038664711617734,0.10344371944665909,46,[13 28  4  6]
47,410268,7.96563221395327,0.19035500013763088,0.10582023113965988,47,[16 23 24  5]
48,231511,7.9654223199309655,0.19051283922657783,0.10572634637355804,48,[ 9 14  8  4]
49,566567,7.9924548495145835,0.18897997107965242,0.11208526045084,49,[23  6 19 23]
50,468354,7.997910618399229,0.18909088911064714,0.1106034591794014,50,[19  5 26  4]
51,7948,8.010344954849524,0.18859398488428072,0.11185313016176224,51,[ 0  9 13  2]
52,439427,8.002742994753635,0.18852952576039583,0.11286721378564835,52,[18  0 14 19]
53,564236,8.003402387516351,0.18851427955129113,0.11293353885412216,53,[23  3 26 12]
54,438568,7.999647313472319,0.18905006828741358,0.11321559548377991,54,[17 28 14  1]
55,680666,7.9962297817297845,0.18891058470410635,0.11192449927330017,55,[27 26 10  7]
56,205329,8.17548332400608,0.1673930038042279,0.1141398474574089,56,[ 8 12  4  9]
57,69677,8.203465324107908,0.16630634382788367,0.11482919007539749,57,[ 2 24 24 19]
58,313724,8.282728032868276,0.16172694822108788,0.11294709146022797,58,[12 25  1  2]
59,153592,8.296574629292829,0.1612761625304394,0.11426831781864166,59,[ 6  8 18  8]
60,361014,8.294790836570911,0.16128771542729756,0.11511039733886719,60,[14 23  7 22]
61,62503,8.446117841861666,0.15497065885953468,0.12887628376483917,61,[ 2 16  9  8]
62,483765,8.495425890579872,0.15295672925501402,0.1316150426864624,62,[19 24  6 16]
63,340659,8.505062488065047,0.15199081850579538,0.1330386996269226,63,[13 28  1 25]
64,251636,8.790332510012268,0.14243151964174708,0.11382486671209335,64,[10  9  6  3]
65,563748,8.790193254442078,0.14244413338606357,0.11404475569725037,65,[23  3  9 17]
66,29734,8.79323176142095,0.14259525760764938,0.11416646838188171,66,[ 1  6 10  9]
67,646417,8.792888303001668,0.1426878093722911,0.11464576423168182,67,[26 14 18  7]
68,698647,8.83437146527204,0.14110304363266205,0.1184021607041359,68,[28 18 21  8]
69,405631,8.884271211236465,0.13965074099740654,0.11634398996829987,69,[16 18  9  8]
70,371269,8.92678331434846,0.13839388359170482,0.13034778833389282,70,[15  6 13 11]
71,547097,8.914916785083884,0.13887917696490218,0.14247938990592957,71,[22 12 15 12]
72,225811,8.892548412134724,0.1397232218123965,0.13835759460926056,72,[ 9  7 14 17]
73,557389,8.890562674188514,0.13974887855918544,0.13849353790283203,73,[22 24 22  9]
74,76497,8.896213633446932,0.13945201786373151,0.1384260207414627,74,[ 3  3 27 24]
75,214848,8.896338882847418,0.13945055366031645,0.13836735486984253,75,[ 8 23 13 16]
76,174677,8.903509609121523,0.13890718297916943,0.13441507518291473,76,[ 7  4 20 10]
77,588927,8.913861071982023,0.13837564452628837,0.13783064484596252,77,[24  4  7 24]
78,554490,8.967519221562084,0.1373106070491598,0.1398884654045105,78,[22 21  9 10]
79,319646,8.957273582713658,0.13771686740699093,0.1376693993806839,79,[13  3  2  8]
80,550299,8.970903171974765,0.13740931329667155,0.13736414909362793,80,[22 16  9 24]
81,480150,9.013849391532531,0.1356601643395263,0.13808654248714447,81,[19 19 26 26]
82,263526,9.018028270876188,0.13523287195204703,0.1291460394859314,82,[10 23 10  3]
83,459985,9.020556145156426,0.13517146393151394,0.13014227151870728,83,[18 24 27 16]
84,694073,9.020480169263946,0.1352126449299984,0.12972699105739594,84,[28 13  8 16]
85,248179,9.094530818504245,0.13319861031668212,0.13461032509803772,85,[10  5  2 26]
86,408725,9.091599379282231,0.1328755435217465,0.13357391953468323,86,[16 21 28 28]
87,127927,9.081005278226531,0.13308635323890178,0.13799303770065308,87,[5 7 3 8]
88,452029,9.085609691186823,0.13291558604895606,0.13750295341014862,88,[18 15 14  6]
89,321632,9.088149791159264,0.13305604850202338,0.13932262361049652,89,[13  5 12 22]
90,307829,9.080221803609303,0.13487123193444087,0.15700489282608032,90,[12 18  0 23]
91,589269,9.090699666681031,0.13120913692680075,0.1656157523393631,91,[24  4 19 18]
92,616501,9.103531538328095,0.1304618281863559,0.16595788300037384,92,[25  8  1 19]
93,668807,9.104806870847725,0.13043080239407387,0.16447263956069946,93,[27 12  7  9]
94,636999,9.104786785227677,0.13041428905201682,0.1644245684146881,94,[26  3 12 14]
95,111200,9.118100577043663,0.1308915865356935,0.1690502166748047,95,[ 4 16  6 14]
96,108204,9.137268508046164,0.1305821667957721,0.16939431428909302,96,[ 4 12 19  5]
97,327022,9.135210950238008,0.13074903093848303,0.16843566298484802,97,[13 11 24 18]
98,396066,9.156361255112184,0.12991578956401362,0.1708000898361206,98,[16  6 27 13]
99,683740,9.155738235706472,0.12987982347027172,0.1695486605167389,99,[28  1  0  7]
100,134468,9.15292920474177,0.1296751284929825,0.16797588765621185,100,[ 5 14 25 24]
101,450277,9.149305105741062,0.12983834609553646,0.17097334563732147,101,[18 13 11 23]
102,389100,9.148895085525112,0.12985394855618476,0.17090937495231628,102,[15 27 19  7]
103,531631,9.147560748696879,0.12935706574947076,0.1704995483160019,103,[21 23  4  3]
104,430334,9.144983871814036,0.12947289414518087,0.1684560328722,104,[17 18 20  3]
105,523571,9.157638761902131,0.12923305681517472,0.16655069589614868,105,[21 13 16  5]
106,563531,9.156821091932265,0.12926584873241595,0.16856475174427032,106,[23  3  2  3]
107,686545,9.154386314769006,0.12937221406473837,0.16933467984199524,107,[28  4  9 28]
108,387230,9.150449850702834,0.1293033659329999,0.1803606003522873,108,[15 25 12 22]
109,526429,9.253573276387357,0.1257210655788366,0.18188533186912537,109,[21 16 27 21]
110,633833,9.251747051903415,0.12576933923068442,0.18213890492916107,110,[25 28 19  9]
111,148868,9.251417400151688,0.12584229237836905,0.1807296723127365,111,[ 6  3  0 11]
112,681675,9.224704861983072,0.12676653749628422,0.17718316614627838,112,[27 27 16  1]
113,462940,9.212320449852566,0.12716295115977558,0.17638523876667023,113,[18 28 13 13]
114,266416,9.215108838033302,0.12711095108744272,0.17641185224056244,114,[10 26 22 22]
115,234102,9.252121301182422,0.12554775779962635,0.17803718149662018,115,[ 9 17 10 14]
116,265394,9.25384354092536,0.12546624555303176,0.1782795488834381,116,[10 25 16 15]
117,477824,9.253569814178068,0.12546807044678077,0.1781492531299591,117,[19 17  4 20]
118,330683,9.247154918979932,0.12585180335948304,0.17605142295360565,118,[13 16  5 25]
119,346000,9.247508292481553,0.12585956001617885,0.17590433359146118,119,[14  5 12  1]
120,91244,9.323042104490161,0.12393073207558516,0.18668289482593536,120,[ 3 21 14 10]
121,321358,9.328895432641788,0.12370222672858863,0.18953320384025574,121,[13  5  3  9]
122,279981,9.331048904226787,0.12375713393020188,0.18979135155677795,122,[11 13 26 15]
123,686880,9.343771154868124,0.12354355843811546,0.19409000873565674,123,[28  4 21 15]
124,673043,9.361229809400365,0.12300605941372637,0.19813892245292664,124,[27 17  8 11]
125,413863,9.379141291368288,0.12256616834154371,0.20437844097614288,125,[16 28  3  4]
126,127613,9.385433593363883,0.12242019094299819,0.20333731174468994,126,[ 5  6 21 13]
127,370173,9.386582649540886,0.12232302170292769,0.20346274971961975,127,[15  5  4 17]
