step,action,psnr_value,mse_value,ssim_value,rank,action
1,291981,8.183092657226549,0.15350674968934702,0.035703323781490326,1,[11 28  5  9]
2,266894,8.239216009357438,0.1525061335328939,0.05076229199767113,2,[10 27 10  7]
3,682160,8.248401886906,0.1517935121293423,0.05288476124405861,3,[27 28  3 22]
4,474819,8.258336324730685,0.15614140666893533,0.06880420446395874,4,[19 13 17  2]
5,79354,8.73417946767866,0.14416662222088608,0.09504236280918121,5,[ 3  7 10 10]
6,493213,9.435025310475936,0.1157678423058043,0.08571557700634003,6,[20  6 13 10]
7,357260,9.549104410554477,0.11248332870521752,0.0930093452334404,7,[14 18 23  9]
8,152248,9.48951938962954,0.11347966393519075,0.08319499343633652,8,[ 6  7  0 27]
9,484416,9.573090125311104,0.11078821411885306,0.10918205231428146,9,[19 25  0  0]
10,78069,9.580735938869587,0.11056318979681017,0.11001395434141159,10,[ 3  5 24  1]
11,414808,9.74726139869589,0.10834669274332283,0.11781556159257889,11,[17  0  6 21]
12,369190,9.899501955877342,0.10400074000849692,0.12030338495969772,12,[15  3 28 20]
13,179010,10.017076671062696,0.10124125044026602,0.12525606155395508,13,[ 7  9 24 22]
14,338800,10.042838806790222,0.10052291992998333,0.12508338689804077,14,[13 25 24 22]
15,579193,10.01195752380978,0.1010812984586037,0.1274132877588272,15,[23 21 20  5]
16,445947,10.080104634289643,0.09946381060012105,0.13487423956394196,16,[18  8  7 14]
17,433379,10.082070521768987,0.09936567063640403,0.13435405492782593,17,[17 22  9  3]
18,84045,10.113985187283243,0.09854567613205997,0.13549555838108063,18,[ 3 12 27  3]
19,658795,10.16880895397821,0.09784630602048856,0.13534535467624664,19,[27  0 10  2]
20,378141,10.2159993120626,0.09684283926298869,0.14037767052650452,20,[15 14 18 10]
21,131893,10.224022151068981,0.09663389346629968,0.1420893669128418,21,[ 5 11 24  1]
22,137078,10.321996184033843,0.09431069355107084,0.15818198025226593,22,[ 5 17 28 24]
23,232929,10.387544340166372,0.09298314229709606,0.15954113006591797,23,[ 9 15 28  1]
24,566514,10.256138960829952,0.09543816743944356,0.15552712976932526,24,[23  6 17 28]
25,82245,10.267048894345635,0.09526889847423649,0.1642095446586609,25,[ 3 10 23  1]
26,68474,10.245559661230574,0.09579457527425195,0.16137774288654327,26,[ 2 23 12  5]
27,326423,10.254484152156689,0.09563293743915792,0.16261832416057587,27,[13 11  3 28]
28,413278,10.321984400204002,0.09476290050699199,0.17505410313606262,28,[16 27 11 28]
29,288401,10.324955650798938,0.09527659940380848,0.17328374087810516,29,[11 23 26 25]
30,347766,10.320941003315042,0.09517756388417303,0.17088983952999115,30,[14  7 14 27]
31,47957,8.891654449325774,0.16674336364235684,0.19180597364902496,31,[ 1 28  0 20]
32,337455,8.861629316705057,0.1689270807573167,0.188388392329216,32,[13 24  7 11]
33,301255,8.728036293484301,0.17091622776041226,0.1830430030822754,33,[12 10  6  3]
34,230302,8.840327135350671,0.1615523698820446,0.17331047356128693,34,[ 9 12 24 13]
35,271103,8.731162707088757,0.16553981856808786,0.17938131093978882,35,[11  3 10 11]
36,271494,8.931126785961096,0.15433057674429695,0.18240712583065033,36,[11  3 23 25]
37,2527,8.937487589458366,0.15427014085943705,0.182611346244812,37,[0 3 0 4]
38,277951,8.696260114727982,0.1647742936550292,0.1764945089817047,38,[11 11 14 15]
39,248545,8.763894305203246,0.16025118288653817,0.17521348595619202,39,[10  5 15 15]
40,534658,8.767786499902881,0.1614101368748922,0.1762450635433197,40,[21 26 21 14]
41,397768,8.785180239331293,0.1572394006387111,0.1777287721633911,41,[16  8 28  4]
42,7488,8.806622144784779,0.15646870187488443,0.17829856276512146,42,[ 0  8 26  6]
43,245700,8.814749642257162,0.15640746556947238,0.17922671139240265,43,[10  2  4 12]
44,196232,9.110316095026803,0.14172695720039977,0.18928365409374237,44,[ 8  1  9 18]
45,661176,9.285916217597967,0.13233011910904172,0.19455252587795258,45,[27  3  5  5]
46,226581,9.273367001529977,0.13269222323485544,0.19425955414772034,46,[ 9  8 12  4]
47,130798,9.288003471536543,0.13246002515563873,0.1960388571023941,47,[ 5 10 15  8]
48,217323,9.32848980252962,0.13028166142481554,0.19584546983242035,48,[ 8 26 11 26]
49,464973,9.37410302142959,0.12946263994370302,0.1943468153476715,49,[19  1 25 16]
50,649532,9.372638392947351,0.1294277830622951,0.1913556605577469,50,[26 18  9 19]
51,129809,9.551205777104611,0.12419441523718987,0.18976803123950958,51,[ 5  9 10  5]
52,457084,9.560494733120704,0.12400817594963913,0.1889106035232544,52,[18 21 14 15]
53,629387,9.534516926052007,0.12517771436873082,0.18732185661792755,53,[25 23 11  0]
54,263208,9.537555255369881,0.12551837177547068,0.1862766146659851,54,[10 22 28  4]
55,695298,9.748686844456733,0.11878488262187971,0.2001800537109375,55,[28 14 21 23]
56,514263,9.76086955251755,0.1180117314071858,0.20100954174995422,56,[21  2 14  6]
57,664542,9.771768255573116,0.11757519936620596,0.20207926630973816,57,[27  7  5  7]
58,331440,9.75657603723008,0.11795366505315755,0.20075418055057526,58,[13 17  2 28]
59,74927,9.753367758829972,0.11821008894186408,0.20097604393959045,59,[ 3  2  2 20]
60,462468,9.762043588890245,0.11794676741801384,0.20182350277900696,60,[18 27 26  5]
61,366988,9.76576058415781,0.11804557198670669,0.20197290182113647,61,[15  1 10 22]
62,82396,9.767066917896583,0.11804469081056997,0.20217911899089813,62,[ 3 10 28  7]
63,44810,9.765834673282276,0.11788109159484697,0.20459619164466858,63,[ 1 24  8  5]
64,692373,9.763230895550462,0.11791879427404639,0.20689694583415985,64,[28 11  7 27]
65,116782,9.778968015836343,0.11757215052376101,0.20905578136444092,65,[ 4 22 24 28]
66,436020,9.823942034156728,0.11663301405988369,0.20809116959571838,66,[17 25 13  5]
67,99236,9.812730842482782,0.11690836082320846,0.20795810222625732,67,[ 4  1 28 27]
68,473930,9.79709843209813,0.11715821021247384,0.20686352252960205,68,[19 12 15 12]
69,170750,9.805850147317205,0.11701506978459617,0.20631268620491028,69,[ 7  0  0 27]
70,298885,9.804023300414595,0.1170657262337276,0.20640051364898682,70,[12  7 11 11]
71,441843,9.784869036662911,0.11785700228100664,0.20441904664039612,71,[18  3 10 28]
72,48992,9.957235134063563,0.11129893263865512,0.22303427755832672,72,[ 2  0  7 11]
73,468366,9.933527869917643,0.11203279525528397,0.22343941032886505,73,[19  5 26 16]
74,476955,9.936892414258548,0.11196822950569063,0.22408807277679443,74,[19 16  3 21]
75,63904,9.933592062945769,0.11225551209153721,0.2285861372947693,75,[ 2 17 28 17]
76,457164,9.942725495144266,0.1115907387160767,0.21951936185359955,76,[18 21 17  8]
77,481220,9.915339030754456,0.11331086326572627,0.22524182498455048,77,[19 21  5 23]
78,247725,10.02097067374757,0.11039110954186232,0.23125264048576355,78,[10  4 16  7]
79,406248,10.023989259105687,0.11028942152876083,0.23115673661231995,79,[16 19  1 16]
80,367631,10.00212215412348,0.1109121570295582,0.22739562392234802,80,[15  2  3 27]
81,264517,10.002934919151677,0.11089338290894396,0.2273307740688324,81,[10 24 15  8]
82,144786,10.0210481618656,0.11067228147793459,0.22872358560562134,82,[ 5 27  4 18]
83,663319,10.014488297599904,0.11062003666789333,0.22966989874839783,83,[27  5 21  2]
84,1663,10.063539166412541,0.10927776480370836,0.2307780534029007,84,[ 0  1 28 10]
85,497378,10.077536114401386,0.10886113106986554,0.23044930398464203,85,[20 11 11 28]
86,704606,10.231686086516286,0.10454549547018556,0.24136489629745483,86,[28 25 23 22]
87,633990,10.229493817734724,0.103628932665838,0.24721547961235046,87,[25 28 24 21]
88,555050,10.239733028443187,0.10335080092034174,0.2470417320728302,88,[22 21 28 19]
89,142064,10.23052097648395,0.10354335077284103,0.24695761501789093,89,[ 5 23 26 22]
