step,action,psnr_value,mse_value,ssim_value,rank,action
1,426824,7.891159904420302,0.16388693565481108,0.2736610472202301,1,[17 14 15  2]
2,503621,7.988952156379357,0.16063414114175448,0.24278995394706726,2,[20 18 24  7]
3,559970,7.992826173160901,0.16075850120492416,0.22265495359897614,3,[22 27 24  9]
4,563141,8.007196856131495,0.15986415868715112,0.20180454850196838,4,[23  2 17 19]
5,207825,8.001613692433555,0.15995039927948623,0.20557881891727448,5,[ 8 15  3 11]
6,406539,8.075280017832029,0.15748248745401575,0.1404835730791092,6,[16 19 11 17]
7,130470,8.140913135382856,0.15511649475051584,0.15631160140037537,7,[ 5 10  3 28]
8,652133,8.190637865928526,0.15321653306438793,0.14917251467704773,8,[26 21 12 10]
9,186494,8.188367736733621,0.1530987884148015,0.1694953590631485,9,[ 7 18 21 24]
10,346568,8.17925563415794,0.15345115672830703,0.1693444401025772,10,[14  6  2 18]
11,66820,8.151502562445607,0.15462396224986077,0.15081502497196198,11,[ 2 21 13  4]
12,641526,8.245026012102883,0.1534990291629252,0.16134332120418549,12,[26  8 23 17]
13,300781,8.302215752401313,0.1517147252614954,0.1713411957025528,13,[12  9 18 22]
14,560867,8.29396821021322,0.15211012512511166,0.1683131903409958,14,[22 28 26  7]
15,254136,8.43468105581345,0.14798891278028314,0.1498972773551941,15,[10 12  5  9]
16,262191,8.47425404853149,0.14681078999691197,0.15805929899215698,16,[10 21 22  2]
17,34170,8.465628040360002,0.14723141263164763,0.15911661088466644,17,[ 1 11 18  8]
18,385042,8.449733513623057,0.14762983969011895,0.15833371877670288,18,[15 22 24  9]
19,611221,8.423067588570714,0.14835757921581819,0.1515333503484726,19,[25  1 22 17]
20,229577,8.420378006571827,0.1489053554338766,0.14964473247528076,20,[ 9 11 28 13]
21,519431,8.407856015658174,0.1491993018436872,0.15029782056808472,21,[21  8 18 12]
22,646988,8.430733943618444,0.14817976471910257,0.1507246047258377,22,[26 15  8 27]
23,31759,8.458930886222925,0.14662226442428553,0.14489242434501648,23,[ 1  8 22  4]
24,178886,8.480687300561701,0.14630169084987144,0.14314725995063782,24,[ 7  9 20 14]
25,99479,8.53657483317957,0.1521220134954945,0.11676492542028427,25,[4 2 8 9]
26,492432,8.557152615594733,0.1528420288042384,0.12592759728431702,26,[20  5 15 12]
27,531770,8.567951907027622,0.15209292606318445,0.12330250442028046,27,[21 23  8 26]
28,384393,8.572832127851628,0.151319316145976,0.12617145478725433,28,[15 22  1 27]
29,529473,8.549256903836588,0.15172428787729392,0.12803798913955688,29,[21 20 16 20]
30,1081,8.552395066997194,0.15216444403929844,0.13098272681236267,30,[0 1 8 8]
31,27417,8.652987615126943,0.1489731725451436,0.1317424327135086,31,[ 1  3 17 12]
32,467908,8.633714396570944,0.1473959059938809,0.13682280480861664,32,[19  5 10 22]
33,458028,8.628833990184678,0.14817309792739908,0.1367407739162445,33,[18 22 18  2]
34,589070,8.628901965688199,0.14826415387311814,0.13790637254714966,34,[24  4 12 22]
35,203869,8.638239390872702,0.14791571824758704,0.13927453756332397,35,[ 8 10 11 28]
36,449333,8.65473293236789,0.1481771441014472,0.14209923148155212,36,[18 12  8  7]
37,606623,8.661934857611131,0.14723291758583906,0.14022094011306763,37,[24 25  9  1]
38,595787,8.664314757754594,0.14688898523515548,0.14140132069587708,38,[24 12 12 11]
39,487474,8.665368729190956,0.14522447683635006,0.13716742396354675,39,[19 28 18 13]
40,489260,8.659251389063582,0.14459997978718075,0.13512440025806427,40,[20  1 22  1]
41,689523,8.697360921640481,0.1431219672467418,0.13655418157577515,41,[28  7 25 19]
42,48666,8.733662439627167,0.14183687869090914,0.13772307336330414,42,[ 1 28 25  4]
43,314395,8.755613007071627,0.1418514755360402,0.13357535004615784,43,[12 25 24  6]
44,499703,8.752584448765571,0.14197266029654793,0.13535411655902863,44,[20 14  5  4]
45,539881,8.763652146359437,0.14359905014452004,0.12988483905792236,45,[22  3 27 17]
46,573062,8.76739307299043,0.1437098344440509,0.12780143320560455,46,[23 14 11 22]
47,278411,8.869824189570403,0.1422053230345118,0.13726209104061127,47,[11 12  1 11]
48,487331,8.851763665523396,0.14457247931144468,0.14367395639419556,48,[19 28 13 15]
49,626093,8.929681344492828,0.1411781184280366,0.14811131358146667,49,[25 19 13 12]
50,458722,8.954445328804004,0.14450529998148953,0.149915412068367,50,[18 23 13  0]
51,250750,9.019005004947974,0.14865935293922103,0.14480260014533997,51,[10  8  4 16]
52,628389,9.01759985032676,0.14836446325756164,0.14617109298706055,52,[25 22  5 17]
53,559995,9.008235614950648,0.1481820767778128,0.14672835171222687,53,[22 27 25  5]
54,525939,9.018001671332529,0.14745761416044736,0.14848493039608002,54,[21 16 10 24]
55,153094,9.023471136768286,0.14648915020847264,0.15325118601322174,55,[6 8 1 3]
56,218484,9.019851601525723,0.14720350585037612,0.15238691866397858,56,[ 8 27 22 27]
57,17577,8.899806153701807,0.15506893357651239,0.15325038135051727,57,[ 0 20 26  3]
58,627371,8.925053067903963,0.15255772696131129,0.1527845710515976,58,[25 20 28 14]
59,393732,8.911672401935597,0.1531880825880561,0.1536460965871811,59,[16  4  4 28]
60,677634,8.90012998315864,0.15377504158998845,0.1522829681634903,60,[27 22 21 20]
61,563725,8.902366145290516,0.14915780120437397,0.15792728960514069,61,[23  3  8 23]
62,50237,8.913486769210568,0.1486330313256005,0.16053256392478943,62,[ 2  1 21  9]
63,52097,8.927509431681244,0.1465931586669587,0.15772515535354614,63,[ 2  3 27 13]
64,512407,8.927043884387075,0.1468063412353739,0.15656070411205292,64,[21  0  8  6]
65,22710,8.920861405163919,0.146745039816678,0.1537293791770935,65,[ 0 27  0  3]
66,123031,8.943467998322943,0.14159058970025543,0.13974936306476593,66,[ 5  1  8 13]
67,293913,8.944459004166541,0.14111989530576774,0.14017947018146515,67,[12  1 13 27]
68,270746,9.049009938192178,0.1404997429623812,0.12872470915317535,68,[11  2 27  2]
69,295046,9.055477371955172,0.1405918015983801,0.13234950602054596,69,[12  2 24  0]
70,299244,9.081086182854747,0.14319449634889625,0.13180488348007202,70,[12  7 23 22]
71,221840,9.09387932585908,0.14352047439273705,0.13733434677124023,71,[ 9  2 22 19]
72,414146,9.087632408407611,0.14367613834549756,0.1306576132774353,72,[16 28 12 26]
73,133617,9.000450855640947,0.15324442068059063,0.13240887224674225,73,[ 5 13 25 14]
74,700037,9.022377231465356,0.1618646453096166,0.14925524592399597,74,[28 20 11  6]
75,85021,9.0269789008192,0.1630855732280809,0.149916872382164,75,[ 3 14  2 22]
76,208782,9.050486612595607,0.1631918544070456,0.14628350734710693,76,[ 8 16  7 11]
77,56558,9.083474248914102,0.16036354983715556,0.14547763764858246,77,[2 9 7 8]
78,57336,9.082673118438013,0.1603368050127015,0.14531537890434265,78,[ 2 10  5  3]
79,572471,9.093077127675919,0.15975172812329902,0.14590640366077423,79,[23 13 20 11]
80,499211,9.09473149024494,0.15920908104136108,0.14927272498607635,80,[20 13 17  5]
81,597042,9.09078831339306,0.1593334417592307,0.14931021630764008,81,[24 13 26 19]
82,266393,9.135617499479473,0.15807852668313477,0.14923584461212158,82,[10 26 21 28]
83,316682,9.22556291454595,0.16191198044814112,0.15087318420410156,83,[12 28 16  2]
84,220852,9.38268606234271,0.1664904836457016,0.1791638731956482,84,[ 9  1 17 17]
85,479442,9.374174927038496,0.161596502105036,0.17278990149497986,85,[19 19  2 14]
86,29342,9.37103304238137,0.16172063595326644,0.17424310743808746,86,[ 1  5 25 23]
87,349013,9.385622795226352,0.16117776201422138,0.17704586684703827,87,[14  8 28 27]
88,365485,9.40685075338561,0.16016987667992058,0.17737939953804016,88,[14 28 16 27]
