step,action,psnr_value,mse_value,ssim_value,rank,action
1,360842,5.187200496719,0.30308190099319154,0.05234309285879135,1,[14 23  1 24]
2,172531,5.253678341354595,0.2984771585190507,0.05109552666544914,2,[ 7  2  4 10]
3,694370,5.309862798586207,0.2946386538138988,0.051805686205625534,3,[28 13 18 23]
4,18896,5.344849665128489,0.29227369228158767,0.04955699294805527,4,[ 0 22 13 17]
5,673632,5.4133367326792055,0.28770169915173044,0.05097873508930206,5,[27 17 28 20]
6,123140,5.414279650879919,0.28763917240873516,0.05071772634983063,6,[ 5  1 12  6]
7,9180,5.456993070007843,0.2850790428455618,0.052361976355314255,7,[ 0 10 26 16]
8,515858,5.5210128757179895,0.28130589291651587,0.04893212392926216,8,[21  4 11  6]
9,317736,5.566356471129921,0.2784759542067601,0.04738333448767662,9,[13  0 23 12]
10,475166,5.6026893491198155,0.2761448078033571,0.043840598315000534,10,[19 14  0  1]
11,69192,5.683132351612384,0.2714688703711239,0.04470792040228844,11,[ 2 24  7 27]
12,172123,5.71677082071118,0.26957841284404754,0.04419482871890068,12,[ 7  1 19  8]
13,137292,5.759943843118325,0.26731902238216326,0.04066629707813263,13,[ 5 18  7  6]
14,82957,5.801242267850368,0.2646702339027772,0.0318884514272213,14,[ 3 11 18 17]
15,387494,5.836997015842675,0.26244786769615686,0.03169882670044899,15,[15 25 21 25]
16,566223,5.886113213347361,0.2595122737283268,0.03612542897462845,16,[23  6  7 27]
17,128745,5.9728144598970845,0.25544436710522395,0.03685823082923889,17,[ 5  8  2 14]
18,111632,5.981169259417049,0.2549502975828672,0.03754309192299843,18,[ 4 16 21 11]
19,524649,5.991612114176959,0.2541027029104927,0.03651643916964531,19,[21 14 24 10]
20,511533,6.003880511024987,0.2533348766435343,0.03572947904467583,20,[20 28  7  2]
21,221812,6.052599702113518,0.25060371804106574,0.025854011997580528,21,[ 9  2 21 20]
22,212975,6.078502038425163,0.24955829406715785,0.023507876321673393,22,[ 8 21  6 28]
23,200560,6.108877363587219,0.247895258902859,0.01667175255715847,23,[ 8  6 13 25]
24,486124,6.188155573477281,0.2439875627852653,0.023199960589408875,24,[19 27  0 26]
25,617909,6.2854259516949025,0.23868238257152147,0.023052876815199852,25,[25  9 21  6]
26,203408,6.3156407646368855,0.2370293638844235,0.023923899978399277,26,[ 8  9 25  2]
27,14654,6.348924529454045,0.23505799551031734,0.022813867777585983,27,[ 0 17 12  9]
28,610497,6.363109024485004,0.23417871868404033,0.024111775681376457,28,[25  0 26 18]
