step,action,psnr_value,mse_value,ssim_value,rank
1,16740,5.81466333501157,0.27498404846065366,0.06820455193519592,1
2,1318,5.91772917063887,0.26715667062018855,0.06090738624334335,2
3,13901,6.080109362625236,0.2547803516766457,0.05975910648703575,3
4,6645,5.957413951040904,0.25995044520516525,0.0383027121424675,4
5,4047,6.2114536533549725,0.2587942410044817,0.03448711708188057,5
6,10323,6.389756416275871,0.2514711410553047,0.04967094585299492,6
7,21148,6.358621373378299,0.2543844996232379,0.054549071937799454,7
8,889,6.350427267978436,0.2534144479362037,0.056111034005880356,8
9,20444,6.334749216154092,0.250451106310219,0.04543681442737579,9
10,17290,6.645853487368485,0.24460055048841253,0.052856579422950745,10
11,10340,6.620721431666416,0.25101527127538475,0.048687566071748734,11
12,10229,6.660782088319824,0.26189343911387675,0.03581046313047409,12
13,7863,6.50977271112509,0.2605799235404635,0.0018277096096426249,13
14,23581,6.5008995065984845,0.2561725955989564,-0.0034340815618634224,14
15,13399,6.582343126824419,0.24747660215809622,0.018227944150567055,15
16,6648,6.31748157457742,0.2686212313349451,-0.02756369672715664,16
17,10934,6.579961177316287,0.2615441469291463,-0.0015740535454824567,17
18,652,6.737153407641343,0.2813350890945216,0.05358787626028061,18
19,621,6.745535916574436,0.2766294232071808,0.054647963494062424,19
20,10243,6.458569874663471,0.30517583632273565,0.041767820715904236,20
21,4019,6.408799037605069,0.31102094264524316,0.03785251826047897,21
22,10934,6.362218398835104,0.3010212815105218,0.04934801533818245,22
23,7177,6.3589926147462785,0.30213584876445493,0.04966262727975845,22
24,17474,6.684124820006073,0.2945127497955534,0.11391624063253403,23
25,6898,6.666880722509688,0.2905577466747207,0.11077667027711868,24
26,2214,6.652570460081928,0.2849263013779997,0.11473783105611801,25
27,7124,6.632918240217867,0.31808146102795226,0.11145981401205063,26
28,3524,6.632643654631859,0.3138222253244231,0.10256876796483994,27
29,23596,6.63709061152948,0.31194359903241575,0.10289972275495529,28
30,19920,6.630688548589325,0.3158914111048211,0.10490965843200684,29
31,14532,6.639498352215011,0.3332029466405144,0.12122328579425812,30
32,17038,6.632624611520508,0.33428583696954317,0.12089100480079651,31
33,6868,6.673709477717855,0.3494106914690596,0.17725102603435516,32
