step,action,psnr_value,mse_value,ssim_value,rank
1,13185,3.2402061370744435,111599.39068821541,0.007736502680927515,1
2,13040,3.3003110103051894,147498.22938680107,0.00741188321262598,2
3,33690,3.4422334702299806,75405.36932822435,0.023777807131409645,3
4,24014,3.2755354776521135,259572.9933703116,-8.694033022038639e-05,4
5,16575,3.0100466917898054,153410.2889076349,0.013442456722259521,5
6,20233,3.365481825448844,204559.55547812756,0.016204744577407837,6
7,20130,3.1790207536147146,222625.80010632687,-0.045861925929784775,7
8,8053,3.1163872184620134,12127.510280728957,-0.011579190380871296,8
9,17052,3.5310624383274662,19418.680332646934,-0.017072565853595734,9
10,29642,3.1464333373555564,25977.546192125592,-0.012506172060966492,10
11,33619,3.22531953224948,30010.858152068427,-0.016434986144304276,11
12,10081,3.1430887370607286,9249.255007296591,-0.04674640670418739,12
13,40557,2.884527404178522,19855.584949942866,-0.03489411249756813,13
14,23597,3.4920981710415284,2887.9048498815423,-0.03519965335726738,14
15,33135,3.3050015487178457,5633.550946207543,0.019966142252087593,15
16,6852,3.233087672726617,3501.9422993878525,-0.02614634856581688,16
17,23087,3.036563688732168,1507.42567440278,-0.03378289192914963,17
18,33839,3.0246494528275383,1214.3561005444499,-0.013977297581732273,18
19,6736,3.1172081728945256,128.4969104069637,-0.03363844379782677,19
20,16756,3.2410121515983676,563.9489154242957,-0.047524888068437576,20
21,1074,3.1879709256864244,976.0987544475621,-0.029776092618703842,21
22,19711,3.360189409045384,340.63145092709624,0.012011121958494186,22
23,19455,3.348205686445506,497.83032778854357,-0.053605664521455765,23
24,23773,3.4981627711575785,197.23201634163408,-0.0038354084827005863,24
25,4252,3.052213554135353,374.1536405031378,-0.017864536494016647,25
26,10110,3.4046299690808217,74.64203270494937,-0.015957659110426903,26
27,13873,3.378492748672157,101.95665900736064,0.01890372298657894,27
28,4245,3.45788486747559,39.36751471211914,-0.007474823389202356,28
29,20414,3.787936380852444,24.604697479271564,0.04063012823462486,29
30,12814,3.209087508188815,198.17747909503265,-0.024127574637532234,30
31,30479,3.2599715247614256,206.7893536249024,-0.034237515181303024,31
32,17248,3.2499816907581947,66.91359897130816,-0.022652214393019676,32
33,8039,3.149713402125398,76.16746259945509,-0.03938289359211922,33
34,4887,3.0074201038639,36.26196883335425,-0.06051468104124069,34
35,26926,3.0320451566923614,35.22411595131141,-0.04731232672929764,35
36,26691,2.8769507317283205,45.73738596824602,-0.050294842571020126,36
37,30001,3.1150697217691747,44.26310227812604,-0.04595162719488144,37
38,23984,3.0751280779668013,45.130569107197225,-0.0359654538333416,38
39,20594,3.144188862991963,16.1898466304418,-0.01028481312096119,39
40,32201,2.989906176836013,16.93549831779053,-0.015508853830397129,40
41,9810,3.1557358650367293,15.415947866349388,-0.003927755169570446,41
42,6707,3.113059696690579,17.45804008587367,-0.007327658589929342,42
43,5611,3.2132362825901923,19.642656555273312,0.007295151241123676,43
44,5119,3.344595220133116,39.843410694702634,0.012085014954209328,44
45,214,3.423934269621645,16.196044435525046,0.03319249302148819,45
46,1950,3.489689799229539,8.643213860196152,-0.006931905169039965,46
47,854,3.389162023322382,8.17631116758631,-0.0023399661295115948,47
48,2670,3.5651863034743054,8.798162939561944,-0.02497493289411068,48
49,1017,3.2989977259471877,8.142516370695486,-0.019533518701791763,49
50,2370,3.26391586713733,7.518926937645398,-0.016454536467790604,50
51,12802,3.1590643465260717,7.417209689597237,-0.02060963399708271,51
52,27569,3.115843621301668,8.618852287873418,-0.009535360150039196,52
53,1123,3.146862520362002,7.706238573572805,-0.012109884060919285,53
54,10724,3.385236294281229,10.318938183599707,-0.01356313843280077,54
55,2201,3.361618056117,8.923088794469368,0.0049721915274858475,55
56,13858,3.251209510264163,9.735308495700608,0.022626979276537895,56
57,8745,3.1566727975212983,10.03194344269267,-0.012815411202609539,57
58,159,3.2542536749356525,11.443859857986034,-0.038031529635190964,58
59,6408,3.1754144991781867,11.967380690090824,-0.038043197244405746,59
60,3464,3.2347008322888025,10.68304909520291,-0.014316300861537457,60
61,6724,3.2210127694836044,14.059275933724,-0.023173367604613304,61
62,3301,3.2399046801458473,14.287939193787977,-0.025557374581694603,62
63,9990,3.2251472874427654,14.89557435080228,-0.023556208238005638,63
64,6822,3.169055839405993,13.367956730366503,-0.03168407082557678,64
65,23729,3.2660704564104033,11.410614269446167,-0.01764664798974991,65
66,3779,3.2855393799674637,11.439721178540657,-0.011025501415133476,66
67,2683,3.3706464779755274,10.56392166678966,-0.001742204069159925,67
68,13664,3.2187342302884563,9.673830802306119,-0.010428700596094131,68
69,3321,3.291224589041777,9.657306929451765,0.011803464964032173,69
70,6869,3.2374637829023403,10.433832922043706,-0.019163209944963455,70
71,2678,3.339669391919143,9.744617990234282,0.001239390461705625,71
72,13217,3.3128821607203567,10.435530382621154,0.004647391848266125,72
73,6420,3.3667638553231036,10.558963648879953,0.0004168118175584823,73
74,2647,3.3826977369838533,10.36801752893971,0.018621105700731277,74
75,17069,3.347408474422307,10.065929064510597,0.04137535020709038,75
76,1785,3.2521478338664056,10.047173220983305,0.026754338294267654,76
77,7866,3.221510148378835,10.337041616972742,0.02942958101630211,77
78,2627,3.219693298826259,10.38732104965382,0.02916446328163147,78
79,20176,3.2075067490265696,11.033233657699698,0.018376881256699562,79
80,1500,3.2904451738794194,11.848087954381771,0.02496272698044777,80
81,2219,3.2417252012986433,11.932569854918661,0.017743030562996864,81
82,27509,3.1873047420904816,12.852871967037467,-0.0012932618847116828,82
83,27059,3.0545209892597485,11.950732288422046,-0.01304833684116602,83
84,2895,2.991749985245003,12.18194214968608,-0.02760944701731205,84
85,23699,2.9277217440250225,11.51821205913474,-0.037157561630010605,85
86,16756,2.9236263974246643,12.917294471716353,-0.01837119273841381,86
87,16850,2.929125956910381,12.965278235408995,-0.01930282823741436,86
88,185,2.978230165859699,9.7278353361701,-0.007192724850028753,87
89,4497,3.0041306807897143,10.65671250342081,-0.004735291004180908,88
90,2138,3.0736196813109533,12.988309624401024,-0.006537883076816797,89
91,3715,3.014317297062127,13.24386117019419,-0.01239115372300148,90
92,656,3.0052385573015017,13.834835246931762,-0.017288023605942726,91
93,4642,3.0114950290046276,14.187682429154455,-0.017472920939326286,92
94,8093,3.0194015876356866,13.91965925651056,-0.013450413942337036,93
95,10120,3.139710083710061,13.023241447032326,-0.006265017203986645,94
96,3493,3.143587159143525,15.629858719859039,-0.01111551932990551,95
97,46143,3.136405461009621,14.472403726817832,-0.02351311221718788,96
98,19247,3.264060834822585,11.376367522068321,-0.0006598092732019722,97
99,425,3.148125759317682,10.920175910551981,-0.007593379355967045,98
100,1104,3.1944785662810404,11.72350423129392,0.005728549789637327,99
101,3593,3.2654698938658,13.485003124682407,0.006893807556480169,100
102,12356,3.2128994720516952,10.559752759483073,0.014608307741582394,101
103,10513,3.218000585162979,10.59401609846339,0.024624386802315712,102
104,13663,3.222363271811478,11.3058623204714,0.02285129204392433,103
105,44821,3.205106941982346,10.561252022745906,0.003945968579500914,104
106,10314,3.2433282687484084,10.923160534289975,-0.002704426646232605,105
107,17052,3.173527021795839,9.136373018617483,0.010427449829876423,106
108,6585,3.170543363587592,9.14506647295629,0.010596910491585732,106
109,20774,3.1760243413518237,9.132915273363857,0.011555138044059277,107
110,13370,3.141257155280002,8.988817785689381,-0.002435347530990839,108
111,13381,3.1700553410803645,8.96803963333711,-0.00417463481426239,109
112,3749,3.1378230914892846,8.8924264460621,-0.006094259209930897,110
113,3353,3.1753568041463094,7.412780470766722,0.007945364341139793,111
114,4440,3.075683431937317,9.059937689548194,0.004490825347602367,112
115,16770,3.1110116555504623,10.021701889479171,-0.004711886402219534,113
116,4268,3.149203402716978,10.049154935414457,-0.004551759455353022,114
117,1213,3.1751828071458545,8.8988704948155,-0.03225928172469139,115
118,42311,3.158390453284362,8.478462278082427,-0.01870032213628292,116
119,26955,3.11977632204965,8.634611872649549,-0.023788057267665863,117
120,1861,3.057933798560051,8.503613531071071,-0.04943384602665901,118
121,33779,3.053882227734112,8.403043176567877,-0.04503849893808365,119
122,3372,3.0900489102188713,8.163453861837171,-0.0392424575984478,120
123,9961,3.1464391533690605,6.504433707165493,0.00024117926659528166,121
124,14804,3.144240041061974,6.64465572905856,0.0038685263134539127,122
125,2198,3.321255211376986,6.582138582357147,-0.00300634209997952,123
126,16275,3.3884993047607095,6.1297683563990155,0.011892820708453655,124
127,14024,3.2707604679414803,6.171606816660561,-0.010011851787567139,125
128,6972,3.2595728216792885,6.172895870165796,-0.007023210171610117,126
129,13573,3.228544836198398,6.145561402378048,-0.01064444798976183,127
130,6927,3.219841354130004,6.127529215860025,-0.013207988813519478,128
131,8292,3.2306706225987343,6.043272254875823,-0.010362176224589348,129
132,825,3.221277181624807,5.690755835255527,-0.02015281841158867,130
133,1566,3.2377519931534104,5.621581551096816,-0.019082529470324516,131
134,13338,3.5111049896631337,5.712590776386157,0.009221255779266357,132
135,651,3.403190814183914,5.854135133113531,-0.026553412899374962,133
136,9445,3.5889505174717584,5.190372551370415,-0.006208180449903011,134
137,13574,3.5921759570468215,4.917185977402163,-0.00022674848150927573,135
138,3301,3.62900678573574,4.921743199088248,0.003119463799521327,136
139,1020,3.630363496182686,4.91954815666437,0.003256208263337612,136
140,13335,3.824355264891234,4.62663043021909,0.03067701868712902,137
141,361,3.7697258836610272,4.113887210744797,0.042617179453372955,138
142,210,3.7673998687156054,4.111570412731283,0.046593017876148224,139
143,656,3.870402264710152,3.651430195660342,0.06370411813259125,140
144,16275,3.8699518172133933,3.6544617840269065,0.06376234441995621,140
145,6711,3.868423276971975,3.6491959800862324,0.0638742595911026,140
146,13110,3.831041224106869,3.577855073194605,0.06036107614636421,141
147,3118,3.832007323343309,3.583329014592956,0.06042345613241196,142
148,645,3.8112962345036157,3.639830538063486,0.05909603834152222,143
149,6570,3.9317023641889226,3.349875043782032,0.09073451161384583,144
150,33777,4.072628049744454,2.9959662004945162,0.08866691589355469,145
151,13722,4.095691013697895,2.9963408336708217,0.09005141258239746,146
152,19995,4.097936377167153,3.0439537248813497,0.08618417382240295,147
153,11069,4.035182567451633,3.152401379615961,0.07735546678304672,148
154,644,4.174477021592294,2.708736902648428,0.09094677865505219,149
