step,action,psnr_value,mse_value,ssim_value,rank
1,26745,3.1725179429762855,200509.9967305136,-0.05212149769067764,1
2,42089,3.1158694224927608,272016.20750600426,-0.011997825466096401,2
3,44827,3.348101163524624,11170726.71189566,-0.03597692772746086,3
4,40602,3.3128360858282613,90625.32741970486,-0.008578500710427761,4
5,17766,3.183570536719384,405875.8079255901,-0.0053367093205451965,5
6,8541,3.139283660391958,1170.3644231966387,-0.04197721555829048,6
7,7386,3.418739852205734,101722.3866461264,0.005409887060523033,7
8,34093,3.4856690746665056,11906.214235903764,0.007843086495995522,8
9,877,3.508879337236288,29084.485097920217,-0.03134097531437874,9
10,7643,3.1855035934058096,21055.326266676348,-0.064741350710392,10
11,191,3.3754704221983904,5996.122313467708,-0.016206160187721252,11
12,6959,3.182315611259328,16024.612200062485,-0.018076781183481216,12
13,13724,3.0872166764383895,1032.9113902215552,-0.03229059651494026,13
14,3366,3.449490129616909,388.49590606279,-0.014122232794761658,14
15,1338,3.6298377987908093,107.40376147143259,-0.022627459838986397,15
16,30315,3.8081731808068504,301.6004662859107,0.09374909847974777,16
17,44429,3.323250958933732,661.0551770024084,0.011770020239055157,17
18,13263,3.554536882792853,1370.7540151979113,0.030879290774464607,18
19,49341,3.32109640330128,279.48397991061313,-0.009670230560004711,19
20,16771,3.3371075502390193,217.58453554742349,-0.005129270255565643,20
21,45703,3.612002096350561,100.70538029678994,0.04881729558110237,21
22,13768,3.543093470704533,119.28529378094788,-0.01923113502562046,22
23,1754,3.7802961056444975,394.2908615482433,0.03093034029006958,23
24,9219,3.1698967151909816,193.43389693437558,-0.004054281394928694,24
25,5356,3.25285581644799,22.055726515511825,0.011128392070531845,25
26,17263,3.48426389386042,74.89147227563042,-0.008799645118415356,26
27,14842,3.594962513792659,53.633656854229045,0.030295612290501595,27
28,1110,3.4469823152169496,22.08463761723083,0.04278018698096275,28
29,20230,3.361432321647098,71.49705444664991,0.00868359673768282,29
30,1739,3.5283642467672136,20.70597495656564,0.022524530068039894,30
31,20427,3.33438415435805,37.8876833720773,0.025543618947267532,31
32,20624,3.2358427096762443,44.987756358771,0.024027863517403603,32
33,47475,3.669583472663165,18.558564227408368,0.02358117885887623,33
34,6961,3.3292771616054386,93.09385421278085,-0.007744300179183483,34
35,4424,3.4634087390016766,20.243006711173027,0.00740097276866436,35
36,117,3.255190277906589,16.102517424447257,-0.00038227313780225813,36
37,16336,3.100112531233287,31.18954132424823,0.00013482595386449248,37
38,8324,3.3089318388450284,22.29238736662877,0.006472086533904076,38
39,2692,3.4299049165036024,11.74011754782146,0.011342431418597698,39
40,10020,3.351851123042764,10.248558005546995,0.009446805343031883,40
41,5926,3.4008375485363196,11.98943005447263,0.01727645844221115,41
42,13768,3.22960986768321,16.09218784254898,0.006378605961799622,42
43,13768,3.123314151080612,10.419028507984589,0.007266887929290533,42
44,9512,3.3709948599972064,11.133416521629423,0.008475789800286293,42
45,50407,3.4494651104603156,13.151553535368759,0.009255294688045979,43
46,403,3.495359467660613,10.02887644296567,0.01606769673526287,44
47,13260,3.5002859252856693,11.065677937173751,0.01716267131268978,45
48,16606,3.5219775976928647,15.296448983233422,0.010567677207291126,46
49,10270,3.527965386707121,11.900194804162489,0.019423939287662506,47
50,9993,3.326618592950929,11.866907832151005,0.013364559970796108,48
51,9735,3.393838639232782,13.874309665545242,0.0049715060740709305,49
52,7641,3.5223851171446197,13.086271211715518,0.006038375198841095,50
53,13258,3.5417549222905347,10.012887426550344,-0.00947535689920187,51
