step,action,psnr_value,mse_value,ssim_value,rank
1,36630,7.37520150873185,0.18310202958815758,0.011684373952448368,1
2,7365,7.437340623208217,0.192196973052774,0.043006304651498795,2
3,2355,7.389562877359177,0.19258554203034994,0.04086368903517723,3
4,43755,7.419714674433331,0.20353275741913723,0.07184278219938278,4
5,20503,7.496947972345015,0.18421470746924065,0.1000567153096199,5
6,3315,7.473390733532992,0.19467904500535546,0.09650508314371109,6
7,46604,7.668303584621193,0.17749418754245275,0.15729264914989471,7
8,30808,7.713145511916233,0.1746385108245184,0.16309557855129242,8
9,3884,7.807303657241169,0.17280052773377597,0.21073080599308014,9
10,1997,7.7997872584815,0.17306047796270124,0.2078058123588562,10
11,2673,7.765471384279632,0.17487977677929545,0.21529269218444824,11
12,4233,7.861442895881357,0.17010894414610447,0.22626660764217377,12
13,50445,8.17273988385221,0.1580180615162519,0.2234024703502655,13
14,15971,8.177624372856071,0.15776922959489134,0.22376349568367004,14
15,3794,8.17809969986605,0.15803050149013667,0.22288990020751953,15
16,2412,8.205109151477313,0.15617229592473855,0.21911375224590302,16
17,8317,8.310485200386264,0.15247507675273583,0.22748717665672302,17
18,3348,8.563134453137085,0.14163407912711742,0.2560328543186188,18
19,43658,8.618243484640384,0.13960154143376713,0.2626173794269562,19
20,6937,8.665933867588599,0.13887656969063206,0.248548686504364,20
21,6226,8.700919555336364,0.13752449581469087,0.24436691403388977,21
22,8669,8.706900277150847,0.13732332616486928,0.22308947145938873,22
23,3747,8.865865504198158,0.13260716844330073,0.26278823614120483,23
24,34229,8.889756171601459,0.13072922575384938,0.23666876554489136,24
25,7187,8.885376636152797,0.13092640899260005,0.23556318879127502,25
26,27853,8.915651039106637,0.12970712921373584,0.243330180644989,26
27,8957,8.913623286879936,0.12989535153678136,0.27638593316078186,27
28,26807,8.89506737666542,0.13042197185637733,0.27433040738105774,28
29,2247,8.919067870706646,0.12968683415426413,0.2787550687789917,29
30,3269,8.87704969686008,0.13094621504757217,0.2668515741825104,30
31,2431,9.167213939822345,0.1237787370151687,0.30008408427238464,31
32,2899,9.210264519500855,0.12198235617287234,0.2944912612438202,32
33,43889,9.245557523271815,0.12111967116908394,0.29893815517425537,33
34,6282,9.258964218245078,0.12076874966928244,0.3012080192565918,34
35,27059,9.236412028948463,0.12129468794865009,0.300352543592453,35
36,6018,9.244363346562729,0.12118673061422788,0.3068965971469879,36
37,1050,9.248918608851191,0.1210826886754593,0.30649805068969727,37
38,2442,9.261801784077504,0.12072999267831998,0.30342981219291687,38
39,6020,9.32560795508081,0.11936496722890297,0.3102451264858246,39
40,6274,9.36806958341749,0.11830069750110851,0.3126010596752167,40
41,3569,9.393078797533613,0.1177989740725833,0.3196251690387726,41
42,40503,9.445554696039597,0.11672500820604101,0.32773056626319885,42
43,27007,9.361033751784094,0.1186304561810458,0.32794174551963806,43
44,5834,9.341153412680786,0.1190544540227318,0.32786256074905396,44
45,48153,9.362592197933973,0.11856007915754971,0.328730046749115,45
46,39000,9.330225608706435,0.11933563265103998,0.3274151384830475,46
47,16830,9.516311973611296,0.11659773826602658,0.37849554419517517,47
48,37617,9.532752542629009,0.11600474303899773,0.3768892288208008,48
49,1012,9.536910928668899,0.11604942018511792,0.3754807412624359,49
50,2911,9.536345599970682,0.1160483062428668,0.37567347288131714,50
51,27477,9.593429048948586,0.11452936750480325,0.3760322630405426,51
52,17879,9.612947690853838,0.11454731756205436,0.3874112069606781,52
53,10066,9.710247468580004,0.11144245838505311,0.4060400426387787,53
54,7076,9.787215875872452,0.11079144375584923,0.421894907951355,54
55,4705,9.770300056764633,0.11133984838505663,0.42828235030174255,55
56,44175,9.774351186007424,0.11095702556072663,0.4275105893611908,56
57,3798,9.798648735043221,0.11028353530612044,0.4276407063007355,57
58,16725,9.800175563451608,0.11025887003262647,0.4277631342411041,58
59,2799,9.768267631934037,0.11053480573817473,0.40314552187919617,59
60,33759,9.760140808087227,0.11071569893003066,0.404960572719574,60
61,591,9.750240394663823,0.11017888036721,0.40333449840545654,61
62,23520,9.717889366824137,0.11077741933522904,0.40223413705825806,62
63,2730,9.751778759925928,0.1108119025944365,0.42932388186454773,63
64,3000,9.793226106621084,0.10982580514373087,0.4344630241394043,64
65,5962,9.792680722727363,0.10978883690018544,0.43445417284965515,65
66,1499,9.760287990205649,0.11071028594713628,0.43009626865386963,66
67,16080,9.822477143281297,0.10939208594694656,0.43596741557121277,67
68,2310,9.833337027658905,0.1091315980113422,0.43777909874916077,68
69,1711,9.863354208522383,0.10847879583721225,0.44378507137298584,69
70,824,10.002624995670732,0.10548550465101572,0.4510558247566223,70
71,1334,10.00659980644749,0.10637717161604086,0.4532467722892761,71
72,1768,9.886472973500778,0.1090695164393133,0.45215293765068054,72
73,1705,9.889875966747038,0.10899237347773427,0.4526898264884949,73
74,20725,9.903353552170707,0.10889495929560832,0.45412638783454895,74
75,8043,9.924005544845759,0.10838257674970313,0.4572877883911133,75
76,3226,10.026842885485616,0.10577273705789493,0.46208903193473816,76
77,9990,10.029019052845683,0.10590303943978775,0.4622707962989807,77
78,10061,10.03112048224979,0.10565371536323154,0.46508485078811646,78
79,42979,10.142334812659488,0.10293170525168736,0.4777783751487732,79
80,4398,10.153408435968554,0.10287478293352453,0.4776478409767151,80
81,34935,10.122148150621621,0.10357091786790382,0.47586172819137573,81
82,19907,10.107032691031952,0.10381378624673945,0.47468259930610657,82
83,33619,10.107269148385093,0.10383464042684257,0.4754382073879242,83
84,1974,10.494385637147168,0.09438218621066274,0.5303494334220886,84
85,20352,10.580342338070084,0.09252695311552897,0.5339846014976501,85
86,2327,10.660848691127898,0.0914888582802501,0.552130401134491,86
87,747,10.682554486430114,0.09084611203932177,0.5551320314407349,87
88,1316,10.662793002098317,0.09111600796832388,0.5551270246505737,88
89,26895,10.843836702825394,0.08714271465685064,0.5601786971092224,89
90,1234,10.830413905734098,0.08725822150449353,0.5529288649559021,90
91,42080,10.959001770844267,0.08501528316373878,0.554033100605011,91
92,1296,10.925464610958027,0.08549353557599514,0.5559136867523193,92
93,6136,10.955074923006666,0.08521068030225352,0.5487240552902222,93
94,17008,10.991162634024223,0.08458715625497361,0.5508958101272583,94
95,494,11.03624095148539,0.08354997619563519,0.5572955012321472,95
96,1438,11.04213403271875,0.0832030299983507,0.5571964383125305,96
97,16740,11.039756869152244,0.08313943017703827,0.557248055934906,97
98,23413,11.071341284770511,0.08265416566528946,0.5591563582420349,98
99,1442,11.28040729282378,0.07919650907679979,0.567419171333313,99
100,5938,11.29944556620993,0.07892719260747577,0.568029522895813,100
101,6220,11.287492523803433,0.07915292937291168,0.5677415132522583,101
102,1168,11.326494235025116,0.0784238056317089,0.5698030591011047,102
103,13,11.346410270181863,0.07810980359169119,0.5717906951904297,103
104,5545,11.464167964837198,0.07678857284823608,0.5832207798957825,104
105,20503,11.693083667484657,0.0730783359657248,0.5883429646492004,105
106,13396,11.692911217932142,0.0730816895048269,0.5883533954620361,105
107,15855,11.823085754859267,0.0708632290923702,0.604729950428009,106
108,1229,11.828904017657539,0.07074632029294864,0.6052627563476562,107
109,2987,11.925406716035262,0.06934974993578685,0.6126443147659302,108
110,5806,11.998494711592237,0.06816251106628342,0.6150996088981628,109
111,1317,11.990117942662412,0.06830343989161419,0.6156980395317078,110
112,2629,11.992898145872417,0.06825414118675073,0.6154658794403076,111
113,9090,12.007445265330512,0.06798060956698919,0.6143477559089661,112
114,3362,12.057847904091068,0.0666463068201281,0.6172732710838318,113
115,1201,12.085028383738944,0.06648040999405364,0.6186286807060242,114
116,31317,12.081142567202662,0.06654289866102772,0.6183237433433533,115
117,7289,12.070510504003611,0.06669372855700607,0.6182464361190796,116
118,1379,12.124460179327514,0.06589236270302132,0.623708963394165,117
119,3224,12.132235266548966,0.06582454204828536,0.6237858533859253,118
120,10193,12.129418136866455,0.06591000836593998,0.6237418055534363,119
121,27057,12.13002536780596,0.06589655585336408,0.6237362623214722,120
122,1664,12.251191330355995,0.06395470838014464,0.6366065144538879,121
123,2627,12.253651956922319,0.06392583776158264,0.636827290058136,122
124,33779,12.668464850573784,0.05867587856030797,0.6467005610466003,123
125,2580,12.700585940940298,0.05803618290153964,0.648223340511322,124
126,5940,12.720699373829303,0.05779380024741234,0.6511250734329224,125
127,16728,12.794426250657136,0.05673283505060529,0.6525236368179321,126
128,2790,12.804394560566854,0.05657396286473866,0.6534852981567383,127
129,28581,13.122505541767833,0.0525534160258778,0.664634108543396,128
130,3001,13.186263283946298,0.051968105487510075,0.6692253947257996,129
131,2715,13.181087233548912,0.05205879804953333,0.6689407229423523,130
132,5491,13.396399357662897,0.04978869914569562,0.6740049719810486,131
133,3210,13.394561303247377,0.04980217399435383,0.6739228963851929,132
134,2087,13.517399649215587,0.04827900251993014,0.6784682869911194,133
135,2357,13.521353406707611,0.048181695041271774,0.6781406998634338,134
136,1285,13.52619738824783,0.048147134226176905,0.6783243417739868,135
137,6615,13.484311962834,0.04820134948044098,0.6803501844406128,136
138,2101,13.506468142695985,0.047950828457650106,0.6820811033248901,137
139,5700,13.577758075947894,0.04716813895765881,0.6859006881713867,138
140,13140,13.598919680612216,0.04687720016819924,0.6876581311225891,139
141,6486,13.635304011594233,0.04647590875168602,0.6880292892456055,140
142,9946,13.632682503517051,0.04652426813197874,0.6879609227180481,141
143,2882,13.649991667214818,0.04637205567515341,0.6876866221427917,142
144,1198,13.692961936668341,0.0459407938830888,0.6893087029457092,143
145,1088,13.696895560237072,0.04590718777483656,0.6887508630752563,144
146,6739,13.748790565934561,0.04549371227111411,0.6898797750473022,145
147,13351,13.755594176175654,0.045372472508687575,0.6918341517448425,146
148,6571,13.862462406685768,0.04414774628014938,0.6979742646217346,147
149,6600,14.184315054994343,0.04106501137988005,0.7089646458625793,148
150,6345,14.195602640948483,0.041016868226748784,0.7089308500289917,149
151,6586,14.208432265915402,0.04091280373491827,0.708890974521637,150
152,11775,14.19504966566188,0.040943967897785316,0.710792601108551,151
153,5040,14.367501950486805,0.03938784362197756,0.7179749011993408,152
154,19351,14.378087393152992,0.0392947128847623,0.7181164026260376,153
155,13486,14.388066960168384,0.03920303418849067,0.7185603380203247,154
156,13585,14.38698988031006,0.03921317125934719,0.7185152769088745,155
157,5164,14.380441521902213,0.03926116778788753,0.7182020545005798,156
158,6803,14.38508904013621,0.0392487094712985,0.7179485559463501,157
159,4424,14.387376832403953,0.03923186520859218,0.7179223299026489,158
160,24089,14.35745825569444,0.03946341711038056,0.7163972854614258,159
161,26775,14.410910768813547,0.03893967424163444,0.7177167534828186,160
162,6958,14.407864512217126,0.03896550853508517,0.717641294002533,161
163,2420,14.43848287473945,0.03871728664592764,0.7179054021835327,162
164,212,14.447143136425113,0.038647416930243705,0.718092679977417,163
165,374,14.435615502153574,0.03877506644855708,0.7177783846855164,164
166,7289,14.436624900575001,0.03876781081253082,0.7177263498306274,165
167,6724,14.436651816812127,0.03876834561618226,0.7177460193634033,165
168,10092,14.437766048631776,0.038748627502197146,0.7179297804832458,166
169,6962,14.45236993955007,0.038540458305562623,0.7179730534553528,167
170,48405,14.453177309709243,0.038535249284622194,0.7180178761482239,168
171,3130,14.48417785944827,0.03827145034933639,0.7180504202842712,169
172,16393,14.483374000868492,0.038280138724037696,0.7180398106575012,170
173,43659,14.71242527362271,0.036442340213618286,0.7213070392608643,171
174,6838,14.70065763498857,0.036524980861049695,0.7205260396003723,172
175,6421,14.791431291473753,0.03577411930000892,0.7282655835151672,173
176,1498,14.815583606654855,0.03566427786323402,0.7296324372291565,174
177,13141,14.809982556019898,0.03571775734636849,0.7299884557723999,175
178,19698,14.809595782175073,0.03572316328700702,0.7299467921257019,176
179,1501,14.924525621999422,0.034917882677073714,0.7342182397842407,177
180,6883,14.965077355100895,0.03455140666185192,0.7345367074012756,178
181,36721,14.96796149274064,0.03454671636607953,0.7348612546920776,179
182,15944,14.993315576168015,0.03440368324126711,0.737388551235199,180
