step,action,psnr_value,mse_value,ssim_value,rank
1,877,6.4529308235081375,0.2264446084677345,0.024827999994158745,1
2,13155,6.682735632761031,0.214774121127557,0.026957832276821136,2
3,3365,6.985426008958449,0.20042636471816674,0.0041381437331438065,3
4,6516,7.135932110249811,0.19349144687178826,0.00879643950611353,4
5,30094,7.113786168490575,0.19448751447913107,0.0046127536334097385,5
6,6377,7.225220932491685,0.18954902080537675,0.04235861822962761,6
7,27176,7.588789779792632,0.17432804580123049,0.10790850222110748,7
8,12465,7.706428319376862,0.1702134477346893,0.12748382985591888,8
9,9600,7.714026300157122,0.16983884469297664,0.12313447147607803,9
10,3277,7.714398992880145,0.16982955793834156,0.12342953681945801,10
11,3122,7.712462235567631,0.16991315021867598,0.12217521667480469,11
12,5811,7.753394790220533,0.16795400067875157,0.14082413911819458,12
13,16800,7.893418637036174,0.16262772731256114,0.1292104572057724,13
14,40507,7.889945188474061,0.16278224332840183,0.11069408804178238,14
15,47511,7.930656683415249,0.16128449989122196,0.11646931618452072,15
16,1336,7.939263072792013,0.16096262108146522,0.11681569367647171,16
17,1322,8.070392949957183,0.15627000220048,0.12374997138977051,17
18,6690,8.083702797410817,0.15584168398642861,0.12156200408935547,18
19,660,8.065162783888093,0.1569682509476843,0.09975574910640717,19
20,3136,8.200706649052114,0.1517374796850163,0.10643122345209122,20
21,33549,8.210381883439767,0.15157422858649025,0.10578450560569763,21
22,3479,8.30315253924691,0.14821247259449996,0.10340172797441483,22
23,23195,8.491214882974653,0.14171897430597408,0.13320539891719818,23
24,49727,8.496740704540608,0.14161462924106874,0.13850077986717224,24
25,46823,8.500388565420685,0.14142563937209465,0.14241431653499603,25
26,2686,8.572649649636908,0.13904768962357594,0.14830425381660461,26
27,1556,8.582438860172378,0.1387328900733539,0.1472603678703308,27
28,9780,8.60833746462093,0.13791393091036266,0.14798186719417572,28
29,23550,8.609374926257312,0.13788264728069244,0.148598775267601,29
30,663,8.794329870918498,0.13222662458545528,0.20871767401695251,30
31,2325,8.795559231617583,0.13218686089268886,0.20908944308757782,31
32,11651,8.792621430606662,0.13228308031659203,0.20664328336715698,32
33,30319,8.789817411473226,0.13235874044426155,0.2050037533044815,33
34,30643,8.811485080649138,0.13172052920732463,0.18013563752174377,34
35,30330,8.831828205656727,0.13112379980322292,0.18886668980121613,35
36,1995,8.884879848612236,0.1297534093085283,0.2086673229932785,36
37,12315,8.902977962380325,0.12925574791348077,0.20958088338375092,37
38,4723,8.98309533056471,0.12712374747741706,0.23332177102565765,38
39,2656,9.004625192348701,0.12653225435907695,0.23266702890396118,39
40,2208,9.106265689774542,0.12341131760824314,0.2278873175382614,40
41,12930,9.106625229233252,0.12342882807502166,0.22562941908836365,41
42,1100,9.112044325061294,0.12324604123044587,0.23097071051597595,42
43,10535,9.13357231977746,0.1226699949412043,0.23012995719909668,43
44,33105,9.14651691548051,0.12233141690688425,0.2284625917673111,44
45,3503,9.13484270735934,0.12265148785859006,0.22651658952236176,45
46,3882,9.11641587001775,0.12335556022944527,0.24588721990585327,46
47,10329,9.1164741120552,0.12336467840247173,0.2470252513885498,47
48,812,9.102867562796739,0.12371857414589613,0.24046246707439423,48
49,37589,9.107974206269555,0.1236036815196308,0.24725690484046936,49
50,6793,9.081050398414419,0.12435313569642832,0.24694514274597168,50
51,1984,9.087168053905987,0.12417682856415113,0.2488248646259308,51
52,23984,9.112102841524607,0.12350566949219986,0.25098538398742676,52
53,5371,9.296399002801365,0.11925510334251158,0.336099237203598,53
54,9585,9.320446729344658,0.11883339194866696,0.3315368890762329,54
55,7126,9.3265695281513,0.11865716755498902,0.33560144901275635,55
56,1750,9.312188486738792,0.11898938606852122,0.33991679549217224,56
57,23773,9.33540417918794,0.1184066404792409,0.34350836277008057,57
58,20414,9.35491089069259,0.11787193148138612,0.34568658471107483,58
59,30748,9.421776893210414,0.1162929332956426,0.3504444658756256,59
60,3059,9.518153884863036,0.1140469400336345,0.37852776050567627,60
61,10214,9.571851512542114,0.11287966665475525,0.3748030364513397,61
62,1046,9.576376438471911,0.11268270726233823,0.374637246131897,62
63,12675,9.600028278194731,0.11172517291235433,0.377502977848053,63
64,1044,9.60301258885872,0.1117211501462508,0.3757973313331604,64
65,20180,9.6051342763564,0.1117393916984012,0.375592440366745,65
66,20133,9.626102628031243,0.11128611954459504,0.37916091084480286,66
67,41459,9.627817686161782,0.11128832226672648,0.38202622532844543,67
68,2219,9.63576298681233,0.11110794842524753,0.3843947649002075,68
69,3506,9.650390969017364,0.11064834670530413,0.3821631073951721,69
70,4021,9.649837649327104,0.11068739844661145,0.38119667768478394,70
