step,action,psnr_value,mse_value,ssim_value,rank,action
1,68,nan,nan,nan,1,[0 0 4 8]
2,7103,nan,nan,nan,2,[2 1 8 8]
3,18692,nan,nan,nan,3,[5 8 1 2]
4,17198,nan,nan,nan,4,[5 1 6 8]
5,35365,nan,nan,nan,5,[10  7  2 10]
6,38386,nan,nan,nan,6,[11  5  9  1]
7,17125,nan,nan,nan,7,[ 5  1  1 10]
8,26032,nan,nan,nan,8,[ 7 10 10  7]
9,8051,nan,nan,nan,9,[ 2  5 11 11]
10,45567,nan,nan,nan,10,[13  7  7 12]
11,31859,nan,nan,nan,11,[ 9  6  8 14]
12,27146,nan,nan,nan,12,[ 8  0  9 11]
13,26981,nan,nan,nan,13,[ 7 14 13 11]
14,38034,nan,nan,nan,14,[11  4  0  9]
15,42186,nan,nan,nan,15,[12  7  7  6]
16,42182,nan,nan,nan,16,[12  7  7  2]
17,50192,nan,nan,nan,17,[14 13  1  2]
18,15518,nan,nan,nan,18,[ 4  8 14  8]
19,16817,nan,nan,nan,19,[ 4 14 11  2]
20,29654,nan,nan,nan,20,[ 8 11 11 14]
21,43661,nan,nan,nan,21,[12 14  0 11]
22,45255,nan,nan,nan,22,[13  6  2  0]
23,1325,nan,nan,nan,23,[ 0  5 13  5]
24,13204,nan,nan,nan,24,[ 3 13 10  4]
25,26497,nan,nan,nan,25,[ 7 12 11  7]
26,42634,nan,nan,nan,26,[12  9  7  4]
27,548,nan,nan,nan,27,[0 2 6 8]
28,40135,nan,nan,nan,28,[11 13  5 10]
29,44843,nan,nan,nan,29,[13  4  4  8]
30,42213,nan,nan,nan,30,[12  7  9  3]
31,49459,nan,nan,nan,31,[14  9 12  4]
32,17812,nan,nan,nan,32,[5 4 2 7]
33,2066,nan,nan,nan,33,[ 0  9  2 11]
34,33921,nan,nan,nan,34,[10  0 11  6]
35,42462,nan,nan,nan,35,[12  8 10 12]
36,21010,nan,nan,nan,36,[ 6  3  5 10]
37,14111,nan,nan,nan,37,[ 4  2 10 11]
38,29420,nan,nan,nan,38,[ 8 10 11  5]
39,25462,nan,nan,nan,39,[7 8 2 7]
40,2632,nan,nan,nan,40,[ 0 11 10  7]
41,43476,nan,nan,nan,41,[12 13  3  6]
42,25641,nan,nan,nan,42,[ 7  8 14  6]
43,36278,nan,nan,nan,43,[10 11  3  8]
44,13921,nan,nan,nan,44,[ 4  1 13  1]
45,4965,nan,nan,nan,45,[1 7 1 0]
46,2442,nan,nan,nan,46,[ 0 10 12 12]
47,6000,nan,nan,nan,47,[ 1 11 10  0]
48,21935,nan,nan,nan,48,[6 7 7 5]
49,8482,nan,nan,nan,49,[ 2  7 10  7]
50,21207,nan,nan,nan,50,[ 6  4  3 12]
51,2363,nan,nan,nan,51,[ 0 10  7  8]
52,13220,nan,nan,nan,52,[ 3 13 11  5]
53,2906,nan,nan,nan,53,[ 0 12 13 11]
54,31533,nan,nan,nan,54,[9 5 2 3]
55,48276,nan,nan,nan,55,[14  4  8  6]
56,48739,nan,nan,nan,56,[14  6  9  4]
57,32052,nan,nan,nan,57,[ 9  7  6 12]
58,23446,nan,nan,nan,58,[ 6 14  3  1]
59,31621,nan,nan,nan,59,[9 5 8 1]
60,33006,nan,nan,nan,60,[ 9 11 10  6]
61,40878,nan,nan,nan,61,[12  1 10  3]
62,24222,nan,nan,nan,62,[ 7  2  9 12]
63,27461,nan,nan,nan,63,[ 8  2  0 11]
64,14366,nan,nan,nan,64,[ 4  3 12 11]
65,40748,nan,nan,nan,65,[12  1  1  8]
66,23275,nan,nan,nan,66,[ 6 13  6 10]
67,20879,nan,nan,nan,67,[ 6  2 11 14]
68,26306,nan,nan,nan,68,[ 7 11 13 11]
69,37786,nan,nan,nan,69,[11  2 14  1]
70,29994,nan,nan,nan,70,[ 8 13  4  9]
71,28286,nan,nan,nan,71,[ 8  5 10 11]
72,7510,nan,nan,nan,72,[ 2  3  5 10]
73,7195,nan,nan,nan,73,[ 2  1 14 10]
74,1867,nan,nan,nan,74,[0 8 4 7]
75,44305,nan,nan,nan,75,[13  1 13 10]
76,49696,nan,nan,nan,76,[14 10 13  1]
