step,action,psnr_value,mse_value,ssim_value,rank,action
1,37341,nan,nan,nan,1,[11  0 14  6]
2,31885,nan,nan,nan,2,[ 9  6 10 10]
3,37082,nan,nan,nan,3,[10 14 12  2]
4,10776,nan,nan,nan,4,[ 3  2 13  6]
5,45926,nan,nan,nan,5,[13  9  1 11]
6,17863,nan,nan,nan,6,[ 5  4  5 13]
7,49265,nan,nan,nan,7,[14  8 14  5]
8,34612,nan,nan,nan,8,[10  3 12  7]
9,15344,nan,nan,nan,9,[ 4  8  2 14]
10,41819,nan,nan,nan,10,[12  5 12 14]
11,30587,nan,nan,nan,11,[ 9  0 14  2]
12,16970,nan,nan,nan,12,[5 0 6 5]
13,32941,nan,nan,nan,13,[ 9 11  6  1]
14,28273,nan,nan,nan,14,[ 8  5  9 13]
15,49157,nan,nan,nan,15,[14  8  7  2]
16,45422,nan,nan,nan,16,[13  6 13  2]
17,5063,nan,nan,nan,17,[1 7 7 8]
18,12066,nan,nan,nan,18,[3 8 9 6]
19,26934,nan,nan,nan,19,[ 7 14 10  9]
20,27435,nan,nan,nan,20,[ 8  1 14  0]
21,27983,nan,nan,nan,21,[8 4 5 8]
22,29692,nan,nan,nan,22,[ 8 11 14  7]
23,17258,nan,nan,nan,23,[ 5  1 10  8]
24,27663,nan,nan,nan,24,[ 8  2 14  3]
25,17316,nan,nan,nan,25,[ 5  1 14  6]
26,2198,nan,nan,nan,26,[ 0  9 11  8]
27,16227,nan,nan,nan,27,[ 4 12  1 12]
28,50459,nan,nan,nan,28,[14 14  3 14]
29,47128,nan,nan,nan,29,[13 14  6 13]
30,45377,nan,nan,nan,30,[13  6 10  2]
31,30185,nan,nan,nan,31,[ 8 14  2  5]
32,28427,nan,nan,nan,32,[8 6 5 2]
33,4117,nan,nan,nan,33,[1 3 4 7]
34,17858,nan,nan,nan,34,[5 4 5 8]
35,1503,nan,nan,nan,35,[ 0  6 10  3]
36,18736,nan,nan,nan,36,[5 8 4 1]
37,17427,nan,nan,nan,37,[ 5  2  6 12]
38,40719,nan,nan,nan,38,[12  0 14  9]
39,4012,nan,nan,nan,39,[ 1  2 12  7]
40,40571,nan,nan,nan,40,[12  0  4 11]
41,18054,nan,nan,nan,41,[5 5 3 9]
42,11481,nan,nan,nan,42,[3 6 0 6]
43,46271,nan,nan,nan,43,[13 10  9 11]
44,43351,nan,nan,nan,44,[12 12 10  1]
45,36667,nan,nan,nan,45,[10 12 14  7]
46,6087,nan,nan,nan,46,[ 1 12  0 12]
47,38400,nan,nan,nan,47,[11  5 10  0]
48,20485,nan,nan,nan,48,[ 6  1  0 10]
49,23607,nan,nan,nan,49,[ 6 14 13 12]
50,41839,nan,nan,nan,50,[12  5 14  4]
51,27572,nan,nan,nan,51,[8 2 8 2]
52,32019,nan,nan,nan,52,[9 7 4 9]
53,822,nan,nan,nan,53,[ 0  3  9 12]
54,40456,nan,nan,nan,54,[11 14 12  1]
55,7328,nan,nan,nan,55,[2 2 8 8]
56,37654,nan,nan,nan,56,[11  2  5  4]
57,37922,nan,nan,nan,57,[11  3  8  2]
58,40483,nan,nan,nan,58,[11 14 13 13]
59,36032,nan,nan,nan,59,[10 10  2  2]
60,20389,nan,nan,nan,60,[6 0 9 4]
61,22084,nan,nan,nan,61,[6 8 2 4]
62,8287,nan,nan,nan,62,[ 2  6 12  7]
63,37837,nan,nan,nan,63,[11  3  2  7]
64,8253,nan,nan,nan,64,[ 2  6 10  3]
65,28389,nan,nan,nan,65,[8 6 2 9]
66,21057,nan,nan,nan,66,[ 6  3  8 12]
67,40137,nan,nan,nan,67,[11 13  5 12]
68,21415,nan,nan,nan,68,[ 6  5  2 10]
69,4740,nan,nan,nan,69,[1 6 1 0]
70,44695,nan,nan,nan,70,[13  3  9 10]
71,1818,nan,nan,nan,71,[0 8 1 3]
72,42047,nan,nan,nan,72,[12  6 13  2]
73,38854,nan,nan,nan,73,[11  7 10  4]
74,12821,nan,nan,nan,74,[ 3 11 14 11]
75,50245,nan,nan,nan,75,[14 13  4 10]
76,26563,nan,nan,nan,76,[ 7 13  0 13]
77,9353,nan,nan,nan,77,[ 2 11  8  8]
78,22690,nan,nan,nan,78,[ 6 10 12 10]
