step,action,psnr_value,mse_value,ssim_value,rank,action
1,32650,5.478292551892096,0.28349386528430714,0.013643196783959866,1,[ 9 10  1 10]
2,33207,5.4885721077245,0.2828214761464639,0.015866661444306374,2,[ 9 12  8 12]
3,44985,5.488572113558953,0.28282210987060125,0.01586666889488697,3,[13  4 14  0]
4,32947,5.537409698446298,0.27965825939175953,0.014703084714710712,4,[ 9 11  6  7]
5,27749,5.5735030329647826,0.2773434270964943,0.01825696788728237,5,[ 8  3  4 14]
6,36413,5.656023801352115,0.27212059016569556,0.0502612441778183,6,[10 11 12  8]
7,27148,5.656023780635588,0.2721206187842404,0.05026121437549591,7,[ 8  0  9 13]
8,14667,5.659565019002977,0.271899846320981,0.04606986790895462,8,[ 4  5  2 12]
9,35243,5.664369394263199,0.27159687267047933,0.042602214962244034,9,[10  6  9  8]
10,20420,5.684764723472284,0.27031902598146823,0.04106602817773819,10,[ 6  0 11  5]
11,28130,5.72292092525863,0.2679486027229561,0.05314351245760918,11,[8 5 0 5]
12,29640,5.73956398948718,0.26692087604445053,0.059032924473285675,12,[ 8 11 11  0]
13,45482,5.746920566315935,0.2665611848639757,0.05239710956811905,13,[13  7  2  2]
14,16592,5.785412622739813,0.26430672811164463,0.035879287868738174,14,[ 4 13 11  2]
15,14246,5.790879476480724,0.2639493806776553,0.03823351860046387,15,[ 4  3  4 11]
16,9008,5.792037605971739,0.2638700673964432,0.035250473767519,16,[ 2 10  0  8]
17,34940,5.79206099776929,0.2638693972542776,0.03528641164302826,17,[10  5  4  5]
18,21829,5.804022719295716,0.2631807197757884,0.03546818718314171,18,[6 7 0 4]
19,34193,5.813935399401801,0.26251151783341964,0.032433219254016876,19,[10  1 14  8]
20,42833,5.835689778586532,0.26118812690128657,0.02743585780262947,20,[12 10  5  8]
21,45156,5.836103303961771,0.2611730620676905,0.02734592743217945,21,[13  5 10  6]
22,6895,5.857565072534068,0.2602627084228958,0.03316368907690048,22,[ 2  0  9 10]
23,8896,5.8582436042351835,0.2602372083230863,0.034925173968076706,23,[2 9 8 1]
24,15410,5.878609729466023,0.25915582812066,0.047876980155706406,24,[4 8 7 5]
25,29467,5.916876105377218,0.25695509431979874,0.06361427158117294,25,[ 8 10 14  7]
26,38116,5.921239878349304,0.256762062035463,0.060353830456733704,26,[11  4  6  1]
27,10722,5.921278753577037,0.25676180849759855,0.060695480555295944,27,[ 3  2  9 12]
28,35759,5.932124141903943,0.2563144673222913,0.07284751534461975,28,[10  8 13 14]
29,23483,5.951282578494215,0.2551679618175107,0.06917282938957214,29,[ 6 14  5  8]
30,32230,5.962317144338365,0.2544616542383948,0.055899571627378464,30,[ 9  8  3 10]
31,8747,5.962349699415301,0.25446028279508687,0.05536062642931938,31,[ 2  8 13  2]
32,1174,5.963611012253929,0.25426556321037563,0.05309148505330086,32,[0 5 3 4]
33,27919,5.970183127296096,0.2538303731504714,0.05334068462252617,33,[8 4 1 4]
34,12867,5.972500257217862,0.2537530536567794,0.05051548033952713,34,[ 3 12  2 12]
35,9887,5.972693957890463,0.2537498333472339,0.050511039793491364,35,[ 2 13 14  2]
36,28911,5.979361200242808,0.25336874344182475,0.05207877606153488,36,[8 8 7 6]
37,18435,6.053001991652963,0.24926568230398694,0.06835167109966278,37,[ 5  6 14  0]
38,18293,6.0536624610320375,0.24924508267344664,0.0693659856915474,38,[5 6 4 8]
39,28313,6.05409032649866,0.24923028042935333,0.07085977494716644,39,[ 8  5 12  8]
40,2624,6.057249045936738,0.24912694289043807,0.06902517378330231,40,[ 0 11  9 14]
41,15357,6.21746187857516,0.2401712360345702,0.10205677151679993,41,[ 4  8  3 12]
42,40773,6.223021086191912,0.24000095218967518,0.10203143209218979,42,[12  1  3  3]
43,48864,6.225776646609896,0.2399136345119584,0.0997239500284195,43,[14  7  2  9]
44,22348,6.270411079080153,0.23730438604351622,0.10466177016496658,44,[ 6  9  4 13]
45,44591,6.319008609024244,0.23518169064484812,0.13308149576187134,45,[13  3  2 11]
46,28834,6.319478621411053,0.23517802328452767,0.13371030986309052,46,[8 8 2 4]
47,50044,6.32279203389011,0.2350505592570514,0.13262397050857544,47,[14 12  6  4]
48,1508,6.358329969165806,0.23343275167858046,0.13067024946212769,48,[ 0  6 10  8]
49,44582,6.473649947995256,0.22758462618275063,0.14238834381103516,49,[13  3  2  2]
50,14293,6.484634849735506,0.22719335032551372,0.14004182815551758,50,[ 4  3  7 13]
51,11236,6.5128976490604735,0.2259874611183899,0.15597796440124512,51,[ 3  4 14  1]
52,38247,6.513449771753665,0.22595337917878852,0.15608912706375122,52,[11  4 14 12]
53,13307,6.56460310627975,0.2231168420718695,0.15379057824611664,53,[ 3 14  2  2]
54,3288,6.571793200422576,0.22275857948553077,0.14558395743370056,54,[ 0 14  9  3]
55,37760,6.5862030812059045,0.22221346408445528,0.14641718566417694,55,[11  2 12  5]
56,30732,6.621216842732144,0.22064088680184468,0.15030540525913239,56,[ 9  1  8 12]
57,27309,6.631421433873507,0.21995700629112838,0.16240635514259338,57,[8 1 5 9]
58,26407,6.694730377185852,0.21790317835310083,0.20473065972328186,58,[ 7 12  5  7]
59,30541,6.779663566595894,0.21368952776423863,0.26081058382987976,59,[ 9  0 11  1]
60,28685,6.902110594799009,0.20844130225770818,0.25916770100593567,60,[8 7 7 5]
61,46235,6.902511448154885,0.2084112233544104,0.2584851086139679,61,[13 10  7  5]
62,954,6.903189738078811,0.20838032245803334,0.2578797936439514,62,[0 4 3 9]
63,5753,6.9056997990913604,0.2082347802366568,0.25887331366539,63,[ 1 10  8  8]
64,9653,6.917237565880555,0.2077141126457655,0.2614639103412628,64,[ 2 12 13  8]
65,26151,6.919579201720637,0.20763634826211247,0.2659851908683777,65,[ 7 11  3  6]
66,48492,6.920631967294067,0.20762515463160802,0.2651304006576538,66,[14  5  7 12]
67,14188,6.953760570332741,0.2061787885506154,0.27517229318618774,67,[ 4  3  0 13]
68,18861,6.95341541124582,0.2061605673028617,0.27493831515312195,68,[ 5  8 12  6]
69,46164,7.011715465331454,0.20471283658073422,0.275028795003891,69,[13 10  2  9]
70,22351,7.014888373411229,0.20468768891158207,0.27550211548805237,70,[6 9 5 1]
71,44017,7.016708588931443,0.2046443398159256,0.27765902876853943,71,[13  0  9  7]
72,15354,7.025045009371142,0.20437732204099904,0.2796293795108795,72,[4 8 3 9]
73,34500,7.037542105867027,0.20387640836633056,0.27912718057632446,73,[10  3  5  0]
74,41977,7.099286362250915,0.2019389038664119,0.28864729404449463,74,[12  6  8  7]
75,17097,7.1004479560356915,0.20193358084119584,0.2874225974082947,75,[ 5  0 14 12]
76,42893,7.141605323460373,0.19953471416900534,0.2887503504753113,76,[12 10  9  8]
77,23083,7.151816588301249,0.19879296036358812,0.2907232642173767,77,[ 6 12  8 13]
78,22955,7.19716959736327,0.1974754477210713,0.30391278862953186,78,[ 6 12  0  5]
79,38581,7.197733398607841,0.1974661285980273,0.30336061120033264,79,[11  6  7  1]
80,24550,7.207265544565119,0.19710327223932697,0.3132217824459076,80,[ 7  4  1 10]
81,35175,7.20839489169691,0.19688545984430852,0.3202316164970398,81,[10  6  5  0]
82,23839,7.205709391981477,0.196876716278223,0.3191644549369812,82,[ 7  0 14  4]
83,3560,7.247724945002023,0.19530520182324862,0.31829267740249634,83,[ 1  0 12  5]
84,38368,7.263219837330791,0.19476798913170315,0.31692489981651306,84,[11  5  7 13]
85,11563,7.263481107076983,0.19476702319901631,0.3165159225463867,85,[ 3  6  5 13]
86,15045,7.268057840232491,0.19469323176438882,0.3172564208507538,86,[ 4  6 13  0]
87,38204,7.265752080898595,0.19446994387471528,0.3128693699836731,87,[11  4 11 14]
88,30977,7.269882343532123,0.19432467421257898,0.3087453544139862,88,[ 9  2 10  2]
89,11194,7.269863052715383,0.19432472067414008,0.3087727427482605,89,[ 3  4 11  4]
90,43083,7.27725735856912,0.1938413966157802,0.3087669014930725,90,[12 11  7  3]
91,47203,7.284994929202128,0.1936144741197139,0.3141592741012573,91,[13 14 11 13]
92,15448,7.387308981973076,0.18911463842539053,0.31384608149528503,92,[ 4  8  9 13]
93,39437,7.4141100881331745,0.18807813992635072,0.3183349072933197,93,[11 10  4  2]
94,29434,7.413511224445665,0.18800426079533156,0.31783315539360046,94,[ 8 10 12  4]
95,16310,7.446110195898344,0.18717856371930097,0.32837390899658203,95,[ 4 12  7  5]
96,42706,7.4666615368849705,0.18661555858893103,0.3322151005268097,96,[12  9 12  1]
97,20476,7.472669311971538,0.1865379267316608,0.3319334089756012,97,[6 1 0 1]
98,31996,7.4745873524999205,0.18646807311654282,0.33115845918655396,98,[9 7 3 1]
99,14547,7.481160105388839,0.1861436944790186,0.3347421884536743,99,[ 4  4  9 12]
