step,action,psnr_value,mse_value,ssim_value,rank
1,6947,nan,nan,nan,1
2,44917,nan,nan,nan,2
3,21952,nan,nan,nan,3
4,44432,nan,nan,nan,4
5,47543,nan,nan,nan,5
6,46513,nan,nan,nan,6
7,44150,nan,nan,nan,7
8,41320,nan,nan,nan,8
9,5931,nan,nan,nan,9
10,12534,nan,nan,nan,10
11,34019,nan,nan,nan,11
12,16469,nan,nan,nan,12
13,34893,nan,nan,nan,13
14,7530,nan,nan,nan,14
15,6104,nan,nan,nan,15
16,18023,nan,nan,nan,16
17,49291,nan,nan,nan,17
18,4974,nan,nan,nan,18
19,38113,nan,nan,nan,19
20,50336,nan,nan,nan,20
21,34733,nan,nan,nan,21
22,46028,nan,nan,nan,22
23,19780,nan,nan,nan,23
24,1132,nan,nan,nan,24
25,46608,nan,nan,nan,25
26,42052,nan,nan,nan,26
27,29193,nan,nan,nan,27
28,29095,nan,nan,nan,28
29,39610,nan,nan,nan,29
30,13635,nan,nan,nan,30
31,12837,nan,nan,nan,31
32,13434,nan,nan,nan,32
33,9387,nan,nan,nan,33
34,20198,nan,nan,nan,34
35,6802,nan,nan,nan,35
36,19736,nan,nan,nan,36
37,47820,nan,nan,nan,37
38,47259,nan,nan,nan,38
39,10742,nan,nan,nan,39
40,33509,nan,nan,nan,40
41,7040,nan,nan,nan,41
42,8687,nan,nan,nan,42
43,14429,nan,nan,nan,43
44,49694,nan,nan,nan,44
45,18478,nan,nan,nan,45
46,45503,nan,nan,nan,46
47,24235,nan,nan,nan,47
48,17045,nan,nan,nan,48
49,45664,nan,nan,nan,49
50,33595,nan,nan,nan,50
51,43682,nan,nan,nan,51
52,22605,nan,nan,nan,52
53,30981,nan,nan,nan,53
54,36091,nan,nan,nan,54
55,35694,nan,nan,nan,55
56,47912,nan,nan,nan,56
57,1334,nan,nan,nan,57
58,35165,nan,nan,nan,58
59,16898,nan,nan,nan,59
60,33820,nan,nan,nan,60
61,11213,nan,nan,nan,61
62,31431,nan,nan,nan,62
63,19752,nan,nan,nan,63
64,48703,nan,nan,nan,64
65,18262,nan,nan,nan,65
66,8346,nan,nan,nan,66
67,37082,nan,nan,nan,67
68,46745,nan,nan,nan,68
69,2020,nan,nan,nan,69
70,31726,nan,nan,nan,70
71,34063,nan,nan,nan,71
72,47222,nan,nan,nan,72
73,5588,nan,nan,nan,73
74,13286,nan,nan,nan,74
75,6281,nan,nan,nan,75
76,41000,nan,nan,nan,76
77,1763,nan,nan,nan,77
78,15412,nan,nan,nan,78
79,43413,nan,nan,nan,79
80,19752,nan,nan,nan,80
81,18278,nan,nan,nan,80
82,29632,nan,nan,nan,81
83,16403,nan,nan,nan,82
84,8613,nan,nan,nan,83
85,28800,nan,nan,nan,84
86,3661,nan,nan,nan,85
87,44768,nan,nan,nan,86
88,23150,nan,nan,nan,87
89,44760,nan,nan,nan,88
90,39089,nan,nan,nan,89
91,30062,nan,nan,nan,90
92,2488,nan,nan,nan,91
93,30819,nan,nan,nan,92
94,29368,nan,nan,nan,93
95,13111,nan,nan,nan,94
96,1701,nan,nan,nan,95
97,23160,nan,nan,nan,96
98,31235,nan,nan,nan,97
99,38973,nan,nan,nan,98
100,35198,nan,nan,nan,99
101,7644,nan,nan,nan,100
102,33617,nan,nan,nan,101
103,23314,nan,nan,nan,102
104,13338,nan,nan,nan,103
105,16061,nan,nan,nan,104
106,34305,nan,nan,nan,105
107,32108,nan,nan,nan,106
108,27120,nan,nan,nan,107
109,16272,nan,nan,nan,108
110,44338,nan,nan,nan,109
111,42508,nan,nan,nan,110
112,30808,nan,nan,nan,111
113,34664,nan,nan,nan,112
114,39486,nan,nan,nan,113
115,7469,nan,nan,nan,114
116,28099,nan,nan,nan,115
117,25549,nan,nan,nan,116
118,8096,nan,nan,nan,117
119,18408,nan,nan,nan,118
120,35062,nan,nan,nan,119
121,1037,nan,nan,nan,120
122,6299,nan,nan,nan,121
123,42174,nan,nan,nan,122
124,38571,nan,nan,nan,123
125,10427,nan,nan,nan,124
126,16831,nan,nan,nan,125
127,13590,nan,nan,nan,126
128,41876,nan,nan,nan,127
129,20556,nan,nan,nan,128
130,48419,nan,nan,nan,129
131,27608,nan,nan,nan,130
132,33249,nan,nan,nan,131
133,7094,nan,nan,nan,132
134,37058,nan,nan,nan,133
135,21647,nan,nan,nan,134
136,10061,nan,nan,nan,135
137,45992,nan,nan,nan,136
138,49251,nan,nan,nan,137
139,32177,nan,nan,nan,138
140,18365,nan,nan,nan,139
141,31019,nan,nan,nan,140
142,16734,nan,nan,nan,141
143,23254,nan,nan,nan,142
144,2779,nan,nan,nan,143
145,10884,nan,nan,nan,144
146,16711,nan,nan,nan,145
147,39475,nan,nan,nan,146
148,20484,nan,nan,nan,147
149,47889,nan,nan,nan,148
150,25458,nan,nan,nan,149
151,31622,nan,nan,nan,150
152,32950,nan,nan,nan,151
153,8953,nan,nan,nan,152
154,23824,nan,nan,nan,153
155,10761,nan,nan,nan,154
156,17942,nan,nan,nan,155
157,45463,nan,nan,nan,156
158,13834,nan,nan,nan,157
159,698,nan,nan,nan,158
160,43199,nan,nan,nan,159
161,22487,nan,nan,nan,160
162,44679,nan,nan,nan,161
163,50414,nan,nan,nan,162
164,27741,nan,nan,nan,163
165,11641,nan,nan,nan,164
166,1910,nan,nan,nan,165
167,30587,nan,nan,nan,166
168,17907,nan,nan,nan,167
169,27822,nan,nan,nan,168
170,38256,nan,nan,nan,169
171,7718,nan,nan,nan,170
172,4719,nan,nan,nan,171
173,39992,nan,nan,nan,172
174,30395,nan,nan,nan,173
175,46234,nan,nan,nan,174
176,27149,nan,nan,nan,175
177,42362,nan,nan,nan,176
178,44085,nan,nan,nan,177
179,15383,nan,nan,nan,178
180,47061,nan,nan,nan,179
181,41949,nan,nan,nan,180
182,32464,nan,nan,nan,181
183,39162,nan,nan,nan,182
184,49097,nan,nan,nan,183
185,11311,nan,nan,nan,184
186,4333,nan,nan,nan,185
187,26550,nan,nan,nan,186
188,37603,nan,nan,nan,187
189,8604,nan,nan,nan,188
190,28925,nan,nan,nan,189
191,27073,nan,nan,nan,190
192,16658,nan,nan,nan,191
193,42376,nan,nan,nan,192
194,21208,nan,nan,nan,193
195,42726,nan,nan,nan,194
196,46612,nan,nan,nan,195
197,39421,nan,nan,nan,196
198,15845,nan,nan,nan,197
199,44245,nan,nan,nan,198
200,45977,nan,nan,nan,199
201,34851,nan,nan,nan,200
202,37782,nan,nan,nan,201
203,12961,nan,nan,nan,202
204,4939,nan,nan,nan,203
205,23631,nan,nan,nan,204
206,21868,nan,nan,nan,205
207,23955,nan,nan,nan,206
208,46284,nan,nan,nan,207
209,26210,nan,nan,nan,208
210,41758,nan,nan,nan,209
211,4981,nan,nan,nan,210
212,27609,nan,nan,nan,211
213,24875,nan,nan,nan,212
214,42893,nan,nan,nan,213
215,11862,nan,nan,nan,214
216,45535,nan,nan,nan,215
217,9305,nan,nan,nan,216
218,22280,nan,nan,nan,217
219,33036,nan,nan,nan,218
220,31239,nan,nan,nan,219
221,33926,nan,nan,nan,219
222,14213,nan,nan,nan,219
223,39426,nan,nan,nan,219
224,40618,nan,nan,nan,219
225,5324,nan,nan,nan,220
226,816,nan,nan,nan,220
227,25054,nan,nan,nan,220
228,38314,nan,nan,nan,220
229,33916,nan,nan,nan,220
230,22563,nan,nan,nan,220
231,43527,nan,nan,nan,220
232,10378,nan,nan,nan,220
233,7984,nan,nan,nan,220
234,11436,nan,nan,nan,220
235,31025,nan,nan,nan,220
236,18079,nan,nan,nan,220
237,364,nan,nan,nan,220
238,31147,nan,nan,nan,220
239,25716,nan,nan,nan,220
240,46382,nan,nan,nan,220
241,38842,nan,nan,nan,220
242,39938,nan,nan,nan,220
243,40678,nan,nan,nan,220
244,39728,nan,nan,nan,220
245,40580,nan,nan,nan,220
246,46391,nan,nan,nan,220
247,38729,nan,nan,nan,220
248,10061,nan,nan,nan,220
249,10058,nan,nan,nan,220
250,50611,nan,nan,nan,220
251,3378,nan,nan,nan,221
252,10662,nan,nan,nan,222
253,33016,nan,nan,nan,222
254,27230,nan,nan,nan,222
255,2479,nan,nan,nan,222
256,19355,nan,nan,nan,222
257,27521,nan,nan,nan,222
258,34043,nan,nan,nan,222
259,4888,nan,nan,nan,222
260,17356,nan,nan,nan,222
261,37015,nan,nan,nan,222
262,21600,nan,nan,nan,222
263,50303,nan,nan,nan,222
264,49130,nan,nan,nan,222
265,38909,nan,nan,nan,222
266,27670,nan,nan,nan,222
267,2064,nan,nan,nan,222
268,40957,nan,nan,nan,222
269,41586,nan,nan,nan,222
270,34249,nan,nan,nan,222
271,3867,nan,nan,nan,222
272,36334,nan,nan,nan,222
273,11065,nan,nan,nan,222
274,18328,nan,nan,nan,222
275,39061,nan,nan,nan,222
276,38105,nan,nan,nan,222
277,26272,nan,nan,nan,222
278,37372,nan,nan,nan,222
279,38360,nan,nan,nan,222
280,10703,nan,nan,nan,222
281,31516,nan,nan,nan,222
282,36689,nan,nan,nan,222
283,5227,nan,nan,nan,222
284,8349,nan,nan,nan,222
285,48732,nan,nan,nan,222
286,33347,nan,nan,nan,222
287,39260,nan,nan,nan,222
288,25273,nan,nan,nan,222
289,31147,nan,nan,nan,222
290,2399,nan,nan,nan,222
291,49312,nan,nan,nan,223
292,11013,nan,nan,nan,223
293,43348,nan,nan,nan,223
294,41411,nan,nan,nan,223
295,23800,nan,nan,nan,223
296,15336,nan,nan,nan,223
297,44466,nan,nan,nan,223
298,2129,nan,nan,nan,223
299,48752,nan,nan,nan,223
300,8225,nan,nan,nan,223
301,31152,nan,nan,nan,223
302,31845,nan,nan,nan,223
303,20975,nan,nan,nan,223
304,21613,nan,nan,nan,223
305,49515,nan,nan,nan,223
306,13921,nan,nan,nan,223
307,41214,nan,nan,nan,223
308,21396,nan,nan,nan,223
309,46671,nan,nan,nan,223
310,17350,nan,nan,nan,223
311,47058,nan,nan,nan,223
312,29569,nan,nan,nan,223
313,41388,nan,nan,nan,223
314,12017,nan,nan,nan,223
315,19445,nan,nan,nan,223
316,33155,nan,nan,nan,223
317,47615,nan,nan,nan,223
318,9401,nan,nan,nan,223
319,6764,nan,nan,nan,223
320,10280,nan,nan,nan,223
321,8641,nan,nan,nan,224
322,33052,nan,nan,nan,224
323,34765,nan,nan,nan,224
324,33057,nan,nan,nan,224
325,45664,nan,nan,nan,224
326,49883,nan,nan,nan,224
327,35843,nan,nan,nan,224
328,9825,nan,nan,nan,224
329,15546,nan,nan,nan,224
330,21511,nan,nan,nan,224
331,41614,nan,nan,nan,224
332,3645,nan,nan,nan,224
333,31006,nan,nan,nan,224
334,18542,nan,nan,nan,224
335,9934,nan,nan,nan,224
336,43749,nan,nan,nan,224
337,2705,nan,nan,nan,224
