step,action,psnr_value,mse_value,ssim_value,rank
1,48504,nan,nan,nan,1
2,35166,nan,nan,nan,2
3,20294,nan,nan,nan,3
4,46449,nan,nan,nan,4
5,12476,nan,nan,nan,5
6,40101,nan,nan,nan,6
7,45427,nan,nan,nan,7
8,15785,nan,nan,nan,8
9,49204,nan,nan,nan,9
10,13584,nan,nan,nan,10
11,2334,nan,nan,nan,11
12,7813,nan,nan,nan,12
13,16022,nan,nan,nan,13
14,43123,nan,nan,nan,14
15,7047,nan,nan,nan,15
16,7626,nan,nan,nan,16
17,32207,nan,nan,nan,17
18,29264,nan,nan,nan,18
19,16987,nan,nan,nan,19
20,10847,nan,nan,nan,20
21,1389,nan,nan,nan,21
22,40088,nan,nan,nan,22
23,17728,nan,nan,nan,23
24,32140,nan,nan,nan,24
25,43331,nan,nan,nan,25
26,5049,nan,nan,nan,26
27,21914,nan,nan,nan,27
28,43690,nan,nan,nan,28
29,24564,nan,nan,nan,29
30,19083,nan,nan,nan,30
31,27649,nan,nan,nan,31
32,535,nan,nan,nan,32
33,9884,nan,nan,nan,33
34,44775,nan,nan,nan,34
35,31346,nan,nan,nan,35
36,22710,nan,nan,nan,36
37,25914,nan,nan,nan,37
38,47896,nan,nan,nan,38
39,25399,nan,nan,nan,39
40,22728,nan,nan,nan,40
41,45632,nan,nan,nan,41
42,48130,nan,nan,nan,42
43,45569,nan,nan,nan,43
44,910,nan,nan,nan,44
45,41444,nan,nan,nan,45
46,4048,nan,nan,nan,46
47,4732,nan,nan,nan,47
48,8404,nan,nan,nan,48
49,31881,nan,nan,nan,49
50,37054,nan,nan,nan,50
51,20829,nan,nan,nan,51
52,3254,nan,nan,nan,52
53,38206,nan,nan,nan,53
54,16882,nan,nan,nan,54
55,28397,nan,nan,nan,55
56,48048,nan,nan,nan,56
57,12803,nan,nan,nan,57
58,15605,nan,nan,nan,58
59,26422,nan,nan,nan,59
60,29440,nan,nan,nan,60
61,34343,nan,nan,nan,61
62,15714,nan,nan,nan,62
63,47486,nan,nan,nan,63
64,23394,nan,nan,nan,64
65,18572,nan,nan,nan,65
66,15573,nan,nan,nan,66
67,40571,nan,nan,nan,67
68,49690,nan,nan,nan,68
69,22040,nan,nan,nan,69
70,34551,nan,nan,nan,70
71,23315,nan,nan,nan,71
72,4056,nan,nan,nan,72
73,15771,nan,nan,nan,73
74,18113,nan,nan,nan,74
75,10139,nan,nan,nan,75
76,50182,nan,nan,nan,76
77,34033,nan,nan,nan,77
78,4323,nan,nan,nan,78
79,29205,nan,nan,nan,79
80,4387,nan,nan,nan,80
81,46972,nan,nan,nan,81
82,23761,nan,nan,nan,82
83,40388,nan,nan,nan,83
84,33019,nan,nan,nan,84
85,37098,nan,nan,nan,85
86,26162,nan,nan,nan,86
87,24847,nan,nan,nan,87
88,31548,nan,nan,nan,88
89,38539,nan,nan,nan,89
90,12381,nan,nan,nan,90
91,48683,nan,nan,nan,91
92,44641,nan,nan,nan,92
93,36452,nan,nan,nan,93
94,1357,nan,nan,nan,94
95,35401,nan,nan,nan,95
96,32404,nan,nan,nan,96
97,41716,nan,nan,nan,97
98,17118,nan,nan,nan,98
99,13467,nan,nan,nan,99
100,41025,nan,nan,nan,100
101,42729,nan,nan,nan,101
102,34186,nan,nan,nan,102
103,41668,nan,nan,nan,103
104,32183,nan,nan,nan,104
105,26558,nan,nan,nan,105
106,19567,nan,nan,nan,106
107,21644,nan,nan,nan,107
108,33563,nan,nan,nan,108
109,28205,nan,nan,nan,109
110,1532,nan,nan,nan,110
111,26655,nan,nan,nan,111
112,17584,nan,nan,nan,112
113,20858,nan,nan,nan,113
114,11427,nan,nan,nan,114
115,18849,nan,nan,nan,115
116,44308,nan,nan,nan,116
117,46842,nan,nan,nan,117
118,3481,nan,nan,nan,118
119,48444,nan,nan,nan,119
120,32707,nan,nan,nan,120
121,28878,nan,nan,nan,121
122,28395,nan,nan,nan,122
123,36289,nan,nan,nan,123
124,38129,nan,nan,nan,124
125,5152,nan,nan,nan,125
126,34165,nan,nan,nan,126
127,13714,nan,nan,nan,127
128,15230,nan,nan,nan,128
129,29292,nan,nan,nan,129
130,3432,nan,nan,nan,130
131,18364,nan,nan,nan,131
132,41212,nan,nan,nan,132
133,6562,nan,nan,nan,133
134,22557,nan,nan,nan,134
135,20309,nan,nan,nan,135
136,5980,nan,nan,nan,136
137,8416,nan,nan,nan,137
138,10452,nan,nan,nan,138
139,35293,nan,nan,nan,139
140,28730,nan,nan,nan,140
141,19086,nan,nan,nan,141
142,40963,nan,nan,nan,142
143,29669,nan,nan,nan,143
144,24415,nan,nan,nan,144
145,9241,nan,nan,nan,145
146,37620,nan,nan,nan,146
147,813,nan,nan,nan,147
148,26252,nan,nan,nan,148
149,41529,nan,nan,nan,149
150,48445,nan,nan,nan,150
151,20819,nan,nan,nan,151
152,34926,nan,nan,nan,152
153,6199,nan,nan,nan,153
154,8465,nan,nan,nan,154
155,41721,nan,nan,nan,155
156,49405,nan,nan,nan,156
157,26151,nan,nan,nan,157
158,45621,nan,nan,nan,158
159,4025,nan,nan,nan,159
160,2388,nan,nan,nan,160
161,34530,nan,nan,nan,161
162,26407,nan,nan,nan,162
163,29349,nan,nan,nan,163
164,26972,nan,nan,nan,164
165,19834,nan,nan,nan,165
166,35718,nan,nan,nan,166
167,22167,nan,nan,nan,167
168,36668,nan,nan,nan,168
169,31972,nan,nan,nan,169
170,35188,nan,nan,nan,170
171,38523,nan,nan,nan,171
172,20788,nan,nan,nan,172
173,35810,nan,nan,nan,173
174,26824,nan,nan,nan,174
175,44690,nan,nan,nan,175
176,32176,nan,nan,nan,176
177,34170,nan,nan,nan,177
178,45120,nan,nan,nan,178
179,19725,nan,nan,nan,179
180,31370,nan,nan,nan,180
181,16148,nan,nan,nan,181
182,6090,nan,nan,nan,182
183,1096,nan,nan,nan,183
184,2781,nan,nan,nan,184
