step,action,psnr_value,mse_value,ssim_value,rank
1,46962,nan,nan,nan,1
2,26401,nan,nan,nan,2
3,39254,nan,nan,nan,3
4,22757,nan,nan,nan,4
5,42785,nan,nan,nan,5
6,26871,nan,nan,nan,6
7,5335,nan,nan,nan,7
8,36617,nan,nan,nan,8
9,7872,nan,nan,nan,9
10,19696,nan,nan,nan,10
11,49817,nan,nan,nan,11
12,16263,nan,nan,nan,12
13,22428,nan,nan,nan,13
14,25083,nan,nan,nan,14
15,26675,nan,nan,nan,15
16,14157,nan,nan,nan,16
17,33762,nan,nan,nan,17
18,29874,nan,nan,nan,18
19,6903,nan,nan,nan,19
20,43829,nan,nan,nan,20
21,19654,nan,nan,nan,21
22,44233,nan,nan,nan,22
23,49713,nan,nan,nan,23
24,16234,nan,nan,nan,24
25,45953,nan,nan,nan,25
26,41716,nan,nan,nan,26
27,32140,nan,nan,nan,27
28,17664,nan,nan,nan,28
29,17326,nan,nan,nan,29
30,31960,nan,nan,nan,30
31,7527,nan,nan,nan,31
32,22099,nan,nan,nan,32
33,10269,nan,nan,nan,33
34,6353,nan,nan,nan,34
35,8568,nan,nan,nan,35
36,1155,nan,nan,nan,36
37,24759,nan,nan,nan,37
38,13183,nan,nan,nan,38
39,22636,nan,nan,nan,39
40,12599,nan,nan,nan,40
41,22912,nan,nan,nan,41
42,37372,nan,nan,nan,42
43,49587,nan,nan,nan,43
44,8118,nan,nan,nan,44
45,35046,nan,nan,nan,45
46,22602,nan,nan,nan,46
47,23749,nan,nan,nan,47
48,39061,nan,nan,nan,48
49,1278,nan,nan,nan,49
50,9007,nan,nan,nan,50
51,42102,nan,nan,nan,51
52,24376,nan,nan,nan,52
53,8436,nan,nan,nan,53
54,12099,nan,nan,nan,54
55,28635,nan,nan,nan,55
56,31932,nan,nan,nan,56
57,34491,nan,nan,nan,57
58,34971,nan,nan,nan,58
59,32837,nan,nan,nan,59
60,40673,nan,nan,nan,60
61,36628,nan,nan,nan,61
62,35392,nan,nan,nan,62
63,43286,nan,nan,nan,63
64,16415,nan,nan,nan,64
65,43241,nan,nan,nan,65
66,11798,nan,nan,nan,66
67,33231,nan,nan,nan,67
68,19019,nan,nan,nan,68
69,4106,nan,nan,nan,69
70,38340,nan,nan,nan,70
71,26840,nan,nan,nan,71
72,38422,nan,nan,nan,72
73,18061,nan,nan,nan,73
74,7666,nan,nan,nan,74
75,27245,nan,nan,nan,75
76,17464,nan,nan,nan,76
77,2545,nan,nan,nan,77
78,41507,nan,nan,nan,78
79,19297,nan,nan,nan,79
80,44478,nan,nan,nan,80
81,7291,nan,nan,nan,81
82,13848,nan,nan,nan,82
83,933,nan,nan,nan,83
84,28914,nan,nan,nan,84
85,13348,nan,nan,nan,85
86,26417,nan,nan,nan,86
87,12397,nan,nan,nan,87
88,50483,nan,nan,nan,88
89,23436,nan,nan,nan,89
90,23737,nan,nan,nan,90
91,45571,nan,nan,nan,91
92,38549,nan,nan,nan,92
93,22992,nan,nan,nan,93
94,10045,nan,nan,nan,94
95,33232,nan,nan,nan,95
96,17658,nan,nan,nan,96
97,27262,nan,nan,nan,97
98,13452,nan,nan,nan,98
99,10360,nan,nan,nan,99
100,45805,nan,nan,nan,100
101,33510,nan,nan,nan,101
102,34920,nan,nan,nan,102
103,25482,nan,nan,nan,103
104,34235,nan,nan,nan,104
105,40262,nan,nan,nan,105
106,12469,nan,nan,nan,106
107,26513,nan,nan,nan,107
108,49394,nan,nan,nan,108
109,36492,nan,nan,nan,109
110,23137,nan,nan,nan,110
111,6503,nan,nan,nan,111
112,34297,nan,nan,nan,112
113,43617,nan,nan,nan,113
114,28784,nan,nan,nan,114
115,35858,nan,nan,nan,115
116,36382,nan,nan,nan,116
117,12205,nan,nan,nan,117
118,740,nan,nan,nan,118
119,17914,nan,nan,nan,119
