step,action,psnr_value,mse_value,ssim_value,rank
1,8964,nan,nan,nan,1
2,40691,nan,nan,nan,2
3,42473,nan,nan,nan,3
4,36445,nan,nan,nan,4
5,20745,nan,nan,nan,5
6,36434,nan,nan,nan,6
7,11358,nan,nan,nan,7
8,23180,nan,nan,nan,8
9,8905,nan,nan,nan,9
10,29301,nan,nan,nan,10
11,47330,nan,nan,nan,11
12,39635,nan,nan,nan,12
13,22546,nan,nan,nan,13
14,36060,nan,nan,nan,14
15,4656,nan,nan,nan,15
16,3349,nan,nan,nan,16
17,28777,nan,nan,nan,17
18,32705,nan,nan,nan,18
19,41256,nan,nan,nan,19
20,27634,nan,nan,nan,20
21,15282,nan,nan,nan,21
22,1029,nan,nan,nan,22
23,37114,nan,nan,nan,23
24,25874,nan,nan,nan,24
25,36887,nan,nan,nan,25
26,18987,nan,nan,nan,26
27,42934,nan,nan,nan,27
28,22178,nan,nan,nan,28
29,7168,nan,nan,nan,29
30,44511,nan,nan,nan,30
31,25821,nan,nan,nan,31
32,17223,nan,nan,nan,32
33,706,nan,nan,nan,33
34,7943,nan,nan,nan,34
35,17871,nan,nan,nan,35
36,7192,nan,nan,nan,36
37,28446,nan,nan,nan,37
38,22021,nan,nan,nan,38
39,4141,nan,nan,nan,39
40,46058,nan,nan,nan,40
41,43539,nan,nan,nan,41
42,42209,nan,nan,nan,42
43,8003,nan,nan,nan,43
44,12625,nan,nan,nan,44
45,15017,nan,nan,nan,45
46,33164,nan,nan,nan,46
47,16179,nan,nan,nan,47
48,9078,nan,nan,nan,48
49,31139,nan,nan,nan,49
50,28437,nan,nan,nan,50
51,12846,nan,nan,nan,51
52,48105,nan,nan,nan,52
53,41975,nan,nan,nan,53
54,24044,nan,nan,nan,54
55,1603,nan,nan,nan,55
56,19475,nan,nan,nan,56
57,25690,nan,nan,nan,57
58,11046,nan,nan,nan,58
59,18987,nan,nan,nan,59
60,2696,nan,nan,nan,59
61,696,nan,nan,nan,60
62,6872,nan,nan,nan,61
63,46731,nan,nan,nan,62
64,24510,nan,nan,nan,63
65,40628,nan,nan,nan,64
66,31958,nan,nan,nan,65
67,5046,nan,nan,nan,66
68,24458,nan,nan,nan,67
69,9605,nan,nan,nan,68
70,48715,nan,nan,nan,69
71,29681,nan,nan,nan,70
