step,action,psnr_value,mse_value,ssim_value,rank
1,25882,nan,nan,nan,1
2,24048,nan,nan,nan,2
3,17232,nan,nan,nan,3
4,9704,nan,nan,nan,4
5,18212,nan,nan,nan,5
6,28272,nan,nan,nan,6
7,43936,nan,nan,nan,7
8,34420,nan,nan,nan,8
9,48571,nan,nan,nan,9
10,29217,nan,nan,nan,10
11,24507,nan,nan,nan,11
12,8483,nan,nan,nan,12
13,50552,nan,nan,nan,13
14,37529,nan,nan,nan,14
15,11395,nan,nan,nan,15
16,9297,nan,nan,nan,16
17,45507,nan,nan,nan,17
18,14925,nan,nan,nan,18
19,33461,nan,nan,nan,19
20,46205,nan,nan,nan,20
21,23064,nan,nan,nan,21
22,41428,nan,nan,nan,22
23,24856,nan,nan,nan,23
24,27676,nan,nan,nan,24
25,37517,nan,nan,nan,25
26,21091,nan,nan,nan,26
27,10698,nan,nan,nan,27
28,42970,nan,nan,nan,28
29,10982,nan,nan,nan,29
30,16956,nan,nan,nan,30
31,29673,nan,nan,nan,31
32,9426,nan,nan,nan,32
33,47825,nan,nan,nan,33
34,38231,nan,nan,nan,34
35,21745,nan,nan,nan,35
36,37963,nan,nan,nan,36
37,50549,nan,nan,nan,37
38,27874,nan,nan,nan,38
39,29520,nan,nan,nan,39
40,46553,nan,nan,nan,40
41,25542,nan,nan,nan,41
42,31142,nan,nan,nan,42
43,17376,nan,nan,nan,43
44,28965,nan,nan,nan,44
45,46440,nan,nan,nan,45
46,30390,nan,nan,nan,46
47,13333,nan,nan,nan,47
48,50531,nan,nan,nan,48
49,48539,nan,nan,nan,49
50,11271,nan,nan,nan,50
51,8330,nan,nan,nan,51
52,14863,nan,nan,nan,52
53,21983,nan,nan,nan,53
54,20680,nan,nan,nan,54
55,22321,nan,nan,nan,55
56,916,nan,nan,nan,56
57,2193,nan,nan,nan,57
58,9025,nan,nan,nan,58
59,838,nan,nan,nan,59
60,42891,nan,nan,nan,60
61,12580,nan,nan,nan,61
62,19533,nan,nan,nan,62
63,4114,nan,nan,nan,63
64,30613,nan,nan,nan,64
65,49088,nan,nan,nan,65
66,34953,nan,nan,nan,66
67,3334,nan,nan,nan,67
68,30242,nan,nan,nan,68
69,47097,nan,nan,nan,69
70,25284,nan,nan,nan,70
71,10394,nan,nan,nan,71
72,48894,nan,nan,nan,72
73,40670,nan,nan,nan,73
74,44811,nan,nan,nan,74
75,13281,nan,nan,nan,75
76,713,nan,nan,nan,76
77,39441,nan,nan,nan,77
78,44873,nan,nan,nan,78
79,4433,nan,nan,nan,79
80,7822,nan,nan,nan,80
81,4612,nan,nan,nan,81
82,26341,nan,nan,nan,82
83,36282,nan,nan,nan,83
84,17513,nan,nan,nan,84
85,42314,nan,nan,nan,85
86,32150,nan,nan,nan,86
87,44119,nan,nan,nan,87
88,15192,nan,nan,nan,88
89,32782,nan,nan,nan,89
90,5750,nan,nan,nan,90
91,36401,nan,nan,nan,91
92,15223,nan,nan,nan,92
93,47619,nan,nan,nan,93
94,17050,nan,nan,nan,94
95,33907,nan,nan,nan,95
96,11727,nan,nan,nan,96
97,26105,nan,nan,nan,97
98,45789,nan,nan,nan,98
99,49091,nan,nan,nan,99
100,2150,nan,nan,nan,100
101,49005,nan,nan,nan,101
102,43901,nan,nan,nan,102
103,30447,nan,nan,nan,103
104,648,nan,nan,nan,104
105,7850,nan,nan,nan,105
106,9431,nan,nan,nan,106
107,34941,nan,nan,nan,107
108,41565,nan,nan,nan,108
109,41937,nan,nan,nan,109
110,23431,nan,nan,nan,110
111,3467,nan,nan,nan,111
112,1037,nan,nan,nan,112
113,9239,nan,nan,nan,113
114,44441,nan,nan,nan,114
115,40718,nan,nan,nan,115
116,37390,nan,nan,nan,116
117,28776,nan,nan,nan,117
118,35202,nan,nan,nan,118
119,21658,nan,nan,nan,119
120,27623,nan,nan,nan,120
121,29878,nan,nan,nan,121
122,23454,nan,nan,nan,122
123,8404,nan,nan,nan,123
124,26805,nan,nan,nan,124
125,43480,nan,nan,nan,125
126,35051,nan,nan,nan,126
127,4595,nan,nan,nan,127
128,29896,nan,nan,nan,128
129,24179,nan,nan,nan,129
130,33462,nan,nan,nan,130
131,14650,nan,nan,nan,131
132,21397,nan,nan,nan,132
133,28791,nan,nan,nan,133
134,49124,nan,nan,nan,134
135,17994,nan,nan,nan,135
136,27652,nan,nan,nan,136
137,40762,nan,nan,nan,137
138,28648,nan,nan,nan,138
139,50168,nan,nan,nan,139
140,24888,nan,nan,nan,140
141,20713,nan,nan,nan,141
142,47321,nan,nan,nan,142
143,2991,nan,nan,nan,143
144,46099,nan,nan,nan,143
145,9612,nan,nan,nan,144
146,30389,nan,nan,nan,145
147,37829,nan,nan,nan,146
148,27964,nan,nan,nan,147
149,16024,nan,nan,nan,148
150,34481,nan,nan,nan,149
151,19518,nan,nan,nan,150
152,24596,nan,nan,nan,151
153,1395,nan,nan,nan,152
154,19303,nan,nan,nan,153
155,36609,nan,nan,nan,154
156,25504,nan,nan,nan,155
157,27646,nan,nan,nan,156
158,24764,nan,nan,nan,157
159,45039,nan,nan,nan,158
160,35967,nan,nan,nan,159
161,7485,nan,nan,nan,160
162,49654,nan,nan,nan,161
163,3321,nan,nan,nan,162
164,45739,nan,nan,nan,163
165,35764,nan,nan,nan,164
166,10359,nan,nan,nan,165
167,37933,nan,nan,nan,166
168,30900,nan,nan,nan,167
169,23899,nan,nan,nan,168
170,5729,nan,nan,nan,169
171,49687,nan,nan,nan,170
172,12726,nan,nan,nan,171
173,19409,nan,nan,nan,172
174,30918,nan,nan,nan,173
175,6297,nan,nan,nan,174
176,10501,nan,nan,nan,175
177,41276,nan,nan,nan,176
178,40436,nan,nan,nan,177
179,41272,nan,nan,nan,178
180,43849,nan,nan,nan,179
181,25051,nan,nan,nan,180
182,36530,nan,nan,nan,181
183,43413,nan,nan,nan,182
184,36725,nan,nan,nan,183
185,17074,nan,nan,nan,184
186,40470,nan,nan,nan,185
187,7255,nan,nan,nan,186
188,22348,nan,nan,nan,187
189,17765,nan,nan,nan,188
190,9231,nan,nan,nan,189
191,42249,nan,nan,nan,190
192,44300,nan,nan,nan,191
193,42590,nan,nan,nan,192
194,30162,nan,nan,nan,193
195,41669,nan,nan,nan,194
196,32173,nan,nan,nan,195
197,36037,nan,nan,nan,196
198,33733,nan,nan,nan,197
199,26547,nan,nan,nan,198
200,27970,nan,nan,nan,199
201,5149,nan,nan,nan,200
202,34816,nan,nan,nan,201
203,42229,nan,nan,nan,202
204,43053,nan,nan,nan,203
205,9014,nan,nan,nan,204
206,970,nan,nan,nan,205
207,37232,nan,nan,nan,206
208,34934,nan,nan,nan,207
209,6730,nan,nan,nan,208
210,44346,nan,nan,nan,209
211,2484,nan,nan,nan,210
212,33794,nan,nan,nan,211
213,42868,nan,nan,nan,212
214,36130,nan,nan,nan,213
215,49502,nan,nan,nan,214
216,50173,nan,nan,nan,215
217,42727,nan,nan,nan,216
218,3184,nan,nan,nan,217
219,31794,nan,nan,nan,218
220,44143,nan,nan,nan,219
221,31204,nan,nan,nan,220
222,27312,nan,nan,nan,221
223,13393,nan,nan,nan,221
224,15321,nan,nan,nan,222
225,24780,nan,nan,nan,222
226,11641,nan,nan,nan,222
227,40447,nan,nan,nan,222
228,32556,nan,nan,nan,222
229,15740,nan,nan,nan,222
230,44020,nan,nan,nan,222
231,27881,nan,nan,nan,222
232,32079,nan,nan,nan,222
233,37078,nan,nan,nan,222
234,21899,nan,nan,nan,222
235,36609,nan,nan,nan,222
236,15210,nan,nan,nan,222
237,22987,nan,nan,nan,222
238,35004,nan,nan,nan,222
239,50058,nan,nan,nan,222
240,42273,nan,nan,nan,222
241,16960,nan,nan,nan,222
242,47139,nan,nan,nan,222
243,1202,nan,nan,nan,222
244,22778,nan,nan,nan,222
245,7374,nan,nan,nan,222
246,19860,nan,nan,nan,222
247,29043,nan,nan,nan,222
248,34261,nan,nan,nan,222
249,14721,nan,nan,nan,222
250,5457,nan,nan,nan,222
251,48012,nan,nan,nan,222
252,42889,nan,nan,nan,222
253,152,nan,nan,nan,222
254,6983,nan,nan,nan,223
255,9349,nan,nan,nan,223
256,10419,nan,nan,nan,223
257,10693,nan,nan,nan,223
258,19341,nan,nan,nan,223
259,25452,nan,nan,nan,223
260,15661,nan,nan,nan,223
261,49276,nan,nan,nan,223
262,34662,nan,nan,nan,223
263,47864,nan,nan,nan,223
264,35908,nan,nan,nan,223
265,17406,nan,nan,nan,223
266,25177,nan,nan,nan,223
267,40147,nan,nan,nan,223
268,9622,nan,nan,nan,223
269,29942,nan,nan,nan,223
270,28740,nan,nan,nan,223
271,10452,nan,nan,nan,223
272,36447,nan,nan,nan,223
273,21803,nan,nan,nan,223
274,36225,nan,nan,nan,223
275,16660,nan,nan,nan,223
276,6579,nan,nan,nan,224
277,30028,nan,nan,nan,224
278,21178,nan,nan,nan,224
279,23237,nan,nan,nan,224
280,47041,3.498858510670837,1.1123096089965865e+20,-0.009793177247047424,224
281,17091,nan,nan,nan,224
282,34494,nan,nan,nan,224
283,40627,nan,nan,nan,224
284,13688,nan,nan,nan,224
285,17458,3.422735390682365,1.0494147739712866e+19,-0.021331561729311943,224
286,48666,nan,nan,nan,224
287,29128,3.268366023685647,3.2141720089634337e+19,-0.03542264550924301,224
288,32793,nan,nan,nan,224
289,38711,nan,nan,nan,224
290,28920,nan,nan,nan,224
291,13908,39.939624461287984,0.0001387040134629874,0.9829152226448059,225
292,34922,39.86608575392802,0.00014094406602026914,0.9830319881439209,225
293,24038,39.88174411607759,0.00014034702252187418,0.9831007122993469,225
294,28772,38.79225409588308,0.00017239656131344026,0.9818383455276489,225
295,25759,38.71025631745884,0.00017473664038047411,0.9817746877670288,225
296,10250,38.76752567851399,0.00017349622914796865,0.9809769988059998,225
297,31317,38.44671069250393,0.0001948063444812457,0.9814121127128601,225
298,26678,38.45472098843057,0.00019128278044807385,0.9812377691268921,225
299,48448,38.49807820807011,0.0001924711784402108,0.9819594025611877,225
300,8411,38.49046403527635,0.00019512219227104467,0.9819148778915405,225
301,2048,38.591465196488926,0.00019162913553680334,0.9822801947593689,225
302,20555,38.831323980783566,0.0001717338750200486,0.9832059144973755,225
303,5999,39.08461317770491,0.00015760824585467088,0.9850870966911316,225
304,42224,39.15949736421912,0.0001494021193197644,0.9856826663017273,225
305,8307,39.095293674170534,0.00015145817869242074,0.9843999743461609,225
306,23866,39.41019328369863,0.00014210797956294306,0.9847543835639954,225
307,41803,41.124882264490516,9.915890563851079e-05,0.9872892498970032,225
308,9892,41.00363318136171,0.00010210545811266175,0.9867864847183228,225
309,32862,41.03780704297266,0.00010114027837803549,0.987356424331665,225
310,48948,41.28682057739712,9.465713742734552e-05,0.9876745939254761,225
311,26647,41.21225214265507,9.629838319268162e-05,0.9876772165298462,225
312,43523,41.27693986469516,9.476784044963438e-05,0.9878195524215698,225
313,23751,41.5391069774768,8.853973261837764e-05,0.9894293546676636,225
314,7931,42.62388532044624,6.664743236967456e-05,0.986401379108429,225
315,11034,42.7552466645201,6.469941235644051e-05,0.9870699644088745,225
316,271,42.77166092515995,6.383716598435779e-05,0.9872105717658997,225
317,2583,42.97070192872638,6.174839515435071e-05,0.987925112247467,225
318,50504,43.48086627345907,5.611253736916821e-05,0.9885973334312439,225
319,35200,43.56216972762049,5.54427145110137e-05,0.9888295531272888,225
320,33063,43.10579285088583,6.156292049341446e-05,0.9868370294570923,225
321,18043,43.215330949332795,5.985048633440194e-05,0.9875531792640686,225
322,23791,43.21185382313785,5.975093863391913e-05,0.9876118302345276,225
323,39679,43.23602276485994,5.9515228460585867e-05,0.9876715540885925,225
324,19277,43.299508025934,5.887786082729502e-05,0.9877976775169373,225
325,29381,43.25958536093814,5.917511547487554e-05,0.9877939820289612,225
326,28908,43.23163394661918,5.9555472259620815e-05,0.9883298277854919,225
327,6668,43.26063534573706,5.9225847035683106e-05,0.9886846542358398,225
328,22560,43.16876148588576,6.085726099652078e-05,0.988331139087677,225
329,26729,43.152943944147204,6.08617398717273e-05,0.9882136583328247,225
330,30736,43.04642473567375,6.207001344848022e-05,0.9880260825157166,225
331,6478,42.99029010556428,6.276296938806691e-05,0.9879529476165771,225
332,24010,43.01715767740805,6.221264142999604e-05,0.9880184531211853,225
333,17954,43.01931990148887,6.21753303829521e-05,0.9880205392837524,225
334,46649,43.025634329653506,6.206932231245737e-05,0.9881237745285034,225
335,42849,43.23049811238329,5.907304273959049e-05,0.988903820514679,225
336,37616,43.397654441156746,5.7076329278290907e-05,0.9896523356437683,225
337,8903,43.3557396467661,5.8231818665649295e-05,0.9894047975540161,225
