step,action,psnr_value,mse_value,ssim_value,rank
1,25710,nan,nan,nan,1
2,41606,nan,nan,nan,2
3,15945,nan,nan,nan,3
4,1623,nan,nan,nan,4
5,5060,nan,nan,nan,5
6,18491,nan,nan,nan,6
7,16836,nan,nan,nan,7
8,47784,nan,nan,nan,8
9,5321,nan,nan,nan,9
10,28403,nan,nan,nan,10
11,27726,nan,nan,nan,11
12,2213,nan,nan,nan,12
13,1263,nan,nan,nan,13
14,21089,nan,nan,nan,14
15,4801,nan,nan,nan,15
16,4182,nan,nan,nan,16
17,42788,nan,nan,nan,17
18,18320,nan,nan,nan,18
19,8333,nan,nan,nan,19
20,20891,nan,nan,nan,20
21,45422,nan,nan,nan,21
22,47321,nan,nan,nan,22
23,17714,nan,nan,nan,23
24,49811,nan,nan,nan,24
25,8005,nan,nan,nan,25
26,49855,nan,nan,nan,26
27,9663,nan,nan,nan,27
28,10113,nan,nan,nan,28
29,33912,nan,nan,nan,29
30,32774,nan,nan,nan,30
31,16471,nan,nan,nan,31
32,25609,nan,nan,nan,32
33,49526,nan,nan,nan,33
34,48209,nan,nan,nan,34
35,43201,nan,nan,nan,35
36,47501,nan,nan,nan,36
37,34044,nan,nan,nan,37
38,15467,nan,nan,nan,38
39,47122,nan,nan,nan,39
40,21563,nan,nan,nan,40
41,3478,nan,nan,nan,41
42,18202,nan,nan,nan,42
43,23449,nan,nan,nan,43
44,27287,nan,nan,nan,44
45,48601,nan,nan,nan,45
46,15794,nan,nan,nan,46
47,8499,nan,nan,nan,47
48,37586,nan,nan,nan,48
49,36856,nan,nan,nan,49
50,29860,nan,nan,nan,50
51,5549,nan,nan,nan,51
52,11353,nan,nan,nan,52
53,6246,nan,nan,nan,53
54,43583,nan,nan,nan,54
55,14909,nan,nan,nan,55
56,8962,nan,nan,nan,56
57,27239,nan,nan,nan,57
58,45491,nan,nan,nan,58
59,34393,nan,nan,nan,59
60,44645,nan,nan,nan,60
61,50573,nan,nan,nan,61
62,3807,nan,nan,nan,62
63,17273,nan,nan,nan,63
64,8120,nan,nan,nan,64
65,776,nan,nan,nan,65
66,23564,nan,nan,nan,66
67,33616,nan,nan,nan,67
68,1866,nan,nan,nan,68
69,21729,nan,nan,nan,69
70,4066,nan,nan,nan,70
71,13114,nan,nan,nan,71
72,41049,nan,nan,nan,72
73,11304,nan,nan,nan,73
74,11672,nan,nan,nan,74
75,48653,nan,nan,nan,75
76,29862,nan,nan,nan,76
77,44890,nan,nan,nan,77
78,46960,nan,nan,nan,78
79,47609,nan,nan,nan,79
80,15669,nan,nan,nan,80
81,9777,nan,nan,nan,81
82,19024,nan,nan,nan,82
83,40081,nan,nan,nan,83
84,2848,nan,nan,nan,84
85,9462,nan,nan,nan,85
86,31918,nan,nan,nan,86
87,29171,nan,nan,nan,87
88,15198,nan,nan,nan,88
89,17800,nan,nan,nan,89
90,38006,nan,nan,nan,90
91,54,nan,nan,nan,91
92,1340,nan,nan,nan,92
93,37062,nan,nan,nan,93
94,23781,nan,nan,nan,94
95,37457,nan,nan,nan,95
96,46377,nan,nan,nan,96
97,37883,nan,nan,nan,97
98,46523,nan,nan,nan,98
99,36799,nan,nan,nan,99
100,29162,nan,nan,nan,100
101,32180,nan,nan,nan,101
102,46803,nan,nan,nan,102
103,2980,nan,nan,nan,103
104,376,nan,nan,nan,104
105,1352,nan,nan,nan,105
106,3045,nan,nan,nan,106
107,14530,nan,nan,nan,107
108,33367,nan,nan,nan,108
109,44328,nan,nan,nan,109
110,19966,nan,nan,nan,110
111,20698,nan,nan,nan,111
112,45620,nan,nan,nan,112
113,41143,nan,nan,nan,113
114,9255,nan,nan,nan,114
115,20775,nan,nan,nan,115
116,44426,nan,nan,nan,116
117,38697,nan,nan,nan,117
118,22242,nan,nan,nan,118
119,36807,nan,nan,nan,119
120,21423,nan,nan,nan,120
121,3823,nan,nan,nan,121
122,31591,nan,nan,nan,122
123,21591,nan,nan,nan,123
124,38150,nan,nan,nan,124
125,25449,nan,nan,nan,125
126,4134,nan,nan,nan,126
127,42948,nan,nan,nan,127
128,20982,nan,nan,nan,128
129,25415,nan,nan,nan,129
130,49633,nan,nan,nan,130
131,26627,nan,nan,nan,131
132,48576,nan,nan,nan,132
133,14847,nan,nan,nan,133
134,38356,nan,nan,nan,134
135,13962,nan,nan,nan,135
136,10404,nan,nan,nan,136
137,40069,nan,nan,nan,137
