step,action,psnr_value,mse_value,ssim_value,rank
1,7232,nan,nan,nan,1
2,348,nan,nan,nan,2
3,14241,nan,nan,nan,3
4,39578,nan,nan,nan,4
5,23638,nan,nan,nan,5
6,4813,nan,nan,nan,6
7,1225,nan,nan,nan,7
8,2544,nan,nan,nan,8
9,3874,nan,nan,nan,9
10,11539,nan,nan,nan,10
11,6775,nan,nan,nan,11
12,4115,nan,nan,nan,12
13,18825,nan,nan,nan,13
14,24390,nan,nan,nan,14
15,44883,nan,nan,nan,15
16,17786,nan,nan,nan,16
17,28830,nan,nan,nan,17
18,45796,nan,nan,nan,18
19,8598,nan,nan,nan,19
20,16006,nan,nan,nan,20
21,13207,nan,nan,nan,21
22,8593,nan,nan,nan,22
23,26799,nan,nan,nan,23
24,9810,nan,nan,nan,24
25,7484,nan,nan,nan,25
26,13445,nan,nan,nan,26
27,5845,nan,nan,nan,27
28,14130,nan,nan,nan,28
29,34730,nan,nan,nan,29
30,36372,nan,nan,nan,30
31,7574,nan,nan,nan,31
32,20281,nan,nan,nan,32
33,5394,nan,nan,nan,33
34,48008,nan,nan,nan,34
35,33000,nan,nan,nan,35
36,24156,nan,nan,nan,36
37,22242,nan,nan,nan,37
38,40462,nan,nan,nan,38
39,34745,nan,nan,nan,39
40,12176,nan,nan,nan,40
41,17242,nan,nan,nan,41
42,31346,nan,nan,nan,42
43,33567,nan,nan,nan,43
44,21492,nan,nan,nan,44
45,34703,nan,nan,nan,45
46,24519,nan,nan,nan,46
47,1063,nan,nan,nan,47
48,37210,nan,nan,nan,48
49,45460,nan,nan,nan,49
50,23900,nan,nan,nan,50
51,28066,nan,nan,nan,51
52,42696,nan,nan,nan,52
53,21056,nan,nan,nan,53
54,18068,nan,nan,nan,54
55,9710,nan,nan,nan,55
56,43186,nan,nan,nan,56
57,3465,nan,nan,nan,57
58,26253,nan,nan,nan,58
59,34486,nan,nan,nan,59
60,26042,nan,nan,nan,60
61,46691,nan,nan,nan,61
62,33619,nan,nan,nan,62
63,48671,nan,nan,nan,63
64,12238,nan,nan,nan,64
65,9777,nan,nan,nan,65
66,6392,nan,nan,nan,66
67,37366,nan,nan,nan,67
68,18716,nan,nan,nan,68
69,22864,nan,nan,nan,69
70,2442,nan,nan,nan,70
71,4786,nan,nan,nan,71
72,33893,nan,nan,nan,72
73,41948,nan,nan,nan,73
74,31239,nan,nan,nan,74
75,40024,nan,nan,nan,75
76,30668,nan,nan,nan,76
77,33000,nan,nan,nan,77
78,46646,nan,nan,nan,77
79,8667,nan,nan,nan,78
80,9988,nan,nan,nan,79
81,12706,nan,nan,nan,80
82,21139,nan,nan,nan,81
83,33498,nan,nan,nan,82
84,1166,nan,nan,nan,83
85,6992,nan,nan,nan,84
86,662,nan,nan,nan,85
87,11811,nan,nan,nan,86
88,50067,nan,nan,nan,87
89,50533,nan,nan,nan,88
90,30766,nan,nan,nan,89
91,33005,nan,nan,nan,90
92,16893,nan,nan,nan,91
93,968,nan,nan,nan,92
94,15665,nan,nan,nan,93
95,18578,nan,nan,nan,94
