step,action,psnr_value,mse_value,ssim_value,rank
1,30112,nan,nan,nan,1
2,264,nan,nan,nan,2
3,30245,nan,nan,nan,3
4,9155,nan,nan,nan,4
5,35402,nan,nan,nan,5
6,4866,nan,nan,nan,6
7,41623,nan,nan,nan,7
8,29457,nan,nan,nan,8
9,15798,nan,nan,nan,9
10,30081,nan,nan,nan,10
11,23002,nan,nan,nan,11
12,3749,nan,nan,nan,12
13,46508,nan,nan,nan,13
14,39871,nan,nan,nan,14
15,13719,nan,nan,nan,15
16,12912,nan,nan,nan,16
17,45206,nan,nan,nan,17
18,21420,nan,nan,nan,18
19,34975,nan,nan,nan,19
20,45472,nan,nan,nan,20
21,24969,nan,nan,nan,21
22,44804,nan,nan,nan,22
23,50355,nan,nan,nan,23
24,32213,nan,nan,nan,24
25,45643,nan,nan,nan,25
26,24188,nan,nan,nan,26
27,32113,nan,nan,nan,27
28,21738,nan,nan,nan,28
29,32780,nan,nan,nan,29
30,35723,nan,nan,nan,30
31,42968,nan,nan,nan,31
32,8835,nan,nan,nan,32
33,21854,nan,nan,nan,33
34,30114,nan,nan,nan,34
35,14,nan,nan,nan,35
36,9271,nan,nan,nan,36
37,36559,nan,nan,nan,37
38,40199,nan,nan,nan,38
39,5174,nan,nan,nan,39
40,47407,nan,nan,nan,40
41,24074,nan,nan,nan,41
42,47866,nan,nan,nan,42
43,15168,nan,nan,nan,43
44,30417,nan,nan,nan,44
45,33071,nan,nan,nan,45
46,42042,nan,nan,nan,46
47,12703,nan,nan,nan,47
48,35005,nan,nan,nan,48
49,30888,nan,nan,nan,49
50,6154,nan,nan,nan,50
51,36948,nan,nan,nan,51
52,14019,nan,nan,nan,52
53,4172,nan,nan,nan,53
54,1698,nan,nan,nan,54
55,50057,nan,nan,nan,55
56,16408,nan,nan,nan,56
57,33149,nan,nan,nan,57
58,45645,nan,nan,nan,58
59,24715,nan,nan,nan,59
60,44515,nan,nan,nan,60
61,4626,nan,nan,nan,61
62,1124,nan,nan,nan,62
63,20062,nan,nan,nan,63
64,13670,nan,nan,nan,64
65,44861,nan,nan,nan,65
66,24808,nan,nan,nan,66
67,49492,nan,nan,nan,67
68,6082,nan,nan,nan,68
69,9341,nan,nan,nan,69
70,22554,nan,nan,nan,70
71,10517,nan,nan,nan,71
72,20314,nan,nan,nan,72
73,44570,nan,nan,nan,73
74,15698,nan,nan,nan,74
75,7926,nan,nan,nan,75
76,40179,nan,nan,nan,76
77,20031,nan,nan,nan,77
78,35889,nan,nan,nan,78
79,3682,nan,nan,nan,79
80,48815,nan,nan,nan,80
81,11642,nan,nan,nan,81
82,5927,nan,nan,nan,82
83,25147,nan,nan,nan,83
84,29843,nan,nan,nan,84
85,41603,nan,nan,nan,85
86,14588,nan,nan,nan,86
87,39246,nan,nan,nan,87
88,26717,nan,nan,nan,88
89,11337,nan,nan,nan,89
90,31463,nan,nan,nan,90
91,28327,nan,nan,nan,91
92,16649,nan,nan,nan,92
93,38314,nan,nan,nan,93
94,34977,nan,nan,nan,94
95,39230,nan,nan,nan,95
96,31922,nan,nan,nan,96
97,9736,nan,nan,nan,97
98,19210,nan,nan,nan,98
99,24502,nan,nan,nan,99
100,1869,nan,nan,nan,100
101,20774,nan,nan,nan,101
102,17910,nan,nan,nan,102
103,50231,nan,nan,nan,103
104,28063,nan,nan,nan,104
105,11249,nan,nan,nan,105
106,35817,nan,nan,nan,106
107,46229,nan,nan,nan,107
108,13752,nan,nan,nan,108
109,11114,nan,nan,nan,109
110,15731,nan,nan,nan,110
111,19351,nan,nan,nan,111
112,26471,nan,nan,nan,112
113,12443,nan,nan,nan,113
114,3868,nan,nan,nan,114
115,50579,nan,nan,nan,115
116,42678,nan,nan,nan,116
117,29741,nan,nan,nan,117
118,18472,nan,nan,nan,118
119,16757,nan,nan,nan,119
120,25105,nan,nan,nan,120
121,40982,nan,nan,nan,121
122,16440,nan,nan,nan,122
123,15312,nan,nan,nan,123
124,45057,nan,nan,nan,124
125,22238,nan,nan,nan,125
126,27671,nan,nan,nan,126
127,7730,nan,nan,nan,127
128,12426,nan,nan,nan,128
129,29431,nan,nan,nan,129
130,37639,nan,nan,nan,130
131,45815,nan,nan,nan,131
132,21027,nan,nan,nan,132
133,13651,nan,nan,nan,133
134,2471,nan,nan,nan,134
135,20107,nan,nan,nan,135
136,6984,nan,nan,nan,136
137,50345,nan,nan,nan,137
138,30079,nan,nan,nan,138
139,20693,nan,nan,nan,139
140,13176,nan,nan,nan,140
141,42683,nan,nan,nan,141
142,18090,nan,nan,nan,142
143,7786,nan,nan,nan,143
144,8098,nan,nan,nan,144
145,3826,nan,nan,nan,145
146,305,nan,nan,nan,146
147,25976,nan,nan,nan,147
148,37096,nan,nan,nan,148
149,7618,nan,nan,nan,149
150,32840,nan,nan,nan,150
151,31257,nan,nan,nan,151
152,3485,nan,nan,nan,152
153,47828,nan,nan,nan,153
154,3563,nan,nan,nan,154
155,8307,nan,nan,nan,155
156,36496,nan,nan,nan,156
157,1274,nan,nan,nan,157
158,49752,nan,nan,nan,158
159,40237,nan,nan,nan,159
160,15816,nan,nan,nan,160
161,20814,nan,nan,nan,161
162,33612,nan,nan,nan,162
163,11910,nan,nan,nan,163
164,196,nan,nan,nan,164
165,40011,nan,nan,nan,165
166,6204,nan,nan,nan,166
167,5405,nan,nan,nan,167
168,37993,nan,nan,nan,168
169,1517,nan,nan,nan,169
170,37005,nan,nan,nan,170
171,4321,nan,nan,nan,171
172,23970,nan,nan,nan,172
173,43578,nan,nan,nan,173
174,48317,nan,nan,nan,174
175,19610,nan,nan,nan,175
176,30042,nan,nan,nan,176
177,14063,nan,nan,nan,177
178,42801,nan,nan,nan,178
179,44359,nan,nan,nan,179
180,34494,nan,nan,nan,180
181,41153,nan,nan,nan,181
182,44509,nan,nan,nan,182
183,48884,nan,nan,nan,183
184,36995,nan,nan,nan,184
185,37455,nan,nan,nan,185
186,19717,nan,nan,nan,186
187,31115,nan,nan,nan,187
188,20060,nan,nan,nan,188
189,19859,nan,nan,nan,189
190,13271,nan,nan,nan,190
191,38583,nan,nan,nan,191
192,46364,nan,nan,nan,192
193,47159,nan,nan,nan,193
194,4425,nan,nan,nan,194
195,21659,nan,nan,nan,195
196,36776,nan,nan,nan,196
197,12271,nan,nan,nan,197
198,29762,nan,nan,nan,198
199,25324,nan,nan,nan,199
200,688,nan,nan,nan,200
201,36481,nan,nan,nan,201
202,28387,nan,nan,nan,202
203,37347,nan,nan,nan,203
204,6623,nan,nan,nan,204
205,12144,nan,nan,nan,205
206,13535,nan,nan,nan,206
207,42383,nan,nan,nan,207
208,31640,nan,nan,nan,208
209,10065,nan,nan,nan,209
210,48295,nan,nan,nan,210
211,31424,nan,nan,nan,211
212,34441,nan,nan,nan,212
213,25311,nan,nan,nan,213
214,47008,nan,nan,nan,214
215,47289,nan,nan,nan,215
216,43696,nan,nan,nan,216
217,34236,nan,nan,nan,217
218,41912,nan,nan,nan,218
219,32843,nan,nan,nan,218
220,15039,nan,nan,nan,218
221,23930,nan,nan,nan,218
222,49355,nan,nan,nan,218
223,37409,nan,nan,nan,218
224,18555,nan,nan,nan,218
225,24751,nan,nan,nan,218
226,30216,nan,nan,nan,218
227,12261,nan,nan,nan,218
228,7028,nan,nan,nan,218
229,7976,nan,nan,nan,218
230,17536,nan,nan,nan,218
231,41814,nan,nan,nan,219
232,19450,nan,nan,nan,219
233,32761,nan,nan,nan,219
234,39492,nan,nan,nan,219
235,4133,nan,nan,nan,219
236,37589,nan,nan,nan,219
237,16500,nan,nan,nan,220
238,13567,nan,nan,nan,220
239,30160,nan,nan,nan,220
240,32441,nan,nan,nan,221
241,9142,nan,nan,nan,221
242,23761,nan,nan,nan,221
243,36161,nan,nan,nan,221
244,7610,nan,nan,nan,221
245,23268,nan,nan,nan,221
246,12411,nan,nan,nan,221
247,40994,nan,nan,nan,221
248,50409,nan,nan,nan,221
249,13620,nan,nan,nan,222
250,11981,nan,nan,nan,222
251,14914,nan,nan,nan,222
252,4644,nan,nan,nan,222
253,30154,nan,nan,nan,222
254,2954,nan,nan,nan,222
255,35533,nan,nan,nan,223
256,8159,nan,nan,nan,223
257,11587,nan,nan,nan,223
258,8442,nan,nan,nan,223
259,37645,nan,nan,nan,223
260,1857,nan,nan,nan,223
261,14921,nan,nan,nan,223
262,1605,nan,nan,nan,223
263,13056,nan,nan,nan,224
264,36922,nan,nan,nan,224
265,31924,nan,nan,nan,224
266,25783,3.505425770328348,1.6174283460800993e+18,0.07505401968955994,224
267,9719,nan,nan,nan,224
268,16820,nan,nan,nan,224
269,30876,3.4266950029673464,8.935743067248598e+17,0.0777636468410492,224
270,40271,nan,nan,nan,224
271,6759,nan,nan,nan,224
272,10735,nan,nan,nan,224
273,14169,nan,nan,nan,224
274,8390,nan,nan,nan,224
275,26894,nan,nan,nan,224
276,26558,nan,nan,nan,224
277,39741,nan,nan,nan,224
278,26145,nan,nan,nan,224
279,8869,nan,nan,nan,224
280,15927,nan,nan,nan,224
281,22205,nan,nan,nan,224
282,30705,nan,nan,nan,224
283,34871,nan,nan,nan,224
284,46342,nan,nan,nan,224
285,44711,nan,nan,nan,224
286,2447,nan,nan,nan,224
287,19815,nan,nan,nan,224
288,20881,nan,nan,nan,224
289,43888,nan,nan,nan,224
290,47051,nan,nan,nan,224
291,43058,nan,nan,nan,224
292,31400,nan,nan,nan,224
293,14596,nan,nan,nan,224
294,20435,nan,nan,nan,224
295,22586,nan,nan,nan,224
296,28549,nan,nan,nan,224
297,49813,nan,nan,nan,224
298,3345,nan,nan,nan,224
299,48786,2.7641901489367804,1.9512134923789828e+16,-0.06810979545116425,224
300,39502,nan,nan,nan,224
301,37739,nan,nan,nan,224
302,32400,nan,nan,nan,224
303,24296,nan,nan,nan,224
304,18073,nan,nan,nan,224
305,40424,nan,nan,nan,224
306,2561,nan,nan,nan,224
307,1294,nan,nan,nan,224
308,12965,nan,nan,nan,224
309,33687,nan,nan,nan,224
310,31194,nan,nan,nan,224
311,12597,nan,nan,nan,224
312,12391,nan,nan,nan,224
313,33094,nan,nan,nan,224
314,1617,nan,nan,nan,224
315,26108,nan,nan,nan,224
316,40924,nan,nan,nan,224
317,9520,nan,nan,nan,224
318,34859,nan,nan,nan,224
319,47256,nan,nan,nan,224
320,17404,nan,nan,nan,224
321,45401,nan,nan,nan,224
322,22561,nan,nan,nan,224
323,19576,nan,nan,nan,224
324,26100,nan,nan,nan,224
325,35560,nan,nan,nan,224
326,40573,nan,nan,nan,224
327,46790,43.69145453930153,5.234392584717461e-05,0.9957380890846252,225
328,6832,43.7668936060829,5.152117361528023e-05,0.995769739151001,225
329,38761,43.76442553367486,5.154693936678198e-05,0.9956228733062744,225
330,25263,43.627707026051745,5.274000427463695e-05,0.9953447580337524,225
331,41123,43.79961545738431,5.05108909352556e-05,0.9955040812492371,225
332,16032,43.842428205520115,5.005583360176363e-05,0.995514452457428,225
333,1961,43.86086022918999,4.983215232218501e-05,0.9955131411552429,225
334,36771,43.83155984029103,5.0353598973234486e-05,0.9954707026481628,225
335,30683,43.82605213590294,5.040119122569643e-05,0.9954802393913269,225
336,45660,43.82260001921881,5.060560232277251e-05,0.9955832958221436,225
337,28188,43.86575133678483,5.0158734656776795e-05,0.9955859780311584,225
