step,action,psnr_value,mse_value,ssim_value,rank
1,13732,nan,nan,nan,1
2,12931,nan,nan,nan,2
3,46769,nan,nan,nan,3
4,8229,nan,nan,nan,4
5,29960,nan,nan,nan,5
6,13184,nan,nan,nan,6
7,35023,nan,nan,nan,7
8,26054,nan,nan,nan,8
9,11827,nan,nan,nan,9
10,21693,nan,nan,nan,10
11,45520,nan,nan,nan,11
12,27370,nan,nan,nan,12
13,41488,nan,nan,nan,13
14,4705,nan,nan,nan,14
15,21692,nan,nan,nan,15
16,22402,nan,nan,nan,16
17,37101,nan,nan,nan,17
18,25989,nan,nan,nan,18
19,24318,nan,nan,nan,19
20,45315,nan,nan,nan,20
21,10290,nan,nan,nan,21
22,24951,nan,nan,nan,22
23,9589,nan,nan,nan,23
24,31395,nan,nan,nan,24
25,30934,nan,nan,nan,25
26,22787,nan,nan,nan,26
27,24215,nan,nan,nan,27
28,45228,nan,nan,nan,28
29,29104,nan,nan,nan,29
30,5533,nan,nan,nan,30
31,13868,nan,nan,nan,31
32,38632,nan,nan,nan,32
33,1705,nan,nan,nan,33
34,50296,nan,nan,nan,34
35,15543,nan,nan,nan,35
36,6722,nan,nan,nan,36
37,45622,nan,nan,nan,37
38,14859,nan,nan,nan,38
39,41927,nan,nan,nan,39
40,24993,nan,nan,nan,40
41,29973,nan,nan,nan,41
42,45714,nan,nan,nan,42
43,38498,nan,nan,nan,43
44,36438,nan,nan,nan,44
45,404,nan,nan,nan,45
46,16025,nan,nan,nan,46
47,22512,nan,nan,nan,47
48,38448,nan,nan,nan,48
49,39863,nan,nan,nan,49
50,10050,nan,nan,nan,50
51,8321,nan,nan,nan,51
52,26664,nan,nan,nan,52
53,24298,nan,nan,nan,53
54,9498,nan,nan,nan,54
55,40476,nan,nan,nan,55
56,32366,nan,nan,nan,56
57,3720,nan,nan,nan,57
58,49585,nan,nan,nan,58
59,21081,nan,nan,nan,59
60,1090,nan,nan,nan,60
61,23033,nan,nan,nan,61
62,45880,nan,nan,nan,62
63,42088,nan,nan,nan,63
64,25587,nan,nan,nan,64
65,26288,nan,nan,nan,65
66,45538,nan,nan,nan,66
67,35090,nan,nan,nan,67
68,38340,nan,nan,nan,68
69,35046,nan,nan,nan,69
70,22937,nan,nan,nan,70
71,34537,nan,nan,nan,71
72,8549,nan,nan,nan,72
73,4825,nan,nan,nan,73
74,49629,nan,nan,nan,74
75,46093,nan,nan,nan,75
76,3351,nan,nan,nan,76
77,46488,nan,nan,nan,77
78,20996,nan,nan,nan,78
79,43132,nan,nan,nan,79
80,10542,nan,nan,nan,80
81,15973,nan,nan,nan,81
82,17611,nan,nan,nan,82
83,8655,nan,nan,nan,83
84,6106,nan,nan,nan,84
85,17640,nan,nan,nan,85
86,44070,nan,nan,nan,86
87,13983,nan,nan,nan,87
88,603,nan,nan,nan,88
89,17089,nan,nan,nan,89
90,47330,nan,nan,nan,90
91,44514,nan,nan,nan,91
92,24894,nan,nan,nan,92
93,36352,nan,nan,nan,93
94,11024,nan,nan,nan,94
95,29453,nan,nan,nan,95
96,5093,nan,nan,nan,96
97,29697,nan,nan,nan,97
98,3380,nan,nan,nan,98
99,4508,nan,nan,nan,99
100,25217,nan,nan,nan,100
101,2132,nan,nan,nan,101
102,45367,nan,nan,nan,102
103,22546,nan,nan,nan,103
104,8575,nan,nan,nan,104
105,3999,nan,nan,nan,105
106,14685,nan,nan,nan,106
107,44514,nan,nan,nan,107
108,41907,nan,nan,nan,107
109,19735,nan,nan,nan,108
110,46866,nan,nan,nan,109
111,42363,nan,nan,nan,110
112,13790,nan,nan,nan,111
113,28187,nan,nan,nan,112
114,4383,nan,nan,nan,113
115,40299,nan,nan,nan,114
116,49134,nan,nan,nan,115
117,7087,nan,nan,nan,116
118,17873,nan,nan,nan,117
119,3707,nan,nan,nan,118
120,48585,nan,nan,nan,119
121,46545,nan,nan,nan,120
122,48850,nan,nan,nan,121
123,30193,nan,nan,nan,122
124,43927,nan,nan,nan,123
125,28674,nan,nan,nan,124
126,38402,nan,nan,nan,124
127,40049,nan,nan,nan,125
128,5534,nan,nan,nan,126
129,27556,nan,nan,nan,127
130,2456,nan,nan,nan,128
131,29436,nan,nan,nan,129
132,32664,nan,nan,nan,130
133,6816,nan,nan,nan,131
134,21543,nan,nan,nan,132
135,40918,nan,nan,nan,133
136,48777,nan,nan,nan,134
137,25043,nan,nan,nan,135
138,47748,nan,nan,nan,136
139,22393,nan,nan,nan,137
140,25916,nan,nan,nan,138
141,35552,nan,nan,nan,139
142,49279,nan,nan,nan,140
143,295,nan,nan,nan,141
144,33196,nan,nan,nan,142
145,3313,nan,nan,nan,143
146,49568,nan,nan,nan,144
147,922,nan,nan,nan,145
148,13510,nan,nan,nan,146
149,1412,nan,nan,nan,147
150,8872,nan,nan,nan,148
151,7258,nan,nan,nan,149
152,770,nan,nan,nan,150
153,43580,nan,nan,nan,151
154,24174,nan,nan,nan,152
155,41830,nan,nan,nan,153
156,29582,nan,nan,nan,154
157,43413,nan,nan,nan,155
158,26654,nan,nan,nan,156
159,35484,nan,nan,nan,157
160,15304,nan,nan,nan,158
161,17494,nan,nan,nan,159
162,38752,nan,nan,nan,160
163,75,nan,nan,nan,161
164,43406,nan,nan,nan,162
165,29182,nan,nan,nan,163
166,14143,nan,nan,nan,164
167,8336,nan,nan,nan,165
168,34605,nan,nan,nan,166
169,6909,nan,nan,nan,167
170,21147,nan,nan,nan,168
171,32127,nan,nan,nan,169
172,27847,nan,nan,nan,170
173,33540,nan,nan,nan,171
174,15605,nan,nan,nan,172
175,50599,nan,nan,nan,173
176,10667,nan,nan,nan,174
177,34220,nan,nan,nan,175
178,29217,nan,nan,nan,176
179,28695,nan,nan,nan,177
180,21994,nan,nan,nan,178
181,48458,nan,nan,nan,179
182,25169,nan,nan,nan,180
183,50176,nan,nan,nan,181
184,21252,nan,nan,nan,182
185,22381,nan,nan,nan,183
186,3708,nan,nan,nan,184
187,29101,nan,nan,nan,185
188,47223,nan,nan,nan,186
189,50227,nan,nan,nan,187
190,33866,nan,nan,nan,188
191,22707,nan,nan,nan,189
192,27322,nan,nan,nan,190
193,17841,nan,nan,nan,191
194,20048,nan,nan,nan,192
195,44705,nan,nan,nan,193
196,44577,nan,nan,nan,194
197,11177,nan,nan,nan,195
198,21174,nan,nan,nan,196
199,47529,nan,nan,nan,197
200,5160,nan,nan,nan,198
201,37975,nan,nan,nan,199
202,32516,nan,nan,nan,200
203,35603,nan,nan,nan,201
204,41771,nan,nan,nan,202
205,14435,nan,nan,nan,203
206,39561,nan,nan,nan,204
207,28140,nan,nan,nan,205
208,31977,nan,nan,nan,206
209,27466,nan,nan,nan,207
210,15794,nan,nan,nan,208
211,27007,nan,nan,nan,209
212,48899,nan,nan,nan,210
213,16987,nan,nan,nan,211
214,31453,nan,nan,nan,212
215,29102,nan,nan,nan,213
216,47454,nan,nan,nan,214
217,31795,nan,nan,nan,215
218,44501,nan,nan,nan,216
219,25660,nan,nan,nan,216
220,22881,nan,nan,nan,217
221,39177,nan,nan,nan,217
222,10507,nan,nan,nan,217
223,45793,nan,nan,nan,217
224,30307,nan,nan,nan,217
225,16822,nan,nan,nan,218
226,28713,nan,nan,nan,219
227,35812,nan,nan,nan,219
228,32046,nan,nan,nan,219
229,11990,nan,nan,nan,219
230,43575,nan,nan,nan,219
231,7369,nan,nan,nan,219
232,40290,nan,nan,nan,219
233,34319,nan,nan,nan,219
234,47668,nan,nan,nan,220
235,49289,nan,nan,nan,220
236,26251,nan,nan,nan,221
237,26312,nan,nan,nan,222
238,46692,nan,nan,nan,222
239,22308,nan,nan,nan,222
240,41487,nan,nan,nan,222
241,10208,nan,nan,nan,222
242,31195,3.6759509187530828,2.705690101531801e+27,0.03125830739736557,223
243,7327,nan,nan,nan,223
244,17770,nan,nan,nan,223
245,15212,nan,nan,nan,223
246,7761,nan,nan,nan,223
247,44118,nan,nan,nan,223
248,44823,2.963631609459419,1.956667721247752e+24,-0.09521980583667755,223
249,2081,nan,nan,nan,223
250,34137,nan,nan,nan,223
251,39816,nan,nan,nan,223
252,9631,nan,nan,nan,223
253,12300,nan,nan,nan,223
254,323,nan,nan,nan,223
255,9781,3.165901284897052,8.770481475980328e+26,-0.0008172561647370458,223
256,34594,nan,nan,nan,224
257,48601,nan,nan,nan,224
258,17456,nan,nan,nan,224
259,38984,nan,nan,nan,224
260,11397,nan,nan,nan,224
261,14324,nan,nan,nan,224
262,34839,nan,nan,nan,224
263,5337,nan,nan,nan,224
264,44169,nan,nan,nan,224
265,45226,nan,nan,nan,224
266,38308,nan,nan,nan,224
267,15367,nan,nan,nan,224
268,959,nan,nan,nan,224
269,6364,3.267023142086413,3.891261849763805e+20,-0.008645905181765556,224
270,49940,nan,nan,nan,224
271,29870,nan,nan,nan,224
272,40176,nan,nan,nan,224
273,8259,nan,nan,nan,224
274,21132,nan,nan,nan,224
275,12609,nan,nan,nan,224
276,31104,nan,nan,nan,224
277,19897,nan,nan,nan,224
278,10310,nan,nan,nan,224
279,33842,nan,nan,nan,224
280,20554,37.05417108361847,0.00027000398517965134,0.9829361438751221,225
281,31860,37.0849982271091,0.00026809882110768513,0.9831404089927673,225
282,17594,37.240374481060805,0.0002453269343059124,0.9833500981330872,225
283,19826,37.205018372330784,0.00024716488870744414,0.9834234714508057,225
284,22587,37.46912002861447,0.00023307210748530987,0.9835954904556274,225
285,47909,38.14210922510146,0.0002000788146728875,0.9861990213394165,225
286,34456,38.06695878123956,0.00020202629918966746,0.9859686493873596,225
287,12937,38.12488060859111,0.0001975549684105313,0.9862721562385559,225
288,49122,38.031558758464,0.0002029743991657318,0.9858351945877075,225
289,42045,37.91912472038042,0.0002058531962532667,0.9856269359588623,225
290,50492,37.94994210777049,0.0002044303540453306,0.9856110215187073,225
291,33141,38.459340051750026,0.0001809815466933489,0.9864392876625061,225
292,6745,38.44075814640236,0.00018219065786469614,0.9863636493682861,225
293,37837,38.44390501325228,0.00018210218466865373,0.9863690137863159,225
294,38356,38.48700835492228,0.00017993563406270774,0.9865675568580627,225
295,48430,38.549536418777926,0.0001763866350430416,0.9870197772979736,225
296,35154,38.35566234082267,0.00018510739887322696,0.9863041639328003,225
297,35780,38.40258019318409,0.00018387008512877717,0.9864579439163208,225
298,6340,38.902421801444234,0.00015183180439553074,0.988206148147583,225
299,34640,38.99343303951162,0.00014836535720093123,0.9885263442993164,225
300,3784,39.173423813254956,0.0001434612693037233,0.9887530207633972,225
301,5770,39.237447142538834,0.000141474598279123,0.9890391230583191,225
302,44773,39.01282373837021,0.00014851946167185066,0.9888762831687927,225
303,17773,39.2381047975335,0.00014008739004961593,0.9890907406806946,225
304,44099,39.26088566339133,0.0001394847087145517,0.9891947507858276,225
305,47440,39.26862105307502,0.00013956352593694592,0.9889374375343323,225
306,19917,39.10697765650912,0.00014462797852476998,0.989108681678772,225
307,29659,39.093896718321254,0.00014407157672676382,0.9891381859779358,225
308,6798,39.12753282901264,0.00014240706843730145,0.9892599582672119,225
309,5941,39.08493821149957,0.0001430989952070099,0.989541232585907,225
310,28723,39.81241405138597,0.0001198325369133456,0.9916757345199585,225
311,30681,39.974698310201205,0.00011535010102291052,0.9919008016586304,225
312,47020,40.12426289678841,0.00011122235761672212,0.992091715335846,225
313,24775,40.11633158042913,0.0001113851351737733,0.9920759797096252,225
314,21998,40.09201355051451,0.00011193474531257013,0.9920948147773743,225
315,20110,40.07418253736588,0.00011245177751449533,0.992042601108551,225
316,36562,40.067949759339704,0.00011357147287336982,0.992343544960022,225
317,12053,40.02698783060058,0.00011467570972030611,0.9921495914459229,225
318,18699,39.970997919374796,0.00011613116068555011,0.9921191334724426,225
319,8182,40.097072036130186,0.00011314131414402616,0.9925857186317444,225
320,35827,39.936606558572564,0.00011649209449302645,0.9925313591957092,225
321,25324,40.01285777566021,0.00011474403375409084,0.9924525618553162,225
322,16452,40.34976067195493,0.00010554284562406085,0.9927774667739868,225
323,1987,40.33101428753912,0.00010578268193831441,0.9928577542304993,225
324,8019,40.34508511982425,0.00010550912252008733,0.9928216934204102,225
325,4062,40.323554607896,0.00010596300151089761,0.9928320050239563,225
326,39029,40.332273837246206,0.00010576112438921747,0.9928430914878845,225
327,31778,40.33721121537415,0.0001056844629566515,0.99288409948349,225
328,10894,40.253258795652,0.00010711914790561315,0.992798924446106,225
329,24474,40.24560000269226,0.00010676585542360802,0.9930232167243958,225
330,4428,40.14559763197211,0.00010932140168588203,0.99287348985672,225
331,8071,40.51148208578455,0.00010141049041851918,0.9930471777915955,225
332,28692,40.481130807053056,0.00010198092373432388,0.9930888414382935,225
333,22357,40.497371682479226,0.00010146748359600524,0.9930938482284546,225
334,11533,40.542583220330684,0.00010069097990688015,0.9931882619857788,225
335,15929,40.56694277928987,0.00010001352740172207,0.9932655096054077,225
336,17943,40.565829005653114,0.00010003596594659116,0.993270218372345,225
337,33521,40.5645185136448,0.00010003472502176703,0.9932685494422913,225
