step,action,psnr_value,mse_value,ssim_value,rank
1,36505,nan,nan,nan,1
2,13901,nan,nan,nan,2
3,1460,nan,nan,nan,3
4,3783,nan,nan,nan,4
5,20726,nan,nan,nan,5
6,31986,nan,nan,nan,6
7,28955,nan,nan,nan,7
8,42333,nan,nan,nan,8
9,30087,nan,nan,nan,9
10,7644,nan,nan,nan,10
11,27193,nan,nan,nan,11
12,39897,nan,nan,nan,12
13,40142,nan,nan,nan,13
14,37070,nan,nan,nan,14
15,902,nan,nan,nan,15
16,18735,nan,nan,nan,16
17,44375,nan,nan,nan,17
18,30200,nan,nan,nan,18
19,369,nan,nan,nan,19
20,7831,nan,nan,nan,20
21,6011,nan,nan,nan,21
22,23327,nan,nan,nan,22
23,13584,nan,nan,nan,23
24,30718,nan,nan,nan,24
25,10357,nan,nan,nan,25
26,17332,nan,nan,nan,26
27,17952,nan,nan,nan,27
28,31715,nan,nan,nan,28
29,32777,nan,nan,nan,29
30,44269,nan,nan,nan,30
31,40026,nan,nan,nan,31
32,48967,nan,nan,nan,32
33,4837,nan,nan,nan,33
34,29611,nan,nan,nan,34
35,32320,nan,nan,nan,35
36,47882,nan,nan,nan,36
37,10466,nan,nan,nan,37
38,44341,nan,nan,nan,38
39,27982,nan,nan,nan,39
40,18605,nan,nan,nan,40
41,6162,nan,nan,nan,41
42,43424,nan,nan,nan,42
43,36227,nan,nan,nan,43
44,25750,nan,nan,nan,44
45,1141,nan,nan,nan,45
46,38932,nan,nan,nan,46
47,6365,nan,nan,nan,47
48,46062,nan,nan,nan,48
49,13413,nan,nan,nan,49
50,15263,nan,nan,nan,50
51,3061,nan,nan,nan,51
52,22693,nan,nan,nan,52
53,34091,nan,nan,nan,53
54,32245,nan,nan,nan,54
55,27369,nan,nan,nan,55
56,29767,nan,nan,nan,56
57,40457,nan,nan,nan,57
58,35112,nan,nan,nan,58
59,3434,nan,nan,nan,59
60,2170,nan,nan,nan,60
61,43551,nan,nan,nan,61
62,32143,nan,nan,nan,62
63,6894,nan,nan,nan,63
64,16979,nan,nan,nan,64
65,10159,nan,nan,nan,65
66,44127,nan,nan,nan,66
67,4663,nan,nan,nan,67
68,36077,nan,nan,nan,68
69,7412,nan,nan,nan,69
70,9647,nan,nan,nan,70
71,18748,nan,nan,nan,71
72,31509,nan,nan,nan,72
73,27869,nan,nan,nan,73
74,42012,nan,nan,nan,74
75,5709,nan,nan,nan,75
76,43666,nan,nan,nan,76
77,14868,nan,nan,nan,77
78,22486,nan,nan,nan,78
79,49175,nan,nan,nan,79
80,31980,nan,nan,nan,80
81,41412,nan,nan,nan,81
82,4313,nan,nan,nan,82
83,48652,nan,nan,nan,83
84,21228,nan,nan,nan,84
85,7194,nan,nan,nan,85
