step,action,psnr_value,mse_value,ssim_value,rank
1,15412,5.555458567492096,0.2785036845291739,0.015696852329782306,1
2,11432,5.615021312697039,0.27471019704245836,0.005042383543864225,2
3,12057,5.627463782008144,0.2739226445421231,0.0023840431702997576,3
4,11299,5.638496216449234,0.2732260251360699,0.003279951225503342,4
5,7347,5.639500971235587,0.2731845751796397,0.0036388700357402183,5
6,13212,5.674221432846864,0.27099482740630265,0.007312184596219833,6
7,2629,5.677614805514586,0.27077957764596433,0.005996812224877476,7
8,1378,5.680046604720368,0.2706256763278248,0.00440458234551569,8
9,4090,5.748882263841024,0.2663657449656542,-0.00237148101293682,9
10,14105,5.750478238857244,0.2662650123228445,-0.0033137030612971855,10
11,16071,5.781681627824565,0.2643569308707204,0.007821553865726222,11
12,14572,5.781743089078086,0.26435306055792285,0.007756933450926987,12
13,11657,5.851037968618254,0.26017253613597074,0.008134690166441328,13
14,16675,5.851929036167691,0.2601242824563672,0.007300232240635847,14
15,6495,5.855998193113744,0.25987832928919985,0.005179842186467121,15
16,24725,5.881776131945731,0.25837186182956734,0.008987045084907944,16
17,7196,5.8966369551104165,0.2575341273634866,0.012787606517640005,17
18,9538,5.9342487490677795,0.25528542841671037,0.016120931946143374,18
19,15110,5.938440967075575,0.2550526196830543,0.01903472756704394,19
20,4486,5.964475918077026,0.2536792736945614,0.01481013386928781,20
21,16692,5.975645161706748,0.25310465230723406,0.015089444431178085,21
22,14773,5.987208325657786,0.25250063945375545,0.013548751438390443,22
23,2690,5.996139428446775,0.2519174997794006,0.017597229205498572,23
24,24697,6.0341994403248025,0.24972064090635915,0.018381527388106597,24
25,23997,6.079529743527217,0.24756319798987214,0.02955605108478297,25
26,18828,6.115692351927007,0.2457773970362965,0.04767052770677382,26
27,19833,6.123003299316437,0.24503452310465648,0.052311967142034545,27
28,5039,6.123364277318872,0.24501067897253545,0.05166582291947362,28
29,7985,6.148146057094647,0.24363308491931246,0.04541372292685456,29
30,12785,6.152611304410341,0.2431784919128392,0.053647173410651575,30
31,9534,6.1528701113469895,0.24316918514152538,0.053641938972168075,31
32,20835,6.167097242812185,0.24233693969556214,0.05333689472961266,32
33,843,6.227265292399453,0.23900368970357483,0.07058058878271184,33
34,19054,6.2331685721354715,0.23871947886713898,0.07102710438801722,34
35,9060,6.255660477244821,0.2377888910464395,0.07984655517582366,35
36,10574,6.255878012980274,0.23778868955372331,0.07979152359647915,36
37,8006,6.286951939779529,0.23616389270408672,0.07361904109881616,37
38,12082,6.28730060246102,0.23615371229799953,0.07193083526561092,38
39,21473,6.295630469543719,0.23569431230935808,0.06772075695939948,39
40,8569,6.305474580966598,0.23524117469795125,0.07167058157886921,40
41,5366,6.310033050098878,0.23485540365812596,0.07168416842176424,41
42,2569,6.310056854550627,0.23485347515038724,0.0717316837944999,42
43,12169,6.312170176222436,0.2346228822856958,0.0690668384118385,43
44,17307,6.312276631063258,0.23454389987469054,0.06793525380648355,44
45,21341,6.316472374682328,0.234395185082283,0.0705048690497998,45
46,9612,6.3165032193407855,0.234391439407517,0.0702555535140338,46
47,22240,6.317510739233786,0.2343379456329036,0.0700908724707141,47
48,5523,6.317510289169258,0.2343379060701722,0.07010294003763408,48
49,13133,6.3250845885611096,0.2339888162741184,0.07362880974035282,49
50,20984,6.397172409883341,0.23076231204896872,0.08801465358536703,50
51,20616,6.397399009659743,0.23075526997610563,0.08714031696100615,51
52,6235,6.402254486587625,0.23054846539938587,0.0938001530379786,52
53,3864,6.406990787388834,0.2303284348650244,0.09570407329838024,53
54,9026,6.411152664404122,0.23012974411126166,0.09526116302633907,54
55,12431,6.431285488533066,0.22932466665732157,0.1004701848465082,55
56,13178,6.458313756034972,0.22827032036603484,0.10534790570991431,56
57,12121,6.458322347862671,0.2282688875729393,0.10500350783005181,57
58,21652,6.459051477250238,0.2281302181190253,0.10274280874129672,58
59,16707,6.4890424727729545,0.2264829216517922,0.10764467403256199,59
60,8912,6.499522587346059,0.22579990093074598,0.10929387774298321,60
61,21132,6.502508721251926,0.22562868696959482,0.10745898482249946,61
62,14521,6.5030928280996925,0.22561162445572847,0.1078473872854712,62
63,23249,6.506090558180806,0.2254872042018066,0.10437233516073094,63
64,22774,6.506524525976312,0.22523059401300802,0.09992877906655212,64
65,8281,6.50709997584644,0.22519006001215908,0.1033804802634201,65
66,20270,6.511449598789549,0.22505122468469746,0.10514958968379677,66
67,19221,6.5162883517851276,0.22483430017137498,0.10530308437304552,67
68,20033,6.519518899874804,0.22470854707948787,0.10826691589105858,68
69,17907,6.519805805435071,0.22452768519308172,0.10769929444911025,69
70,8075,6.560126311551803,0.22235926440249298,0.14315575123408797,70
71,20894,6.589782118915536,0.22114056558361647,0.1609794686855133,71
72,16352,6.606564617601688,0.22049026821808876,0.1578085966333028,72
73,5316,6.655651352497234,0.21884949190687772,0.1791848373352919,73
