step,action,psnr_value,mse_value,ssim_value,rank,action
1,697,7.824057354084307,0.16643987429405796,0.12298456409172213,1,[0 6 9 7]
2,3317,7.497710741215648,0.1792872207138589,0.14870015577162202,2,[3 3 1 7]
3,1048,7.132926989052635,0.19482247876503833,0.15249445927466868,3,[1 0 4 8]
4,8502,7.21879282503835,0.19074024088875605,0.1612334128880628,4,[8 5 0 2]
5,9417,9.10379125445142,0.12776973348180262,0.1788506241336832,5,[9 4 1 7]
6,280,9.657871360976332,0.12103264407089227,0.20927227322823655,6,[0 2 8 0]
7,1178,9.876157375552227,0.11873032446534353,0.21258114754672333,7,[1 1 7 8]
8,1287,9.646048200796884,0.1285265747457794,0.20448496488036833,8,[1 2 8 7]
9,3259,10.221849874477831,0.10964859221764528,0.2291869704995925,9,[3 2 5 9]
10,493,11.308183611509586,0.08148651322408342,0.28958426220610484,10,[0 4 9 3]
11,1375,11.255260438572483,0.08190678058525008,0.28627020532542885,11,[1 3 7 5]
12,7038,11.495368639418356,0.07594248473513289,0.28259009264323887,12,[7 0 3 8]
13,4961,11.696230876760714,0.0711934133631712,0.2883639985620925,13,[4 9 6 1]
14,7941,11.573052681726107,0.07293738044674683,0.29108804973465807,14,[7 9 4 1]
15,7149,11.680519785894068,0.07159971755258994,0.28842916541311714,15,[7 1 4 9]
16,9311,11.74714743022545,0.07058561752655805,0.2816633126035712,16,[9 3 1 1]
17,498,11.91921467023364,0.06943435017919228,0.2944292693123462,17,[0 4 9 8]
18,80,11.970302087183589,0.06846666125472665,0.2912219162406057,18,[0 0 8 0]
19,2189,12.342325695994754,0.06355668973801584,0.30105440191957006,19,[2 1 8 9]
20,8209,12.37850031952181,0.06365293855304116,0.3071205922800645,20,[8 2 0 9]
21,8820,12.344731199767303,0.0640849658642037,0.30965515144133576,21,[8 8 2 0]
22,2597,12.356405450882509,0.06398455758124327,0.30986691538484934,22,[2 5 9 7]
23,8507,12.752782155613733,0.06060028413461623,0.30126813288324805,23,[8 5 0 7]
24,6001,12.783835446888325,0.06009995090568339,0.3015683764470388,24,[6 0 0 1]
25,672,12.636677444384032,0.06195813062947536,0.29641339348154794,25,[0 6 7 2]
26,895,12.636542792406672,0.06200805073703122,0.2972574596918142,26,[0 8 9 5]
27,1941,12.655382271830513,0.06118578024659655,0.2951347451809211,27,[1 9 4 1]
28,5925,12.690934386687918,0.06068132803218759,0.2963139974780778,28,[5 9 2 5]
29,1840,12.687298429350944,0.06084963666942713,0.2972480994295544,29,[1 8 4 0]
30,995,12.720133467340268,0.061259237848134945,0.29569086356483154,30,[0 9 9 5]
31,750,12.7183617264008,0.06126364946292597,0.29579122013028925,31,[0 7 5 0]
32,6711,12.715307371370919,0.0611610857479991,0.2977467331934952,32,[6 7 1 1]
33,675,12.77908108129768,0.05935698330646119,0.29687148466995783,33,[0 6 7 5]
34,2952,12.767481736006317,0.059324336778008725,0.30150308571668943,34,[2 9 5 2]
35,982,12.835730152834039,0.05869071729419375,0.3043938645396976,35,[0 9 8 2]
36,995,12.737619932583545,0.06025359092769577,0.3084163160589966,36,[0 9 9 5]
37,692,12.737993290178434,0.06025226593504158,0.30841189895652255,36,[0 6 9 2]
38,670,13.031508769573822,0.056689500819238674,0.3199627483029108,37,[0 6 7 0]
39,2037,13.12660324090296,0.05567219269668385,0.3196991560154648,38,[2 0 3 7]
40,850,13.14873601455833,0.054570479344492925,0.32523820807122644,39,[0 8 5 0]
41,8102,13.411819384426526,0.05166879006837917,0.32576913628341614,40,[8 1 0 2]
42,830,13.881230409195947,0.047507786574390136,0.33101262336831966,41,[0 8 3 0]
43,5901,13.86103645469321,0.047452138700264185,0.33440100760726865,42,[5 9 0 1]
44,822,13.88517847755653,0.04731569076634514,0.3332613222451964,43,[0 8 2 2]
45,980,13.915361566123439,0.04741599022164337,0.3301087190527491,44,[0 9 8 0]
46,952,14.215478555795046,0.04386111287632957,0.3455839758435295,45,[0 9 5 2]
47,930,14.258918893903479,0.0435034256020208,0.34501558439879204,46,[0 9 3 0]
48,6830,14.274576956279063,0.043634163118595096,0.34465027276312143,47,[6 8 3 0]
49,839,14.276841522311528,0.04359076059005929,0.34486565615569653,48,[0 8 3 9]
50,598,14.423807074196393,0.042720986107206045,0.35195330009582954,49,[0 5 9 8]
51,739,14.419325029118376,0.042759047132021805,0.35283564738376844,50,[0 7 3 9]
52,1067,14.253392969670758,0.042680519568784804,0.3681241683565556,51,[1 0 6 7]
53,2741,14.288767760434467,0.04226348714559208,0.3694733758480173,52,[2 7 4 1]
54,2810,14.342189575238674,0.0418589792371904,0.365456380881138,53,[2 8 1 0]
55,1129,14.967281463220313,0.03554297315894701,0.3842423938629634,54,[1 1 2 9]
56,750,15.007404943692165,0.035686912599849165,0.36255978983776976,55,[0 7 5 0]
57,750,15.009699397260437,0.03566713120998429,0.3629496184153552,55,[0 7 5 0]
58,129,15.008560473981621,0.03567635645738847,0.36278967164467346,55,[0 1 2 9]
59,3109,15.713672863993242,0.03082478879747214,0.37993167488821816,56,[3 1 0 9]
60,2026,15.685203043361488,0.03084529949318494,0.3770604446352681,57,[2 0 2 6]
61,169,15.68070634513547,0.030866561763941716,0.3769484653182732,58,[0 1 6 9]
62,9217,15.689685977643801,0.03085567447491485,0.37672600769656744,59,[9 2 1 7]
63,648,15.75093859468565,0.030573320633639014,0.37267059088619525,60,[0 6 4 8]
64,923,16.744564274000247,0.025590788921781495,0.4335447633421904,61,[0 9 2 3]
65,2025,16.774615002025556,0.025353495630924955,0.44096670913448677,62,[2 0 2 5]
66,582,16.77754520365393,0.025341722583325465,0.44170250987161885,63,[0 5 8 2]
67,570,16.69612073052109,0.025503764959621547,0.4368946063772713,64,[0 5 7 0]
68,810,16.694865999092194,0.02552382510170219,0.43483002426971656,65,[0 8 1 0]
69,274,17.35875182917098,0.022732068891527887,0.43659825084986104,66,[0 2 7 4]
70,8205,17.39712873298754,0.022388404346111203,0.43679304810852254,67,[8 2 0 5]
71,1720,17.400639457616627,0.022370680200203878,0.43685438570816715,68,[1 7 2 0]
72,1720,18.217565074104257,0.01855198685279447,0.46619738087473983,69,[1 7 2 0]
73,284,18.277190334712405,0.018329595241941662,0.47132823322799844,69,[0 2 8 4]
74,8,18.396358912717414,0.01790118955550042,0.4604159493843391,70,[0 0 0 8]
75,8004,18.386821446295876,0.017764456211082802,0.4595009695044556,71,[8 0 0 4]
76,8300,18.330555437925337,0.017939615159448294,0.4639623674014087,72,[8 3 0 0]
77,7714,18.30105388637716,0.018084863609392415,0.4633231607442604,73,[7 7 1 4]
78,1681,18.769596972099006,0.015970902178496546,0.46349858032537117,74,[1 6 8 1]
79,83,18.77304010651985,0.01591957611056387,0.46442489076621,75,[0 0 8 3]
80,950,18.81456173476964,0.01576296682278553,0.4672197196357334,76,[0 9 5 0]
81,670,19.019159284712643,0.014954730575964277,0.470089202000755,77,[0 6 7 0]
82,8708,19.021375775607478,0.014950597711149385,0.4703263350026198,77,[8 7 0 8]
83,1952,19.337890165277173,0.01389836482824876,0.47897027147638555,78,[1 9 5 2]
84,761,19.352391276741624,0.013834205317036776,0.4797398915833438,79,[0 7 6 1]
85,850,19.340908664792416,0.01384593958179039,0.48370399643065154,80,[0 8 5 0]
86,9518,19.33632154407904,0.013860897510469386,0.4833054896652758,80,[9 5 1 8]
87,1491,19.672155240897027,0.012988169036088949,0.4842169238707079,81,[1 4 9 1]
88,897,20.162879483816326,0.011749078541836298,0.4970662701697166,82,[0 8 9 7]
89,1480,20.8056799454141,0.009965109517036125,0.5050479952249196,83,[1 4 8 0]
90,6911,21.011534730977214,0.009477597346276526,0.5056782976770993,84,[6 9 1 1]
91,3079,21.087689609576145,0.009263412631298706,0.5228982775803999,85,[3 0 7 9]
92,8809,21.13699955165942,0.00913280376222474,0.5314546763661574,86,[8 8 0 9]
93,8805,21.14817357172356,0.009102592585340972,0.5325103659921123,87,[8 8 0 5]
94,1191,21.194874495496467,0.008967534754031021,0.5253007852160898,88,[1 1 9 1]
95,1896,21.491563890955938,0.008136963678134634,0.5677135899983033,89,[1 8 9 6]
96,1796,23.64087234511304,0.005491178223810494,0.5704590519525894,90,[1 7 9 6]
97,1822,24.533224704383652,0.004564231062645376,0.6063591278526447,91,[1 8 2 2]
98,1796,24.55950735179482,0.004540351299970098,0.6066400734056401,92,[1 7 9 6]
99,1964,24.58698344100415,0.004519276865466964,0.6074216545851048,92,[1 9 6 4]
100,238,24.994153433749247,0.00415624159905974,0.6114491619540379,93,[0 2 3 8]
101,467,24.987396805067373,0.004169038553977771,0.6131619609643589,94,[0 4 6 7]
102,8803,25.215434578158217,0.003971461733281103,0.622626044065349,95,[8 8 0 3]
103,1976,25.307897845689553,0.003904324800598715,0.6306786113549119,96,[1 9 7 6]
104,1897,25.337811337961668,0.003913766441053212,0.634749323099445,97,[1 8 9 7]
105,1557,25.3445527259978,0.0039098909551148605,0.6347562171127146,97,[1 5 5 7]
106,741,25.79465564349938,0.003515677005375437,0.6524432417651875,97,[0 7 4 1]
107,1139,25.79246560180011,0.0035164599213703697,0.6524841343874592,97,[1 1 3 9]
108,279,26.076614270791453,0.0033242870330741424,0.6565248426132446,97,[0 2 7 9]
109,1993,26.138571622890755,0.0032781654766245085,0.6616351320487495,97,[1 9 9 3]
110,830,26.1371258010176,0.003280680567363561,0.6652464944810127,97,[0 8 3 0]
111,920,26.18211386900593,0.0032547335915091933,0.666573313541799,97,[0 9 2 0]
112,1194,26.622321812107536,0.002950874587193084,0.6791377098959483,97,[1 1 9 4]
113,1531,26.63780272020821,0.00289474914170853,0.6852285498092314,97,[1 5 3 1]
114,2089,26.604860033402318,0.0029046441810874056,0.6819227938847554,97,[2 0 8 9]
115,1430,26.63151735222984,0.0028807528183028806,0.6875448113522593,97,[1 4 3 0]
116,575,26.678528498089513,0.0028361535969708028,0.6899013358431131,97,[0 5 7 5]
117,8609,27.46552715591546,0.002322795831343001,0.7001543122750375,97,[8 6 0 9]
118,3109,27.73592684282169,0.002183525616335942,0.7124398674573029,98,[3 1 0 9]
119,2035,27.734548391983456,0.002183907536790457,0.7124026661148437,98,[2 0 3 5]
120,791,27.766320647670945,0.0021620758828572663,0.7159140585074483,98,[0 7 9 1]
121,3911,27.81366617076621,0.0021412004339322267,0.7138820204452726,98,[3 9 1 1]
122,9617,28.018308741813822,0.0020519674113802467,0.7270313487125418,98,[9 6 1 7]
123,2940,28.035210090532846,0.002039028413465189,0.7252461874563969,98,[2 9 4 0]
124,8609,28.02547253328649,0.0020427514817185966,0.7246598141649978,98,[8 6 0 9]
125,1497,28.01450715428384,0.0020473374106063603,0.7238272392830923,98,[1 4 9 7]
126,1297,28.124281589097887,0.001986976935862117,0.7312385313279617,98,[1 2 9 7]
127,93,28.163963430775087,0.0019666051225954106,0.7321846468506672,98,[0 0 9 3]
128,1690,29.010153544176024,0.001584129233263525,0.756956664485738,98,[1 6 9 0]
129,984,32.54594131557624,0.0008584046540664758,0.7664954861720022,99,[0 9 8 4]
130,26,32.91931783667748,0.0007756087333387995,0.76693545584387,99,[0 0 2 6]
131,1596,33.20578763699653,0.0006970355909834325,0.7912888824648642,99,[1 5 9 6]
132,3485,33.691882096433034,0.0006992484602170634,0.7810444928657535,99,[3 4 8 5]
133,2491,33.70996070830402,0.0006867876364896119,0.7868297023214191,99,[2 4 9 1]
134,2485,33.823995237250145,0.0006722570269192829,0.7892031551050492,99,[2 4 8 5]
135,96,33.82585961769745,0.0006719832668426307,0.7896236858633845,99,[0 0 9 6]
136,894,34.4174504863642,0.0005689214329373726,0.8056751794776702,99,[0 8 9 4]
137,9610,34.41446514701476,0.000568559560531412,0.8062167882185456,99,[9 6 1 0]
138,1396,34.38993667877992,0.0005705018829083031,0.8064802599439576,99,[1 3 9 6]
139,694,34.33674608280678,0.0005787427703491233,0.803977624061328,99,[0 6 9 4]
140,582,34.32151980401825,0.000575310981107009,0.8044595137812168,99,[0 5 8 2]
141,582,34.332458180204284,0.0005742768278969379,0.804605120931791,99,[0 5 8 2]
142,582,34.336535833261415,0.0005740567411373831,0.8046567620748932,99,[0 5 8 2]
143,582,34.37408996593371,0.0005713438019876093,0.8052766390015884,99,[0 5 8 2]
144,8522,34.376098061249884,0.0005711120432545158,0.805279685313053,99,[8 5 2 2]
145,6927,34.42105839245054,0.0005683955788060757,0.8035366859019215,99,[6 9 2 7]
146,3971,34.398920289817696,0.000569285959318222,0.8022654213658373,99,[3 9 7 1]
147,4810,34.49850907231434,0.0005520738492839428,0.8057930523650085,99,[4 8 1 0]
148,9713,34.50052301250301,0.0005517809196089729,0.805390727651482,99,[9 7 1 3]
149,393,34.564927441033966,0.0005406215911881418,0.8048825917180974,99,[0 3 9 3]
150,5800,34.86892970758766,0.00048589404951201234,0.8114885986606952,99,[5 8 0 0]
