step,action,psnr_value,mse_value,ssim_value,rank,action
1,2970,7.823478582774223,0.16801445771793339,0.11851436143278263,1,[2 9 7 0]
2,1960,6.867639043342992,0.20723677963401768,0.09096277103085944,2,[1 9 6 0]
3,1586,7.35674678516183,0.18478627217750784,0.13378623176042143,3,[1 5 8 6]
4,795,7.7125385062778475,0.17166400872591112,0.17022181742789286,4,[0 7 9 5]
5,8025,7.789064947159437,0.16887681808058005,0.17847450312981825,5,[8 0 2 5]
6,940,10.005239215857923,0.10371298042889066,0.26531046310662176,6,[0 9 4 0]
7,270,10.066955252322039,0.10253360658101428,0.26762243428519483,7,[0 2 7 0]
8,3079,10.281883304702538,0.09792916077798736,0.28625343087884747,8,[3 0 7 9]
9,78,10.166598819182514,0.0990170712853569,0.28281097950246914,9,[0 0 7 8]
10,4198,10.277148450430701,0.09622743900793466,0.28559956221082505,10,[4 1 9 8]
11,573,10.58193889088523,0.09432510946416187,0.3043109196055373,11,[0 5 7 3]
12,2931,10.767177151591499,0.08854763891322591,0.2896599211158212,12,[2 9 3 1]
13,1193,10.789267970925195,0.08826354996555892,0.29006129539201025,13,[1 1 9 3]
14,5008,11.263896981987074,0.08103340030087565,0.31059580549787624,14,[5 0 0 8]
15,392,11.25528009835863,0.08105070187873026,0.30870252369553414,15,[0 3 9 2]
16,395,11.179111588040227,0.08195240167636257,0.3031251590210199,16,[0 3 9 5]
17,1196,11.320338320818234,0.07860526632939809,0.3051185149719691,17,[1 1 9 6]
18,6096,11.47196257687918,0.07532528936471863,0.3057774808688642,18,[6 0 9 6]
19,6069,11.481662098048401,0.0752288435772698,0.30608062120140256,19,[6 0 6 9]
20,8126,11.480604765079526,0.07521686482608857,0.30624410333713137,20,[8 1 2 6]
21,9112,11.50674419734001,0.07529174658662896,0.3183125322174053,21,[9 1 1 2]
22,8605,12.095426757176806,0.06792413603728165,0.3172529714954774,22,[8 6 0 5]
23,1598,12.096732073657028,0.06789983725033608,0.3172977544617222,23,[1 5 9 8]
24,493,12.986712293016694,0.05675554516592683,0.352953668861825,24,[0 4 9 3]
25,8108,12.937044061830637,0.0570420904045568,0.35899507989085355,25,[8 1 0 8]
26,1992,13.150706034651245,0.054474258043946976,0.36439038489923875,26,[1 9 9 2]
27,897,13.128360135951693,0.054652251531751975,0.3637635199988193,27,[0 8 9 7]
28,392,13.333096744913247,0.052774519785543816,0.36875594999166916,28,[0 3 9 2]
29,9114,13.333742130495718,0.05275882398817885,0.3686054558145878,28,[9 1 1 4]
30,8122,13.357451460879632,0.05199550610848746,0.3631906588671999,29,[8 1 2 2]
31,2970,13.204108319904115,0.05324286107483203,0.3681147767136509,30,[2 9 7 0]
32,794,13.203861337372738,0.0532543051925768,0.36806219970448467,30,[0 7 9 4]
33,977,13.290536653486596,0.05278634032174523,0.37743593945356846,31,[0 9 7 7]
34,1058,13.255112677251272,0.0533815582315674,0.376958048166807,32,[1 0 5 8]
35,1977,13.24580790142967,0.05337801643183411,0.37940351056537985,33,[1 9 7 7]
36,3090,13.253222029180007,0.05334793514567537,0.37906670523358366,34,[3 0 9 0]
37,1981,13.699943473251379,0.04877840107765451,0.3907226547362981,35,[1 9 8 1]
38,891,13.784119704602391,0.04821269765347324,0.3960572802279043,36,[0 8 9 1]
39,3977,13.848526856597996,0.04784326089333263,0.39596320440006133,37,[3 9 7 7]
40,951,13.981322138582168,0.04628704258954713,0.39369919543374887,38,[0 9 5 1]
41,950,14.035814948794567,0.0460535632893243,0.3944195507892184,39,[0 9 5 0]
42,972,13.974594151326315,0.0466153825544734,0.3912653284229807,40,[0 9 7 2]
43,6109,13.973785172414084,0.04662480403447262,0.39126106912802205,41,[6 1 0 9]
44,69,13.935481942653016,0.04678409415635542,0.3908538582481029,42,[0 0 6 9]
45,2069,13.988803760415326,0.04641058270263784,0.38881065668710446,43,[2 0 6 9]
46,1678,13.952054553176946,0.04679614661378764,0.38641712652244425,44,[1 6 7 8]
47,1059,13.87189161067193,0.048002139532782165,0.37705433971609464,45,[1 0 5 9]
48,1880,13.995505733114605,0.047139143838099355,0.3770848498146177,46,[1 8 8 0]
49,2059,13.897288651204764,0.0478769031030356,0.37386919318816175,47,[2 0 5 9]
50,1390,14.139351393254525,0.04605792522509773,0.37790407631527373,48,[1 3 9 0]
51,920,14.159745385437283,0.04576257954729954,0.3775657959694762,49,[0 9 2 0]
52,479,14.149413651756086,0.04583847957422222,0.3773756572718424,50,[0 4 7 9]
53,1059,14.281185029785046,0.0449447448455976,0.3816398929409949,51,[1 0 5 9]
54,2149,14.288150381141865,0.044926203547165644,0.38150943257942477,51,[2 1 4 9]
55,2084,14.553877863257313,0.04304662541842163,0.39797486925644454,52,[2 0 8 4]
56,1069,14.691300333253226,0.0414074578061286,0.3985007077766011,53,[1 0 6 9]
57,8322,14.616684105053075,0.04181933725703857,0.39696669621869285,54,[8 3 2 2]
58,1678,14.763867123935356,0.04001902808828163,0.3922700917129528,55,[1 6 7 8]
59,579,14.764074961457185,0.04002498801149159,0.3922270987968941,55,[0 5 7 9]
60,2049,15.097910132478134,0.03752656197330225,0.40031871481357806,56,[2 0 4 9]
61,395,15.031382257380448,0.037900073946657925,0.4009620590051234,57,[0 3 9 5]
62,269,15.031434370370603,0.03790442239952654,0.4009441367334993,57,[0 2 6 9]
63,8018,15.261802561653301,0.03590238707542994,0.40964865184459454,58,[8 0 1 8]
64,42,15.371720143872007,0.03496611137696618,0.4193622688171657,59,[0 0 4 2]
65,5770,15.921181994527702,0.030539141053391176,0.43994216989222973,60,[5 7 7 0]
66,875,15.951309182946105,0.03008995750680697,0.4453247439039375,61,[0 8 7 5]
67,3594,16.223366971716967,0.02854228027670217,0.4517836084192276,62,[3 5 9 4]
68,1184,16.222016721937322,0.028543637956320252,0.45170904526727906,63,[1 1 8 4]
69,491,16.43984291336674,0.027105543508965296,0.46468628600811435,64,[0 4 9 1]
70,8105,16.626253922558746,0.026299212463447928,0.4674677216551288,65,[8 1 0 5]
71,3960,16.62870874635093,0.026277513277003096,0.46901437642168525,66,[3 9 6 0]
72,5048,16.702131786901848,0.02567591616015534,0.48126374597134713,67,[5 0 4 8]
73,370,17.048220323898796,0.024240945978319814,0.5024309122728837,68,[0 3 7 0]
74,5139,17.05858635905775,0.024151097076701263,0.5034413968853344,69,[5 1 3 9]
75,8004,17.185912770706842,0.023635363442163566,0.5070207680140857,70,[8 0 0 4]
76,559,17.195245044812697,0.02363561614453829,0.5059791466320509,71,[0 5 5 9]
77,2994,17.42689396596466,0.022462458387356037,0.5013099229026882,72,[2 9 9 4]
78,1147,17.38960559741177,0.02194885145080889,0.4901484286793213,73,[1 1 4 7]
79,2248,17.49071254609032,0.021157641572854116,0.49820235652132877,74,[2 2 4 8]
80,4882,17.94893116140415,0.019462981346671314,0.5117607180583621,75,[4 8 8 2]
81,9139,17.95300366216372,0.019435254472500673,0.5119642203307742,76,[9 1 3 9]
82,9139,17.97412367101725,0.019323427407716736,0.5133450400029338,77,[9 1 3 9]
83,9139,17.970523366573726,0.019341595245459756,0.5130873444914766,77,[9 1 3 9]
84,3983,17.970163653967624,0.019344478277735108,0.5130849191112608,77,[3 9 8 3]
85,3951,17.976068823631035,0.019161476507761108,0.5114854075830797,78,[3 9 5 1]
86,992,18.02530631935239,0.018928240196855767,0.5135523262472111,79,[0 9 9 2]
87,8227,18.064108694027745,0.018675578695228977,0.5103666890113387,80,[8 2 2 7]
88,1990,18.103045792792866,0.01839939441822935,0.5123344355403308,81,[1 9 9 0]
89,4650,18.18044919774679,0.01806365217046732,0.5297740127283496,82,[4 6 5 0]
90,4438,18.175870012221676,0.01809043691775514,0.5303028510583525,83,[4 4 3 8]
91,1579,18.161887301132488,0.01814121061849619,0.5288436987957236,84,[1 5 7 9]
92,3851,18.433608107994623,0.0169565171488739,0.5380299809160551,85,[3 8 5 1]
93,4651,18.441867394643218,0.01692446404247676,0.5383595337291277,86,[4 6 5 1]
94,8205,18.446071438508017,0.016827972567607503,0.5402299447721319,87,[8 2 0 5]
95,4349,18.592830481434117,0.016217902926866826,0.5524848118591705,88,[4 3 4 9]
96,1491,18.791466504668936,0.015429526535172045,0.568889375692331,89,[1 4 9 1]
97,3860,18.914826367733227,0.015091912401412628,0.566843614892962,90,[3 8 6 0]
98,4994,18.915508532997915,0.015091804636333563,0.567672464670622,91,[4 9 9 4]
99,8005,18.836223705398453,0.015203022605112438,0.5682885332328399,92,[8 0 0 5]
100,5109,18.84670627291839,0.015156214397877647,0.5699498460555186,93,[5 1 0 9]
101,1680,18.837034585753308,0.015180809810813116,0.5694816380349643,94,[1 6 8 0]
102,49,18.967688428125598,0.014761836312791274,0.5783181842900255,95,[0 0 4 9]
103,187,19.24525990107488,0.01404042662033362,0.580447409669478,96,[0 1 8 7]
104,9820,19.330048861797405,0.013666219306529115,0.5772735681912013,97,[9 8 2 0]
105,8429,19.300275023662664,0.013650150823989406,0.56968815511438,97,[8 4 2 9]
106,2055,19.261453900791977,0.013782724035347655,0.5668886015286823,97,[2 0 5 5]
107,394,19.306407770013216,0.013675875923192962,0.5701327628542967,97,[0 3 9 4]
108,3091,19.359694975324075,0.013469774207108003,0.5693587365043753,97,[3 0 9 1]
109,2199,19.618465923828687,0.012532153867891794,0.5741548190927618,97,[2 1 9 9]
110,2970,20.402581421433695,0.01089664946468929,0.5620050850036147,98,[2 9 7 0]
111,2970,20.408339924945125,0.01088130048710127,0.5621283665466812,98,[2 9 7 0]
112,2970,20.41141766942573,0.010873331849034003,0.5621802651612755,98,[2 9 7 0]
113,2970,20.41106940505095,0.01087437213401472,0.5621663920758682,98,[2 9 7 0]
114,2970,20.41308221440098,0.010868655601163936,0.5622090713124229,98,[2 9 7 0]
115,2970,20.412492757183742,0.010870814081083608,0.5621961640735769,98,[2 9 7 0]
116,2970,20.411967122373976,0.010871764467597132,0.5621878125288899,98,[2 9 7 0]
117,2970,20.41224926481437,0.010871270541434228,0.5622175334790676,98,[2 9 7 0]
118,2970,20.413348460294245,0.010868483813212607,0.5621852841470776,98,[2 9 7 0]
119,2970,20.413538125860136,0.01086760837198426,0.5621813867769497,98,[2 9 7 0]
120,2970,20.414285562097582,0.010865479666274496,0.5621883589364434,98,[2 9 7 0]
121,2970,20.415199753877165,0.010862973991627313,0.5622185255435181,98,[2 9 7 0]
122,2970,20.414321664160326,0.010866167274871259,0.562205603775804,98,[2 9 7 0]
123,2970,20.41439121130866,0.010865627069699712,0.5622109579203166,98,[2 9 7 0]
124,2970,20.414815137028903,0.010864534287159132,0.5622311947641733,98,[2 9 7 0]
125,2970,20.413892510294517,0.01086695603795306,0.5621817212733847,98,[2 9 7 0]
126,2970,20.413583859218267,0.010867641936301879,0.5621935530041364,98,[2 9 7 0]
127,2970,20.414901307469016,0.01086410543747661,0.5622213175937419,98,[2 9 7 0]
128,2970,20.41616600710794,0.010861035886384797,0.5622635161039173,98,[2 9 7 0]
129,2970,20.415119143753735,0.010864216368665892,0.5622123162495211,98,[2 9 7 0]
130,2970,20.415662311628367,0.010861723736709336,0.5622443450986697,98,[2 9 7 0]
131,2970,20.415865078039563,0.010862057031883978,0.5622537973505095,98,[2 9 7 0]
132,2970,20.41583554469749,0.010861665330187406,0.5622323202213964,98,[2 9 7 0]
133,2970,20.41587240362331,0.010861467722409089,0.562213708629924,98,[2 9 7 0]
134,2970,20.4164876636914,0.010860185083313354,0.5622292632518451,98,[2 9 7 0]
135,2970,20.417135204634363,0.010858396080370767,0.562233315022428,98,[2 9 7 0]
136,2970,20.416236534705906,0.010861030793132614,0.5622083395106301,98,[2 9 7 0]
137,2970,20.416190967945038,0.010860330202049226,0.5621988932811618,98,[2 9 7 0]
138,2970,20.4169614671555,0.010858822153895744,0.5622614380414923,98,[2 9 7 0]
139,2970,20.416261196909822,0.010861145056533133,0.562225620422227,98,[2 9 7 0]
140,2970,20.416962199732932,0.010858979299164274,0.5622375484803377,98,[2 9 7 0]
141,2970,20.416941220271532,0.010859109878883827,0.5622343850533285,98,[2 9 7 0]
142,2970,20.41837055730531,0.010855354772977534,0.5622658602290607,98,[2 9 7 0]
143,2970,20.417015732873477,0.010858813360791829,0.5622084732604082,98,[2 9 7 0]
144,2970,20.418143302854773,0.010856881922845786,0.5622398572786295,98,[2 9 7 0]
145,2970,20.418667998772378,0.010855316069112178,0.5622830274439046,98,[2 9 7 0]
146,2970,20.41727312559668,0.010858194961620028,0.562230542943571,98,[2 9 7 0]
147,2970,20.417888229230883,0.010856807239015324,0.5622244447415587,98,[2 9 7 0]
148,2970,20.416986216683842,0.010858786034450531,0.562249817782084,98,[2 9 7 0]
149,2970,20.418414371684438,0.010855888845244408,0.562342108940621,98,[2 9 7 0]
150,2970,20.41718504845665,0.010858483392885318,0.5622812423669029,98,[2 9 7 0]
