step,action,psnr_value,mse_value,ssim_value,rank,action
1,8604,5.384395154919266,0.28975299637504287,0.09130911087009691,1,[8 6 0 4]
2,8604,5.63346768393518,0.27359347357455405,0.060469158204152815,2,[8 6 0 4]
3,2596,5.63399690141418,0.27355997696929407,0.06028863848277335,2,[2 5 9 6]
4,570,5.592198922071377,0.27620365718090406,0.06051268888998181,3,[0 5 7 0]
5,2950,5.59211834686958,0.2762061588879994,0.06370093241765148,4,[2 9 5 0]
6,2791,5.592318127947786,0.2761962590970827,0.10206809275872446,5,[2 7 9 1]
7,170,6.840817079448045,0.207224778126801,0.30293452951964767,6,[0 1 7 0]
8,2985,6.802927454942304,0.20904137359483121,0.292041587488149,7,[2 9 8 5]
9,2058,7.195278113199,0.1909837647783266,0.28268087389485985,8,[2 0 5 8]
10,991,7.609382425009273,0.17370164560067877,0.35900913469265794,9,[0 9 9 1]
11,672,7.835964566097511,0.16504876825262305,0.3617005694098723,10,[0 6 7 2]
12,5980,8.005342164130722,0.15856546765544283,0.3865038878325242,11,[5 9 8 0]
13,4368,8.012072560173802,0.1583634639195829,0.38324654602868036,12,[4 3 6 8]
14,4761,8.213137448049059,0.15195757260005963,0.42139759027176044,13,[4 7 6 1]
15,8207,8.778057496705392,0.13432051789573804,0.47589867504873185,14,[8 2 0 7]
16,192,8.822094785286302,0.13304980090828353,0.48027749315475887,15,[0 1 9 2]
17,940,9.11963795475613,0.12519208005414456,0.46770474274737256,16,[0 9 4 0]
18,482,9.093499673289733,0.12641468620081894,0.46088102341895415,17,[0 4 8 2]
19,7026,9.092763213218849,0.12551555929991665,0.47247785204281223,18,[7 0 2 6]
20,910,9.089219812064833,0.12548756158083293,0.4722610555181018,19,[0 9 1 0]
21,770,9.067290389974469,0.12613846622219071,0.4704916554910804,20,[0 7 7 0]
22,569,9.0656305189784,0.12615175032849904,0.4699954747419227,21,[0 5 6 9]
23,762,9.355893433750763,0.11948696760368165,0.465398434632586,22,[0 7 6 2]
24,1169,9.355651952362273,0.11950346594422413,0.46526512467627956,23,[1 1 6 9]
25,1079,9.699164966005977,0.11076305547028312,0.4825555567173657,24,[1 0 7 9]
26,6911,9.893177823788662,0.10641519732892504,0.4809017780390549,25,[6 9 1 1]
27,1491,9.895477480267012,0.1061841596583345,0.48376821293853756,26,[1 4 9 1]
28,6203,9.924727979920286,0.10547009381372448,0.48889224387676744,27,[6 2 0 3]
29,1470,10.405918172312475,0.09604547585420789,0.5016294412662716,28,[1 4 7 0]
30,1971,10.449632157969791,0.09458693815939682,0.5036044951714851,29,[1 9 7 1]
31,1650,10.440181548762952,0.09515747479287598,0.5045128114439915,30,[1 6 5 0]
32,8018,10.372490399416394,0.09637053109027306,0.5018900624798162,31,[8 0 1 8]
33,968,10.393253646660751,0.09584636969056191,0.5025705823315485,32,[0 9 6 8]
34,940,11.310389150895517,0.07747314856864876,0.523984583701893,33,[0 9 4 0]
35,940,11.310516101861712,0.07747096008430049,0.523982047599572,33,[0 9 4 0]
36,3149,11.310210079658765,0.07747508531451672,0.523987108816917,33,[3 1 4 9]
37,852,11.432014089337736,0.07564217111518076,0.5270644431345125,34,[0 8 5 2]
38,551,11.416471325915206,0.0758656145855781,0.5266287378883485,35,[0 5 5 1]
39,951,11.426429820130068,0.0756716780405668,0.5267300921533891,36,[0 9 5 1]
40,1798,11.432280917238653,0.07555207577662543,0.5268063094383092,37,[1 7 9 8]
41,960,11.607687274704082,0.07276107458505067,0.5285160730237626,38,[0 9 6 0]
42,4605,11.613024976587493,0.07270356894156749,0.5283776220592549,39,[4 6 0 5]
43,468,11.619484251519074,0.07255759473186402,0.528182131959993,40,[0 4 6 8]
44,980,11.695283026641924,0.07119154116104937,0.5295487234550389,41,[0 9 8 0]
45,386,11.710123071209127,0.0708159231566458,0.5313790216813621,42,[0 3 8 6]
46,671,11.73974343162022,0.06979434304316215,0.5319850698498519,43,[0 6 7 1]
47,5008,11.955429021202589,0.06651705566992248,0.5383982123214903,44,[5 0 0 8]
48,2074,11.915887556162206,0.06704003073663571,0.5370384685494672,45,[2 0 7 4]
49,108,12.23353387571291,0.06223923812518947,0.5383811961688232,46,[0 1 0 8]
50,1440,12.23118453868449,0.062285964568261104,0.5384203054042331,47,[1 4 4 0]
51,3905,12.231318329663898,0.062292573955970314,0.538381788127278,48,[3 9 0 5]
52,842,12.255907253406544,0.06185602376792204,0.5387300815882899,49,[0 8 4 2]
53,847,12.355447822229804,0.06043310532873249,0.5409464264987544,50,[0 8 4 7]
54,1139,12.396306077438465,0.05999387934789937,0.5420656894003195,51,[1 1 3 9]
55,1019,12.533512740362418,0.05813592609084936,0.5466113558018202,52,[1 0 1 9]
56,329,12.526373277316372,0.05812729441263741,0.5487868328806951,53,[0 3 2 9]
57,442,12.550368441197804,0.05788881484194576,0.5502541371076525,54,[0 4 4 2]
58,2039,12.693501690225116,0.05579683949910588,0.5537932259909243,55,[2 0 3 9]
59,429,12.71134516691086,0.055501535243288345,0.5519446458912098,56,[0 4 2 9]
60,1060,12.7124150743422,0.05555027897208191,0.5521056573093089,57,[1 0 6 0]
61,1039,14.308056092348034,0.04001542730341285,0.5643048124052317,58,[1 0 3 9]
62,1019,14.408949329213176,0.03922851959768139,0.5672727755503695,59,[1 0 1 9]
63,1019,14.409284007600451,0.0392354229886098,0.5672385712024202,59,[1 0 1 9]
64,1019,14.409514619098791,0.039243748306514024,0.5672030751201265,59,[1 0 1 9]
65,1319,14.409417640353254,0.039245410973471874,0.5671992056109376,59,[1 3 1 9]
66,2128,14.427987690084,0.03915601084437256,0.5674622548774116,60,[2 1 2 8]
67,3129,14.433932361818439,0.03905041318490888,0.5688676386436293,61,[3 1 2 9]
68,930,14.678462943923536,0.036745722308333624,0.5765588881913781,62,[0 9 3 0]
69,820,14.686051538030235,0.036690384192199874,0.5764903403119483,63,[0 8 2 0]
70,1119,14.753059785928675,0.03615266351107394,0.57758521699336,64,[1 1 1 9]
71,1019,14.806964925789089,0.03575298811210928,0.5788517452690989,65,[1 0 1 9]
72,1019,14.806231537820631,0.035753883060899765,0.5788548748163632,65,[1 0 1 9]
73,2810,14.80575150095764,0.035754397160031634,0.57885397900813,65,[2 8 1 0]
74,3810,14.847815561433107,0.035234314232403106,0.5795265152664402,66,[3 8 1 0]
75,1117,14.876265505660491,0.034856234207725406,0.5807252942998657,67,[1 1 1 7]
76,1217,14.914519725049608,0.03461778463942949,0.5807088209040124,68,[1 2 1 7]
77,1016,14.969816437834877,0.034120051938649566,0.5814952678615579,69,[1 0 1 6]
78,1019,14.969725747885844,0.034120707922832026,0.5814965265267945,70,[1 0 1 9]
79,2139,14.970987957680661,0.03411576063447512,0.5815088886779123,70,[2 1 3 9]
80,1620,14.964867662604629,0.034171520567459195,0.5813710000562342,71,[1 6 2 0]
81,1018,14.968232216749545,0.03413335874541332,0.5814871535707334,72,[1 0 1 8]
82,710,14.968438729888053,0.03412277037298466,0.5815381896453039,73,[0 7 1 0]
83,720,14.9665754581782,0.03413542644442714,0.5816135367126489,74,[0 7 2 0]
84,810,14.977421488229021,0.0340462951511455,0.5815438106246728,75,[0 8 1 0]
85,719,14.991783014570574,0.03392782700557348,0.5816398950824765,75,[0 7 1 9]
86,1920,14.974470414913085,0.03396877226606662,0.5814247570480378,76,[1 9 2 0]
87,1016,14.975484691727601,0.03393312050351824,0.581695163370521,77,[1 0 1 6]
88,930,14.977986844020359,0.03391608205206126,0.5817237412490105,77,[0 9 3 0]
89,3109,14.97884279867314,0.03390971719674269,0.5817193266537994,77,[3 1 0 9]
90,1920,15.167474893253189,0.03244780460172251,0.5862079847344717,78,[1 9 2 0]
91,19,15.166972990988889,0.03245093985753499,0.5862060450878698,78,[0 0 1 9]
92,4137,15.438588338779155,0.030577069026030586,0.5863081167645865,79,[4 1 3 7]
93,3842,15.49382170566071,0.03022401970948806,0.5859931673625216,80,[3 8 4 2]
94,9637,15.70750059178225,0.0286647800496786,0.589502604671885,81,[9 6 3 7]
95,2760,15.954987686657994,0.027224715835961887,0.5937755801986454,82,[2 7 6 0]
96,842,15.96068446407985,0.02714641283600784,0.594518096740652,82,[0 8 4 2]
97,2760,15.960770322414202,0.027145719213854703,0.5945177858641351,82,[2 7 6 0]
98,1960,15.961053803038025,0.02714195010863648,0.5945645801146275,82,[1 9 6 0]
99,3442,15.978984429068506,0.02703286690113771,0.5947568189387045,82,[3 4 4 2]
100,3442,15.982245750463093,0.02700947204523743,0.5948333675328923,82,[3 4 4 2]
101,3442,15.984379083876533,0.02699431001451444,0.5948839207216887,82,[3 4 4 2]
102,2760,15.987095512376383,0.026974847869553856,0.5949482158029414,82,[2 7 6 0]
103,2760,15.986492821545344,0.02697757523790585,0.5949579522413556,82,[2 7 6 0]
104,3450,15.98646771598033,0.026977127281520553,0.594967920312871,82,[3 4 5 0]
105,896,15.98659757806699,0.02697720955388263,0.5949450276837374,82,[0 8 9 6]
106,3036,15.985145369706226,0.026984794434137597,0.5949331827881396,83,[3 0 3 6]
107,3540,15.967836325323944,0.027085203292242,0.5948775727789332,83,[3 5 4 0]
108,3540,16.176696880612923,0.02552660665914516,0.597005724141805,83,[3 5 4 0]
109,3540,16.215976492156155,0.02525506815605013,0.5973988291206445,83,[3 5 4 0]
110,6122,16.242443139136302,0.02507611625802099,0.5976617469278975,83,[6 1 2 2]
111,4119,16.26559913414169,0.025029852714654622,0.5979935231661344,83,[4 1 1 9]
112,4032,16.28329501024511,0.024930370503849986,0.5986761226629623,83,[4 0 3 2]
113,3155,16.416916560439116,0.024069315596061073,0.6033959773903314,83,[3 1 5 5]
114,640,16.554514598080733,0.023333416036616653,0.6076464969009983,83,[0 6 4 0]
115,4933,16.597790231587265,0.023120141218100798,0.6082867274918682,83,[4 9 3 3]
116,2078,16.598579520253644,0.023118399319641866,0.6082394446060367,83,[2 0 7 8]
117,2059,17.5814514044619,0.01853048579109384,0.6208881983232739,84,[2 0 5 9]
118,3268,17.651838621824172,0.01822406885927876,0.6302271336542112,85,[3 2 6 8]
119,3042,17.627746229349324,0.01830600591146208,0.6298040515135734,86,[3 0 4 2]
120,3042,17.605950203698498,0.018391525372315413,0.6306810308998627,86,[3 0 4 2]
121,3067,17.60474896655939,0.018396207920050214,0.630737924268214,86,[3 0 6 7]
122,3159,18.269961584783392,0.016031806403290716,0.6339799850367656,86,[3 1 5 9]
123,2831,18.2655648738523,0.016044941173867074,0.6340386363572216,86,[2 8 3 1]
124,2940,18.264892601572754,0.016041841295247536,0.6342774774883271,86,[2 9 4 0]
125,2079,18.323796612046273,0.01582712284476372,0.6327803692968463,86,[2 0 7 9]
126,2771,18.596028360969953,0.014929164653266299,0.639844065057928,86,[2 7 7 1]
127,2190,18.604795103695658,0.014899019489521947,0.6403947117882638,86,[2 1 9 0]
128,6001,18.757309849630786,0.01446346982242133,0.6403754443138375,87,[6 0 0 1]
129,2953,18.777624458924713,0.01437778332917631,0.6393657067625914,87,[2 9 5 3]
130,2987,18.747157844396483,0.014455825861661538,0.6373075398871927,87,[2 9 8 7]
131,2942,19.116405145001888,0.013586660264146531,0.6415178286521716,88,[2 9 4 2]
132,863,19.115688660786308,0.013589478708908587,0.6415432675943149,88,[0 8 6 3]
133,2751,19.57797129253411,0.012340279308253344,0.6526617348170655,88,[2 7 5 1]
134,4907,19.57256046364825,0.012362705749710727,0.6525307619970204,88,[4 9 0 7]
135,6109,19.625004580995533,0.012158570717894718,0.669187623050105,88,[6 1 0 9]
136,8108,19.71816349573963,0.01188080341933329,0.6689252261488778,88,[8 1 0 8]
137,4908,19.791561721879063,0.011621815884788588,0.6694361593230326,88,[4 9 0 8]
138,650,19.81752078455067,0.01156443138571447,0.6732211950700149,88,[0 6 5 0]
139,2491,19.86409720051078,0.01145470186721198,0.6742088539573254,88,[2 4 9 1]
140,2491,19.866153997115205,0.011451197283864189,0.674172576319578,88,[2 4 9 1]
141,1491,19.871637256993587,0.011442872696765107,0.6740670906775538,88,[1 4 9 1]
142,9114,19.872113211181887,0.011442547833152048,0.6741855917067731,88,[9 1 1 4]
143,1672,19.8443845018373,0.011456772728772933,0.6739973299468801,88,[1 6 7 2]
144,3127,19.8524765688966,0.011460613266169872,0.6741211013345698,88,[3 1 2 7]
145,1822,19.848620642712167,0.011468430169390018,0.6748794638797073,88,[1 8 2 2]
146,1822,19.87752909774825,0.011340126711260438,0.672201843416677,88,[1 8 2 2]
147,3127,19.893598688595045,0.011265774169296633,0.6694583801334808,88,[3 1 2 7]
148,1921,19.890083511667793,0.011275191723523221,0.66977297923649,88,[1 9 2 1]
149,1921,19.889828316672713,0.011276402089221734,0.6696606344759876,88,[1 9 2 1]
150,1921,19.889930462182544,0.01127607884051116,0.6696965657443559,88,[1 9 2 1]
