step,action,psnr_value,mse_value,ssim_value,rank,action
1,0,2.8333787929065717,0.5211971445079518,0.30262434116160886,1,[0 0 0 0]
2,0,2.8333786879507166,0.5211971674307015,0.30260356257995163,2,[0 0 0 0]
3,0,2.8333787321744213,0.5211971600218562,0.3026102755627943,2,[0 0 0 0]
4,0,2.833378749121272,0.5211971569795866,0.30261303287812086,2,[0 0 0 0]
5,0,2.8333787929065717,0.5211971825813229,0.30262434116160886,2,[0 0 0 0]
6,0,2.8333787707667795,0.5211971527419896,0.30261687432868,2,[0 0 0 0]
7,0,2.8333787929065717,0.5211971458148326,0.3026231558247026,2,[0 0 0 0]
8,0,2.8333787929065717,0.5211971447328219,0.3026241371991268,2,[0 0 0 0]
9,0,2.8333787929065717,0.5211971445427674,0.30262434116160886,2,[0 0 0 0]
10,0,2.8333787929065717,0.5211971774413395,0.30262434116160886,2,[0 0 0 0]
11,0,2.8333787929065717,0.5211971744189904,0.30262434116160886,2,[0 0 0 0]
12,0,2.8333787929065717,0.5211971464997107,0.30262434116160886,2,[0 0 0 0]
13,0,2.8333787925910805,0.521197146566072,0.30262247449103385,2,[0 0 0 0]
14,0,2.8333787929065717,0.5211971447796577,0.30262409471822516,2,[0 0 0 0]
15,0,2.833378765294176,0.5211971538701561,0.3026158515409477,2,[0 0 0 0]
16,0,2.8333787929065717,0.5211971445568482,0.3026242968112908,2,[0 0 0 0]
17,0,2.8333787929065717,0.5211971455179016,0.3026234251327246,2,[0 0 0 0]
18,0,2.8333787929065717,0.5211971450441106,0.3026238548569155,2,[0 0 0 0]
19,0,2.8333787656587757,0.5211971537965391,0.30261591827947776,2,[0 0 0 0]
20,0,2.8333787751531636,0.5211971517935845,0.3026177341943161,2,[0 0 0 0]
21,0,2.8333786347803853,0.5211971758078833,0.3025959754889863,2,[0 0 0 0]
22,0,2.833378629202476,0.5211971766656028,0.3025951988612995,2,[0 0 0 0]
23,0,2.833378583109856,0.5211971836440639,0.30258888151644164,2,[0 0 0 0]
24,0,2.8333783959843166,0.5211972107544678,0.30256436232375494,2,[0 0 0 0]
25,0,2.833378177504971,0.5211972411487481,0.302536916279127,2,[0 0 0 0]
26,0,2.8333781914419065,0.5211972392348272,0.302538643194273,2,[0 0 0 0]
27,0,2.8333782516800214,0.5211972309287034,0.3025461398978071,2,[0 0 0 0]
28,0,2.8333784263645194,0.521197206443509,0.30256825880947036,2,[0 0 0 0]
29,0,2.833378383920679,0.5211972124591768,0.30256282176340676,2,[0 0 0 0]
30,0,2.833378502300399,0.5211971955355628,0.30257812213792035,2,[0 0 0 0]
31,0,2.8333785657071644,0.5211971862366133,0.30258653519371714,2,[0 0 0 0]
32,0,2.833378610518176,0.5211971795163238,0.30259261791615066,2,[0 0 0 0]
33,0,2.833378681663057,0.5211971684444227,0.30260264428199074,2,[0 0 0 0]
34,0,2.8333787129335692,0.5211971633165726,0.30260728996066444,2,[0 0 0 0]
35,0,2.833378741445686,0.5211971583780456,0.3026117653501212,2,[0 0 0 0]
36,0,2.833378780527918,0.5211971505520212,0.30261885991883747,2,[0 0 0 0]
37,0,2.8333787836159194,0.5211971497778143,0.30261956193002704,2,[0 0 0 0]
38,0,2.8333787673628796,0.5211971534497323,0.3026162326866133,2,[0 0 0 0]
39,0,2.8333787474570564,0.5211971572861512,0.302612755007433,2,[0 0 0 0]
40,0,2.8333787438143974,0.521197157950529,0.30261215283024295,2,[0 0 0 0]
41,0,2.83337877299048,0.5211971522670126,0.3026173049579052,2,[0 0 0 0]
42,0,2.8333787647159028,0.5211971539865139,0.3026157460551555,2,[0 0 0 0]
43,0,2.833378731315008,0.5211971601721058,0.3026101393985385,2,[0 0 0 0]
44,0,2.8333787560594343,0.521197155677905,0.30261421277939365,2,[0 0 0 0]
45,0,2.8333787861577426,0.5211971490863383,0.30262018894987047,2,[0 0 0 0]
46,0,2.8333787733009075,0.521197152199799,0.30261736589741695,2,[0 0 0 0]
47,0,2.833378772901238,0.5211971522862928,0.30261728747820726,2,[0 0 0 0]
48,0,2.8333787800885233,0.5211971506578752,0.30261876393825793,2,[0 0 0 0]
49,0,2.833378779596305,0.5211971507753832,0.30261865739087124,2,[0 0 0 0]
50,0,2.8333787758132596,0.5211971516465145,0.30261786753870656,2,[0 0 0 0]
51,0,2.833378792138217,0.5211971468908125,0.3026221799776544,2,[0 0 0 0]
52,0,2.8333787791934646,0.5211971508707547,0.3026185709162622,2,[0 0 0 0]
53,0,2.833378736232924,0.5211971593076644,0.30261092281724883,2,[0 0 0 0]
54,0,2.833378750321459,0.5211971567572344,0.3026132344229607,2,[0 0 0 0]
55,0,2.8333787216981365,0.5211971618324691,0.30260863475630023,2,[0 0 0 0]
56,0,2.8333787530258587,0.5211971562520463,0.3026136923426067,2,[0 0 0 0]
57,0,2.8333787312999807,0.5211971601747285,0.30261013702031164,2,[0 0 0 0]
58,0,2.8333787500055427,0.5211971568158694,0.30261318127558756,2,[0 0 0 0]
59,0,2.833378749331004,0.5211971569408091,0.30261306802708937,2,[0 0 0 0]
60,0,2.833378743372438,0.5211971580305526,0.30261208029846115,2,[0 0 0 0]
61,0,2.833378745238779,0.521197157691777,0.30261238735323853,2,[0 0 0 0]
62,0,2.8333787241791883,0.5211971614075706,0.3026090197911463,2,[0 0 0 0]
63,0,2.8333787289755925,0.5211971605794552,0.30260977023962965,2,[0 0 0 0]
64,0,2.8333787457796373,0.5211971575931833,0.30261247671724323,2,[0 0 0 0]
65,0,2.8333787487874327,0.521197157041245,0.30261297699146067,2,[0 0 0 0]
66,0,2.833378757089914,0.5211971554809156,0.3026143913466556,2,[0 0 0 0]
67,0,2.833378758974751,0.5211971551178161,0.30261472049302357,2,[0 0 0 0]
68,0,2.8333787599206084,0.5211971549341705,0.30261488697014877,2,[0 0 0 0]
69,0,2.833378725645872,0.5211971611553061,0.3026092483921273,2,[0 0 0 0]
70,0,2.8333787324702047,0.5211971599700675,0.30261032249643594,2,[0 0 0 0]
71,0,2.833378728276592,0.5211971607007165,0.3026096603486197,2,[0 0 0 0]
72,0,2.833378756221825,0.521197155646931,0.30261424085702887,2,[0 0 0 0]
73,0,2.833378757394459,0.5211971554224955,0.30261444430305484,2,[0 0 0 0]
74,0,2.8333787408770172,0.5211971584801862,0.3026116727755451,2,[0 0 0 0]
75,0,2.8333787467149447,0.5211971574222246,0.30261263167295344,2,[0 0 0 0]
76,0,2.8333787550223404,0.5211971558751302,0.30261403400124615,2,[0 0 0 0]
77,0,2.8333787408599873,0.5211971584832413,0.3026116700057913,2,[0 0 0 0]
78,0,2.8333787354416073,0.5211971594475412,0.30261079604950936,2,[0 0 0 0]
79,0,2.8333787481924317,0.5211971571509346,0.3026128775681236,2,[0 0 0 0]
80,0,2.8333787694061807,0.5211971530274726,0.3026166155051996,2,[0 0 0 0]
81,0,2.833378781642169,0.5211971502791959,0.302619107299597,2,[0 0 0 0]
82,0,2.833378780742511,0.5211971504999808,0.3026189071055293,2,[0 0 0 0]
83,0,2.833378787597762,0.5211971486613503,0.3026205743351268,2,[0 0 0 0]
84,0,2.833378789541721,0.5211971480247978,0.3026211515857718,2,[0 0 0 0]
85,0,2.8333787796789034,0.5211971507557412,0.3026186752008734,2,[0 0 0 0]
86,0,2.833378775405895,0.5211971517374274,0.30261778511045434,2,[0 0 0 0]
87,0,2.8333787804820414,0.5211971505631169,0.30261884985821463,2,[0 0 0 0]
88,0,2.8333787901524183,0.5211971478014438,0.3026213541364211,2,[0 0 0 0]
89,0,2.8333787918931517,0.5211971470319636,0.3026220519664297,2,[0 0 0 0]
90,0,2.8333787871294147,0.5211971488029588,0.302620445921573,2,[0 0 0 0]
91,0,2.8333787860642956,0.5211971491129384,0.30262016482905113,2,[0 0 0 0]
92,0,2.8333787818027605,0.5211971502393161,0.3026191434598796,2,[0 0 0 0]
93,0,2.833378780131996,0.5211971506474429,0.30261877339725796,2,[0 0 0 0]
94,0,2.8333787754471302,0.5211971517282477,0.3026177934337272,2,[0 0 0 0]
95,0,2.8333787729218685,0.5211971522818375,0.3026172915175724,2,[0 0 0 0]
96,0,2.8333787740075294,0.5211971520459023,0.30261750542788846,2,[0 0 0 0]
97,0,2.833378772257527,0.5211971524247981,0.30261716190315757,2,[0 0 0 0]
98,0,2.8333787763829728,0.5211971515185201,0.3026179835890338,2,[0 0 0 0]
99,0,2.8333787617557875,0.5211971545749219,0.3026152126375741,2,[0 0 0 0]
100,0,2.8333787708476366,0.5211971527249064,0.30261688981592527,2,[0 0 0 0]
101,0,2.8333787779107005,0.5211971511700108,0.3026182995785749,2,[0 0 0 0]
102,0,2.8333787849835113,0.5211971494134741,0.3026198923055616,2,[0 0 0 0]
103,0,2.83337878489998,0.521197149436201,0.30261987169659876,2,[0 0 0 0]
104,0,2.833378782866545,0.5211971499712076,0.3026193865682204,2,[0 0 0 0]
105,0,2.83337878080181,0.5211971504855594,0.3026189201815392,2,[0 0 0 0]
106,0,2.8333787658862826,0.5211971537505009,0.3026159600158187,2,[0 0 0 0]
107,0,2.8333787712181433,0.5211971526464566,0.30261696094054413,2,[0 0 0 0]
108,0,2.8333787812424553,0.5211971503778263,0.302619017867508,2,[0 0 0 0]
109,0,2.833378784271444,0.5211971496051607,0.3026197184871921,2,[0 0 0 0]
