step,action,psnr_value,mse_value,ssim_value,rank,action
1,24573,3.0124787678700873,90113.21562720981,0.0023472328676099365,1,[ 5 15 15 13]
2,7933,3.0880167504005414,84406.94084741629,-0.0006948267143623479,2,[ 1 14 15 13]
3,57723,3.0419140871782826,32009.52823578277,-0.010101311822201076,3,[14  1  7 11]
4,36562,3.082487078602762,413687.9783561677,-0.01321252734487557,4,[ 8 14 13  2]
5,1762,3.1278593897259874,3832579.482201282,0.004168264352465592,5,[ 0  6 14  2]
6,53843,3.044192803555241,607761.0380185992,-0.01173337846179754,6,[13  2  5  3]
7,32448,3.065057650931986,218889.90728463605,-0.008027200326536392,7,[ 7 14 12  0]
8,20369,2.9902108632018827,209241.8022398958,-0.005931032972488228,8,[ 4 15  9  1]
9,10998,3.115962868257302,78769.52122012153,-0.006298025514120261,9,[ 2 10 15  6]
10,11765,3.197035837006949,62443.597351310775,0.00816692443731619,10,[ 2 13 15  5]
11,49278,3.123407276722495,40153.72479517385,-0.011199535358239875,11,[12  0  7 14]
12,28878,3.049265444702958,37461.06042712182,0.009202765088917236,12,[ 7  0 12 14]
13,494,3.3812503364148636,418321.4224235527,0.03001624183301645,13,[ 0  1 14 14]
14,8176,3.0735027941585944,27273.192085134797,-0.0037446792643864336,14,[ 1 15 15  0]
15,4348,3.010673131776493,633475.1419527587,-0.009895535559183521,15,[ 1  0 15 12]
16,37036,3.0957058685128125,54082.384310972004,-0.009427308031666255,16,[ 9  0 10 12]
17,41390,3.0347999367435525,5934.004423185252,-0.005091767987068349,17,[10  1 10 14]
18,25214,2.9805846246319834,14668.635259311704,-0.016449980586568182,18,[ 6  2  7 14]
19,52593,3.0394151750980454,11735.262612892315,0.012153002244605242,19,[12 13  7  1]
20,40880,3.1657609307303285,3875.9499279716983,0.01241879455845487,20,[ 9 15 11  0]
21,28893,3.240144972935459,7477.025272588246,0.006721149976600865,21,[ 7  0 13 13]
22,20148,3.197115508026487,68466.80754194409,-0.020876389600718567,22,[ 4 14 11  4]
23,13249,3.1426262861418017,41822.65934887063,0.0005861763617017743,23,[ 3  3 12  1]
24,20368,3.257516592461353,2178.785683196038,0.006970452555793977,24,[ 4 15  9  0]
25,58383,3.1978187859420015,17296.441116337897,0.015430049909616567,25,[14  4  0 15]
26,59403,3.2757196794672416,2286.76551587577,0.01504263454875106,26,[14  8  0 11]
27,32991,3.3314740811638517,1947.7717030497734,0.007537389670262627,27,[ 8  0 13 15]
28,3801,3.2351339399782986,2890.1967658677604,0.016793856180169833,28,[ 0 14 13  9]
29,35086,2.9030711712767103,3436.5871928883716,-0.04461129089469599,29,[ 8  9  0 14]
30,20623,3.2498641948939824,538.1117128899787,-0.020343419029825408,30,[ 5  0  8 15]
31,28113,3.2834271126733166,1630.2821123145986,0.004219207213004228,31,[ 6 13 13  1]
32,20144,3.201050657869346,1052.6330790873617,0.013519448597357374,32,[ 4 14 11  0]
33,40384,3.1318021290449467,1260.082993940683,-0.0029720211147253334,33,[ 9 13 12  0]
34,1235,3.142787631563373,958.1196963780094,-0.0284188605970665,34,[ 0  4 13  3]
35,2415,3.1362155246091623,2607.3751551352907,0.033367422011978204,35,[ 0  9  6 15]
36,2687,3.3496952564502074,121.30955161206657,0.03512934711754835,36,[ 0 10  7 15]
37,49278,3.2761034380865666,1144.2967732688412,0.02014999247808182,37,[12  0  7 14]
38,11632,3.4374863168332865,344.31108819600195,0.03769561935929047,37,[ 2 13  7  0]
39,3233,3.1585695685689053,102.05105851806002,0.004767050528399439,38,[ 0 12 10  1]
40,25007,3.365151338469747,166.9240496114362,0.012798726935938212,39,[ 6  1 10 15]
41,24208,3.4840002506587546,34.59291487635346,0.02621544175625431,40,[ 5 14  9  0]
42,16092,3.479271727075072,229.70370186120272,0.027857401941880126,41,[ 3 14 13 12]
43,47902,3.164420742265995,224.97853630148165,-0.008388395164702266,42,[11 11  1 14]
44,12183,3.126540012120164,105.33061110062408,0.008280749201945853,43,[ 2 15  9  7]
45,8405,3.179699359523514,62.59067653300008,-0.02474479021696402,44,[ 2  0 13  5]
46,53326,3.343742429067067,52.51980785757769,0.004665802051966913,45,[13  0  4 14]
47,24480,3.0554394181906024,92.13225545438763,0.032528017890252794,46,[ 5 15 10  0]
48,182,3.2868768664318355,78.3115086859907,-0.005373173880337498,47,[ 0  0 11  6]
49,20160,3.4264265517167667,33.024796131125186,0.008427130740044305,48,[ 4 14 12  0]
50,24767,3.164336264542691,38.385052950136014,0.004752297885627469,49,[ 6  0 11 15]
51,45075,3.4227337187325246,40.52362913097022,-0.0006104129877077084,50,[11  0  1  3]
52,33119,3.1023918156619312,27.580512599437498,-0.017275298608353497,51,[ 8  1  5 15]
53,3820,3.3979401032992835,9.11153904569801,0.006945257147795186,52,[ 0 14 14 12]
54,1193,3.3170029927516724,17.40025278586836,-0.009831178270912611,53,[ 0  4 10  9]
55,36499,3.369949718994545,8.154789324995363,-0.01430040614774443,54,[ 8 14  9  3]
56,8444,3.3785561202934966,32.32861335318012,0.015466763000982394,55,[ 2  0 15 12]
57,29294,3.3005955159397837,12.657170199629036,-0.0037579404267414924,56,[ 7  2  6 14]
58,20322,3.230033676730653,12.4020947049612,0.024811450819617258,57,[ 4 15  6  2]
59,213,3.190220601752418,16.483711365406634,0.015153408609283655,58,[ 0  0 13  5]
60,64543,3.311974666295032,12.263725123255426,0.026924958019183595,59,[15 12  1 15]
61,8698,3.2849233065427397,15.371648040381842,0.029366002021881565,60,[ 2  1 15 10]
62,20653,3.358096658802101,11.540407474589301,0.03728450241102965,61,[ 5  0 10 13]
63,2449,3.3340786043388815,12.867984995653387,0.07391365591432748,62,[0 9 9 1]
64,3578,3.0231840296680303,12.2528142145311,0.03919283610699257,63,[ 0 13 15 10]
65,4205,3.2516373674155807,11.417117875786062,0.06596226395238672,64,[ 1  0  6 13]
66,4087,3.2451774307522783,13.248288449976826,0.05012418118565238,65,[ 0 15 15  7]
67,56341,3.2596572850388372,12.368579325004248,0.021059970414195522,66,[13 12  1  5]
68,751,3.440215299686927,12.62859269308683,0.03408599670465899,67,[ 0  2 14 15]
69,16527,3.004395060762215,13.731270160948043,0.01847664111881598,68,[ 4  0  8 15]
70,4316,3.0790922286230193,12.451523884257767,0.04327576262195655,69,[ 1  0 13 12]
71,33471,3.0753148117674933,13.200117140488146,0.03281411654751438,70,[ 8  2 11 15]
72,20666,3.309267350686886,13.102197804244497,0.022839926280863787,71,[ 5  0 11 10]
73,665,3.2992166186819514,13.406777572341525,0.028321531174398274,72,[0 2 9 9]
74,11937,3.354783567257553,12.038318594262819,0.044185442709111795,73,[ 2 14 10  1]
75,6654,3.4227185090977446,13.486595199166914,0.04071779729389647,74,[ 1  9 15 14]
76,10696,3.480860073431712,10.143677501895581,0.08948774984021018,75,[ 2  9 12  8]
77,20638,3.506223933662946,10.320054238356533,0.07995292256205856,76,[ 5  0  9 14]
78,3804,3.4505711783344184,10.327944195538294,0.11417919422405282,77,[ 0 14 13 12]
79,1008,3.4341934509706618,10.184064337197924,0.09286210826879734,78,[ 0  3 15  0]
80,16638,3.3540105022886815,9.515615105359757,0.07996260704608234,79,[ 4  0 15 14]
81,44176,3.4314820761516946,9.763088907217025,0.09057046740120493,80,[10 12  9  0]
82,2557,3.457619748556113,9.224971937580449,0.030465169630458477,81,[ 0  9 15 13]
83,5113,3.4366251559580316,9.307460926731437,0.027804788915364535,82,[ 1  3 15  9]
84,8053,3.383927768151364,9.32527466924148,0.04574752603075061,83,[ 1 15  7  5]
85,8128,3.4279714915949815,8.54833012340896,0.05117624180569961,84,[ 1 15 12  0]
86,64788,3.346237969953351,8.088510068431788,0.06120182245043186,85,[15 13  1  4]
87,58126,3.3637585296757253,7.836573587446765,0.02698620305556227,86,[14  3  0 14]
88,2279,3.3369621023014693,8.014785195740842,0.025643572474487453,87,[ 0  8 14  7]
89,223,3.443379588539125,8.225917996518547,0.02645301379676695,88,[ 0  0 13 15]
90,3061,3.3613681194280476,8.319934512102918,0.01924946169320888,89,[ 0 11 15  5]
91,7825,3.3285775901448544,8.627435849659378,0.02591852300483458,90,[ 1 14  9  1]
92,24687,3.3816922092181283,8.197074668336427,0.03465645087304145,91,[ 6  0  6 15]
93,7616,3.2356182466889143,8.336981036541147,0.04399893786576832,92,[ 1 13 12  0]
94,11872,3.4767179965244037,5.850918043626734,0.045154796087826174,93,[ 2 14  6  0]
95,15610,3.3403076444657476,6.275869214795421,0.026916704851772194,94,[ 3 12 15 10]
96,31760,3.345823525839914,5.666541848972884,0.04981538373718605,95,[ 7 12  1  0]
97,4838,3.3357688648308215,5.676321515815289,0.05356856997787171,96,[ 1  2 14  6]
98,576,3.498280366407603,4.874375780990704,0.05322340256580606,97,[0 2 4 0]
