step,action,psnr_value,mse_value,ssim_value,rank,action
1,57496,5.780200597488198,0.2644398037526616,0.03823269910636423,1,[ 3 16 24 21]
2,172049,5.2872674252326775,0.2967919216903829,0.04732600405316924,2,[11  0  6 24]
3,76182,5.448139187216334,0.2863229311455274,0.04496744544703679,3,[ 4 21 22  7]
4,106247,5.680096682302564,0.2789755907602259,0.08176537035933645,4,[ 6 19 24 22]
5,125552,6.3018386888558755,0.24397468410886358,0.11646190996055868,5,[ 8  0 22  2]
6,107493,5.846623966909895,0.3225525547043944,0.1369635692802845,6,[ 6 21 24 18]
7,383766,5.8393447558314175,0.3235186627371353,0.13188074631701752,7,[24 14  0 16]
8,14321,5.85961671607979,0.29559216527507526,0.12296584264290006,8,[ 0 22 22 21]
9,56853,6.054587681821289,0.2842045682523749,0.13283290170278253,9,[ 3 15 24  3]
10,71684,5.865492500042415,0.28315346771206823,0.12570751478896464,10,[ 4 14 17  9]
11,108100,5.9174324547592665,0.2795731939562669,0.11973241702591633,11,[ 6 22 24  0]
12,215500,6.059443395508416,0.2649724241621734,0.11970202911455974,12,[13 19 20  0]
13,63698,6.302682906791909,0.24262067823291292,0.13287871206372623,13,[ 4  1 22 23]
14,54954,6.535463944163525,0.228507078795525,0.1293673955940051,14,[ 3 12 23  4]
15,4913,6.741036655038997,0.21857478769417502,0.12853249384243165,15,[ 0  7 21 13]
16,11060,7.092616169595946,0.20445239567825338,0.14254487209307015,16,[ 0 17 17 10]
17,77706,7.536617651746557,0.18356137322444266,0.15711252582980462,17,[ 4 24  8  6]
18,18742,7.546461090759092,0.18327120464384206,0.14937629009569597,18,[ 1  4 24 17]
19,109960,7.509214131746229,0.18396848600978263,0.13819373295735557,19,[ 7  0 23 10]
20,128108,7.513509876155345,0.18370457862427575,0.1391829614703922,20,[ 8  4 24  8]
21,83075,7.577388267284137,0.18202432437787067,0.1398550152123968,21,[ 5  7 23  0]
22,29310,7.436059292005419,0.19323344318628077,0.130386701881076,22,[ 1 21 22 10]
23,252998,7.430331250204768,0.19320948565931176,0.12788658865065178,23,[16  4 19 23]
24,14334,7.774237232979737,0.1748931582951569,0.15915666755848584,24,[ 0 22 23  9]
25,250823,7.8702378147952405,0.17170782070984714,0.16875491249842028,25,[16  1  7 23]
26,34371,8.119819372457096,0.16293291795016265,0.19618196082539974,26,[ 2  4 24 21]
