step,action,psnr_value,mse_value,ssim_value,rank,action
1,20530,6.522853481278673,0.2227714835151917,0.30814918049021334,1,[ 1  7 21  5]
2,170175,6.522185713619415,0.22289084120940603,0.35666415471854485,2,[10 22  7  0]
3,234226,6.624712952239909,0.21767665849389406,0.14217964455154963,3,[14 24 19  1]
4,109100,7.62033271625001,0.17350012212388888,0.12157372906236612,4,[ 6 24 14  0]
5,9827,7.673533908346516,0.17141331403797552,0.1150589478550251,5,[ 0 15 18  2]
6,92750,7.672905771157752,0.17143983622926043,0.11501152453612296,6,[ 5 23 10  0]
7,304459,7.651506470950308,0.1722952326318635,0.10415023531186687,7,[19 12  3  9]
8,66049,8.258119223136607,0.14955368720228668,0.14120444777582125,8,[ 4  5 16 24]
9,157399,8.350299348003462,0.1464912233913947,0.14019801856814637,9,[10  1 20 24]
10,9050,9.06481442122877,0.12424768868234157,0.13078628977592496,10,[ 0 14 12  0]
11,69867,9.193335053706988,0.12092341590336293,0.140583591558509,11,[ 4 11 19 17]
12,1794,9.378395984895306,0.11586766156580727,0.1662299405592244,12,[ 0  2 21 19]
13,9576,9.434118311830993,0.11438735884586017,0.15703978003453956,13,[ 0 15  8  1]
14,171201,9.437541650989383,0.11432073180262639,0.15926694801823404,14,[10 23 23  1]
15,11184,9.444571531186064,0.11413656994276274,0.15436141284020066,15,[ 0 17 22  9]
16,122925,9.552387152474397,0.1115022107798382,0.1754907691865214,16,[ 7 21 17  0]
17,343974,9.550931469272749,0.11153563200284052,0.17385318533318977,17,[22  0  8 24]
18,10407,9.548780058453735,0.11160433168911113,0.17165318329369708,18,[ 0 16 16  7]
19,32298,9.578285362331458,0.11086875268411468,0.17148717163650293,19,[ 2  1 16 23]
20,234997,9.600358250987988,0.11030537442304594,0.17138170313326473,20,[15  0 24 22]
21,45604,9.842906624607846,0.10429002561151333,0.17000103739427377,21,[ 2 22 24  4]
22,186675,9.911106720874422,0.10284464070359167,0.15848670710656287,22,[11 23 17  0]
23,296913,9.929691958098273,0.10231861937681729,0.1666549494633301,23,[19  0  1 13]
24,265999,9.945916542051895,0.10202422770230667,0.1701980570668194,24,[17  0 14 24]
25,173546,9.981161038358833,0.10144491040821071,0.17376378551354443,25,[11  2 16 21]
26,77877,9.98451122430549,0.10135512156684111,0.17749138052529148,26,[ 4 24 15  2]
27,109574,9.987510840994924,0.10129967988616816,0.18184372557336823,27,[ 7  0  7 24]
28,124775,9.969055327268991,0.10178301372605426,0.1742678630626762,28,[ 7 24 16  0]
29,62075,9.968246280143845,0.10175302245837377,0.15971049186584893,29,[ 3 24  8  0]
30,1233,10.189146616676458,0.0972287818622907,0.19013982663406165,30,[ 0  1 24  8]
31,6714,10.166059448904793,0.097908326492976,0.21501607432337394,31,[ 0 10 18 14]
32,46453,10.17125832457809,0.0978525863752646,0.21930292159443518,32,[ 2 24  8  3]
33,39957,10.178276229168024,0.09801645537484242,0.2195703430184194,33,[ 2 13 23  7]
34,307626,10.185917765207273,0.09783856201162691,0.22050081185190062,34,[19 17  5  1]
35,24319,10.18847665872718,0.09777184598259885,0.2203579065062032,35,[ 1 13 22 19]
36,271904,10.25570804110835,0.09638617588468901,0.2377628611600142,36,[17 10  1  4]
37,317048,10.242291198181928,0.09667069297144326,0.2403234991813762,37,[20  7  6 23]
38,51849,10.24245112884439,0.09666193512969105,0.24115891166292916,38,[ 3  7 23 24]
39,58475,10.66191270459594,0.08776663426593923,0.24177415506123462,39,[ 3 18 14  0]
40,156226,10.662547475600515,0.08775260113681198,0.2418631373909961,40,[ 9 24 24  1]
41,6009,10.66291091827013,0.08773902610324176,0.24152603024060437,41,[ 0  9 15  9]
42,110471,10.627748054995898,0.08879272557395552,0.2548095476822166,42,[ 7  1 18 21]
43,4650,10.68991498999049,0.08758614288999288,0.26633916074260044,43,[ 0  7 11  0]
44,38707,10.720453007650457,0.08691362873693036,0.279384097823001,44,[ 2 11 23  7]
45,265741,10.712492741593492,0.08706184599634234,0.272764905411823,45,[17  0  4 16]
46,19331,10.709108986122708,0.08708917399641478,0.27342771345654077,46,[ 1  5 23  6]
47,36841,10.830360884796743,0.08506769774080843,0.29484208942787377,47,[ 2  8 23 16]
48,112799,10.90990274203187,0.08351379687853787,0.29496522071284886,48,[ 7  5 11 24]
49,37414,10.913715559882586,0.08338547203862282,0.29914136510365874,49,[ 2  9 21 14]
50,281595,10.929909625147138,0.08303111792923609,0.30086785602392907,50,[18  0 13 20]
51,1808,10.933246881696073,0.08295624003088552,0.2993618645261023,51,[ 0  2 22  8]
52,17423,11.044138763169688,0.08071764660894526,0.28984063897837725,52,[ 1  2 21 23]
53,47431,11.098606367681608,0.07972091411219244,0.30277146407494554,53,[ 3  0 22  6]
54,110296,11.119479918721233,0.0794275490324716,0.30446839526478564,54,[ 7  1 11 21]
55,124976,11.158711267658244,0.07878810450955637,0.3188687531874022,55,[ 7 24 24  1]
56,34277,11.160142081730054,0.07875945770607841,0.31919729658436774,56,[ 2  4 21  2]
57,107328,11.16159561099921,0.07874282155698983,0.3189404194481091,57,[ 6 21 18  3]
58,32674,11.174905848527994,0.07845820194200696,0.32326180112102415,58,[ 2  2  6 24]
59,4231,11.217148810253438,0.07778934226588372,0.34081194050014896,59,[ 0  6 19  6]
60,12441,11.219523158406437,0.07772332142846372,0.34340084506612323,60,[ 0 19 22 16]
61,141645,11.4201094937122,0.07689407423296307,0.341383529407953,61,[ 9  1 15 20]
62,64930,11.424913202039555,0.07691967316618384,0.34456545792592186,62,[ 4  3 22  5]
63,43647,11.430301384788514,0.0768338067193119,0.31470569808384663,63,[ 2 19 20 22]
64,278177,11.660041737152454,0.07179341394889634,0.31137878131152086,64,[17 20  2  2]
65,157994,11.660256704389715,0.07178710681264974,0.3087835423064607,65,[10  2 19 19]
66,332595,11.66486203890348,0.0717680605148973,0.31253730014403,66,[21  7  3 20]
67,36085,11.70138100798659,0.07133720294572858,0.3067326364363533,67,[ 2  7 18 10]
68,218799,11.709978218861131,0.07122384313852147,0.3110257402800056,68,[14  0  1 24]
69,187724,11.714819558056902,0.07087042290969366,0.30939255893000384,69,[12  0  8 24]
70,235073,11.728773249184188,0.07063735681745602,0.30585180589801064,70,[15  1  2 23]
71,47744,11.734692735578667,0.07033748662243706,0.3051932216942782,71,[ 3  1  9 19]
72,11554,11.788169859740167,0.06967381296103013,0.307356412539779,72,[ 0 18 12  4]
73,124852,11.836383003283544,0.06909716436186582,0.3129242245489039,73,[ 7 24 19  2]
74,62824,11.836393065054832,0.06909812588839068,0.3129033245105134,74,[ 4  0 12 24]
75,316253,11.83877197183184,0.06907319544472093,0.3129595551209467,75,[20  6  0  3]
76,62361,11.8401621320087,0.06905194845834639,0.31562261624206533,76,[ 3 24 19 11]
77,187872,11.927929325291338,0.06773972266277933,0.33266847213025746,77,[12  0 14 22]
78,8705,11.920400169887309,0.06788490909099947,0.3304877669117762,78,[ 0 13 23  5]
79,8065,11.936916804596914,0.06764841796069022,0.33804442279184416,79,[ 0 12 22 15]
80,186631,11.936816256421787,0.06767364411162925,0.3399677429958375,80,[11 23 15  6]
81,10527,11.958448998880002,0.06730243501925616,0.3297536677349555,81,[ 0 16 21  2]
82,3320,11.964382991179887,0.0672405180911469,0.33504686460405636,82,[ 0  5  7 20]
83,77051,11.983548390375947,0.06700872937801441,0.3382835266210506,83,[ 4 23  7  1]
84,67374,11.981404492914702,0.06704014696448003,0.3378144770362199,84,[ 4  7 19 24]
85,386271,12.181955416140688,0.0645099352950012,0.3451768722975396,85,[24 18  0 21]
86,157874,12.31568315608913,0.06287686260516456,0.348463118273288,86,[10  2 14 24]
87,124801,12.379072497232414,0.061876026620738045,0.3371808897615044,87,[ 7 24 17  1]
88,173419,12.385368678940017,0.06179336562770295,0.34017871466369776,88,[11  2 11 19]
89,328789,12.39413374200881,0.06171096959388269,0.3412344484769211,89,[21  1  1 14]
90,110373,12.395890775647933,0.061699010808261665,0.3399707524836113,90,[ 7  1 14 23]
91,138425,12.383610919340832,0.061853196295111774,0.3393700873847256,91,[ 8 21 12  0]
92,203946,12.396782273373748,0.06167286372616145,0.3409221105319342,92,[13  1  7 21]
93,11170,12.398497638256721,0.06167680487523103,0.33859417522824364,93,[ 0 17 21 20]
94,140998,12.516862342196365,0.05947682996058756,0.3310908161954299,94,[ 9  0 14 23]
95,23650,12.520471727546303,0.05941221627152736,0.3304569720876456,95,[ 1 12 21  0]
96,23611,12.536453837931685,0.05934376721273111,0.32961103895803,96,[ 1 12 19 11]
97,50483,12.538985571066325,0.059344406201841775,0.3299170241298397,97,[ 3  5 19  8]
98,184726,12.616928615248309,0.05843818302685795,0.32627824881988693,98,[11 20 14  1]
99,18448,12.621881608251805,0.058346801276276165,0.32575939274868665,99,[ 1  4 12 23]
100,360033,12.76015404404124,0.05651634900408499,0.3351366531958003,100,[23  1  1  8]
101,5574,12.762882257659879,0.056438051934718896,0.3212229985937926,101,[ 0  8 22 24]
102,141047,12.770966482985651,0.056473968468306705,0.3253313042226623,102,[ 9  0 16 22]
103,93482,12.773230072694279,0.05646287596304319,0.3267464398221197,103,[ 5 24 14  7]
104,8526,12.78223094914254,0.056359003397177004,0.3274726132727799,104,[ 0 13 16  1]
105,82349,12.815514627668719,0.05586580309760211,0.32794368134830904,105,[ 5  6 18 24]
106,94774,12.82994498362626,0.055687151959202034,0.3360610362975826,106,[ 6  1 15 24]
107,4859,12.83113185423707,0.05568853851062486,0.33557517657550184,107,[ 0  7 19  9]
108,2272,12.855620675201765,0.055332872390863486,0.33255400072226243,108,[ 0  3 15 22]
109,92977,12.880541210028554,0.05483560104863791,0.33864480123111895,109,[ 5 23 19  2]
110,6836,12.892358391095426,0.05464974478576223,0.34830707702371144,110,[ 0 10 23 11]
111,8619,12.922809767221938,0.054286549413178,0.3479302123682072,111,[ 0 13 19 19]
112,202876,12.928177002167445,0.05420248880742001,0.346745055439963,112,[12 24 15  1]
113,250074,12.929873956368711,0.05421144360841317,0.344620799121051,113,[16  0  2 24]
114,365039,12.930163715990819,0.05420706498251675,0.34475413888924855,114,[23  9  1 14]
115,45357,12.934832668324345,0.054160837133454695,0.34448416357669515,115,[ 2 22 14  7]
116,63398,12.935914271661655,0.054122573118686707,0.34419782555511946,116,[ 4  1 10 23]
117,76675,12.934913950204825,0.05412834801877143,0.3449270099896411,117,[ 4 22 17  0]
