step,action,psnr_value,mse_value,ssim_value,rank,action
1,0,5.426928276334521,0.28692183323339376,0.14208812328409406,1,[0 0 0 0]
2,0,5.4335741321128115,0.28648317813143376,0.14208758128174845,2,[0 0 0 0]
3,0,5.434679724126344,0.2864102175137859,0.14208756577511283,2,[0 0 0 0]
4,0,5.435125244045686,0.2863808023548878,0.14208756059737637,2,[0 0 0 0]
5,0,5.43531283868626,0.28636840885981146,0.14208755840042545,2,[0 0 0 0]
6,0,5.435432570178376,0.28636049337420216,0.1420875569035614,2,[0 0 0 0]
7,0,5.435499791618504,0.28635604582356816,0.1420875559824956,2,[0 0 0 0]
8,0,5.4355372686123795,0.2863535643217651,0.14208755541998974,2,[0 0 0 0]
9,0,5.435558889781911,0.2863521317281558,0.142087555069514,2,[0 0 0 0]
10,0,5.435576744895988,0.2863509479057886,0.14208755475914056,2,[0 0 0 0]
11,0,5.435595182865274,0.2863497244168524,0.14208755441003146,2,[0 0 0 0]
12,0,5.435607075272673,0.2863489344844603,0.14208755416248947,2,[0 0 0 0]
13,0,5.435612632390461,0.2863485650699108,0.14208755403842976,2,[0 0 0 0]
14,0,5.435617452076864,0.2863482444844864,0.14208755392527242,2,[0 0 0 0]
15,0,5.435622074597644,0.28634793680860054,0.14208755381081628,2,[0 0 0 0]
16,0,5.43562681270345,0.2863476211821483,0.1420875536860131,2,[0 0 0 0]
17,0,5.435629719066255,0.28634742741705616,0.14208755360481812,2,[0 0 0 0]
18,0,5.435632145675094,0.28634726552415507,0.14208755353372943,2,[0 0 0 0]
19,0,5.435634725217381,0.2863470932938995,0.142087553454226,2,[0 0 0 0]
20,0,5.435636064118453,0.2863470038345231,0.1420875534110865,2,[0 0 0 0]
21,0,5.435637591266863,0.2863469017355464,0.14208755336006434,2,[0 0 0 0]
22,0,5.435639246651891,0.28634679097757165,0.14208755330224224,2,[0 0 0 0]
23,0,5.435639621347202,0.28634676589376734,0.14208755328874587,2,[0 0 0 0]
24,0,5.435640328449274,0.2863467185416942,0.14208755326282388,2,[0 0 0 0]
25,0,5.435641920469749,0.28634661184823545,0.1420875532020574,2,[0 0 0 0]
26,0,5.435642943754252,0.2863465432017073,0.14208755316097968,2,[0 0 0 0]
27,0,5.43564397696375,0.2863464738251596,0.1420875531176103,2,[0 0 0 0]
28,0,5.435644788481966,0.2863464192822357,0.14208755308200355,2,[0 0 0 0]
29,0,5.435645507712361,0.2863463708977137,0.14208755304913728,2,[0 0 0 0]
30,0,5.43564563842911,0.2863463620992238,0.14208755304301815,2,[0 0 0 0]
31,0,5.435646110438568,0.2863463303143326,0.14208755302051598,2,[0 0 0 0]
32,0,5.435646657565663,0.286346293442011,0.1420875529935704,2,[0 0 0 0]
33,0,5.435647362191198,0.2863462459031086,0.14208755295732012,2,[0 0 0 0]
34,0,5.435647493798699,0.28634623701665457,0.14208755295033437,2,[0 0 0 0]
35,0,5.435648135377306,0.28634619365884073,0.14208755291518002,2,[0 0 0 0]
36,0,5.43564848212953,0.2863461701968797,0.14208755289533803,2,[0 0 0 0]
37,0,5.435648757736081,0.28634615153273807,0.14208755287909025,2,[0 0 0 0]
38,0,5.435649135097371,0.2863461259519727,0.14208755285608143,2,[0 0 0 0]
39,0,5.435649342718829,0.28634611186363906,0.14208755284300761,2,[0 0 0 0]
40,0,5.435649701125843,0.28634608751741536,0.14208755281966157,2,[0 0 0 0]
41,0,5.4356499184390135,0.28634607273760093,0.1420875528049745,2,[0 0 0 0]
42,0,5.435650011688404,0.28634606639103094,0.14208755279853721,2,[0 0 0 0]
43,0,5.435649969190649,0.28634606928379164,0.14208755280148141,2,[0 0 0 0]
44,0,5.435649872195625,0.2863460758839047,0.142087552808136,2,[0 0 0 0]
45,0,5.435649968506575,0.28634606933034995,0.14208755280152865,2,[0 0 0 0]
46,0,5.4356501031596665,0.2863460601626401,0.14208755279213908,2,[0 0 0 0]
47,0,5.435650342454976,0.28634604385465007,0.14208755277498283,2,[0 0 0 0]
48,0,5.435650552798519,0.2863460295013245,0.14208755275935603,2,[0 0 0 0]
49,0,5.435650602196922,0.28634602612777393,0.14208755275560547,2,[0 0 0 0]
50,0,5.435650709223614,0.28634601881482585,0.14208755274736704,2,[0 0 0 0]
51,0,5.435650503866967,0.28634603284192045,0.14208755276304003,2,[0 0 0 0]
52,0,5.4356506675399485,0.28634602166364037,0.14208755275059434,2,[0 0 0 0]
53,0,5.435650738008301,0.2863460168471113,0.1420875527451242,2,[0 0 0 0]
54,0,5.435650875153738,0.28634600746626837,0.14208755273427107,2,[0 0 0 0]
55,0,5.435651157748717,0.28634598810436784,0.14208755271095394,2,[0 0 0 0]
56,0,5.435651094057356,0.2863459924722321,0.14208755271633,2,[0 0 0 0]
57,0,5.435651195972431,0.2863459854818463,0.1420875527076913,2,[0 0 0 0]
58,0,5.435651206104929,0.28634598478647966,0.14208755270682177,2,[0 0 0 0]
59,0,5.4356511195946595,0.2863459907212418,0.14208755271418336,2,[0 0 0 0]
60,0,5.43565115539367,0.28634598826593244,0.14208755271115406,2,[0 0 0 0]
61,0,5.435651155445628,0.28634598826235297,0.14208755271114962,2,[0 0 0 0]
62,0,5.435651365415872,0.2863459738444816,0.14208755269287915,2,[0 0 0 0]
63,0,5.435651490315951,0.28634596525301304,0.1420875526815645,2,[0 0 0 0]
64,0,5.435651528291476,0.2863459626383575,0.14208755267805173,2,[0 0 0 0]
65,0,5.435651518690912,0.2863459632994738,0.1420875526789431,2,[0 0 0 0]
66,0,5.4356514901248225,0.28634596526617223,0.14208755268158207,2,[0 0 0 0]
67,0,5.435651468811848,0.28634596673307694,0.14208755268353823,2,[0 0 0 0]
68,0,5.43565156771443,0.28634595992276246,0.14208755267436715,2,[0 0 0 0]
69,0,5.43565154420889,0.28634596154207187,0.14208755267656875,2,[0 0 0 0]
70,0,5.435651639363863,0.28634595498384824,0.14208755266756773,2,[0 0 0 0]
71,0,5.4356517333342635,0.28634594849907646,0.14208755265843614,2,[0 0 0 0]
72,0,5.435651779572287,0.28634594530504864,0.14208755265384798,2,[0 0 0 0]
73,0,5.435651796756589,0.28634594411744213,0.142087552652126,2,[0 0 0 0]
74,0,5.435651848432521,0.286345940544173,0.14208755264689088,2,[0 0 0 0]
75,0,5.435651821676581,0.28634594239465244,0.1420875526496122,2,[0 0 0 0]
76,0,5.4356518933282505,0.28634593743730746,0.1420875526422706,2,[0 0 0 0]
77,0,5.4356519674633885,0.2863459323018059,0.14208755263448583,2,[0 0 0 0]
78,0,5.435651956780956,0.2863459330422187,0.14208755263561998,2,[0 0 0 0]
79,0,5.435652018185683,0.2863459287841531,0.142087552629041,2,[0 0 0 0]
80,0,5.435652033146605,0.286345927745946,0.14208755262741563,2,[0 0 0 0]
81,0,5.435652072895398,0.28634592498609046,0.14208755262305264,2,[0 0 0 0]
82,0,5.435652103934874,0.28634592282937044,0.14208755261959896,2,[0 0 0 0]
