step,action,psnr_value,mse_value,ssim_value,rank,action
1,2707,4.064356957170236,2.2905685825645925,0.013796313556732909,1,[2 7 0 7]
2,7161,5.415446851832946,0.2937992197857238,0.031327495374814704,2,[7 1 6 1]
3,1447,3.6587398889879017,7.228723970511928,-0.003135099608377806,3,[1 4 4 7]
4,6542,4.181466658114858,0.8707782585732639,0.024787812348174627,4,[6 5 4 2]
5,2710,4.120200016694043,1.0091826198069611,0.025186936643458502,5,[2 7 1 0]
6,9026,3.3154740837528984,2.2072614511847495,-0.0010844585717189243,6,[9 0 2 6]
7,4019,3.3530685474559183,2.952935365999583,0.0003892515288251158,7,[4 0 1 9]
8,858,3.339652000056036,3.9283336547017096,0.00991389975192927,8,[0 8 5 8]
9,6557,3.4873416197364597,2.4602727385621983,0.01114166212535569,9,[6 5 5 7]
10,9834,3.4705123337919397,2.7680063121311833,0.013176811296068763,10,[9 8 3 4]
11,7713,3.3645512105670186,2.259755103315838,0.016807110210247098,11,[7 7 1 3]
12,6523,3.472947035229038,1.7336179029807681,0.01560744067924249,12,[6 5 2 3]
13,5525,3.5128645755143086,1.8017121744604083,0.033412355944977386,13,[5 5 2 5]
14,383,3.50198884380704,1.4408705310570076,0.003932926991562101,14,[0 3 8 3]
15,8466,3.579343792694536,1.9478083247318865,0.0498252384761471,15,[8 4 6 6]
16,1396,3.5732042812823916,0.9931689797756553,-0.017213508876244652,16,[1 3 9 6]
17,9981,3.6440112736311967,0.9965035995311337,-0.00915902061053028,17,[9 9 8 1]
18,545,3.676948455494991,1.875332816731534,-2.322304726174035e-05,18,[0 5 4 5]
19,3044,3.7225996447292853,2.036607711004326,0.005283874626336646,19,[3 0 4 4]
20,2779,3.9139044073064575,2.3950087896117473,0.011533401501780952,20,[2 7 7 9]
21,5106,3.9173491508897658,2.386208034093761,0.019860035782664515,21,[5 1 0 6]
22,8011,3.71222097701159,1.7838756446394837,0.01047120659585067,22,[8 0 1 1]
23,1445,3.525982453621771,2.589974293943669,0.0016671187466271345,23,[1 4 4 5]
24,1438,3.8065843843753546,2.4216016945164665,0.038308950938699765,24,[1 4 3 8]
25,754,3.7407337830740994,2.4528690513072435,0.02092321024230089,25,[0 7 5 4]
26,2050,3.7721895322290706,2.103453407325869,0.0393596164754952,26,[2 0 5 0]
27,684,3.7030411209411085,2.158691059212797,0.030154800459464955,27,[0 6 8 4]
28,5066,3.606825523756634,1.9897557295365278,0.019926422134198513,28,[5 0 6 6]
29,8689,3.5930830717844042,1.9634778486124196,0.024933958356301678,29,[8 6 8 9]
30,4721,3.6197791668965573,1.9197304501771304,0.022070436335464155,30,[4 7 2 1]
31,7328,3.7099448576077143,2.0911921152563173,0.025627070685655173,31,[7 3 2 8]
32,1712,3.7498265904202817,2.0140390562462924,0.014928180120485978,32,[1 7 1 2]
33,2492,3.881743683209689,2.281567405950227,0.002870456679999972,33,[2 4 9 2]
34,4363,3.8658152892530118,2.3457414504809733,0.008318895687842841,34,[4 3 6 3]
35,4932,3.913777925739522,2.3454252100270967,0.010753892915934631,35,[4 9 3 2]
36,3372,3.937898248145053,2.1364576024946653,0.014925465633558666,36,[3 3 7 2]
37,4834,3.8919636600648957,1.998333807302406,0.022769974352102464,37,[4 8 3 4]
38,9394,3.9046895341753185,2.0107335735405103,0.024194163692118388,38,[9 3 9 4]
39,3329,3.887687821377358,2.0693518778897944,0.029993580301011076,39,[3 3 2 9]
40,7170,3.810464782147906,2.0338747319737376,0.042648931102008014,40,[7 1 7 0]
41,8839,3.812137079901727,2.060140641388425,0.04378456240699309,41,[8 8 3 9]
42,2489,3.817966400431283,1.9640187263280677,0.04427994743466044,42,[2 4 8 9]
43,9820,3.831482399653152,1.9118573186023422,0.048715963367814974,43,[9 8 2 0]
44,6972,3.6735010178798695,1.3490845540337342,0.02595357929480212,44,[6 9 7 2]
45,6664,3.6912597791763897,1.3434151359164934,0.021604329534818938,45,[6 6 6 4]
46,4884,3.7087472981292398,1.3403962494309962,0.030995339642667364,46,[4 8 8 4]
47,3603,3.781910027702648,1.3207503016191275,0.0491215255164244,47,[3 6 0 3]
48,2148,3.9903430749853857,1.1616067634771752,0.07541720679110585,48,[2 1 4 8]
49,133,4.0275766626460685,1.0970703725046222,0.07431113419328415,49,[0 1 3 3]
50,489,4.027500592725998,1.085879620790738,0.07729476323552756,50,[0 4 8 9]
51,7309,4.10463423531525,1.0864527192393416,0.06243320360493683,51,[7 3 0 9]
52,1534,4.128909173250505,1.1067698559306336,0.06756467733900552,52,[1 5 3 4]
53,3098,4.133276639101641,1.1169220570700895,0.06638314493636029,53,[3 0 9 8]
54,9278,4.366686409205826,0.9683053323161426,0.08344982067647932,54,[9 2 7 8]
55,5813,4.332427844862982,1.0106665655677534,0.07036878475885493,55,[5 8 1 3]
56,6972,4.348273514125264,1.0017878648770238,0.06853489762739387,56,[6 9 7 2]
57,1953,4.350594406841596,0.9964391667465793,0.06925710848184535,56,[1 9 5 3]
58,7548,4.356877472862201,0.9899721471723644,0.06857658140207129,57,[7 5 4 8]
59,8627,4.368430401000154,0.9797586238138775,0.0691620965389133,58,[8 6 2 7]
60,6157,4.257490997495138,0.905113794862159,0.04370064151746754,59,[6 1 5 7]
61,6207,4.311486798497518,0.9037773603734423,0.06327784901316388,60,[6 2 0 7]
62,7465,4.330525818707322,0.738509201416457,0.05887657810538301,61,[7 4 6 5]
63,8111,4.3414000201877965,0.7385502107441243,0.06054663213978636,62,[8 1 1 1]
64,2743,4.325182902986801,0.7511194950906247,0.06001798150195968,63,[2 7 4 3]
65,4463,4.31574406888029,0.7552384015454482,0.05740151583634677,64,[4 4 6 3]
66,3694,4.342631595713886,0.7325776765391788,0.05328974609401906,65,[3 6 9 4]
67,6364,4.223973802344738,0.7207371345965374,0.036281771188040254,66,[6 3 6 4]
