step,action,psnr_value,mse_value,ssim_value,rank,action
1,144,6.788180550115971,0.20954286011794282,0.08117451474318009,1,[0 1 4 4]
2,4225,6.7983583675494765,0.20904493806418245,0.10558392432033711,2,[4 2 2 5]
3,3462,7.142530102863694,0.19312997813109317,0.06086287992906838,3,[3 4 6 2]
4,9394,7.095552698996459,0.19522722214668842,0.06200517409722024,4,[9 3 9 4]
5,2516,7.726749748678159,0.16883963300268273,0.05621751525174675,5,[2 5 1 6]
6,8444,8.20086215883572,0.15142423247410183,0.031461501484485496,6,[8 4 4 4]
7,3049,11.263640566332725,0.07528873078916992,0.15967798547911266,7,[3 0 4 9]
8,753,11.266789992016498,0.0752046376617328,0.08893522332562245,8,[0 7 5 3]
9,6285,11.260791916229188,0.0753256138811353,0.0849675815956094,9,[6 2 8 5]
10,6121,11.317989275509033,0.07430072930529218,0.11284030554485432,10,[6 1 2 1]
11,8920,11.314941727934858,0.07433983811413528,0.1046274294232851,11,[8 9 2 0]
12,6771,11.352095549805545,0.07372455500241455,0.09873662246489819,12,[6 7 7 1]
13,1337,11.367940223343801,0.07347188729562308,0.08919323342703282,13,[1 3 3 7]
14,7108,11.406880957594447,0.07280667507711883,0.08589960170098868,14,[7 1 0 8]
15,3098,11.434502762852372,0.07240956621318408,0.08524017450918414,15,[3 0 9 8]
16,1844,11.485064573344111,0.07162853844704664,0.07506853977857195,16,[1 8 4 4]
17,15,11.487497989056312,0.07160797583304088,0.07566682855684781,17,[0 0 1 5]
18,2244,11.404381663152122,0.07293121394813809,0.06615492056818803,18,[2 2 4 4]
19,1306,11.406783726069898,0.07288197382821952,0.06635150012190852,19,[1 3 0 6]
20,9832,11.646881955143197,0.06909472277586876,0.07831714417279573,20,[9 8 3 2]
21,1150,11.787703078779483,0.06682967349405694,0.11741356440111272,21,[1 1 5 0]
22,9495,11.788833226068512,0.06680270009180912,0.13343518314017142,22,[9 4 9 5]
23,4409,13.239146752769784,0.04799373566278977,0.16797506804376444,23,[4 4 0 9]
24,648,13.247448132741003,0.04789667332869261,0.16768590443742087,24,[0 6 4 8]
25,1679,14.195683219399713,0.03897245143596791,0.1112215751473539,25,[1 6 7 9]
26,7255,14.21632683696215,0.03880791879083091,0.10926991917417479,26,[7 2 5 5]
27,1214,14.306507308796967,0.03810534193626694,0.10901310079304787,27,[1 2 1 4]
28,7470,14.197035406866492,0.0389461407001275,0.11058357446415032,28,[7 4 7 0]
29,9537,14.373219282820013,0.03768415686017125,0.12160897512395943,29,[9 5 3 7]
30,9987,15.294706818742835,0.03078127955886856,0.27526204727454073,30,[9 9 8 7]
31,1798,15.317205727430403,0.03081971263273439,0.2568245505813995,31,[1 7 9 8]
32,4565,16.331228806109024,0.026329807947132054,0.19013987140407987,32,[4 5 6 5]
33,715,16.540434211526332,0.025246544862555176,0.2307086449169375,33,[0 7 1 5]
34,6407,16.64404843299827,0.024707261116863544,0.23043660434454055,34,[6 4 0 7]
35,1067,16.835611958833713,0.02370782748241442,0.32195181928925476,35,[1 0 6 7]
36,7710,16.83675590845077,0.02369866615881154,0.3220444218071264,36,[7 7 1 0]
37,6713,16.846793742588034,0.023587895319353295,0.3094445779738658,37,[6 7 1 3]
38,7676,16.836618026653777,0.02364365120050224,0.3109245318232917,38,[7 6 7 6]
39,6423,17.146805305482978,0.021835226477612366,0.34328788587800546,39,[6 4 2 3]
40,889,17.236317648863448,0.02138243931881565,0.3572858476574922,40,[0 8 8 9]
41,3212,17.23225007402839,0.021385987972816344,0.35117449899935926,41,[3 2 1 2]
42,8798,17.2476031783609,0.02130395046102759,0.34813102044292676,42,[8 7 9 8]
43,9948,17.256767316015136,0.02124099118478303,0.34920903191396696,43,[9 9 4 8]
44,7862,17.322579639105616,0.020885296495578354,0.33288633187511296,44,[7 8 6 2]
45,3270,17.325546290593728,0.020843945196667234,0.3348359997803048,45,[3 2 7 0]
46,8519,17.30642355867306,0.020849853065041373,0.2859105192675024,46,[8 5 1 9]
47,20,17.370290584580744,0.02053392776775418,0.2915432849584985,47,[0 0 2 0]
48,6774,17.34664007663483,0.020629142058330743,0.30686585937424704,48,[6 7 7 4]
49,2033,17.346665089065088,0.02062923085425737,0.30684662540280766,49,[2 0 3 3]
50,609,17.346675325290498,0.020628282553573633,0.2870754244792514,50,[0 6 0 9]
51,183,17.440127127795545,0.02017754071643008,0.2862072997484627,51,[0 1 8 3]
52,6461,17.555683492525077,0.019852383970402093,0.2657369737420556,52,[6 4 6 1]
53,7264,17.557725325552763,0.019841494535999295,0.26425804319380897,53,[7 2 6 4]
54,505,17.55683260486331,0.0198449112775808,0.26378384560840307,54,[0 5 0 5]
55,2189,17.65993162354476,0.019403545121979678,0.2695558051580639,55,[2 1 8 9]
56,7796,17.762409731141634,0.01885088230888308,0.32340648143067957,56,[7 7 9 6]
57,8642,17.79809023959747,0.01878933976863525,0.31710113113051863,57,[8 6 4 2]
58,7493,17.956655660412487,0.018332996446838726,0.32409168597365823,58,[7 4 9 3]
59,2267,18.206049051177494,0.017344533027031383,0.33987799965299464,59,[2 2 6 7]
60,2737,18.40317876602722,0.01668347497200081,0.33117875035052236,60,[2 7 3 7]
61,5582,18.418223202628155,0.01650439460009256,0.2933703891428018,61,[5 5 8 2]
62,5677,18.482555367758057,0.016386250695413232,0.2996170664923264,62,[5 6 7 7]
63,4547,18.599191074738428,0.0159553236475469,0.2939950713691687,63,[4 5 4 7]
64,9076,18.589207976378763,0.01596053815965071,0.29592327209998837,64,[9 0 7 6]
65,4509,18.586130589695532,0.015886802816849902,0.29702606565607353,65,[4 5 0 9]
66,843,18.711219563976215,0.015502468653291643,0.29259837627662305,66,[0 8 4 3]
67,5588,18.70667439687394,0.015371114152379094,0.2939998205373372,67,[5 5 8 8]
68,5168,18.698149268598357,0.01536354666455697,0.288177976553955,68,[5 1 6 8]
69,1311,18.808786446682948,0.015103753047004034,0.2947284553619493,69,[1 3 1 1]
70,1052,19.33462458511101,0.013799130186882468,0.29663312012504134,70,[1 0 5 2]
71,832,19.458391519819287,0.013380767381088888,0.26963423538244163,71,[0 8 3 2]
72,7788,20.184012110498216,0.011476971727116734,0.33925557475072315,72,[7 7 8 8]
73,6932,20.340485624502378,0.011213055886537725,0.32593938215514323,73,[6 9 3 2]
74,2092,20.374089689299616,0.011170129193714472,0.3200693944176173,74,[2 0 9 2]
75,7955,20.58581383608552,0.010330046931005334,0.33424020444184666,75,[7 9 5 5]
76,5371,20.602624437579244,0.01030051536393632,0.3334178595376595,76,[5 3 7 1]
77,1455,20.667907765101784,0.010166681812385897,0.34732317252221045,77,[1 4 5 5]
78,878,21.243603908533842,0.009095636467664292,0.3609631315129712,78,[0 8 7 8]
79,6035,21.273883161479862,0.008839651458154628,0.3833117506304085,79,[6 0 3 5]
80,2499,21.336741400589737,0.008707147902174101,0.3830273983940426,80,[2 4 9 9]
81,9303,21.83702260208035,0.007736971175899541,0.3604208684967077,81,[9 3 0 3]
82,1834,22.711729506463833,0.00654489516300381,0.40498989110006606,82,[1 8 3 4]
83,6976,22.866153182851008,0.006338802763524071,0.4033206391024667,83,[6 9 7 6]
84,3572,22.874969769263878,0.006337487368843106,0.40789214512042343,84,[3 5 7 2]
85,4561,22.887172364246453,0.006325520957254191,0.40953782182929305,85,[4 5 6 1]
86,5788,22.938878853910175,0.006264576423462991,0.41691257067221354,86,[5 7 8 8]
87,9542,23.317975523722335,0.005712093396102818,0.4591407835661374,87,[9 5 4 2]
88,5785,23.318078592973745,0.00571196920299653,0.4591702548904267,88,[5 7 8 5]
89,6078,23.33099165582627,0.005726734499585548,0.4486239458380991,89,[6 0 7 8]
90,9516,23.344080794498826,0.005699373702611723,0.4745933320252158,90,[9 5 1 6]
91,4720,24.51509458213426,0.004556714935279267,0.5319342928670105,91,[4 7 2 0]
92,5171,24.528875840508093,0.004557074122893079,0.5448617891185675,91,[5 1 7 1]
93,7871,24.516141778826746,0.004552258791597232,0.5413365554519116,91,[7 8 7 1]
94,3605,24.521499926655896,0.004545814471864435,0.5393055887170041,91,[3 6 0 5]
95,6727,24.54166615449602,0.004511765236657545,0.5285331956467043,91,[6 7 2 7]
96,4813,25.934370698136647,0.0033429620186036235,0.5659736152187528,91,[4 8 1 3]
97,5870,25.934010151501305,0.003343069061262709,0.5664319155648605,91,[5 8 7 0]
98,6045,25.92311879086686,0.0033506065524624962,0.5454990309055663,91,[6 0 4 5]
99,2486,25.92337616108405,0.003351613490004235,0.5468857413146234,91,[2 4 8 6]
100,7500,26.416458236017068,0.0029938998395503446,0.5999004562900327,91,[7 5 0 0]
101,1996,26.45907201746845,0.0029461568361927705,0.615597299051039,91,[1 9 9 6]
102,7111,26.537051124598037,0.002885695619443496,0.574782636708,92,[7 1 1 1]
103,5580,26.539168043409195,0.002883805270241915,0.573838975676256,92,[5 5 8 0]
104,4978,26.542675750221086,0.0028835574817544798,0.5779193070069134,93,[4 9 7 8]
105,9029,26.68068121257566,0.002800518027589938,0.5916302107055682,93,[9 0 2 9]
106,5858,26.683726840836925,0.002800867090588248,0.5919119607537803,94,[5 8 5 8]
107,7753,26.697958115943194,0.0027915260944539355,0.6031193737776008,94,[7 7 5 3]
108,5428,26.73066436250622,0.0027628124804197985,0.5877210336040158,94,[5 4 2 8]
109,7295,26.75481965044176,0.002737687829614481,0.6014567638652069,95,[7 2 9 5]
110,8798,26.876545800140512,0.002642821949647285,0.6054732905647463,95,[8 7 9 8]
111,1088,26.997700731621613,0.0025924494997050474,0.6083563834964386,95,[1 0 8 8]
112,1174,26.99733818381375,0.0025937604428151674,0.6072259422861453,95,[1 1 7 4]
113,8844,27.018636587607922,0.0025789830392928793,0.6120482430083302,95,[8 8 4 4]
114,7463,27.01859660397531,0.0025731038312538246,0.6125963306855527,95,[7 4 6 3]
115,317,27.024573184459243,0.0025750580993785023,0.613008483977097,95,[0 3 1 7]
116,2502,27.273276668322175,0.002558158458437667,0.6091511546467984,96,[2 5 0 2]
117,9666,27.29983465479691,0.0025318553976066125,0.6094399885114752,96,[9 6 6 6]
118,7802,28.707120502728127,0.0018790669128333803,0.6841847659535569,96,[7 8 0 2]
119,8757,28.707044925489406,0.0018756382920510095,0.6846099530983404,96,[8 7 5 7]
120,2953,28.832493709829397,0.0017921932645924344,0.6820803654105603,96,[2 9 5 3]
121,2806,28.834569035035,0.0017914190317982915,0.6848753880345518,96,[2 8 0 6]
122,4946,28.811058788607863,0.0017826042625686612,0.6992038530714904,96,[4 9 4 6]
123,6356,28.827680287160867,0.001772692007722192,0.7006195114166103,96,[6 3 5 6]
124,8121,28.832691878883555,0.0017764672532369018,0.7028944781688089,96,[8 1 2 1]
125,8405,28.833161835727182,0.001776765220941172,0.7027360390743584,97,[8 4 0 5]
126,4944,28.845652036007877,0.0017635795082075845,0.7048665388030526,97,[4 9 4 4]
127,1763,28.837138079398525,0.0017663030068490926,0.703412669603187,97,[1 7 6 3]
128,6541,28.862779470398827,0.0017060111569215408,0.720312893899564,97,[6 5 4 1]
129,5138,28.885692054409596,0.001698144618401507,0.7319236653919013,97,[5 1 3 8]
130,4321,28.946856722048892,0.0016804262749249687,0.7328161345615454,97,[4 3 2 1]
131,7528,28.947058713247714,0.0016800494934470578,0.7333864295934565,97,[7 5 2 8]
132,5095,28.95112600969851,0.001678669775481474,0.7343619668204906,97,[5 0 9 5]
133,8907,28.953368770967394,0.0016782073331372516,0.734933674610506,98,[8 9 0 7]
134,7610,28.952485107248094,0.001677530981106834,0.73919382294292,98,[7 6 1 0]
135,1594,28.955954329949233,0.00167638892257731,0.7387913217350672,98,[1 5 9 4]
136,6108,29.068252929751775,0.0016335294808755662,0.7429639849925506,98,[6 1 0 8]
137,5354,29.109898470292705,0.00162178048715397,0.7403020704237403,98,[5 3 5 4]
138,1803,29.109873669387454,0.001621351835525857,0.740551204038735,98,[1 8 0 3]
139,6833,29.11876100223858,0.001621952297098659,0.7406368444834485,98,[6 8 3 3]
140,6010,29.14683656159553,0.001615396378775964,0.7505044478615608,98,[6 0 1 0]
141,9892,29.148878033600212,0.0016160512722767795,0.7431580221647323,98,[9 8 9 2]
142,7058,30.107259929875852,0.0013901572541764296,0.7294599015395995,99,[7 0 5 8]
143,818,30.116508805455076,0.0013884394402146328,0.7307510231165445,99,[0 8 1 8]
144,814,30.110553379636883,0.001389000294625724,0.7311848357396726,99,[0 8 1 4]
145,1693,30.09975155423469,0.0013854483967027066,0.7327918439984483,99,[1 6 9 3]
146,9099,30.116151002563377,0.0013681152812601738,0.7287377571052017,99,[9 0 9 9]
147,5256,30.103499483327546,0.001374536858291231,0.728214445453978,99,[5 2 5 6]
148,944,30.11967341892335,0.0013665247751081465,0.7270033677054176,99,[0 9 4 4]
149,8896,30.113428905882664,0.0013667394867439952,0.7262923195893622,99,[8 8 9 6]
150,2791,30.094659935174242,0.0013737488137239495,0.7247576297391334,99,[2 7 9 1]
