step,action,psnr_value,mse_value,ssim_value,rank,action
1,4770,5.471381487881324,0.28399959363113214,0.08977925629594963,1,[4 7 7 0]
2,433,5.491037920175255,0.2827202657316991,0.07603028567868772,2,[0 4 3 3]
3,2778,5.4971646031022985,0.2823205850177857,0.0731031847032447,3,[2 7 7 8]
4,6548,5.576054545951196,0.2772351231002777,0.06124884284278433,4,[6 5 4 8]
5,5315,5.590212547410589,0.27633493477260385,0.08248571850914133,5,[5 3 1 5]
6,6916,5.59020970686457,0.2763351869818584,0.08260200272509152,6,[6 9 1 6]
7,8170,5.722116727967618,0.26806732849805087,0.1134463747850792,7,[8 1 7 0]
8,3642,5.881969556377687,0.25850002251833687,0.13959018892365332,8,[3 6 4 2]
9,5208,6.031525023752966,0.24996930139141013,0.195224717078905,9,[5 2 0 8]
10,3780,6.095102434024725,0.2469981216708409,0.19365949117256914,10,[3 7 8 0]
11,6265,6.100244503873739,0.24679279642411345,0.195009278796147,11,[6 2 6 5]
12,31,6.135362449614718,0.24470944637555292,0.20717931382013868,12,[0 0 3 1]
13,2778,6.1424737354253764,0.2443095238483896,0.1872262203194663,13,[2 7 7 8]
14,3391,6.14245573344692,0.24431028709739835,0.18722753683012863,13,[3 3 9 1]
15,6792,6.144215452897668,0.24422713187365475,0.18632014269737188,14,[6 7 9 2]
16,9617,6.350095153868561,0.2329601081690521,0.22515824111789887,15,[9 6 1 7]
17,96,6.350203153815124,0.23295741571754505,0.22514137872058249,16,[0 0 9 6]
18,5675,6.351303159981471,0.23285260358854346,0.22549019905171902,17,[5 6 7 5]
19,5436,6.366220729327287,0.2320519605002383,0.23023828068977487,18,[5 4 3 6]
20,1673,6.436371876283442,0.2294354445315085,0.2533480850341975,19,[1 6 7 3]
21,8211,6.4387223588336475,0.22936490481038077,0.25263359210978475,20,[8 2 1 1]
22,3538,6.490416504531535,0.22727414314385555,0.24586500689563548,21,[3 5 3 8]
23,9277,6.49260281623849,0.22722200051984132,0.2470066775657742,22,[9 2 7 7]
24,5574,6.723609376574327,0.21585226100865568,0.280419507178883,23,[5 5 7 4]
25,7131,6.745118457326168,0.21504014818662712,0.28490489996822527,24,[7 1 3 1]
26,7904,6.775089562774697,0.21348245594517523,0.28815024824810964,25,[7 9 0 4]
27,6187,7.124069399485508,0.19683050676267613,0.33157730888760467,26,[6 1 8 7]
28,7645,7.377296780022487,0.18460246186736057,0.37397153672989425,27,[7 6 4 5]
29,6053,7.420626925287196,0.1826501545221605,0.3856808497836896,28,[6 0 5 3]
30,6799,7.4728665213095,0.18073479847599827,0.40172471227817147,29,[6 7 9 9]
31,4075,7.62374569980588,0.1742669434240628,0.3901458019893348,30,[4 0 7 5]
32,3903,7.628884048505361,0.1740433831545424,0.3869676192700364,31,[3 9 0 3]
33,2815,7.853879816265161,0.16585578713958982,0.412130768587303,32,[2 8 1 5]
34,5120,7.902945447034362,0.16461041521891617,0.4133195830782258,33,[5 1 2 0]
35,4700,8.008091137221985,0.16066183717825055,0.40068498655730345,34,[4 7 0 0]
36,7243,8.006519334441494,0.16069023306977626,0.40126315765794873,35,[7 2 4 3]
37,9042,8.008530066740523,0.16034623695742498,0.4054314241214011,36,[9 0 4 2]
38,1243,8.123268397913654,0.15631545286608173,0.4156689340158972,37,[1 2 4 3]
39,296,8.266566906695134,0.15153167103781173,0.4287026928506255,38,[0 2 9 6]
40,1070,8.272967635219699,0.1512151403446741,0.42913654691092845,39,[1 0 7 0]
41,6007,9.096859525993235,0.12720070274104955,0.4710431663914824,40,[6 0 0 7]
42,5904,9.201467040665007,0.12463007603566084,0.46900581053230284,41,[5 9 0 4]
43,9237,9.215012021721668,0.12441105623784977,0.4686761311108875,42,[9 2 3 7]
44,2794,9.222515174310633,0.12383941472472515,0.4721362578635155,43,[2 7 9 4]
45,97,9.222303004029177,0.12368194493647323,0.4729576930067128,44,[0 0 9 7]
46,7176,9.266051882838669,0.1225962262976799,0.4737819749046892,45,[7 1 7 6]
47,5771,9.505678025615781,0.11730012673622411,0.4959157286701223,46,[5 7 7 1]
48,6913,9.467799441376378,0.11827462017470396,0.49643058611653545,47,[6 9 1 3]
49,3207,9.488707485998507,0.11751317319644883,0.4971704248385437,48,[3 2 0 7]
50,1385,9.561293505342618,0.11551677788541426,0.4998582895034591,49,[1 3 8 5]
51,7481,9.721064710937858,0.11172637489035012,0.5137029295088704,50,[7 4 8 1]
52,7583,9.932482070509074,0.10730059898640362,0.5197069866253127,51,[7 5 8 3]
53,2197,10.188172986707023,0.10226527481069794,0.529035910956273,52,[2 1 9 7]
54,420,10.208355559830993,0.1018126595316339,0.5293913716210767,53,[0 4 2 0]
55,7163,10.402301994300975,0.09855773089430883,0.5326054504146496,54,[7 1 6 3]
56,6502,10.606335546859011,0.09426426785276859,0.5457759361640241,55,[6 5 0 2]
57,718,10.885246878522532,0.0887524452638813,0.5514338659190605,56,[0 7 1 8]
58,3957,11.282776281723319,0.08166374590646598,0.5605762392628943,57,[3 9 5 7]
59,2243,11.310943590458965,0.08118422226607805,0.558587740019422,58,[2 2 4 3]
60,7247,11.344278648021131,0.0804408998355794,0.5604712589241215,59,[7 2 4 7]
61,4818,11.338447114884467,0.08025058022578747,0.5606450352491191,60,[4 8 1 8]
62,5469,11.49706214776392,0.07770432149822597,0.5611808833712046,61,[5 4 6 9]
63,6661,11.529396465860774,0.0768389884847275,0.5610380404423498,62,[6 6 6 1]
64,912,11.676012442262099,0.07430938873082056,0.564545654362046,63,[0 9 1 2]
65,8602,12.13593102648353,0.06863701426505145,0.5652892130569648,64,[8 6 0 2]
66,1363,12.146815414740823,0.06820651170525821,0.5653243567857367,65,[1 3 6 3]
67,6692,12.306439504711088,0.06526929491684427,0.5752098410306072,66,[6 6 9 2]
68,1679,12.459133591190913,0.0633357710307348,0.575091066217776,67,[1 6 7 9]
69,3430,12.505840216631546,0.06311330541070788,0.578703380218303,68,[3 4 3 0]
70,96,12.648342278862044,0.06127383414733344,0.5911945242255668,69,[0 0 9 6]
71,5524,12.658106852243485,0.06111780736934747,0.5910211976764594,69,[5 5 2 4]
72,858,12.707067575441123,0.059884105740248966,0.5878950160859908,70,[0 8 5 8]
73,2301,12.729707125979889,0.059447141443134795,0.5891909272618047,71,[2 3 0 1]
74,3413,12.854035528044971,0.057934783006535186,0.5887544806876475,72,[3 4 1 3]
