step,action,psnr_value,mse_value,ssim_value,rank,action
1,7751,6.405269901905582,0.229129787695047,0.1842291589373713,1,[ 1 14  4  7]
2,43757,7.288781658105927,0.1871981934866893,0.1633658456955495,2,[10 10 14 13]
3,54548,7.328626850242321,0.18567077753856664,0.16463992675964934,3,[13  5  1  4]
4,21758,7.183322611017246,0.19250029519207312,0.15324148899385487,4,[ 5  4 15 14]
5,8444,7.21237480520049,0.19114105626686495,0.1581748904650343,5,[ 2  0 15 12]
6,19946,7.059789954637567,0.19969467124959905,0.15923516997942277,6,[ 4 13 14 10]
7,27204,6.912745859969155,0.20752801069948035,0.20398508964979617,7,[ 6 10  4  4]
8,31959,7.450367588956999,0.18012812194529104,0.27642716984482785,8,[ 7 12 13  7]
9,44510,7.636179012676778,0.17273878825591904,0.2719889006012194,9,[10 13 13 14]
10,51040,8.417582897657818,0.14507441550074152,0.2652612662578716,10,[12  7  6  0]
11,33799,8.522089330848765,0.1418494325260149,0.19028506539997755,11,[8 4 0 7]
12,37183,8.479827701869649,0.1432856356179606,0.1830105966582251,12,[ 9  1  3 15]
13,63360,8.585504856015422,0.14175729525868874,0.14524241936600507,13,[15  7  8  0]
14,61756,8.631446053126295,0.1401086336450641,0.14869871460769152,14,[15  1  3 12]
15,39539,8.629212273612461,0.14023107787014766,0.14886120622030088,15,[ 9 10  7  3]
16,431,8.894908330402963,0.1308208950979015,0.23060170044673478,16,[ 0  1 10 15]
17,9287,9.023485332750681,0.12709529708045864,0.23903686203844346,17,[2 4 4 7]
18,46467,9.096201686158622,0.12465671346696894,0.26645785740263783,18,[11  5  8  3]
19,45571,9.383908648082466,0.11712942779369584,0.29036557702672255,19,[11  2  0  3]
20,56260,8.983614424800233,0.1285885431722349,0.2566157829717221,20,[13 11 12  4]
21,19482,9.219084205408167,0.12222318340212368,0.27631601664149413,21,[ 4 12  1 10]
22,1844,9.276214927695541,0.12084242621605146,0.28496364815790765,22,[0 7 3 4]
23,28114,9.240651692408603,0.12211146620183477,0.2966465980908245,23,[ 6 13 13  2]
24,15,9.10563659197077,0.12581526171200608,0.2850012197549475,24,[ 0  0  0 15]
25,57058,9.088225290147086,0.1264314910065787,0.2824487314996683,25,[13 14 14  2]
26,13783,9.12317152952036,0.12571836331573039,0.29571377313046066,26,[ 3  5 13  7]
27,17534,9.329429953229118,0.11917311044290457,0.2729171937222804,27,[ 4  4  7 14]
28,42263,9.30043484131634,0.11988641094635,0.27234007789214976,28,[10  5  1  7]
29,20793,9.301822886856074,0.1198470540913874,0.2724621249956204,29,[5 1 3 9]
30,10835,9.326824088542551,0.11915345302515945,0.27735792246212065,30,[ 2 10  5  3]
31,40023,9.29151725278601,0.11998826342038171,0.2764554646572863,31,[ 9 12  5  7]
32,24345,9.312306197654348,0.11961640666429929,0.2781790601003321,32,[ 5 15  1  9]
33,33982,9.479948333854063,0.11588784095098603,0.28336045518093034,33,[ 8  4 11 14]
34,23854,9.521328860428651,0.11479943716701158,0.28250797746642986,34,[ 5 13  2 14]
35,9537,9.513606904791324,0.11487130517900113,0.2816111931170958,35,[2 5 4 1]
36,13681,9.326452217643617,0.12167997994873136,0.29617005085643755,36,[3 5 7 1]
37,54525,9.498773519748319,0.1176884086073855,0.3094300921080597,37,[13  4 15 13]
38,33229,9.528855147703453,0.11675102086419642,0.30842991160734534,38,[ 8  1 12 13]
39,54347,9.535768529955343,0.1165365930971447,0.310991310074928,39,[13  4  4 11]
40,40268,9.75001280105666,0.11032425534662327,0.30794359963571427,40,[ 9 13  4 12]
41,13159,9.95097666432368,0.10635439336966002,0.32080463015900074,41,[3 3 6 7]
42,42759,9.969965472021585,0.10594252037076402,0.3142281736599878,42,[10  7  0  7]
43,40444,10.151654035937865,0.10163213803809867,0.31647378188529035,43,[ 9 13 15 12]
44,14546,10.12344453486627,0.1022803467073814,0.3049319286885017,44,[ 3  8 13  2]
45,16252,10.132169105783452,0.10204586962484186,0.30464951016049,45,[ 3 15  7 12]
46,64337,10.128837120338694,0.10214922104487645,0.3053257975277244,46,[15 11  5  1]
47,15836,10.415920758813943,0.09480960209268918,0.32230634963551374,47,[ 3 13 13 12]
48,65172,10.5144160633543,0.0921393196657938,0.3223814190929244,48,[15 14  9  4]
49,40508,10.540372757710816,0.09172281386001035,0.3257071377818715,49,[ 9 14  3 12]
50,49641,10.609649512165742,0.09038340715229154,0.3252357506107644,50,[12  1 14  9]
